#code_ligand_num    score   
1a30_ligand_1       -0.789  
1a30_ligand_11      -1.935  
1a30_ligand_112     -1.346  
1a30_ligand_114     10000.000
1a30_ligand_115     10000.000
1a30_ligand_117     10000.000
1a30_ligand_128     -0.676  
1a30_ligand_129     -0.490  
1a30_ligand_131     0.312   
1a30_ligand_14      -0.242  
1a30_ligand_141     10000.000
1a30_ligand_146     -1.007  
1a30_ligand_148     -1.971  
1a30_ligand_149     -2.222  
1a30_ligand_155     10000.000
1a30_ligand_16      10000.000
1a30_ligand_161     10000.000
1a30_ligand_164     10000.000
1a30_ligand_166     10000.000
1a30_ligand_168     10000.000
1a30_ligand_169     10000.000
1a30_ligand_173     10000.000
1a30_ligand_175     10000.000
1a30_ligand_177     10000.000
1a30_ligand_178     10000.000
1a30_ligand_180     10000.000
1a30_ligand_184     10000.000
1a30_ligand_19      10000.000
1a30_ligand_190     10000.000
1a30_ligand_195     10000.000
1a30_ligand_198     10000.000
1a30_ligand_200     10000.000
1a30_ligand_204     10000.000
1a30_ligand_206     10000.000
1a30_ligand_212     10000.000
1a30_ligand_217     10000.000
1a30_ligand_221     10000.000
1a30_ligand_225     10000.000
1a30_ligand_227     10000.000
1a30_ligand_232     10000.000
1a30_ligand_234     10000.000
1a30_ligand_235     10000.000
1a30_ligand_241     10000.000
1a30_ligand_246     10000.000
1a30_ligand_255     10000.000
1a30_ligand_265     10000.000
1a30_ligand_267     10000.000
1a30_ligand_277     10000.000
1a30_ligand_279     10000.000
1a30_ligand_28      10000.000
1a30_ligand_280     10000.000
1a30_ligand_286     10000.000
1a30_ligand_291     10000.000
1a30_ligand_305     10000.000
1a30_ligand_31      -2.276  
1a30_ligand_316     10000.000
1a30_ligand_320     10000.000
1a30_ligand_327     10000.000
1a30_ligand_333     10000.000
1a30_ligand_335     10000.000
1a30_ligand_34      10000.000
1a30_ligand_345     10000.000
1a30_ligand_349     10000.000
1a30_ligand_359     10000.000
1a30_ligand_36      10000.000
1a30_ligand_360     -3.514  
1a30_ligand_362     10000.000
1a30_ligand_371     10000.000
1a30_ligand_374     10000.000
1a30_ligand_376     -2.721  
1a30_ligand_381     10000.000
1a30_ligand_388     0.195   
1a30_ligand_397     -3.637  
1a30_ligand_399     2.481   
1a30_ligand_400     0.429   
1a30_ligand_422     -4.987  
1a30_ligand_434     -0.835  
1a30_ligand_45      10000.000
1a30_ligand_488     -0.993  
1a30_ligand_493     -1.315  
1a30_ligand_495     -4.226  
1a30_ligand_5       1.605   
1a30_ligand_50      0.368   
1a30_ligand_53      10000.000
1a30_ligand_56      -0.121  
1a30_ligand_59      -1.763  
1a30_ligand_6       10000.000
1a30_ligand_60      -1.610  
1a30_ligand_62      10000.000
1a30_ligand_68      10000.000
1a30_ligand_69      -0.246  
1a30_ligand_73      -1.752  
1a30_ligand_75      10000.000
1a30_ligand_76      10000.000
1a30_ligand_77      -2.024  
1a30_ligand_83      10000.000
1a30_ligand_86      -3.679  
1a30_ligand_87      -1.515  
1a30_ligand_89      -2.823  
1a30_ligand_99      -2.721  
1bcu_ligand_106     -1.503  
1bcu_ligand_113     0.399   
