#code_ligand_num    score   
1a30_ligand_104     10000.000
1a30_ligand_113     0.918   
1a30_ligand_116     10000.000
1a30_ligand_118     10000.000
1a30_ligand_122     -0.692  
1a30_ligand_123     10000.000
1a30_ligand_130     10000.000
1a30_ligand_132     -1.917  
1a30_ligand_133     10000.000
1a30_ligand_136     -0.281  
1a30_ligand_137     10000.000
1a30_ligand_14      10000.000
1a30_ligand_147     10000.000
1a30_ligand_148     10000.000
1a30_ligand_15      10000.000
1a30_ligand_150     -2.351  
1a30_ligand_152     10000.000
1a30_ligand_154     10000.000
1a30_ligand_164     10000.000
1a30_ligand_167     10000.000
1a30_ligand_168     10000.000
1a30_ligand_169     10000.000
1a30_ligand_170     10000.000
1a30_ligand_174     10000.000
1a30_ligand_181     10000.000
1a30_ligand_183     10000.000
1a30_ligand_199     10000.000
1a30_ligand_200     10000.000
1a30_ligand_203     10000.000
1a30_ligand_204     10000.000
1a30_ligand_209     10000.000
1a30_ligand_21      4.629   
1a30_ligand_210     6.718   
1a30_ligand_211     10000.000
1a30_ligand_213     10000.000
1a30_ligand_215     10000.000
1a30_ligand_218     10000.000
1a30_ligand_219     -0.005  
1a30_ligand_222     10000.000
1a30_ligand_224     0.313   
1a30_ligand_225     10000.000
1a30_ligand_226     10000.000
1a30_ligand_227     10000.000
1a30_ligand_229     10000.000
1a30_ligand_230     10000.000
1a30_ligand_232     10000.000
1a30_ligand_233     10000.000
1a30_ligand_238     10000.000
1a30_ligand_239     10000.000
1a30_ligand_243     10000.000
1a30_ligand_247     10000.000
1a30_ligand_248     10000.000
1a30_ligand_266     10000.000
1a30_ligand_267     10000.000
1a30_ligand_27      1.665   
1a30_ligand_276     10000.000
1a30_ligand_284     10000.000
1a30_ligand_287     10000.000
1a30_ligand_297     10000.000
1a30_ligand_299     10000.000
1a30_ligand_30      -2.811  
1a30_ligand_309     10000.000
1a30_ligand_31      10000.000
1a30_ligand_311     10000.000
1a30_ligand_317     10000.000
1a30_ligand_32      10000.000
1a30_ligand_320     10000.000
1a30_ligand_321     10000.000
1a30_ligand_323     10000.000
1a30_ligand_325     10000.000
1a30_ligand_331     10000.000
1a30_ligand_333     10000.000
1a30_ligand_336     10000.000
1a30_ligand_337     10000.000
1a30_ligand_338     10000.000
1a30_ligand_339     10000.000
1a30_ligand_34      10000.000
1a30_ligand_343     10000.000
1a30_ligand_36      10000.000
1a30_ligand_363     7.017   
1a30_ligand_367     -3.748  
1a30_ligand_372     10000.000
1a30_ligand_375     10000.000
1a30_ligand_39      10000.000
1a30_ligand_4       1.659   
1a30_ligand_48      10000.000
1a30_ligand_487     10000.000
1a30_ligand_49      -0.842  
1a30_ligand_54      10000.000
1a30_ligand_57      0.805   
1a30_ligand_60      10000.000
1a30_ligand_66      10000.000
1a30_ligand_69      10000.000
1a30_ligand_76      -1.249  
1a30_ligand_77      10000.000
1a30_ligand_83      -1.870  
1a30_ligand_88      10000.000
1a30_ligand_9       10000.000
1a30_ligand_91      10000.000
1a30_ligand_99      1.467   
1bcu_ligand_105     -1.722  
1bcu_ligand_158     10000.000
1bcu_ligand_162     10000.000
1bcu_ligand_165     10000.000
1bcu_ligand_169     10000.000
1bcu_ligand_177     10000.000
1bcu_ligand_183     10000.000
1bcu_ligand_187     -3.397  
1bcu_ligand_188     10000.000
1bcu_ligand_197     10000.000
1bcu_ligand_199     10000.000
1bcu_ligand_212     10000.000
1bcu_ligand_214     -2.444  
1bcu_ligand_215     10000.000
1bcu_ligand_223     10000.000
1bcu_ligand_229     -1.443  
1bcu_ligand_231     10000.000
1bcu_ligand_235     10000.000
1bcu_ligand_237     -0.504  
