#code_ligand_num    score   
1a30_ligand_10      -0.658  
1a30_ligand_100     10000.000
1a30_ligand_103     10000.000
1a30_ligand_104     10000.000
1a30_ligand_108     10000.000
1a30_ligand_113     10000.000
1a30_ligand_115     10000.000
1a30_ligand_12      10000.000
1a30_ligand_134     -2.125  
1a30_ligand_135     4.815   
1a30_ligand_14      3.432   
1a30_ligand_142     10000.000
1a30_ligand_144     5.802   
1a30_ligand_145     6.896   
1a30_ligand_153     10000.000
1a30_ligand_184     10000.000
1a30_ligand_190     10000.000
1a30_ligand_197     10000.000
1a30_ligand_198     10000.000
1a30_ligand_203     10000.000
1a30_ligand_206     10000.000
1a30_ligand_21      -1.445  
1a30_ligand_212     10000.000
1a30_ligand_213     10000.000
1a30_ligand_214     10000.000
1a30_ligand_215     5.745   
1a30_ligand_216     -0.612  
1a30_ligand_217     10000.000
1a30_ligand_218     10000.000
1a30_ligand_221     10000.000
1a30_ligand_222     4.988   
1a30_ligand_224     10000.000
1a30_ligand_226     10000.000
1a30_ligand_227     10000.000
1a30_ligand_234     10000.000
1a30_ligand_235     10000.000
1a30_ligand_237     10000.000
1a30_ligand_238     7.046   
1a30_ligand_239     10000.000
1a30_ligand_24      10000.000
1a30_ligand_240     10000.000
1a30_ligand_242     10000.000
1a30_ligand_246     10000.000
1a30_ligand_247     10000.000
1a30_ligand_25      1.529   
1a30_ligand_252     10000.000
1a30_ligand_254     10000.000
1a30_ligand_255     10000.000
1a30_ligand_259     10000.000
1a30_ligand_26      10000.000
1a30_ligand_266     10000.000
1a30_ligand_27      10000.000
1a30_ligand_271     10000.000
1a30_ligand_280     10000.000
1a30_ligand_29      1.589   
1a30_ligand_290     10000.000
1a30_ligand_294     10000.000
1a30_ligand_299     10000.000
1a30_ligand_30      10000.000
1a30_ligand_302     10000.000
1a30_ligand_315     10000.000
1a30_ligand_338     10000.000
1a30_ligand_34      10000.000
1a30_ligand_372     2.720   
1a30_ligand_394     -0.153  
1a30_ligand_395     5.240   
1a30_ligand_40      10000.000
1a30_ligand_410     1.141   
1a30_ligand_416     0.160   
1a30_ligand_42      1.738   
1a30_ligand_423     5.406   
1a30_ligand_433     0.415   
1a30_ligand_434     4.644   
1a30_ligand_438     6.775   
1a30_ligand_44      3.103   
1a30_ligand_48      10000.000
1a30_ligand_50      10000.000
1a30_ligand_51      10000.000
1a30_ligand_52      0.683   
1a30_ligand_53      7.511   
1a30_ligand_55      1.211   
1a30_ligand_56      -2.901  
1a30_ligand_58      -2.799  
1a30_ligand_60      -1.246  
1a30_ligand_62      10000.000
1a30_ligand_64      10000.000
1a30_ligand_65      10000.000
1a30_ligand_68      -0.925  
1a30_ligand_74      10000.000
1a30_ligand_75      10000.000
1a30_ligand_80      10000.000
1a30_ligand_82      -1.453  
1a30_ligand_88      10000.000
1a30_ligand_89      10000.000
1a30_ligand_9       10000.000
1a30_ligand_90      10000.000
1a30_ligand_91      10000.000
1a30_ligand_93      10000.000
1a30_ligand_98      10000.000
1a30_ligand_99      10000.000
1bcu_ligand_146     -1.871  
1bcu_ligand_159     10000.000
1bcu_ligand_160     10000.000
1bcu_ligand_176     10000.000
1bcu_ligand_189     10000.000
1bcu_ligand_190     10000.000
1bcu_ligand_192     10000.000
1bcu_ligand_196     10000.000
1bcu_ligand_199     10000.000
1bcu_ligand_203     10000.000
1bcu_ligand_219     10000.000
1bcu_ligand_223     10000.000
1bcu_ligand_227     10000.000
1bcu_ligand_234     10000.000
1bcu_ligand_237     10000.000
1bcu_ligand_239     10000.000
1bcu_ligand_240     10000.000
1bcu_ligand_241     10000.000
1bcu_ligand_243     -0.902  
1bcu_ligand_245     10000.000
1bcu_ligand_247     10000.000
1bcu_ligand_249     10000.000
1bcu_ligand_254     10000.000
1bcu_ligand_255     10000.000
1bcu_ligand_256     10000.000
1bcu_ligand_288     10000.000
1bcu_ligand_289     10000.000
1bcu_ligand_291     10000.000
1bcu_ligand_293     10000.000
1bcu_ligand_295     10000.000
1bcu_ligand_310     10000.000
1bcu_ligand_311     10000.000
1bcu_ligand_317     10000.000
1bcu_ligand_328     10000.000
