#code_ligand_num    score   
1a30_ligand_1       10000.000
1a30_ligand_105     -3.274  
1a30_ligand_107     1.928   
1a30_ligand_114     0.797   
1a30_ligand_12      10000.000
1a30_ligand_132     10000.000
1a30_ligand_135     10000.000
1a30_ligand_137     4.233   
1a30_ligand_153     10000.000
1a30_ligand_163     10000.000
1a30_ligand_166     10000.000
1a30_ligand_17      10000.000
1a30_ligand_172     10000.000
1a30_ligand_178     10000.000
1a30_ligand_179     10000.000
1a30_ligand_180     10000.000
1a30_ligand_185     10000.000
1a30_ligand_186     10000.000
1a30_ligand_188     10000.000
1a30_ligand_19      10000.000
1a30_ligand_193     10000.000
1a30_ligand_196     10000.000
1a30_ligand_209     10000.000
1a30_ligand_210     10000.000
1a30_ligand_211     10000.000
1a30_ligand_213     10000.000
1a30_ligand_216     10000.000
1a30_ligand_218     10000.000
1a30_ligand_219     10000.000
1a30_ligand_222     10000.000
1a30_ligand_224     10000.000
1a30_ligand_227     10000.000
1a30_ligand_228     10000.000
1a30_ligand_229     10000.000
1a30_ligand_230     -0.565  
1a30_ligand_232     10000.000
1a30_ligand_233     10000.000
1a30_ligand_234     10000.000
1a30_ligand_238     10000.000
1a30_ligand_239     10000.000
1a30_ligand_24      3.776   
1a30_ligand_241     10000.000
1a30_ligand_245     10000.000
1a30_ligand_246     10000.000
1a30_ligand_254     10000.000
1a30_ligand_257     10000.000
1a30_ligand_258     10000.000
1a30_ligand_262     10000.000
1a30_ligand_264     1.718   
1a30_ligand_266     10000.000
1a30_ligand_267     10000.000
1a30_ligand_269     10000.000
1a30_ligand_270     10000.000
1a30_ligand_271     10000.000
1a30_ligand_276     10000.000
1a30_ligand_279     10000.000
1a30_ligand_282     10000.000
1a30_ligand_285     10000.000
1a30_ligand_287     10000.000
1a30_ligand_288     10000.000
1a30_ligand_290     10000.000
1a30_ligand_293     10000.000
1a30_ligand_295     10000.000
1a30_ligand_296     10000.000
1a30_ligand_298     10000.000
1a30_ligand_299     10000.000
1a30_ligand_3       7.304   
1a30_ligand_30      10000.000
1a30_ligand_300     10000.000
1a30_ligand_302     10000.000
1a30_ligand_307     10000.000
1a30_ligand_308     10000.000
1a30_ligand_310     10000.000
1a30_ligand_314     10000.000
1a30_ligand_318     10000.000
1a30_ligand_322     10000.000
1a30_ligand_324     10000.000
1a30_ligand_345     10000.000
1a30_ligand_347     10000.000
1a30_ligand_350     10000.000
1a30_ligand_370     -0.120  
1a30_ligand_377     10000.000
1a30_ligand_387     1.775   
1a30_ligand_393     10000.000
1a30_ligand_394     -4.991  
1a30_ligand_441     2.596   
1a30_ligand_442     10000.000
1a30_ligand_46      3.105   
1a30_ligand_47      0.185   
1a30_ligand_471     0.215   
1a30_ligand_474     0.115   
1a30_ligand_482     -2.372  
1a30_ligand_54      10000.000
1a30_ligand_55      10000.000
1a30_ligand_75      10000.000
1a30_ligand_78      10000.000
1a30_ligand_84      -1.736  
1a30_ligand_85      4.352   
1a30_ligand_90      -1.258  
1a30_ligand_99      6.158   
1bcu_ligand_156     -5.533  
1bcu_ligand_161     -6.197  
1bcu_ligand_165     10000.000
1bcu_ligand_166     -6.116  
1bcu_ligand_174     10000.000
1bcu_ligand_183     -6.197  
1bcu_ligand_185     10000.000
1bcu_ligand_189     -5.050  
1bcu_ligand_191     -6.452  
1bcu_ligand_194     -3.446  
1bcu_ligand_203     -6.506  
1bcu_ligand_210     -4.381  
1bcu_ligand_219     10000.000
1bcu_ligand_225     10000.000
1bcu_ligand_231     -3.438  
1bcu_ligand_232     -5.465  
1bcu_ligand_233     10000.000
1bcu_ligand_241     -5.077  
1bcu_ligand_242     10000.000
1bcu_ligand_245     -0.117  
1bcu_ligand_246     -3.418  
1bcu_ligand_249     -6.957  
1bcu_ligand_251     10000.000
1bcu_ligand_265     10000.000
1bcu_ligand_268     10000.000
1bcu_ligand_282     10000.000
1bcu_ligand_283     -1.850  
1bcu_ligand_289     -3.112  
1bcu_ligand_296     -5.781  
1bcu_ligand_298     10000.000
1bcu_ligand_304     10000.000
1bcu_ligand_307     10000.000
1bcu_ligand_317     10000.000
1bcu_ligand_319     -0.818  
1bcu_ligand_323     10000.000
1bcu_ligand_324     10000.000
1bcu_ligand_329     10000.000
1bcu_ligand_330     10000.000
1bcu_ligand_333     10000.000
1bcu_ligand_335     10000.000
1bcu_ligand_336     10000.000
1bcu_ligand_339     10000.000
1bcu_ligand_341     10000.000
1bcu_ligand_343     10000.000
1bcu_ligand_345     10000.000
1bcu_ligand_348     10000.000
1bcu_ligand_350     10000.000
1bcu_ligand_356     -2.651  
1bcu_ligand_359     -2.857  
1bcu_ligand_361     -2.825  
1bcu_ligand_362     -3.479  
1bcu_ligand_364     -2.837  
1bcu_ligand_365     -0.178  
1bcu_ligand_366     -3.414  
1bcu_ligand_368     0.405   
1bcu_ligand_371     -0.711  
1bcu_ligand_372     -2.944  
1bcu_ligand_373     -3.692  
1bcu_ligand_374     10000.000
1bcu_ligand_375     -2.379  
1bcu_ligand_376     -3.538  
1bcu_ligand_378     10000.000
1bcu_ligand_379     0.932   
1bcu_ligand_381     -0.232  
1bcu_ligand_383     -0.424  
1bcu_ligand_384     10000.000
1bcu_ligand_385     -1.564  
1bcu_ligand_386     -1.505  
1bcu_ligand_388     -2.170  
1bcu_ligand_389     -2.308  
1bcu_ligand_391     -2.382  
1bcu_ligand_392     -2.702  
1bcu_ligand_393     -1.861  
1bcu_ligand_394     -2.702  
1bcu_ligand_395     1.614   
1bcu_ligand_396     -2.579  
1bcu_ligand_397     -2.335  
1bcu_ligand_398     -0.613  
1bcu_ligand_399     -0.518  
1bcu_ligand_400     -0.938  
1bcu_ligand_403     -3.674  
1bcu_ligand_405     10000.000
1bcu_ligand_410     -1.871  
1bcu_ligand_426     10000.000
1bcu_ligand_427     -4.718  
1bcu_ligand_431     -2.176  
1bcu_ligand_434     -3.827  
1bcu_ligand_437     -1.713  
1bcu_ligand_438     -3.220  
1bcu_ligand_444     10000.000
1bcu_ligand_446     10000.000
1bcu_ligand_447     0.246   
1bcu_ligand_470     -7.303  
1bcu_ligand_476     -5.707  
1bcu_ligand_481     -3.697  
1bcu_ligand_487     10000.000
1bcu_ligand_488     -4.952  
1bcu_ligand_489     -4.145  
1bcu_ligand_493     10000.000
1bcu_ligand_496     -3.909  
1bzc_ligand_102     -5.133  
1bzc_ligand_109     -3.122  
1bzc_ligand_113     -6.517  
1bzc_ligand_138     -4.951  
1bzc_ligand_144     -6.712  
1bzc_ligand_158     10000.000
1bzc_ligand_161     10000.000
1bzc_ligand_162     10000.000
1bzc_ligand_166     10000.000
1bzc_ligand_172     10000.000
1bzc_ligand_173     10000.000
1bzc_ligand_178     10000.000
1bzc_ligand_18      10000.000
1bzc_ligand_180     10000.000
1bzc_ligand_182     10000.000
1bzc_ligand_188     10000.000
1bzc_ligand_190     10000.000
1bzc_ligand_191     10000.000
1bzc_ligand_193     10000.000
1bzc_ligand_194     10000.000
1bzc_ligand_195     10000.000
1bzc_ligand_196     10000.000
1bzc_ligand_201     10000.000
1bzc_ligand_203     10000.000
1bzc_ligand_204     10000.000
1bzc_ligand_205     10000.000
1bzc_ligand_207     10000.000
1bzc_ligand_208     10000.000
1bzc_ligand_211     10000.000
1bzc_ligand_214     10000.000
1bzc_ligand_215     2.399   
1bzc_ligand_217     10000.000
1bzc_ligand_220     10000.000
1bzc_ligand_223     10000.000
1bzc_ligand_224     10000.000
1bzc_ligand_227     10000.000
1bzc_ligand_230     10000.000
1bzc_ligand_236     10000.000
1bzc_ligand_238     10000.000
1bzc_ligand_241     10000.000
1bzc_ligand_242     10000.000
1bzc_ligand_243     10000.000
1bzc_ligand_245     10000.000
1bzc_ligand_247     10000.000
1bzc_ligand_248     10000.000
1bzc_ligand_249     10000.000
1bzc_ligand_25      -6.849  
1bzc_ligand_250     10000.000
1bzc_ligand_254     10000.000
1bzc_ligand_255     10000.000
1bzc_ligand_257     10000.000
1bzc_ligand_258     10000.000
1bzc_ligand_260     10000.000
1bzc_ligand_261     10000.000
1bzc_ligand_263     10000.000
1bzc_ligand_264     10000.000
1bzc_ligand_266     10000.000
1bzc_ligand_267     10000.000
1bzc_ligand_271     10000.000
1bzc_ligand_277     10000.000
1bzc_ligand_278     10000.000
1bzc_ligand_286     10000.000
1bzc_ligand_287     10000.000
1bzc_ligand_292     10000.000
1bzc_ligand_294     10000.000
1bzc_ligand_295     10000.000
1bzc_ligand_299     10000.000
1bzc_ligand_303     10000.000
1bzc_ligand_305     10000.000
1bzc_ligand_312     10000.000
1bzc_ligand_319     10000.000
1bzc_ligand_322     10000.000
1bzc_ligand_328     10000.000
1bzc_ligand_330     10000.000
1bzc_ligand_334     10000.000
1bzc_ligand_335     10000.000
1bzc_ligand_337     10000.000
1bzc_ligand_342     10000.000
1bzc_ligand_344     10000.000
1bzc_ligand_345     10000.000
1bzc_ligand_347     10000.000
1bzc_ligand_349     10000.000
1bzc_ligand_353     10000.000
1bzc_ligand_367     3.291   
1bzc_ligand_369     -3.437  
1bzc_ligand_371     10000.000
1bzc_ligand_387     2.328   
1bzc_ligand_410     10000.000
1bzc_ligand_423     10000.000
1bzc_ligand_442     10000.000
1bzc_ligand_459     0.107   
1bzc_ligand_47      10000.000
1bzc_ligand_479     10000.000
1bzc_ligand_61      10000.000
1bzc_ligand_63      10000.000
1bzc_ligand_76      -5.297  
1bzc_ligand_80      10000.000
1bzc_ligand_84      -4.519  
1bzc_ligand_95      -6.255  
1bzc_ligand_99      10000.000
1c5z_ligand_138     -3.835  
1c5z_ligand_151     10000.000
