#code_ligand_num    score   
1a30_ligand_1       -73.23  
1a30_ligand_101     -37.05  
1a30_ligand_104     -54.38  
1a30_ligand_108     -21.15  
1a30_ligand_109     13.25   
1a30_ligand_114     -15.37  
1a30_ligand_121     -15.04  
1a30_ligand_126     -6.31   
1a30_ligand_132     5.77    
1a30_ligand_135     -12.81  
1a30_ligand_139     10.40   
1a30_ligand_145     -1.71   
1a30_ligand_16      4.22    
1a30_ligand_160     -202.59 
1a30_ligand_163     -285.35 
1a30_ligand_165     -87.70  
1a30_ligand_167     -159.52 
1a30_ligand_17      -84.76  
1a30_ligand_18      -24.93  
1a30_ligand_184     -550.77 
1a30_ligand_194     -267.26 
1a30_ligand_198     -206.00 
1a30_ligand_201     -135.66 
1a30_ligand_202     -42.35  
1a30_ligand_203     -189.86 
1a30_ligand_204     -173.15 
1a30_ligand_207     -1550.92
1a30_ligand_217     -69.62  
1a30_ligand_219     -462.40 
1a30_ligand_22      -94.68  
1a30_ligand_220     -197.19 
1a30_ligand_221     -253.01 
1a30_ligand_227     -152.15 
1a30_ligand_230     -90.28  
1a30_ligand_236     -31.45  
1a30_ligand_240     -237.00 
1a30_ligand_242     -180.69 
1a30_ligand_249     -330.22 
1a30_ligand_250     -89.84  
1a30_ligand_255     -102.97 
1a30_ligand_26      -4.39   
1a30_ligand_264     -210.28 
1a30_ligand_265     -147.93 
1a30_ligand_266     -216.36 
1a30_ligand_269     -268.06 
1a30_ligand_27      -29.97  
1a30_ligand_278     -187.17 
1a30_ligand_280     -208.15 
1a30_ligand_285     -194.73 
1a30_ligand_291     -365.46 
1a30_ligand_294     -94.37  
1a30_ligand_295     -162.89 
1a30_ligand_296     -177.00 
1a30_ligand_297     -179.06 
1a30_ligand_3       -31.87  
1a30_ligand_302     -378.30 
1a30_ligand_304     -80.40  
1a30_ligand_310     -88.90  
1a30_ligand_314     -85.25  
1a30_ligand_315     -59.43  
1a30_ligand_319     -115.72 
1a30_ligand_320     -87.91  
1a30_ligand_321     -179.32 
1a30_ligand_322     -351.03 
1a30_ligand_324     -273.00 
1a30_ligand_327     -232.57 
1a30_ligand_330     -251.36 
1a30_ligand_334     -602.57 
1a30_ligand_335     -200.85 
1a30_ligand_338     -74.43  
1a30_ligand_339     -73.03  
1a30_ligand_347     -232.06 
1a30_ligand_349     -490.86 
1a30_ligand_35      -54.00  
1a30_ligand_372     -6.12   
1a30_ligand_380     10.31   
1a30_ligand_393     36.32   
1a30_ligand_395     39.27   
1a30_ligand_40      -44.40  
1a30_ligand_41      -25.27  
1a30_ligand_413     25.43   
1a30_ligand_416     32.82   
1a30_ligand_439     36.35   
1a30_ligand_443     42.00   
1a30_ligand_451     43.32   
1a30_ligand_454     28.83   
1a30_ligand_474     40.70   
1a30_ligand_49      -11.77  
1a30_ligand_490     40.21   
1a30_ligand_56      6.82    
1a30_ligand_58      -51.62  
1a30_ligand_6       -28.36  
1a30_ligand_67      -32.85  
1a30_ligand_71      -46.44  
1a30_ligand_72      -1397.74
1a30_ligand_86      -33.43  
1a30_ligand_94      -37.29  
1a30_ligand_96      -69.74  
1a30_ligand_98      -31.11  
1a30_ligand_99      -5.52   
1bcu_ligand_153     10.14   
1bcu_ligand_172     -15.39  
1bcu_ligand_179     -2.10   
1bcu_ligand_180     -45.74  
1bcu_ligand_197     24.33   
1bcu_ligand_205     8.19    
1bcu_ligand_218     26.16   
