#code_ligand_num    score   
1a30_ligand_102     5.35    
1a30_ligand_104     -19.89  
1a30_ligand_105     -6931.88
1a30_ligand_107     -32.59  
1a30_ligand_111     -14.56  
1a30_ligand_116     -0.63   
1a30_ligand_122     -15.80  
1a30_ligand_123     -84.62  
1a30_ligand_124     -13.28  
1a30_ligand_130     18.25   
1a30_ligand_141     -27.44  
1a30_ligand_144     -20.54  
1a30_ligand_147     -22.67  
1a30_ligand_15      -19.00  
1a30_ligand_150     -27.05  
1a30_ligand_153     -622.11 
1a30_ligand_161     -231.83 
1a30_ligand_173     -225.67 
1a30_ligand_174     -165.58 
1a30_ligand_175     -235.34 
1a30_ligand_178     -36.48  
1a30_ligand_18      -49.13  
1a30_ligand_181     -228.57 
1a30_ligand_185     -508.01 
1a30_ligand_186     -202.93 
1a30_ligand_201     -152.40 
1a30_ligand_202     -99.72  
1a30_ligand_206     -207.85 
1a30_ligand_207     -225.37 
1a30_ligand_208     -131.78 
1a30_ligand_209     -249.79 
1a30_ligand_21      -14.40  
1a30_ligand_210     -46.51  
1a30_ligand_211     -130.79 
1a30_ligand_213     -126.96 
1a30_ligand_216     -195.54 
1a30_ligand_217     -110.94 
1a30_ligand_221     -542.96 
1a30_ligand_222     -86.13  
1a30_ligand_223     -45.85  
1a30_ligand_226     -5637.85
1a30_ligand_228     -341.04 
1a30_ligand_231     -43.04  
1a30_ligand_232     -276.17 
1a30_ligand_237     -288.93 
1a30_ligand_238     -129.10 
1a30_ligand_241     -36.52  
1a30_ligand_243     -15280.51
1a30_ligand_245     -138.90 
1a30_ligand_246     -99.20  
1a30_ligand_247     -156.74 
1a30_ligand_249     -168.06 
1a30_ligand_250     -66.50  
1a30_ligand_259     -269.03 
1a30_ligand_26      -102.94 
1a30_ligand_261     -200.02 
1a30_ligand_278     -505.02 
1a30_ligand_280     -362.87 
1a30_ligand_287     -160.98 
1a30_ligand_292     -155.59 
1a30_ligand_294     -105.40 
1a30_ligand_297     -402.08 
1a30_ligand_301     -200.12 
1a30_ligand_322     -384.66 
1a30_ligand_328     -212.41 
1a30_ligand_329     -368.80 
1a30_ligand_33      -20.13  
