#code_ligand_num    score   
1a30_ligand_1       -66.26  
1a30_ligand_105     16.34   
1a30_ligand_106     -12.60  
1a30_ligand_119     -26.26  
1a30_ligand_122     -49.63  
1a30_ligand_134     -36.25  
1a30_ligand_142     -10.74  
1a30_ligand_144     -4124.75
1a30_ligand_147     -13.32  
1a30_ligand_15      -23.10  
1a30_ligand_156     -187.21 
1a30_ligand_166     -130.26 
1a30_ligand_18      -31.35  
1a30_ligand_190     -223.62 
1a30_ligand_191     -181.36 
1a30_ligand_20      -4.68   
1a30_ligand_200     -185.80 
1a30_ligand_202     -239.45 
1a30_ligand_204     -167.62 
1a30_ligand_206     -107.78 
1a30_ligand_208     -119.93 
1a30_ligand_21      -67.76  
1a30_ligand_210     -2917.08
1a30_ligand_211     -211.34 
1a30_ligand_212     -367.19 
1a30_ligand_214     -115.60 
1a30_ligand_215     -224.84 
1a30_ligand_216     -1653.98
1a30_ligand_217     -66.79  
1a30_ligand_218     -190.25 
1a30_ligand_219     -72.67  
1a30_ligand_220     -107.81 
1a30_ligand_221     -54.62  
1a30_ligand_223     -229.27 
1a30_ligand_226     -132.73 
1a30_ligand_227     -138.47 
1a30_ligand_229     -247.66 
1a30_ligand_23      -22033.20
1a30_ligand_232     -2967.90
1a30_ligand_234     -109.30 
1a30_ligand_236     -324.36 
1a30_ligand_237     -178.12 
1a30_ligand_238     -329.14 
1a30_ligand_240     -501.46 
1a30_ligand_241     -8553.68
1a30_ligand_243     -184.71 
1a30_ligand_244     -293.52 
1a30_ligand_245     -108.85 
1a30_ligand_259     -389.58 
1a30_ligand_26      -48.41  
1a30_ligand_265     -129.17 
1a30_ligand_266     -177.04 
1a30_ligand_272     -153.67 
1a30_ligand_273     -293.64 
1a30_ligand_274     -226.71 
1a30_ligand_278     -89.79  
1a30_ligand_29      -46.60  
1a30_ligand_296     -113.49 
1a30_ligand_3       -58.34  
1a30_ligand_302     -109.21 
1a30_ligand_305     -254.59 
1a30_ligand_307     -220.24 
1a30_ligand_310     -151.71 
1a30_ligand_315     -370.86 
1a30_ligand_317     -177.21 
1a30_ligand_327     -335.57 
1a30_ligand_33      -9648.45
1a30_ligand_333     -234.86 
1a30_ligand_340     -202.61 
1a30_ligand_341     -197.27 
1a30_ligand_342     -311.27 
1a30_ligand_346     -138.88 
1a30_ligand_350     -285.89 
1a30_ligand_352     8.55    
1a30_ligand_39      -53.28  
1a30_ligand_393     37.66   
1a30_ligand_395     37.18   
1a30_ligand_396     20.62   
1a30_ligand_397     16.16   
1a30_ligand_399     27.23   
1a30_ligand_419     42.97   
1a30_ligand_427     27.34   
1a30_ligand_430     26.10   
1a30_ligand_436     21.52   
1a30_ligand_447     42.69   
1a30_ligand_456     39.19   
1a30_ligand_46      -43.17  
1a30_ligand_495     32.09   
1a30_ligand_52      -62.14  
1a30_ligand_67      -24.93  
1a30_ligand_7       -31.55  
1a30_ligand_71      -1448.15
1a30_ligand_72      -33.89  
1a30_ligand_73      -58.97  
1a30_ligand_8       -15139.42
1a30_ligand_84      -20.25  
1a30_ligand_86      -6.78   
1a30_ligand_88      -60.84  
1a30_ligand_94      -6.19   
1a30_ligand_99      -26.39  
1bcu_ligand_195     -7.92   
1bcu_ligand_202     25.18   
1bcu_ligand_213     21.77   
1bcu_ligand_214     26.59   
1bcu_ligand_217     21.41   
1bcu_ligand_219     31.12   
1bcu_ligand_221     16.41   
1bcu_ligand_222     24.00   
1bcu_ligand_229     -4.78   
1bcu_ligand_231     17.28   
1bcu_ligand_240     -1.43   
1bcu_ligand_268     22.04   
1bcu_ligand_271     5.64    
1bcu_ligand_277     21.29   
1bcu_ligand_285     25.01   
1bcu_ligand_287     14.13   
1bcu_ligand_289     14.69   
1bcu_ligand_300     23.32   
1bcu_ligand_301     -0.83   
1bcu_ligand_302     5.20    
1bcu_ligand_308     13.59   
1bcu_ligand_310     7.57    
1bcu_ligand_311     19.79   
1bcu_ligand_323     -29.20  
1bcu_ligand_332     12.79   
1bcu_ligand_335     10.16   
1bcu_ligand_341     0.71    
1bcu_ligand_345     20.42   
1bcu_ligand_350     2.43    
1bcu_ligand_351     32.39   
1bcu_ligand_352     32.50   
1bcu_ligand_353     33.63   
1bcu_ligand_355     32.01   
1bcu_ligand_356     28.80   
1bcu_ligand_358     25.56   
1bcu_ligand_359     34.17   
1bcu_ligand_360     27.59   
1bcu_ligand_362     27.19   
1bcu_ligand_363     23.93   
1bcu_ligand_365     21.07   
1bcu_ligand_367     25.33   
1bcu_ligand_368     21.29   
1bcu_ligand_370     23.45   
1bcu_ligand_371     -2738.60
1bcu_ligand_372     -15121.96
1bcu_ligand_373     13.08   
1bcu_ligand_374     -8238.29
1bcu_ligand_375     -1360.12
1bcu_ligand_376     15.86   
1bcu_ligand_378     15.72   
1bcu_ligand_380     20.52   
1bcu_ligand_381     -1357.63
1bcu_ligand_383     11.09   
1bcu_ligand_385     -1356.03
1bcu_ligand_386     16.22   
1bcu_ligand_387     10.54   
1bcu_ligand_388     22.20   
1bcu_ligand_389     13.80   
1bcu_ligand_390     9.94    
1bcu_ligand_392     10.93   
1bcu_ligand_393     11.59   
1bcu_ligand_394     -2734.74
1bcu_ligand_395     15.62   
1bcu_ligand_396     -1356.49
1bcu_ligand_397     15.93   
1bcu_ligand_398     -1363.98
1bcu_ligand_407     31.94   
1bcu_ligand_412     34.78   
1bcu_ligand_414     36.36   
1bcu_ligand_417     26.49   
1bcu_ligand_420     35.36   
1bcu_ligand_421     33.81   
1bcu_ligand_422     31.25   
1bcu_ligand_425     31.78   
1bcu_ligand_432     27.25   
1bcu_ligand_435     33.89   
1bcu_ligand_436     35.53   
1bcu_ligand_437     23.95   
1bcu_ligand_442     27.85   
1bcu_ligand_445     35.49   
1bcu_ligand_446     26.50   
1bcu_ligand_447     18.88   
1bcu_ligand_448     28.90   
1bcu_ligand_449     21.68   
1bcu_ligand_45      28.14   
1bcu_ligand_450     28.85   
1bcu_ligand_451     37.36   
1bcu_ligand_454     37.67   
1bcu_ligand_464     33.98   
1bcu_ligand_467     29.37   
1bcu_ligand_471     35.38   
1bcu_ligand_479     26.68   
1bcu_ligand_480     20.51   
1bcu_ligand_485     35.90   
1bcu_ligand_49      30.68   
1bcu_ligand_493     31.96   
1bcu_ligand_495     30.56   
1bcu_ligand_497     32.17   
1bcu_ligand_79      21.86   
1bcu_ligand_88      28.19   
1bzc_ligand_108     29.46   
1bzc_ligand_132     34.52   
1bzc_ligand_142     34.17   
1bzc_ligand_151     -173.20 
1bzc_ligand_163     -108.72 
1bzc_ligand_164     -223.82 
