#code_ligand_num    score   
1a30_ligand_102     -214.19 
1a30_ligand_103     -174.06 
1a30_ligand_105     -134.93 
1a30_ligand_106     -32.61  
1a30_ligand_108     -112.29 
1a30_ligand_11      -68.57  
1a30_ligand_111     -100.73 
1a30_ligand_113     -134.77 
1a30_ligand_114     -94.75  
1a30_ligand_117     -95.88  
1a30_ligand_126     -89.87  
1a30_ligand_128     -116.70 
1a30_ligand_129     -67.02  
1a30_ligand_13      -110.99 
1a30_ligand_130     -193.69 
1a30_ligand_132     -68.87  
1a30_ligand_133     -136.35 
1a30_ligand_136     -95.37  
1a30_ligand_142     -140.66 
1a30_ligand_143     -65.80  
1a30_ligand_146     -135.80 
1a30_ligand_175     -373.58 
1a30_ligand_183     -389.94 
1a30_ligand_185     -241.64 
1a30_ligand_187     -724.12 
1a30_ligand_19      -258.51 
1a30_ligand_192     -493.18 
1a30_ligand_195     -320.87 
1a30_ligand_199     -597.50 
1a30_ligand_202     -390.39 
1a30_ligand_204     -233.24 
1a30_ligand_205     -258.85 
1a30_ligand_206     -384.26 
1a30_ligand_212     -197.94 
1a30_ligand_216     -286.02 
1a30_ligand_223     -386.64 
1a30_ligand_225     -495.49 
1a30_ligand_226     -289.85 
1a30_ligand_228     -222.40 
1a30_ligand_230     -214.45 
1a30_ligand_233     -316.77 
1a30_ligand_234     -381.55 
1a30_ligand_237     -204.68 
1a30_ligand_240     -361.51 
1a30_ligand_242     -284.97 
1a30_ligand_25      -84.01  
1a30_ligand_253     -345.71 
1a30_ligand_258     -592.22 
1a30_ligand_268     -342.33 
1a30_ligand_27      -157.89 
1a30_ligand_279     -394.60 
1a30_ligand_280     -409.06 
1a30_ligand_282     -344.41 
1a30_ligand_285     -344.62 
1a30_ligand_286     -552.78 
1a30_ligand_288     -297.13 
1a30_ligand_289     -310.51 
1a30_ligand_293     -277.49 
1a30_ligand_297     -482.14 
1a30_ligand_298     -571.28 
1a30_ligand_300     -339.58 
1a30_ligand_301     -520.24 
1a30_ligand_312     -289.86 
1a30_ligand_315     -427.30 
1a30_ligand_316     -315.08 
1a30_ligand_319     -291.61 
1a30_ligand_325     -361.96 
1a30_ligand_332     -582.97 
1a30_ligand_335     -396.51 
1a30_ligand_342     -271.35 
1a30_ligand_347     -368.76 
1a30_ligand_350     -331.10 
1a30_ligand_366     -27.51  
1a30_ligand_378     0.07    
1a30_ligand_380     19.72   
1a30_ligand_394     43.47   
1a30_ligand_397     28.65   
1a30_ligand_398     13.65   
1a30_ligand_41      -252.72 
1a30_ligand_42      -234.44 
1a30_ligand_430     8.63    
1a30_ligand_447     51.04   
1a30_ligand_49      -123.11 
1a30_ligand_52      -108.94 
1a30_ligand_54      -87.97  
1a30_ligand_59      -184.95 
1a30_ligand_62      -162.60 
1a30_ligand_65      -263.74 
1a30_ligand_7       -164.32 
1a30_ligand_72      -222.83 
1a30_ligand_75      -203.06 
1a30_ligand_78      -119.66 
1a30_ligand_79      -39.21  
1a30_ligand_80      -84.43  
1a30_ligand_81      -287.88 
1a30_ligand_83      -238.86 
1a30_ligand_85      -211.44 
1a30_ligand_88      -86.70  
1a30_ligand_97      -245.78 
1a30_ligand_99      -165.71 
1bcu_ligand_102     28.41   
1bcu_ligand_153     -79.29  
1bcu_ligand_154     -111.61 
1bcu_ligand_155     -81.05  
1bcu_ligand_157     -94.35  
1bcu_ligand_159     -94.99  
1bcu_ligand_164     -116.12 
1bcu_ligand_177     -158.56 
1bcu_ligand_181     -85.67  
1bcu_ligand_183     -112.96 
1bcu_ligand_185     -65.62  
1bcu_ligand_189     -84.29  
1bcu_ligand_190     -177.71 
1bcu_ligand_191     -106.97 
1bcu_ligand_193     -11.37  
1bcu_ligand_194     -25.76  
1bcu_ligand_195     -141.48 
1bcu_ligand_196     -25.22  
1bcu_ligand_198     -38.73  
1bcu_ligand_199     -240.23 
1bcu_ligand_202     -5.83   
1bcu_ligand_205     -30.63  
1bcu_ligand_206     5.49    
1bcu_ligand_216     -30.66  
1bcu_ligand_217     -35.94  
1bcu_ligand_225     -49.71  
1bcu_ligand_226     -12.82  
1bcu_ligand_234     -22.31  
1bcu_ligand_238     -89.47  
1bcu_ligand_240     -75.57  
1bcu_ligand_241     -45.28  
1bcu_ligand_242     -19.09  
1bcu_ligand_244     -49.61  
1bcu_ligand_246     -20.90  
1bcu_ligand_247     -36.67  
1bcu_ligand_248     -7.68   
1bcu_ligand_249     -11.77  
1bcu_ligand_250     -38.74  
1bcu_ligand_257     -20.22  
1bcu_ligand_259     -32.00  
1bcu_ligand_266     -86.88  
1bcu_ligand_269     -67.68  
1bcu_ligand_275     -136.86 
1bcu_ligand_282     -109.33 
1bcu_ligand_283     -36.19  
1bcu_ligand_286     -131.10 
1bcu_ligand_288     -66.39  
1bcu_ligand_289     -19.75  
1bcu_ligand_293     -65.33  
1bcu_ligand_294     -46.57  
1bcu_ligand_296     -100.07 
1bcu_ligand_297     -89.59  
1bcu_ligand_311     2.79    
1bcu_ligand_314     -29.03  
1bcu_ligand_325     -5.88   
1bcu_ligand_330     -82.54  
1bcu_ligand_331     -51.05  
1bcu_ligand_334     -83.24  
1bcu_ligand_336     -43.88  
1bcu_ligand_338     -18.32  
1bcu_ligand_342     -122.61 
1bcu_ligand_344     -15.42  
1bcu_ligand_347     -65.77  
1bcu_ligand_348     -24.16  
1bcu_ligand_350     -60.07  
1bcu_ligand_354     30.51   
1bcu_ligand_361     31.23   
1bcu_ligand_367     23.06   
1bcu_ligand_371     30.67   
1bcu_ligand_373     18.82   
1bcu_ligand_375     24.42   
1bcu_ligand_376     29.20   
1bcu_ligand_377     21.63   
1bcu_ligand_380     22.35   
1bcu_ligand_382     18.91   
1bcu_ligand_383     28.04   
1bcu_ligand_386     19.80   
1bcu_ligand_388     12.96   
1bcu_ligand_389     29.46   
1bcu_ligand_390     21.45   
1bcu_ligand_392     9.79    
1bcu_ligand_393     26.73   
1bcu_ligand_395     16.91   
1bcu_ligand_398     26.63   
1bcu_ligand_399     21.75   
1bcu_ligand_400     21.90   
1bcu_ligand_421     31.00   
1bcu_ligand_422     -8.39   
1bcu_ligand_433     27.27   
1bcu_ligand_440     26.85   
1bcu_ligand_455     37.28   
1bcu_ligand_471     32.06   
1bcu_ligand_475     36.77   
1bcu_ligand_478     33.03   
1bcu_ligand_482     26.69   
1bcu_ligand_499     -16.05  
1bcu_ligand_57      35.97   
1bcu_ligand_69      19.03   
1bcu_ligand_70      34.70   
1bcu_ligand_88      6.01    
1bzc_ligand_1       -32.71  
1bzc_ligand_100     -80.91  
1bzc_ligand_101     23.51   
1bzc_ligand_109     36.63   
1bzc_ligand_112     -0.71   
1bzc_ligand_114     -1379.13
1bzc_ligand_125     25.68   
1bzc_ligand_135     -1362.92
1bzc_ligand_155     -564.35 
1bzc_ligand_159     -346.35 
1bzc_ligand_162     -441.15 
1bzc_ligand_163     -265.04 
1bzc_ligand_164     -512.42 
1bzc_ligand_168     -418.78 
1bzc_ligand_171     -259.66 
1bzc_ligand_175     -368.55 
1bzc_ligand_181     -454.38 
1bzc_ligand_185     -428.38 
1bzc_ligand_186     -204.99 
1bzc_ligand_187     -388.77 
1bzc_ligand_191     -318.22 
1bzc_ligand_193     -281.10 
1bzc_ligand_194     -202.21 
1bzc_ligand_198     -282.28 
1bzc_ligand_200     -210.02 
1bzc_ligand_202     -1404.09
1bzc_ligand_204     -48.35  
1bzc_ligand_206     -1491.18
1bzc_ligand_207     -81.42  
1bzc_ligand_208     -79.69  
1bzc_ligand_210     -175.93 
1bzc_ligand_215     -130.12 
1bzc_ligand_220     -102.86 
1bzc_ligand_221     -161.94 
1bzc_ligand_225     -125.00 
1bzc_ligand_226     -106.18 
1bzc_ligand_227     -265.12 
1bzc_ligand_229     -16.44  
1bzc_ligand_231     -131.71 
1bzc_ligand_232     -110.59 
1bzc_ligand_234     -393.31 
1bzc_ligand_235     -229.06 
1bzc_ligand_236     -138.01 
1bzc_ligand_237     -164.95 
1bzc_ligand_238     -148.09 
1bzc_ligand_239     -262.93 
1bzc_ligand_240     -136.01 
1bzc_ligand_241     -233.93 
1bzc_ligand_245     -61.66  
1bzc_ligand_247     -101.02 
1bzc_ligand_249     -268.23 
1bzc_ligand_250     -117.07 
1bzc_ligand_257     -183.61 
1bzc_ligand_268     -119.84 
1bzc_ligand_276     -220.89 
1bzc_ligand_277     -515.61 
1bzc_ligand_278     -359.66 
1bzc_ligand_279     -108.98 
1bzc_ligand_28      -18.28  
1bzc_ligand_280     -265.33 
1bzc_ligand_283     -251.52 
1bzc_ligand_286     -144.48 
1bzc_ligand_291     -134.40 
1bzc_ligand_297     -462.35 
1bzc_ligand_307     -413.44 
1bzc_ligand_323     -87.60  
1bzc_ligand_324     -182.51 
1bzc_ligand_338     -237.03 
1bzc_ligand_342     -411.39 
1bzc_ligand_343     -359.54 
1bzc_ligand_347     -205.07 
1bzc_ligand_348     -110.74 
1bzc_ligand_358     56.00   
1bzc_ligand_363     15.84   
1bzc_ligand_369     54.81   
1bzc_ligand_372     -1366.32
1bzc_ligand_378     31.98   
1bzc_ligand_381     53.68   
1bzc_ligand_383     12.50   
1bzc_ligand_384     37.61   
1bzc_ligand_387     14.18   
1bzc_ligand_394     -28.81  
1bzc_ligand_398     2.81    
1bzc_ligand_400     -1.71   
1bzc_ligand_404     43.36   
1bzc_ligand_437     51.12   
1bzc_ligand_438     -1407.53
1bzc_ligand_443     -5466.04
1bzc_ligand_449     -1489.62
1bzc_ligand_453     66.65   
1bzc_ligand_46      -67.76  
1bzc_ligand_5       -6.22   
1bzc_ligand_52      32.70   
1bzc_ligand_53      -11.75  
1bzc_ligand_54      31.22   
1bzc_ligand_65      3.86    
1bzc_ligand_77      -18.00  
1bzc_ligand_84      23.86   
1bzc_ligand_86      -11.76  
1bzc_ligand_88      -30.76  
1c5z_ligand_115     17.83   
1c5z_ligand_12      24.17   
1c5z_ligand_139     22.58   
1c5z_ligand_158     8.53    
1c5z_ligand_163     -14.28  
1c5z_ligand_168     27.35   
1c5z_ligand_170     6.04    
1c5z_ligand_174     22.67   
1c5z_ligand_178     27.17   
1c5z_ligand_185     29.17   
1c5z_ligand_187     -8.49   
1c5z_ligand_189     -6.05   
1c5z_ligand_195     -38.04  
1c5z_ligand_196     -10.74  
1c5z_ligand_201     9.04    
1c5z_ligand_202     -20.86  
1c5z_ligand_204     17.59   
1c5z_ligand_206     -23.54  
1c5z_ligand_207     21.44   
1c5z_ligand_209     -23.91  
1c5z_ligand_210     -19.33  
1c5z_ligand_214     21.44   
1c5z_ligand_215     -23.91  
1c5z_ligand_216     -20.82  
1c5z_ligand_217     -20.00  
1c5z_ligand_22      5.42    
1c5z_ligand_221     -38.04  
1c5z_ligand_225     -20.10  
1c5z_ligand_229     16.40   
1c5z_ligand_230     13.49   
1c5z_ligand_235     -22.70  
1c5z_ligand_236     -16.89  
1c5z_ligand_238     14.71   
1c5z_ligand_242     18.15   
1c5z_ligand_243     21.54   
1c5z_ligand_246     9.96    
1c5z_ligand_247     -13.60  
1c5z_ligand_248     -12.09  
1c5z_ligand_249     -15.39  
1c5z_ligand_251     22.95   
1c5z_ligand_257     -13.41  
1c5z_ligand_259     -17.35  
1c5z_ligand_261     -8.14   
1c5z_ligand_263     -77.29  
1c5z_ligand_266     -36.07  
1c5z_ligand_269     -8.57   
1c5z_ligand_270     27.39   
1c5z_ligand_271     10.71   
1c5z_ligand_274     -7.86   
1c5z_ligand_275     1.51    
1c5z_ligand_276     22.38   
1c5z_ligand_278     -31.74  
1c5z_ligand_280     6.61    
1c5z_ligand_284     13.38   
1c5z_ligand_285     21.54   
1c5z_ligand_286     18.76   
1c5z_ligand_288     -12.13  
1c5z_ligand_290     28.62   
1c5z_ligand_295     -10.69  
1c5z_ligand_296     -14.78  
1c5z_ligand_298     24.21   
1c5z_ligand_299     -45.78  
1c5z_ligand_3       -10.87  
1c5z_ligand_303     9.75    
1c5z_ligand_305     -11.42  
1c5z_ligand_308     -18.84  
1c5z_ligand_311     -31.98  
1c5z_ligand_313     -31.50  
1c5z_ligand_314     -10.52  
1c5z_ligand_32      22.85   
1c5z_ligand_323     18.23   
1c5z_ligand_325     0.32    
1c5z_ligand_329     -13.84  
1c5z_ligand_332     21.61   
1c5z_ligand_333     4.68    
1c5z_ligand_334     -36.26  
1c5z_ligand_335     19.23   
1c5z_ligand_336     -9.34   
1c5z_ligand_339     -94.61  
1c5z_ligand_340     -50.46  
1c5z_ligand_343     -20.71  
1c5z_ligand_346     -51.63  
1c5z_ligand_348     -24.62  
1c5z_ligand_350     -43.76  
1c5z_ligand_352     21.32   
1c5z_ligand_390     26.86   
1c5z_ligand_393     19.88   
1c5z_ligand_394     17.40   
1c5z_ligand_400     15.85   
1c5z_ligand_42      17.40   
1c5z_ligand_435     25.41   
1c5z_ligand_448     22.57   
1c5z_ligand_450     22.05   
1c5z_ligand_48      21.86   
1c5z_ligand_57      19.69   
1c5z_ligand_61      14.00   
1c5z_ligand_69      24.74   
1c5z_ligand_70      12.43   
1c5z_ligand_8       -5.62   
1c5z_ligand_96      20.00   
1e66_ligand_159     -180.09 
1e66_ligand_160     -170.01 
1e66_ligand_162     -285.92 
1e66_ligand_170     -286.88 
1e66_ligand_171     -422.39 
1e66_ligand_173     -436.08 
1e66_ligand_174     -369.41 
1e66_ligand_175     -473.14 
1e66_ligand_176     -242.31 
1e66_ligand_178     -243.73 
1e66_ligand_180     -238.36 
1e66_ligand_181     -154.55 
1e66_ligand_183     -395.86 
1e66_ligand_186     -522.74 
1e66_ligand_187     -236.22 
1e66_ligand_188     -350.91 
1e66_ligand_189     -271.14 
1e66_ligand_19      -103.11 
1e66_ligand_193     -268.86 
1e66_ligand_194     -508.91 
1e66_ligand_197     -438.78 
1e66_ligand_198     -397.70 
1e66_ligand_2       5.31    
1e66_ligand_200     -378.54 
1e66_ligand_201     -52.88  
1e66_ligand_204     -109.11 
