#code_ligand_num    score   
1a30_ligand_1       -33.27  
1a30_ligand_102     -5.34   
1a30_ligand_106     -78.92  
1a30_ligand_111     -61.35  
1a30_ligand_112     -7.50   
1a30_ligand_114     -60.40  
1a30_ligand_118     -114.82 
1a30_ligand_119     -58.63  
1a30_ligand_126     -12.42  
1a30_ligand_128     4.38    
1a30_ligand_13      -106.73 
1a30_ligand_15      -130.54 
1a30_ligand_157     -394.32 
1a30_ligand_162     -619.33 
1a30_ligand_165     -740.43 
1a30_ligand_166     -205.11 
1a30_ligand_172     -461.18 
1a30_ligand_173     -188.39 
1a30_ligand_175     -223.37 
1a30_ligand_176     -179.40 
1a30_ligand_179     -556.77 
1a30_ligand_185     -330.54 
1a30_ligand_187     -680.58 
1a30_ligand_192     -208.49 
1a30_ligand_193     -532.07 
1a30_ligand_20      -37.45  
1a30_ligand_202     -286.23 
1a30_ligand_203     -558.73 
1a30_ligand_207     -205.91 
1a30_ligand_209     -252.35 
1a30_ligand_210     -95.86  
1a30_ligand_212     -241.52 
1a30_ligand_215     -148.62 
1a30_ligand_217     -381.61 
1a30_ligand_220     -233.48 
1a30_ligand_223     -94.40  
1a30_ligand_225     -345.55 
1a30_ligand_226     -246.15 
1a30_ligand_227     -265.65 
1a30_ligand_229     -395.48 
1a30_ligand_23      -12.16  
1a30_ligand_232     -348.28 
1a30_ligand_235     -161.30 
1a30_ligand_236     -387.84 
1a30_ligand_242     -332.32 
1a30_ligand_243     -209.34 
1a30_ligand_244     -801.77 
1a30_ligand_246     -241.79 
1a30_ligand_249     -913.79 
1a30_ligand_260     -253.32 
1a30_ligand_267     -567.20 
1a30_ligand_270     -292.59 
1a30_ligand_272     -479.09 
1a30_ligand_274     -349.46 
1a30_ligand_275     -296.68 
1a30_ligand_277     -417.24 
1a30_ligand_28      -70.38  
1a30_ligand_280     -175.00 
1a30_ligand_281     -409.37 
1a30_ligand_287     -323.59 
1a30_ligand_289     -294.90 
1a30_ligand_294     -218.45 
1a30_ligand_295     -194.91 
1a30_ligand_296     -119.89 
1a30_ligand_298     -495.86 
1a30_ligand_300     -498.93 
1a30_ligand_306     -188.22 
1a30_ligand_33      -192.92 
1a30_ligand_330     -281.55 
1a30_ligand_338     -262.01 
1a30_ligand_340     -361.85 
1a30_ligand_342     -184.71 
1a30_ligand_350     -175.94 
1a30_ligand_36      -54.25  
1a30_ligand_360     21.74   
1a30_ligand_373     46.63   
1a30_ligand_379     45.63   
1a30_ligand_381     10.30   
1a30_ligand_389     40.84   
1a30_ligand_391     36.19   
1a30_ligand_399     39.60   
1a30_ligand_400     34.79   
1a30_ligand_416     44.53   
1a30_ligand_425     51.33   
1a30_ligand_427     0.92    
1a30_ligand_43      -103.00 
1a30_ligand_431     -13.23  
1a30_ligand_445     42.03   
1a30_ligand_446     42.03   
1a30_ligand_456     40.18   
1a30_ligand_46      2.70    
1a30_ligand_473     29.87   
1a30_ligand_493     -3.71   
1a30_ligand_56      -73.97  
1a30_ligand_59      -154.41 
1a30_ligand_64      -35.70  
1a30_ligand_71      -80.06  
1a30_ligand_73      -85.56  
1a30_ligand_75      -141.65 
1a30_ligand_99      -42.42  
1bcu_ligand_10      34.85   
1bcu_ligand_13      38.55   
1bcu_ligand_130     35.59   
1bcu_ligand_136     41.76   
1bcu_ligand_156     39.07   
1bcu_ligand_157     10.52   
1bcu_ligand_159     -24.07  
1bcu_ligand_17      40.53   
1bcu_ligand_173     15.09   
1bcu_ligand_177     34.72   
1bcu_ligand_178     6.20    
1bcu_ligand_179     12.31   
1bcu_ligand_184     -10.58  
1bcu_ligand_186     25.73   
1bcu_ligand_187     21.20   
1bcu_ligand_190     12.55   
1bcu_ligand_191     33.61   
1bcu_ligand_192     13.49   
1bcu_ligand_195     -18.88  
1bcu_ligand_197     -4.29   
1bcu_ligand_200     42.14   
1bcu_ligand_202     29.07   
1bcu_ligand_204     33.25   
1bcu_ligand_213     27.28   
1bcu_ligand_214     34.33   
1bcu_ligand_215     27.44   
1bcu_ligand_219     31.98   
1bcu_ligand_222     34.87   
1bcu_ligand_224     43.82   
1bcu_ligand_226     28.56   
1bcu_ligand_230     14.95   
1bcu_ligand_233     26.13   
1bcu_ligand_234     16.60   
1bcu_ligand_236     23.42   
1bcu_ligand_237     22.12   
1bcu_ligand_239     25.18   
1bcu_ligand_244     36.55   
1bcu_ligand_247     18.30   
1bcu_ligand_248     23.28   
1bcu_ligand_249     15.67   
1bcu_ligand_250     14.38   
1bcu_ligand_257     19.75   
1bcu_ligand_259     25.07   
1bcu_ligand_260     9.01    
1bcu_ligand_264     -36.03  
1bcu_ligand_270     1.18    
1bcu_ligand_274     1.05    
1bcu_ligand_277     -6.50   
1bcu_ligand_284     26.32   
1bcu_ligand_285     -0.75   
1bcu_ligand_286     4.53    
1bcu_ligand_287     -11.32  
1bcu_ligand_289     -24.77  
1bcu_ligand_292     15.58   
1bcu_ligand_296     33.06   
1bcu_ligand_297     27.15   
1bcu_ligand_298     -44.44  
1bcu_ligand_299     -25.80  
1bcu_ligand_300     -7.98   
1bcu_ligand_301     -0.12   
1bcu_ligand_303     -4.35   
1bcu_ligand_306     -10.13  
1bcu_ligand_309     17.02   
1bcu_ligand_310     3.15    
1bcu_ligand_311     -9.00   
1bcu_ligand_315     -48.58  
1bcu_ligand_319     23.01   
1bcu_ligand_320     2.68    
1bcu_ligand_323     -2.59   
1bcu_ligand_326     4.21    
1bcu_ligand_328     25.64   
1bcu_ligand_329     -0.69   
1bcu_ligand_330     8.40    
1bcu_ligand_331     12.01   
1bcu_ligand_333     -9.67   
1bcu_ligand_335     20.72   
1bcu_ligand_336     -21.91  
1bcu_ligand_337     4.71    
1bcu_ligand_338     20.11   
1bcu_ligand_339     4.00    
1bcu_ligand_343     10.56   
1bcu_ligand_344     -0.20   
1bcu_ligand_346     6.02    
1bcu_ligand_348     -37.56  
1bcu_ligand_35      34.27   
1bcu_ligand_363     47.23   
1bcu_ligand_374     40.69   
1bcu_ligand_377     43.09   
1bcu_ligand_383     42.22   
1bcu_ligand_385     42.54   
1bcu_ligand_392     40.97   
1bcu_ligand_395     36.44   
1bcu_ligand_399     30.58   
1bcu_ligand_414     43.53   
1bcu_ligand_438     46.53   
