#code_ligand_num    score   
1a30_ligand_1       -4186.42
1a30_ligand_101     -45.45  
1a30_ligand_122     -43.50  
1a30_ligand_123     6.70    
1a30_ligand_124     -38.94  
1a30_ligand_125     -0.56   
1a30_ligand_141     -20.42  
1a30_ligand_143     -55.62  
1a30_ligand_144     -9.93   
1a30_ligand_146     -29.80  
1a30_ligand_149     -14.40  
1a30_ligand_154     -174.28 
1a30_ligand_159     -100.15 
1a30_ligand_167     -140.59 
1a30_ligand_170     -301.30 
1a30_ligand_184     -253.21 
1a30_ligand_185     -215.82 
1a30_ligand_188     -283.99 
1a30_ligand_19      3.15    
1a30_ligand_195     -163.92 
1a30_ligand_196     -94.85  
1a30_ligand_197     -282.99 
1a30_ligand_198     -242.07 
1a30_ligand_20      -24.07  
1a30_ligand_201     -98.43  
1a30_ligand_203     -178.35 
1a30_ligand_204     -223.01 
1a30_ligand_205     -128.26 
1a30_ligand_206     -288.08 
1a30_ligand_207     -234.25 
1a30_ligand_210     -392.80 
1a30_ligand_213     -184.81 
1a30_ligand_214     -210.01 
1a30_ligand_215     -120.76 
1a30_ligand_219     -64.92  
1a30_ligand_222     -197.94 
1a30_ligand_229     -166.16 
1a30_ligand_232     -91.74  
1a30_ligand_236     -82.05  
1a30_ligand_237     -186.52 
1a30_ligand_238     -197.86 
1a30_ligand_239     -71.82  
1a30_ligand_240     -188.41 
1a30_ligand_241     -358.31 
1a30_ligand_242     -1529.24
1a30_ligand_243     -70.54  
1a30_ligand_246     -83.76  
1a30_ligand_253     -272.59 
1a30_ligand_264     -57.70  
1a30_ligand_267     -76.85  
1a30_ligand_27      -26.82  
1a30_ligand_274     -243.75 
1a30_ligand_276     -171.35 
1a30_ligand_279     -152.24 
1a30_ligand_282     -86.51  
1a30_ligand_290     -127.08 
1a30_ligand_293     -281.68 
1a30_ligand_3       -42.93  
1a30_ligand_304     -340.43 
1a30_ligand_306     -136.99 
1a30_ligand_31      -2.64   
1a30_ligand_313     -157.46 
1a30_ligand_315     -231.74 
1a30_ligand_316     -166.06 
1a30_ligand_322     -97.94  
1a30_ligand_333     -226.95 
1a30_ligand_340     -233.94 
1a30_ligand_341     -233.52 
1a30_ligand_346     -153.16 
1a30_ligand_347     -241.14 
1a30_ligand_349     -124.30 
1a30_ligand_350     -220.08 
1a30_ligand_376     45.52   
1a30_ligand_385     40.85   
1a30_ligand_389     40.92   
1a30_ligand_391     25.11   
1a30_ligand_393     35.91   
1a30_ligand_397     26.93   
1a30_ligand_40      -2791.03
1a30_ligand_403     54.36   
1a30_ligand_405     45.91   
1a30_ligand_431     34.62   
1a30_ligand_432     34.12   
1a30_ligand_444     30.58   
1a30_ligand_449     38.26   
1a30_ligand_45      -17.62  
1a30_ligand_493     34.15   
1a30_ligand_50      -15.58  
1a30_ligand_51      -50.93  
1a30_ligand_52      -1404.53
1a30_ligand_55      -36.24  
1a30_ligand_63      -37.68  
1a30_ligand_65      -18.45  
1a30_ligand_69      -1.15   
1a30_ligand_7       -15.21  
1a30_ligand_70      -47.37  
1a30_ligand_76      -61.31  
1a30_ligand_85      -74.12  
1a30_ligand_86      6.79    
1a30_ligand_94      -2804.70
1bcu_ligand_105     24.08   
1bcu_ligand_115     31.60   
1bcu_ligand_134     -2725.88
1bcu_ligand_135     -2723.11
1bcu_ligand_136     -72.72  
1bcu_ligand_148     18.59   
1bcu_ligand_155     1.12    
1bcu_ligand_162     -65.58  
1bcu_ligand_163     -36.35  
1bcu_ligand_168     -37.32  
1bcu_ligand_176     24.86   
1bcu_ligand_178     -5.18   
1bcu_ligand_179     28.80   
1bcu_ligand_182     -39.21  
1bcu_ligand_183     -45.28  
1bcu_ligand_191     -36.13  
1bcu_ligand_2       20.42   
1bcu_ligand_200     -23.53  
1bcu_ligand_205     21.36   
1bcu_ligand_210     18.28   
1bcu_ligand_216     27.21   
1bcu_ligand_219     26.14   
1bcu_ligand_222     -22.37  
1bcu_ligand_23      26.56   
1bcu_ligand_230     20.83   
1bcu_ligand_234     18.41   
1bcu_ligand_240     -9.21   
1bcu_ligand_244     32.95   
1bcu_ligand_249     19.32   
1bcu_ligand_256     30.56   
1bcu_ligand_261     20.04   
1bcu_ligand_263     26.96   
1bcu_ligand_265     3.19    
1bcu_ligand_274     23.78   
1bcu_ligand_276     -16.71  
1bcu_ligand_293     17.17   
1bcu_ligand_294     -10.07  
1bcu_ligand_297     26.84   
1bcu_ligand_3       16.09   
1bcu_ligand_313     22.06   
1bcu_ligand_328     0.46    
1bcu_ligand_337     10.16   
1bcu_ligand_340     -33.58  
1bcu_ligand_344     11.09   
1bcu_ligand_346     -40.13  
1bcu_ligand_355     39.83   
1bcu_ligand_357     31.95   
1bcu_ligand_362     38.40   
1bcu_ligand_363     31.27   
1bcu_ligand_366     22.37   
1bcu_ligand_367     28.07   
1bcu_ligand_368     17.67   
1bcu_ligand_37      25.30   
1bcu_ligand_370     13.00   
1bcu_ligand_373     28.41   
1bcu_ligand_374     23.00   
1bcu_ligand_375     25.65   
1bcu_ligand_376     16.70   
1bcu_ligand_377     27.97   
1bcu_ligand_379     19.77   
1bcu_ligand_381     23.80   
1bcu_ligand_382     20.70   
1bcu_ligand_383     21.38   
1bcu_ligand_384     23.70   
1bcu_ligand_385     20.14   
1bcu_ligand_388     17.70   
1bcu_ligand_390     22.01   
1bcu_ligand_391     31.27   
1bcu_ligand_392     28.48   
1bcu_ligand_394     21.96   
1bcu_ligand_395     21.35   
1bcu_ligand_396     20.38   
1bcu_ligand_397     14.43   
1bcu_ligand_400     18.99   
1bcu_ligand_401     32.58   
1bcu_ligand_404     39.66   
1bcu_ligand_405     35.80   
1bcu_ligand_406     39.05   
1bcu_ligand_407     32.99   
1bcu_ligand_411     37.76   
1bcu_ligand_413     35.43   
1bcu_ligand_414     37.15   
1bcu_ligand_419     36.97   
1bcu_ligand_42      15.53   
1bcu_ligand_420     37.74   
1bcu_ligand_424     36.60   
1bcu_ligand_432     31.47   
1bcu_ligand_437     35.64   
1bcu_ligand_440     35.70   
1bcu_ligand_442     29.56   
1bcu_ligand_443     30.31   
1bcu_ligand_445     36.52   
1bcu_ligand_446     37.36   
1bcu_ligand_449     35.51   
1bcu_ligand_450     30.18   
1bcu_ligand_457     33.07   
1bcu_ligand_458     39.65   
1bcu_ligand_480     36.96   
1bcu_ligand_498     38.30   
1bcu_ligand_99      18.38   
1bzc_ligand_107     19.69   
1bzc_ligand_113     -1346.48
1bzc_ligand_127     -2714.50
1bzc_ligand_14      49.87   
1bzc_ligand_147     -6854.06
1bzc_ligand_152     -37.68  
1bzc_ligand_159     -100.50 
1bzc_ligand_165     -79.70  
1bzc_ligand_166     -173.91 
1bzc_ligand_168     -22.65  
1bzc_ligand_171     -32.55  
1bzc_ligand_175     -69.69  
1bzc_ligand_176     -132.33 
1bzc_ligand_179     -199.17 
1bzc_ligand_189     -29.90  
1bzc_ligand_191     -123.49 
1bzc_ligand_192     -103.54 
1bzc_ligand_199     -20.69  
1bzc_ligand_202     -27.62  
1bzc_ligand_203     -127.91 
1bzc_ligand_207     23.17   
1bzc_ligand_208     8.99    
1bzc_ligand_209     -9.80   
1bzc_ligand_210     2.87    
1bzc_ligand_211     -149.27 
1bzc_ligand_212     -28.77  
1bzc_ligand_214     -4.37   
1bzc_ligand_219     -11.82  
1bzc_ligand_221     3.39    
1bzc_ligand_222     -88.59  
1bzc_ligand_223     -37.60  
1bzc_ligand_225     14.86   
1bzc_ligand_228     0.61    
1bzc_ligand_229     -1445.22
1bzc_ligand_230     -65.77  
1bzc_ligand_231     -204.04 
1bzc_ligand_235     -170.54 
1bzc_ligand_238     -20.21  
1bzc_ligand_239     -61.92  
1bzc_ligand_242     -42.81  
1bzc_ligand_246     -142.89 
1bzc_ligand_247     8.54    
1bzc_ligand_252     -33.30  
1bzc_ligand_257     -16.61  
1bzc_ligand_259     -13.56  
1bzc_ligand_26      -33.05  
1bzc_ligand_267     17.13   
1bzc_ligand_272     -68.13  
1bzc_ligand_276     -131.88 
1bzc_ligand_277     -100.47 
1bzc_ligand_278     -4.13   
1bzc_ligand_283     -65.23  
1bzc_ligand_285     -27.65  
1bzc_ligand_287     -191.14 
1bzc_ligand_289     -310.95 
1bzc_ligand_290     -124.93 
1bzc_ligand_300     -52.44  
1bzc_ligand_303     -75.34  
1bzc_ligand_307     -19.41  
1bzc_ligand_309     -56.37  
1bzc_ligand_310     -70.57  
1bzc_ligand_311     -39.30  
1bzc_ligand_313     -19.57  
1bzc_ligand_315     -125.72 
1bzc_ligand_316     -34.08  
1bzc_ligand_317     -41.69  
1bzc_ligand_322     -59.81  
1bzc_ligand_325     -159.84 
1bzc_ligand_327     -113.09 
1bzc_ligand_328     -68.52  
1bzc_ligand_330     -92.74  
1bzc_ligand_331     -117.98 
1bzc_ligand_334     -438.65 
1bzc_ligand_335     -7.42   
1bzc_ligand_336     -41.73  
1bzc_ligand_337     -72.71  
1bzc_ligand_340     -38.02  
1bzc_ligand_344     -206.05 
1bzc_ligand_345     -87.05  
1bzc_ligand_347     12.43   
1bzc_ligand_349     -17.06  
1bzc_ligand_350     -235.67 
1bzc_ligand_358     48.83   
1bzc_ligand_38      -1368.70
1bzc_ligand_384     51.06   
1bzc_ligand_392     34.38   
1bzc_ligand_43      -2721.42
1bzc_ligand_447     -2699.71
1bzc_ligand_451     51.00   
1bzc_ligand_454     59.53   
1bzc_ligand_51      12.01   
1bzc_ligand_64      -4106.44
1bzc_ligand_73      27.41   
1bzc_ligand_74      35.28   
1bzc_ligand_76      -1363.22
1bzc_ligand_79      -1355.24
1bzc_ligand_80      -1393.63
1bzc_ligand_85      48.09   
1bzc_ligand_94      -6903.28
1bzc_ligand_99      -5475.39
1c5z_ligand_128     24.37   
1c5z_ligand_13      20.39   
1c5z_ligand_132     14.44   
1c5z_ligand_144     -25.95  
1c5z_ligand_169     -16.76  
1c5z_ligand_173     9.38    
1c5z_ligand_176     -15.99  
1c5z_ligand_180     -25.52  
1c5z_ligand_181     -13.62  
1c5z_ligand_193     3.53    
1c5z_ligand_194     -19.66  
1c5z_ligand_198     -54.53  
1c5z_ligand_20      9.73    
1c5z_ligand_200     6.03    
1c5z_ligand_203     -18.98  
1c5z_ligand_206     -16.00  
1c5z_ligand_210     -8.56   
1c5z_ligand_212     -41.54  
1c5z_ligand_213     -15.84  
1c5z_ligand_215     -39.76  
1c5z_ligand_217     -21.88  
1c5z_ligand_218     -68.19  
1c5z_ligand_219     -32.18  
1c5z_ligand_221     6.48    
1c5z_ligand_222     24.69   
1c5z_ligand_224     3.59    
1c5z_ligand_225     -23.73  
1c5z_ligand_227     -35.07  
1c5z_ligand_230     -13.27  
1c5z_ligand_231     6.72    
1c5z_ligand_233     -8.71   
1c5z_ligand_234     -2.72   
1c5z_ligand_235     22.84   
1c5z_ligand_236     -21.97  
1c5z_ligand_237     21.95   
1c5z_ligand_239     21.41   
1c5z_ligand_243     -36.39  
1c5z_ligand_244     22.09   
1c5z_ligand_247     -11.43  
1c5z_ligand_248     -17.33  
1c5z_ligand_249     -59.51  
1c5z_ligand_252     -19.31  
1c5z_ligand_253     2.86    
1c5z_ligand_254     6.00    
1c5z_ligand_264     -20.64  
1c5z_ligand_266     -5.22   
1c5z_ligand_267     -38.67  
1c5z_ligand_269     -17.86  
1c5z_ligand_273     16.90   
1c5z_ligand_279     -74.55  
1c5z_ligand_280     -3.02   
1c5z_ligand_282     13.36   
1c5z_ligand_285     -63.37  
1c5z_ligand_287     21.42   
1c5z_ligand_289     19.88   
1c5z_ligand_293     -16.21  
1c5z_ligand_295     -34.56  
1c5z_ligand_297     -17.55  
1c5z_ligand_298     6.89    
1c5z_ligand_303     -14.34  
1c5z_ligand_304     -40.76  
1c5z_ligand_305     21.98   
1c5z_ligand_308     1.37    
1c5z_ligand_309     -18.75  
1c5z_ligand_311     0.24    
1c5z_ligand_312     0.32    
1c5z_ligand_315     -5.19   
1c5z_ligand_316     -87.66  
1c5z_ligand_318     16.48   
1c5z_ligand_320     24.94   
1c5z_ligand_322     -7.62   
1c5z_ligand_324     -2.51   
1c5z_ligand_326     -39.25  
1c5z_ligand_328     9.80    
1c5z_ligand_330     20.45   
1c5z_ligand_333     12.03   
1c5z_ligand_334     -34.70  
1c5z_ligand_339     -49.12  
1c5z_ligand_340     -18.51  
1c5z_ligand_342     4.24    
1c5z_ligand_343     7.79    
1c5z_ligand_346     -22.70  
1c5z_ligand_347     -27.81  
1c5z_ligand_350     -8.65   
1c5z_ligand_352     17.69   
1c5z_ligand_366     21.01   
1c5z_ligand_374     18.35   
1c5z_ligand_377     18.58   
1c5z_ligand_384     16.98   
1c5z_ligand_386     19.63   
1c5z_ligand_389     16.36   
1c5z_ligand_398     14.75   
1c5z_ligand_432     21.90   
1c5z_ligand_439     16.24   
1c5z_ligand_48      3.21    
