#code_ligand_num    score   
1a30_ligand_103     -8.81   
1a30_ligand_104     -8263.61
1a30_ligand_107     -6888.31
1a30_ligand_11      -6916.59
1a30_ligand_111     -25.79  
1a30_ligand_116     -8281.10
1a30_ligand_119     -38.03  
1a30_ligand_123     -13793.97
1a30_ligand_128     -20645.54
1a30_ligand_13      -2756.24
1a30_ligand_130     -48.99  
1a30_ligand_140     -8252.78
1a30_ligand_15      -9691.56
1a30_ligand_154     -606.93 
1a30_ligand_155     -236.33 
1a30_ligand_161     -268.42 
1a30_ligand_162     -202.28 
1a30_ligand_169     -178.70 
1a30_ligand_17      -17901.03
1a30_ligand_170     -155.98 
1a30_ligand_172     -617.45 
1a30_ligand_178     -474.02 
1a30_ligand_18      -3.05   
1a30_ligand_199     -246.08 
1a30_ligand_202     -118.53 
1a30_ligand_207     -222.19 
1a30_ligand_209     -418.78 
1a30_ligand_212     -221.38 
1a30_ligand_214     -180.90 
1a30_ligand_216     -389.81 
1a30_ligand_22      -33.37  
1a30_ligand_221     -289.89 
1a30_ligand_225     -307.78 
1a30_ligand_229     -61.29  
1a30_ligand_23      -58.42  
1a30_ligand_230     -208.95 
1a30_ligand_232     -345.70 
1a30_ligand_237     -274.59 
1a30_ligand_241     -567.31 
1a30_ligand_242     -130.50 
1a30_ligand_247     -216.06 
1a30_ligand_256     -362.45 
1a30_ligand_257     -161.86 
1a30_ligand_26      -1448.33
1a30_ligand_27      -23.32  
1a30_ligand_28      -6894.18
1a30_ligand_281     -245.73 
1a30_ligand_283     -295.48 
1a30_ligand_29      -8268.52
1a30_ligand_293     -339.90 
1a30_ligand_3       2.53    
1a30_ligand_300     -402.94 
1a30_ligand_302     -214.27 
1a30_ligand_308     -175.70 
1a30_ligand_31      -8282.31
1a30_ligand_313     -140.26 
1a30_ligand_319     -175.74 
1a30_ligand_333     -242.84 
1a30_ligand_336     -268.38 
1a30_ligand_347     -151.07 
1a30_ligand_348     -294.71 
1a30_ligand_37      -33.78  
1a30_ligand_383     35.87   
1a30_ligand_385     49.34   
1a30_ligand_386     33.78   
1a30_ligand_39      -11020.70
1a30_ligand_398     27.34   
1a30_ligand_4       -2755.06
1a30_ligand_400     44.60   
1a30_ligand_41      -4188.14
1a30_ligand_44      -16505.94
1a30_ligand_45      -6938.81
1a30_ligand_454     45.64   
1a30_ligand_46      -8.15   
1a30_ligand_47      -38.79  
1a30_ligand_48      -4229.39
1a30_ligand_51      -57.57  
1a30_ligand_52      -26155.96
1a30_ligand_53      -15148.12
1a30_ligand_55      -11018.75
1a30_ligand_56      -8257.39
1a30_ligand_58      -2786.82
1a30_ligand_61      -41.14  
1a30_ligand_65      -12423.23
1a30_ligand_66      -64.54  
1a30_ligand_67      -45.53  
1a30_ligand_68      -4147.32
1a30_ligand_70      -5504.50
1a30_ligand_72      -9665.55
1a30_ligand_75      -8301.03
1a30_ligand_76      -9713.93
1a30_ligand_78      -1382.90
1a30_ligand_79      -32.64  
1a30_ligand_82      -24.31  
1a30_ligand_84      -15204.20
1a30_ligand_88      -57.50  
1a30_ligand_89      -12403.10
1a30_ligand_96      -5506.25
1a30_ligand_97      -5541.82
1a30_ligand_99      -60.43  
1bcu_ligand_154     -56.79  
1bcu_ligand_170     -25.88  
1bcu_ligand_177     8.38    
1bcu_ligand_178     -43.74  
1bcu_ligand_184     -22.96  
1bcu_ligand_186     -19.09  
1bcu_ligand_189     -6.91   
1bcu_ligand_191     0.63    
1bcu_ligand_192     -8.84   
1bcu_ligand_193     15.39   
1bcu_ligand_194     -35.24  
1bcu_ligand_196     -88.16  
1bcu_ligand_197     -45.93  
1bcu_ligand_198     -8.82   
1bcu_ligand_200     -43.40  
1bcu_ligand_203     26.48   
1bcu_ligand_204     40.37   
1bcu_ligand_209     14.60   
1bcu_ligand_210     15.89   
1bcu_ligand_212     38.67   
1bcu_ligand_215     18.96   
1bcu_ligand_216     24.19   
1bcu_ligand_220     27.61   
1bcu_ligand_221     14.30   
1bcu_ligand_224     4.95    
1bcu_ligand_227     11.59   
1bcu_ligand_228     29.54   
1bcu_ligand_229     33.28   
1bcu_ligand_231     12.29   
1bcu_ligand_232     14.23   
1bcu_ligand_235     0.69    
1bcu_ligand_236     -18.97  
1bcu_ligand_238     16.02   
1bcu_ligand_242     8.94    
1bcu_ligand_243     -3.10   
1bcu_ligand_246     1.77    
1bcu_ligand_249     13.09   
1bcu_ligand_251     22.63   
1bcu_ligand_257     -2.32   
1bcu_ligand_258     -33.06  
1bcu_ligand_266     -12.14  
1bcu_ligand_275     -42.52  
1bcu_ligand_276     -7.79   
1bcu_ligand_277     -31.44  
1bcu_ligand_279     -78.11  
1bcu_ligand_280     20.77   
1bcu_ligand_284     -35.19  
1bcu_ligand_290     -2.61   
1bcu_ligand_296     -6.70   
1bcu_ligand_297     17.74   
1bcu_ligand_305     4.05    
1bcu_ligand_323     5.07    
1bcu_ligand_328     21.97   
1bcu_ligand_330     26.42   
1bcu_ligand_333     -18.55  
1bcu_ligand_334     -3.92   
1bcu_ligand_336     -11.79  
1bcu_ligand_337     -6.73   
1bcu_ligand_340     -6.19   
1bcu_ligand_341     5.03    
1bcu_ligand_347     -4.72   
1bcu_ligand_348     1.73    
1bcu_ligand_350     17.96   
1bcu_ligand_357     35.32   
1bcu_ligand_358     35.28   
1bcu_ligand_359     36.19   
1bcu_ligand_361     39.10   
1bcu_ligand_371     -2716.91
1bcu_ligand_374     31.38   
1bcu_ligand_376     34.93   
1bcu_ligand_378     43.20   
1bcu_ligand_380     35.18   
1bcu_ligand_381     28.49   
1bcu_ligand_382     -5475.30
1bcu_ligand_383     28.73   
1bcu_ligand_384     -5474.91
1bcu_ligand_386     27.12   
1bcu_ligand_387     45.34   
1bcu_ligand_388     27.36   
1bcu_ligand_389     -4104.30
1bcu_ligand_390     -4104.19
1bcu_ligand_391     20.90   
1bcu_ligand_392     -4099.50
1bcu_ligand_393     26.20   
1bcu_ligand_394     -2729.48
1bcu_ligand_395     40.99   
1bcu_ligand_396     -2728.12
1bcu_ligand_397     26.76   
1bcu_ligand_398     41.84   
1bcu_ligand_400     28.40   
1bcu_ligand_428     48.35   
1bcu_ligand_436     -4096.73
1bcu_ligand_437     32.96   
1bcu_ligand_443     46.83   
1bcu_ligand_447     28.92   
1bcu_ligand_448     32.31   
1bcu_ligand_481     40.38   
1bcu_ligand_489     34.65   
1bcu_ligand_493     36.04   
1bcu_ligand_74      41.83   
1bzc_ligand_110     -15.86  
1bzc_ligand_118     25.12   
1bzc_ligand_120     18.80   
1bzc_ligand_122     31.38   
1bzc_ligand_129     29.51   
1bzc_ligand_13      3.19    
1bzc_ligand_132     -2.95   
1bzc_ligand_142     -30.44  
1bzc_ligand_152     -98.86  
1bzc_ligand_156     -293.29 
1bzc_ligand_16      -6.72   
1bzc_ligand_165     -92.57  
1bzc_ligand_167     -61.32  
1bzc_ligand_175     -60.33  
1bzc_ligand_178     -99.64  
1bzc_ligand_180     -173.13 
1bzc_ligand_182     -88.48  
1bzc_ligand_183     -93.62  
1bzc_ligand_184     -220.05 
1bzc_ligand_185     -196.80 
1bzc_ligand_189     -20.17  
1bzc_ligand_190     -246.83 
1bzc_ligand_191     -136.52 
1bzc_ligand_192     -130.90 
1bzc_ligand_194     -230.54 
1bzc_ligand_195     -218.10 
1bzc_ligand_2       -8.75   
1bzc_ligand_201     -68.85  
1bzc_ligand_206     -107.93 
1bzc_ligand_211     -166.32 
1bzc_ligand_212     -4146.58
1bzc_ligand_213     -113.24 
1bzc_ligand_214     -41.10  
1bzc_ligand_216     -105.20 
1bzc_ligand_217     -80.92  
1bzc_ligand_219     -53.02  
