#code_ligand_num    score   
1a30_ligand_10      -57.79  
1a30_ligand_101     -7.84   
1a30_ligand_102     -96.22  
1a30_ligand_108     -2.70   
1a30_ligand_109     -39.27  
1a30_ligand_11      -22.66  
1a30_ligand_110     -30.28  
1a30_ligand_111     6.98    
1a30_ligand_114     -32.93  
1a30_ligand_116     13.05   
1a30_ligand_120     -55.16  
1a30_ligand_122     -4.25   
1a30_ligand_123     -7.51   
1a30_ligand_124     -9.12   
1a30_ligand_129     6.85    
1a30_ligand_133     -21.91  
1a30_ligand_134     -16.21  
1a30_ligand_139     -30.70  
1a30_ligand_14      -17.68  
1a30_ligand_147     -52.59  
1a30_ligand_152     -93.02  
1a30_ligand_157     -323.33 
1a30_ligand_16      -40.38  
1a30_ligand_162     -91.54  
1a30_ligand_163     -268.78 
1a30_ligand_164     -177.26 
1a30_ligand_168     -511.60 
1a30_ligand_170     -156.97 
1a30_ligand_186     -145.02 
1a30_ligand_189     -108.01 
1a30_ligand_195     -331.41 
1a30_ligand_202     -205.55 
1a30_ligand_203     -155.83 
1a30_ligand_209     -196.38 
1a30_ligand_210     -58.50  
1a30_ligand_212     -127.45 
1a30_ligand_217     -83.38  
1a30_ligand_218     -129.13 
1a30_ligand_220     -144.26 
1a30_ligand_222     -433.15 
1a30_ligand_223     -59.61  
1a30_ligand_224     -91.72  
1a30_ligand_226     -23.83  
1a30_ligand_230     -137.40 
1a30_ligand_232     -167.16 
1a30_ligand_235     -131.99 
1a30_ligand_236     -108.11 
1a30_ligand_238     -24.41  
1a30_ligand_244     -83.06  
1a30_ligand_246     -249.42 
1a30_ligand_249     -42.82  
1a30_ligand_256     -45.24  
1a30_ligand_263     -206.90 
1a30_ligand_27      23.36   
1a30_ligand_271     -148.41 
1a30_ligand_273     -336.97 
1a30_ligand_29      -19.69  
1a30_ligand_298     -103.65 
1a30_ligand_299     -146.24 
1a30_ligand_311     -76.57  
1a30_ligand_317     -137.87 
1a30_ligand_318     -143.60 
1a30_ligand_32      -30.55  
1a30_ligand_322     -92.45  
1a30_ligand_33      -39.39  
1a30_ligand_333     -191.20 
1a30_ligand_337     -56.96  
1a30_ligand_340     -154.97 
1a30_ligand_350     -203.78 
1a30_ligand_357     59.00   
1a30_ligand_36      -21.80  
1a30_ligand_363     43.65   
1a30_ligand_366     49.54   
1a30_ligand_37      -77.80  
1a30_ligand_373     26.64   
1a30_ligand_376     19.17   
1a30_ligand_382     49.43   
1a30_ligand_385     29.21   
1a30_ligand_389     47.58   
1a30_ligand_390     35.81   
1a30_ligand_394     21.16   
1a30_ligand_43      -20.70  
1a30_ligand_435     49.98   
1a30_ligand_44      2.00    
1a30_ligand_447     38.09   
1a30_ligand_46      -28.96  
1a30_ligand_471     12.18   
1a30_ligand_49      -44.40  
1a30_ligand_499     39.47   
1a30_ligand_56      -45.82  
1a30_ligand_6       -36.21  
1a30_ligand_60      -0.20   
1a30_ligand_63      5.78    
1a30_ligand_64      -38.18  
1a30_ligand_75      -62.41  
1a30_ligand_77      -19.36  
1a30_ligand_79      -32.10  
1a30_ligand_86      -14.15  
1a30_ligand_95      -51.73  
1a30_ligand_96      -72.79  
1bcu_ligand_127     37.91   
1bcu_ligand_138     20.70   
1bcu_ligand_148     33.69   
1bcu_ligand_152     -19.20  
1bcu_ligand_153     7.41    
1bcu_ligand_154     -4.72   
1bcu_ligand_169     -102.20 
1bcu_ligand_171     -17.68  
1bcu_ligand_190     -8.22   
