#code_ligand_num    score   
1a30_ligand_101     -57.01  
1a30_ligand_102     -21.41  
1a30_ligand_103     -28.31  
1a30_ligand_107     -31.91  
1a30_ligand_109     -30.78  
1a30_ligand_110     -3.05   
1a30_ligand_112     -29.15  
1a30_ligand_115     -5.08   
1a30_ligand_117     -6.63   
1a30_ligand_12      -19.83  
1a30_ligand_120     -19.88  
1a30_ligand_128     -22.55  
1a30_ligand_13      -0.04   
1a30_ligand_131     -24.13  
1a30_ligand_133     13.49   
1a30_ligand_134     -54.70  
1a30_ligand_136     13.61   
1a30_ligand_140     -47.44  
1a30_ligand_141     11.75   
1a30_ligand_142     -6.08   
1a30_ligand_15      -3.48   
1a30_ligand_179     -187.02 
1a30_ligand_183     -151.78 
1a30_ligand_188     -174.99 
1a30_ligand_193     -246.46 
1a30_ligand_2       -70.13  
1a30_ligand_202     -194.35 
1a30_ligand_203     -90.59  
1a30_ligand_204     -107.77 
1a30_ligand_207     -24.92  
1a30_ligand_209     -164.30 
1a30_ligand_211     -100.40 
1a30_ligand_212     -199.32 
1a30_ligand_216     -135.43 
1a30_ligand_219     -243.90 
1a30_ligand_221     -284.22 
1a30_ligand_224     -174.29 
1a30_ligand_228     -73.35  
1a30_ligand_230     -131.70 
1a30_ligand_231     -259.54 
1a30_ligand_232     -107.81 
1a30_ligand_233     -258.68 
1a30_ligand_234     -270.71 
1a30_ligand_235     -195.19 
1a30_ligand_238     -133.07 
1a30_ligand_245     -81.84  
1a30_ligand_247     -368.29 
1a30_ligand_248     -28.83  
1a30_ligand_254     -205.99 
1a30_ligand_26      -97.27  
1a30_ligand_274     -262.55 
1a30_ligand_275     -216.12 
1a30_ligand_28      -54.80  
1a30_ligand_281     -102.64 
1a30_ligand_286     -172.87 
1a30_ligand_289     -136.91 
1a30_ligand_294     -246.74 
1a30_ligand_295     -92.69  
1a30_ligand_3       -92.79  
1a30_ligand_301     -280.59 
1a30_ligand_309     -325.83 
1a30_ligand_312     -298.84 
1a30_ligand_316     -120.77 
1a30_ligand_320     -102.11 
1a30_ligand_328     -347.13 
1a30_ligand_33      -41.57  
1a30_ligand_337     -67.70  
1a30_ligand_338     -239.54 
1a30_ligand_34      -68.57  
1a30_ligand_347     -216.16 
1a30_ligand_350     -147.16 
1a30_ligand_375     38.14   
1a30_ligand_377     38.47   
1a30_ligand_38      -27.79  
1a30_ligand_382     39.04   
1a30_ligand_387     -4.96   
1a30_ligand_39      -13.90  
1a30_ligand_397     32.88   
1a30_ligand_40      -16.72  
1a30_ligand_418     18.64   
1a30_ligand_42      -89.03  
1a30_ligand_43      -41.66  
1a30_ligand_441     35.20   
1a30_ligand_468     11.94   
1a30_ligand_47      -57.02  
1a30_ligand_48      -6.60   
1a30_ligand_488     37.55   
1a30_ligand_49      -16.63  
1a30_ligand_51      -23.60  
1a30_ligand_56      -76.37  
1a30_ligand_61      2.91    
1a30_ligand_63      7.13    
1a30_ligand_7       -77.90  
1a30_ligand_73      -71.07  
1a30_ligand_8       -51.53  
1a30_ligand_81      -31.48  
1a30_ligand_84      -51.55  
1a30_ligand_88      -19.47  
1a30_ligand_90      -31.16  
1a30_ligand_97      -44.46  
1bcu_ligand_102     -128.86 
1bcu_ligand_111     38.29   
1bcu_ligand_154     2.74    
1bcu_ligand_155     28.33   
1bcu_ligand_16      30.21   
1bcu_ligand_161     2.00    
1bcu_ligand_164     26.29   
1bcu_ligand_166     26.19   
1bcu_ligand_177     23.22   
1bcu_ligand_178     22.03   
1bcu_ligand_182     5.32    
1bcu_ligand_191     19.91   
1bcu_ligand_192     19.36   
1bcu_ligand_195     30.23   
1bcu_ligand_199     18.59   
1bcu_ligand_200     26.50   
1bcu_ligand_207     28.97   
1bcu_ligand_21      41.71   
1bcu_ligand_222     29.05   
1bcu_ligand_224     4.84    
1bcu_ligand_226     16.89   
1bcu_ligand_227     30.65   
1bcu_ligand_235     30.02   
1bcu_ligand_236     11.04   
1bcu_ligand_24      33.69   
1bcu_ligand_240     33.16   
1bcu_ligand_244     30.32   
1bcu_ligand_254     27.70   
1bcu_ligand_259     26.06   
1bcu_ligand_26      32.88   
1bcu_ligand_261     21.42   
1bcu_ligand_266     3.54    
1bcu_ligand_269     -11.37  
1bcu_ligand_270     33.28   
1bcu_ligand_274     4.55    
1bcu_ligand_282     23.04   
1bcu_ligand_286     20.20   
1bcu_ligand_289     25.14   
1bcu_ligand_295     9.29    
1bcu_ligand_297     27.94   
1bcu_ligand_299     24.10   
1bcu_ligand_324     23.48   
1bcu_ligand_326     11.14   
1bcu_ligand_327     14.17   
1bcu_ligand_330     38.28   
1bcu_ligand_336     3.53    
1bcu_ligand_340     -2.42   
1bcu_ligand_342     27.31   
1bcu_ligand_346     -9.48   
1bcu_ligand_347     32.81   
1bcu_ligand_348     20.94   
1bcu_ligand_351     46.83   
1bcu_ligand_357     37.35   
1bcu_ligand_362     37.22   
1bcu_ligand_364     37.78   
1bcu_ligand_368     30.45   
1bcu_ligand_369     27.37   
1bcu_ligand_370     33.10   
1bcu_ligand_371     34.63   
1bcu_ligand_374     31.78   
1bcu_ligand_375     18.68   
1bcu_ligand_377     33.69   
1bcu_ligand_378     29.49   
1bcu_ligand_379     26.15   
1bcu_ligand_380     31.10   
1bcu_ligand_382     19.83   
1bcu_ligand_383     28.96   
1bcu_ligand_384     26.02   
1bcu_ligand_385     21.25   
1bcu_ligand_386     17.29   
1bcu_ligand_387     19.41   
1bcu_ligand_389     17.56   
1bcu_ligand_390     27.02   
1bcu_ligand_391     25.66   
1bcu_ligand_392     23.41   
1bcu_ligand_394     12.97   
1bcu_ligand_395     20.51   
1bcu_ligand_396     21.23   
1bcu_ligand_397     17.18   
1bcu_ligand_398     -4111.44
1bcu_ligand_399     25.18   
1bcu_ligand_400     18.03   
1bcu_ligand_408     36.79   
1bcu_ligand_414     31.96   
1bcu_ligand_418     31.04   
1bcu_ligand_422     34.40   
1bcu_ligand_425     39.00   
1bcu_ligand_437     31.51   
1bcu_ligand_445     21.98   
1bcu_ligand_449     27.40   
1bcu_ligand_450     35.74   
1bcu_ligand_465     40.80   
1bcu_ligand_468     39.74   
1bcu_ligand_471     28.03   
1bcu_ligand_477     35.60   
1bcu_ligand_485     32.49   
1bcu_ligand_490     37.91   
1bcu_ligand_497     30.42   
1bcu_ligand_63      -187.92 
1bcu_ligand_99      16.26   
1bzc_ligand_106     22.47   
1bzc_ligand_111     25.23   
1bzc_ligand_117     24.19   
1bzc_ligand_12      27.25   
1bzc_ligand_135     15.42   
