#code_ligand_num    score   
1a30_ligand_107     -0.63   
1a30_ligand_108     -0.72   
1a30_ligand_109     0.81    
1a30_ligand_11      1.72    
1a30_ligand_124     2.21    
1a30_ligand_126     -1.33   
1a30_ligand_127     -0.07   
1a30_ligand_130     -0.54   
1a30_ligand_136     0.99    
1a30_ligand_138     0.76    
1a30_ligand_143     0.05    
1a30_ligand_145     -0.33   
1a30_ligand_146     -0.55   
1a30_ligand_154     1.36    
1a30_ligand_157     3.33    
1a30_ligand_159     1.3     
1a30_ligand_160     0.36    
1a30_ligand_165     2.77    
1a30_ligand_168     2.28    
1a30_ligand_169     3.7     
1a30_ligand_172     2.64    
1a30_ligand_176     2.5     
1a30_ligand_179     1.61    
1a30_ligand_181     2.78    
1a30_ligand_190     -0.26   
1a30_ligand_193     1.17    
1a30_ligand_195     1.14    
1a30_ligand_196     2.47    
1a30_ligand_20      -1.86   
1a30_ligand_204     -1.62   
1a30_ligand_205     -2.55   
1a30_ligand_210     -1.65   
1a30_ligand_214     -2.81   
1a30_ligand_219     -2.21   
1a30_ligand_221     -0.78   
1a30_ligand_222     -0.68   
1a30_ligand_224     -3.89   
1a30_ligand_226     -0.44   
1a30_ligand_227     0.32    
1a30_ligand_228     -0.58   
1a30_ligand_230     -3.42   
1a30_ligand_239     -1.22   
1a30_ligand_245     -1.28   
1a30_ligand_247     -1.37   
1a30_ligand_255     -0.17   
1a30_ligand_258     1.22    
1a30_ligand_264     1.24    
1a30_ligand_272     0.58    
1a30_ligand_280     -0.36   
1a30_ligand_282     0.5     
1a30_ligand_283     0.49    
1a30_ligand_288     1.3     
1a30_ligand_289     -0.21   
1a30_ligand_29      2.24    
1a30_ligand_294     1.18    
1a30_ligand_298     0.89    
1a30_ligand_299     -0.17   
1a30_ligand_30      0.85    
1a30_ligand_301     0.75    
1a30_ligand_304     -0.47   
1a30_ligand_306     0.64    
1a30_ligand_31      0.48    
1a30_ligand_310     3.02    
1a30_ligand_311     1.12    
1a30_ligand_314     -1.46   
1a30_ligand_315     -1.21   
1a30_ligand_316     3.17    
1a30_ligand_317     -0.79   
1a30_ligand_318     -0.78   
1a30_ligand_32      -1.67   
1a30_ligand_332     2.93    
1a30_ligand_334     0.92    
1a30_ligand_336     -0.36   
1a30_ligand_345     -0.02   
1a30_ligand_346     3.27    
1a30_ligand_348     -0.24   
1a30_ligand_35      0.3     
1a30_ligand_356     4.35    
1a30_ligand_360     3.13    
1a30_ligand_373     6.89    
1a30_ligand_39      3.17    
1a30_ligand_399     2.78    
1a30_ligand_4       -0.75   
1a30_ligand_400     1.34    
1a30_ligand_407     7.38    
1a30_ligand_43      -1.44   
1a30_ligand_440     2.78    
1a30_ligand_441     6.27    
1a30_ligand_459     8.45    
1a30_ligand_485     5.95    
1a30_ligand_5       1.5     
1a30_ligand_50      1       
1a30_ligand_72      -0.78   
1a30_ligand_78      0.21    
1a30_ligand_8       2.5     
1a30_ligand_84      2.3     
1a30_ligand_87      2.07    
1a30_ligand_89      1.53    
1a30_ligand_95      -0.84   
1a30_ligand_96      -1.4    
1bcu_ligand_1       1.07    
1bcu_ligand_155     3.17    
1bcu_ligand_160     2.61    
1bcu_ligand_166     3.34    
1bcu_ligand_176     1.17    
1bcu_ligand_178     1.93    
1bcu_ligand_179     3.04    
1bcu_ligand_180     1.17    
1bcu_ligand_189     1.19    
1bcu_ligand_190     2.09    
1bcu_ligand_191     1.29    
1bcu_ligand_192     1.71    
1bcu_ligand_196     4.85    
1bcu_ligand_197     0.92    
1bcu_ligand_2       2.19    
1bcu_ligand_204     -0.26   
1bcu_ligand_207     0.64    
1bcu_ligand_208     0.26    
1bcu_ligand_211     -0.29   
1bcu_ligand_212     1.81    
1bcu_ligand_219     -0.21   
1bcu_ligand_224     1.47    
1bcu_ligand_227     2.45    
1bcu_ligand_228     0.87    
1bcu_ligand_230     0.81    
1bcu_ligand_231     -0.37   
1bcu_ligand_233     0.13    
1bcu_ligand_235     -0.69   
1bcu_ligand_238     2.44    
1bcu_ligand_240     1.59    
1bcu_ligand_241     -0.3    
1bcu_ligand_242     0.61    
1bcu_ligand_246     0.62    
1bcu_ligand_250     0.22    
1bcu_ligand_252     2.19    
1bcu_ligand_253     1.55    
1bcu_ligand_257     2.87    
1bcu_ligand_258     3.41    
1bcu_ligand_264     -0.83   
1bcu_ligand_267     0.78    
1bcu_ligand_268     -0.23   
1bcu_ligand_275     1.75    
1bcu_ligand_286     1.71    
1bcu_ligand_287     -0.58   
1bcu_ligand_289     1.81    
1bcu_ligand_295     0.38    
1bcu_ligand_297     0.63    
1bcu_ligand_298     1.7     
1bcu_ligand_307     3.44    
1bcu_ligand_319     4.2     
1bcu_ligand_338     2.6     
1bcu_ligand_341     1.7     
1bcu_ligand_344     2.05    
1bcu_ligand_348     1.33    
1bcu_ligand_357     2.17    
1bcu_ligand_359     0.45    
1bcu_ligand_364     0.23    
1bcu_ligand_366     0.13    
1bcu_ligand_371     -0.2    
1bcu_ligand_372     -0.1    
1bcu_ligand_373     -0.1    
1bcu_ligand_374     0.18    
1bcu_ligand_375     0.21    
1bcu_ligand_376     0.06    
1bcu_ligand_379     -0.31   
1bcu_ligand_380     -0.22   
1bcu_ligand_381     0.04    
1bcu_ligand_386     -0.13   
1bcu_ligand_388     -0.55   
1bcu_ligand_389     -0.8    
1bcu_ligand_390     -0.58   
1bcu_ligand_391     -0.14   
1bcu_ligand_392     -0.46   
1bcu_ligand_393     -1.14   
1bcu_ligand_395     -0.43   
1bcu_ligand_396     -0.53   
1bcu_ligand_397     -0.69   
1bcu_ligand_398     -0.83   
1bcu_ligand_399     -0.9    
1bcu_ligand_400     -1      
1bcu_ligand_401     1.76    
1bcu_ligand_403     1.49    
1bcu_ligand_409     1.74    
1bcu_ligand_410     0.95    
1bcu_ligand_421     0.97    
1bcu_ligand_426     1.1     
1bcu_ligand_427     0.48    
1bcu_ligand_429     0.31    
1bcu_ligand_432     0.46    
1bcu_ligand_445     0.44    
1bcu_ligand_447     -0.02   
1bcu_ligand_450     0.17    
1bcu_ligand_452     1.91    
1bcu_ligand_461     1.54    
1bcu_ligand_462     1.47    
1bcu_ligand_467     1.23    
1bcu_ligand_468     1.29    
1bcu_ligand_487     0.75    
1bcu_ligand_496     1.34    
1bcu_ligand_500     0.84    
1bzc_ligand_102     3.54    
1bzc_ligand_106     2.34    
1bzc_ligand_107     1.35    
1bzc_ligand_109     1.44    
1bzc_ligand_11      -0.11   
1bzc_ligand_110     0.69    
1bzc_ligand_111     -0.08   
1bzc_ligand_112     1.86    
1bzc_ligand_115     1.34    
1bzc_ligand_117     2.59    
1bzc_ligand_118     0.63    
1bzc_ligand_120     1.24    
1bzc_ligand_122     2.4     
1bzc_ligand_128     0.94    
1bzc_ligand_130     1.74    
1bzc_ligand_133     0.59    
1bzc_ligand_137     1.9     
1bzc_ligand_140     2.14    
1bzc_ligand_143     0.03    
1bzc_ligand_146     1.39    
1bzc_ligand_147     1.46    
1bzc_ligand_152     1.71    
1bzc_ligand_153     1.39    
1bzc_ligand_155     1.19    
1bzc_ligand_159     3.04    
1bzc_ligand_161     0.33    
1bzc_ligand_173     0.89    
1bzc_ligand_176     2.67    
1bzc_ligand_177     3.05    
1bzc_ligand_178     1.01    
1bzc_ligand_191     1.67    
1bzc_ligand_196     1.81    
1bzc_ligand_199     3.55    
1bzc_ligand_201     -0.32   
1bzc_ligand_205     0.81    
1bzc_ligand_208     -0.27   
1bzc_ligand_212     1.44    
1bzc_ligand_221     0.98    
1bzc_ligand_222     0.89    
1bzc_ligand_229     0.14    
1bzc_ligand_231     -0.05   
1bzc_ligand_232     -1.76   
1bzc_ligand_237     -0.62   
1bzc_ligand_248     2.17    
1bzc_ligand_25      -0.2    
1bzc_ligand_258     2.13    
1bzc_ligand_262     0.74    
1bzc_ligand_263     0.14    
1bzc_ligand_265     -0.01   
1bzc_ligand_267     1.42    
1bzc_ligand_269     -0.32   
1bzc_ligand_27      0.73    
1bzc_ligand_271     1.86    
1bzc_ligand_281     -0.69   
1bzc_ligand_29      2.96    
1bzc_ligand_297     0.07    
1bzc_ligand_299     -0.39   
1bzc_ligand_30      2.75    
1bzc_ligand_303     1.78    
1bzc_ligand_304     -0.99   
1bzc_ligand_308     0.36    
1bzc_ligand_309     -0.64   
1bzc_ligand_312     3.02    
1bzc_ligand_314     2.37    
1bzc_ligand_319     -2.1    
1bzc_ligand_321     2.45    
1bzc_ligand_324     0.78    
1bzc_ligand_328     1.98    
1bzc_ligand_329     1.08    
1bzc_ligand_336     -0.85   
1bzc_ligand_34      0.94    
1bzc_ligand_340     0.23    
1bzc_ligand_343     2.61    
1bzc_ligand_35      -0.44   
1bzc_ligand_352     5.14    
1bzc_ligand_354     2.87    
1bzc_ligand_36      1.05    
1bzc_ligand_374     5.24    
1bzc_ligand_38      1.7     
1bzc_ligand_382     2.22    
1bzc_ligand_386     2.56    
1bzc_ligand_390     2.55    
1bzc_ligand_405     4.25    
1bzc_ligand_406     2.75    
1bzc_ligand_407     5.31    
1bzc_ligand_434     2.48    
1bzc_ligand_437     2.99    
1bzc_ligand_442     3.34    
1bzc_ligand_446     1.7     
1bzc_ligand_452     6.66    
1bzc_ligand_461     3.42    
1bzc_ligand_472     5.01    
1bzc_ligand_490     3.13    
1bzc_ligand_55      1.47    
1bzc_ligand_64      1.43    
1bzc_ligand_75      -0.46   
1bzc_ligand_83      0.32    
1bzc_ligand_86      0.84    
1bzc_ligand_9       0.3     
1bzc_ligand_97      -1.14   
1c5z_ligand_110     0.89    
1c5z_ligand_152     1.55    
1c5z_ligand_157     0.35    
1c5z_ligand_159     0.41    
1c5z_ligand_161     0.61    
1c5z_ligand_165     0.47    
1c5z_ligand_173     0.52    
1c5z_ligand_174     0.19    
1c5z_ligand_177     1.35    
1c5z_ligand_185     0       
1c5z_ligand_186     0.49    
1c5z_ligand_188     1.18    
1c5z_ligand_194     0.75    
