#code_ligand_num    score   
1a30_ligand_100     -1.02   
1a30_ligand_104     -1.41   
1a30_ligand_107     -0.21   
1a30_ligand_110     3.11    
1a30_ligand_111     -0.13   
1a30_ligand_113     -1.18   
1a30_ligand_127     3.59    
1a30_ligand_13      1.4     
1a30_ligand_134     1.53    
1a30_ligand_136     -0.58   
1a30_ligand_138     -1.25   
1a30_ligand_140     0.98    
1a30_ligand_144     -1.41   
1a30_ligand_145     -1.54   
1a30_ligand_149     -0.28   
1a30_ligand_15      -0.03   
1a30_ligand_151     5.33    
1a30_ligand_153     6.97    
1a30_ligand_154     3.5     
1a30_ligand_160     4.58    
1a30_ligand_161     3.72    
1a30_ligand_163     -0.24   
1a30_ligand_168     2.65    
1a30_ligand_173     4.41    
1a30_ligand_188     -0.37   
1a30_ligand_19      1.21    
1a30_ligand_195     0.5     
1a30_ligand_197     2.85    
1a30_ligand_2       -1.23   
1a30_ligand_20      -0.94   
1a30_ligand_21      2.68    
1a30_ligand_218     1.09    
1a30_ligand_22      -1.05   
1a30_ligand_223     -0.7    
1a30_ligand_226     -2.19   
1a30_ligand_229     1.04    
1a30_ligand_23      2.4     
1a30_ligand_231     -2.4    
1a30_ligand_235     -1.66   
1a30_ligand_237     -3.14   
1a30_ligand_239     -4.18   
1a30_ligand_24      -0.12   
1a30_ligand_246     -2.69   
1a30_ligand_247     -2.93   
1a30_ligand_25      -0.17   
1a30_ligand_26      -1.37   
1a30_ligand_271     -0.36   
1a30_ligand_274     2.11    
1a30_ligand_275     -0.16   
1a30_ligand_287     -2.87   
1a30_ligand_288     -0.92   
1a30_ligand_293     0.77    
1a30_ligand_297     -0.45   
1a30_ligand_31      0.79    
1a30_ligand_310     -0.61   
1a30_ligand_316     -0.03   
1a30_ligand_323     2.38    
1a30_ligand_327     -0.72   
1a30_ligand_335     -0.31   
1a30_ligand_34      -1.51   
1a30_ligand_37      3.82    
1a30_ligand_375     6.68    
1a30_ligand_38      -1.31   
1a30_ligand_388     4.81    
1a30_ligand_394     5.1     
1a30_ligand_395     4.8     
1a30_ligand_4       2.12    
1a30_ligand_41      2.85    
1a30_ligand_411     8.7     
1a30_ligand_418     9.88    
1a30_ligand_42      -2.48   
1a30_ligand_427     7.55    
1a30_ligand_439     6.06    
1a30_ligand_453     8.03    
1a30_ligand_46      0.31    
1a30_ligand_471     8.9     
1a30_ligand_48      0.53    
1a30_ligand_488     5.52    
1a30_ligand_49      -0.63   
1a30_ligand_497     5.08    
1a30_ligand_51      1.25    
1a30_ligand_54      -0.51   
1a30_ligand_55      -0.78   
1a30_ligand_59      0.34    
1a30_ligand_61      3.61    
1a30_ligand_62      -0.99   
1a30_ligand_63      1.5     
1a30_ligand_65      -1.24   
1a30_ligand_66      0.04    
1a30_ligand_71      1.67    
1a30_ligand_72      -0.5    
1a30_ligand_73      1.69    
1a30_ligand_76      1.38    
1a30_ligand_85      -0.48   
1a30_ligand_86      -0.91   
1a30_ligand_9       2.18    
1a30_ligand_90      -0.02   
1a30_ligand_94      -0.66   
1a30_ligand_96      3.71    
1a30_ligand_98      0.38    
1bcu_ligand_155     2.78    
1bcu_ligand_156     2.53    
1bcu_ligand_171     1.94    
1bcu_ligand_172     2.57    
1bcu_ligand_185     1.87    
1bcu_ligand_187     2.71    
1bcu_ligand_192     1.62    
1bcu_ligand_194     2.51    
1bcu_ligand_199     1.99    
1bcu_ligand_200     3.06    
1bcu_ligand_202     1.02    
1bcu_ligand_207     1.2     
1bcu_ligand_208     2.52    
1bcu_ligand_210     1.35    
