#code_ligand_num    score   
1a30_ligand_102     4.38    
1a30_ligand_103     7.85    
1a30_ligand_105     4.07    
1a30_ligand_106     10.23   
1a30_ligand_108     4.29    
1a30_ligand_11      8.1     
1a30_ligand_111     8.51    
1a30_ligand_113     5.76    
1a30_ligand_114     8.76    
1a30_ligand_117     7.88    
1a30_ligand_126     7.33    
1a30_ligand_128     7.39    
1a30_ligand_129     8.91    
1a30_ligand_13      5.99    
1a30_ligand_130     5.39    
1a30_ligand_132     8.24    
1a30_ligand_133     6.07    
1a30_ligand_136     9.64    
1a30_ligand_142     10.15   
1a30_ligand_143     6.39    
1a30_ligand_146     8.77    
1a30_ligand_175     3.74    
1a30_ligand_183     3.82    
1a30_ligand_185     3.48    
1a30_ligand_187     1.44    
1a30_ligand_19      5.9     
1a30_ligand_192     5.5     
1a30_ligand_195     6.11    
1a30_ligand_199     1.21    
1a30_ligand_202     2.86    
1a30_ligand_204     2.86    
1a30_ligand_205     3.08    
1a30_ligand_206     1.95    
1a30_ligand_212     3.83    
1a30_ligand_216     2.39    
1a30_ligand_223     1.98    
1a30_ligand_225     3.05    
1a30_ligand_226     4.69    
1a30_ligand_228     3.5     
1a30_ligand_230     4.15    
1a30_ligand_233     0.38    
1a30_ligand_234     2.33    
1a30_ligand_237     3.99    
1a30_ligand_240     1.68    
1a30_ligand_242     2.85    
1a30_ligand_25      4.08    
1a30_ligand_253     3.51    
1a30_ligand_258     3.17    
1a30_ligand_268     5.58    
1a30_ligand_27      8.46    
1a30_ligand_279     3.64    
1a30_ligand_280     4.15    
1a30_ligand_282     2.56    
1a30_ligand_285     3.39    
1a30_ligand_286     4.02    
1a30_ligand_288     5.39    
1a30_ligand_289     4.45    
1a30_ligand_293     5.53    
1a30_ligand_297     3.18    
1a30_ligand_298     4.2     
1a30_ligand_300     5.52    
1a30_ligand_301     6.92    
1a30_ligand_312     3.01    
1a30_ligand_315     4.67    
1a30_ligand_316     5.45    
1a30_ligand_319     7.01    
1a30_ligand_325     5.83    
1a30_ligand_332     5.46    
1a30_ligand_335     4.97    
1a30_ligand_342     2.15    
1a30_ligand_347     2.48    
1a30_ligand_350     5.92    
1a30_ligand_366     16.26   
1a30_ligand_378     15      
1a30_ligand_380     11.74   
1a30_ligand_394     9.6     
1a30_ligand_397     16.02   
1a30_ligand_398     11.69   
1a30_ligand_41      5.64    
1a30_ligand_42      6.12    
1a30_ligand_430     13.8    
1a30_ligand_447     12.24   
1a30_ligand_49      4.4     
1a30_ligand_52      9.63    
1a30_ligand_54      8.42    
1a30_ligand_59      3.93    
1a30_ligand_62      6.42    
1a30_ligand_65      8.04    
1a30_ligand_7       3.98    
1a30_ligand_72      8.74    
1a30_ligand_75      9.53    
1a30_ligand_78      7.99    
1a30_ligand_79      6.2     
1a30_ligand_80      8.86    
1a30_ligand_81      4.98    
1a30_ligand_83      3.4     
1a30_ligand_85      6.72    
1a30_ligand_88      14.5    
1a30_ligand_97      6.23    
1a30_ligand_99      8.78    
1bcu_ligand_102     2.96    
1bcu_ligand_153     2.53    
1bcu_ligand_154     3.55    
1bcu_ligand_155     2.24    
1bcu_ligand_157     3.08    
1bcu_ligand_159     1.3     
1bcu_ligand_164     2.06    
1bcu_ligand_177     2.42    
1bcu_ligand_181     1.94    
1bcu_ligand_183     1.07    
1bcu_ligand_185     2.02    
1bcu_ligand_189     0.89    
1bcu_ligand_190     3.1     
1bcu_ligand_191     1.53    
1bcu_ligand_193     2.52    
1bcu_ligand_194     4.07    
1bcu_ligand_195     3.01    
1bcu_ligand_196     2.26    
1bcu_ligand_198     2       
1bcu_ligand_199     1.96    
1bcu_ligand_202     3.02    
1bcu_ligand_205     2.78    
1bcu_ligand_206     3.46    
1bcu_ligand_216     4.52    
1bcu_ligand_217     2.22    
1bcu_ligand_225     3.7     
1bcu_ligand_226     3.86    
1bcu_ligand_234     2.19    
1bcu_ligand_238     1.69    
1bcu_ligand_240     2.17    
1bcu_ligand_241     1.82    
1bcu_ligand_242     4.44    
1bcu_ligand_244     3.76    
1bcu_ligand_246     3.67    
1bcu_ligand_247     2.46    
1bcu_ligand_248     3.39    
1bcu_ligand_249     3.16    
1bcu_ligand_250     2.32    
1bcu_ligand_257     4.23    
1bcu_ligand_259     2.89    
1bcu_ligand_266     3.39    
1bcu_ligand_269     1.9     
1bcu_ligand_275     2.81    
1bcu_ligand_282     1.92    
1bcu_ligand_283     2.56    
1bcu_ligand_286     1.8     
1bcu_ligand_288     2.87    
1bcu_ligand_289     3.53    
