#code_ligand_num    score   
1a30_ligand_1       4.24    
1a30_ligand_102     2.82    
1a30_ligand_106     5.64    
1a30_ligand_111     5.24    
1a30_ligand_112     3.8     
1a30_ligand_114     3.48    
1a30_ligand_118     3.49    
1a30_ligand_119     4.8     
1a30_ligand_126     4.25    
1a30_ligand_128     4.99    
1a30_ligand_13      5.75    
1a30_ligand_15      3.72    
1a30_ligand_157     1.74    
1a30_ligand_162     2.87    
1a30_ligand_165     0.25    
1a30_ligand_166     2.39    
1a30_ligand_172     3.19    
1a30_ligand_173     1.15    
1a30_ligand_175     2.94    
1a30_ligand_176     3.48    
1a30_ligand_179     2.88    
1a30_ligand_185     3.84    
1a30_ligand_187     1.69    
1a30_ligand_192     2.77    
1a30_ligand_193     3.52    
1a30_ligand_20      3.77    
1a30_ligand_202     2.73    
1a30_ligand_203     3.13    
1a30_ligand_207     2.52    
1a30_ligand_209     6.06    
1a30_ligand_210     2.46    
1a30_ligand_212     1.6     
1a30_ligand_215     2.52    
1a30_ligand_217     4.26    
1a30_ligand_220     3.91    
1a30_ligand_223     4.34    
1a30_ligand_225     4.87    
1a30_ligand_226     4.43    
1a30_ligand_227     2.19    
1a30_ligand_229     4.59    
1a30_ligand_23      4.83    
1a30_ligand_232     2.15    
1a30_ligand_235     4.67    
1a30_ligand_236     1.97    
1a30_ligand_242     0.84    
1a30_ligand_243     2.47    
1a30_ligand_244     2.42    
1a30_ligand_246     3.72    
1a30_ligand_249     3.37    
1a30_ligand_260     3.55    
1a30_ligand_267     4.26    
1a30_ligand_270     4.13    
1a30_ligand_272     1.15    
1a30_ligand_274     6.03    
1a30_ligand_275     2.85    
1a30_ligand_277     1.77    
1a30_ligand_28      2.44    
1a30_ligand_280     4.76    
1a30_ligand_281     2.38    
1a30_ligand_287     3.98    
1a30_ligand_289     2.2     
1a30_ligand_294     1.38    
1a30_ligand_295     5.49    
1a30_ligand_296     2.18    
1a30_ligand_298     2.27    
1a30_ligand_300     3.12    
1a30_ligand_306     2.97    
1a30_ligand_33      3.68    
1a30_ligand_330     5.52    
1a30_ligand_338     3.77    
1a30_ligand_340     0.93    
1a30_ligand_342     4.53    
1a30_ligand_350     3.07    
1a30_ligand_36      3.9     
1a30_ligand_360     9.28    
1a30_ligand_373     6.93    
1a30_ligand_379     6.36    
1a30_ligand_381     6.83    
1a30_ligand_389     6.69    
1a30_ligand_391     8.48    
1a30_ligand_399     5.6     
1a30_ligand_400     7.29    
1a30_ligand_416     7.03    
1a30_ligand_425     6.83    
1a30_ligand_427     8.1     
1a30_ligand_43      4.12    
1a30_ligand_431     7.93    
1a30_ligand_445     8.03    
1a30_ligand_446     7.84    
1a30_ligand_456     9.41    
1a30_ligand_46      5.46    
1a30_ligand_473     8.22    
1a30_ligand_493     7.42    
1a30_ligand_56      4.44    
1a30_ligand_59      4.18    
1a30_ligand_64      6.65    
1a30_ligand_71      3.73    
1a30_ligand_73      5.3     
1a30_ligand_75      4.34    
1a30_ligand_99      4.73    
1bcu_ligand_10      2.4     
1bcu_ligand_13      3.15    
1bcu_ligand_130     3.36    
1bcu_ligand_136     2.88    
1bcu_ligand_156     2.51    
1bcu_ligand_157     1.6     
1bcu_ligand_159     1.78    
1bcu_ligand_17      3.06    
1bcu_ligand_173     2.78    
1bcu_ligand_177     2.81    
1bcu_ligand_178     2.07    
1bcu_ligand_179     1.15    
1bcu_ligand_184     0.64    
1bcu_ligand_186     1.73    
1bcu_ligand_187     3.55    
