#code_ligand_num    score   
1a30_ligand_100     3.52    
1a30_ligand_105     3.83    
1a30_ligand_106     -2.02   
1a30_ligand_108     1.9     
1a30_ligand_119     0.92    
1a30_ligand_13      -2.58   
1a30_ligand_134     1.33    
1a30_ligand_138     1.31    
1a30_ligand_14      2.17    
1a30_ligand_141     2.3     
1a30_ligand_148     0.23    
1a30_ligand_15      0.76    
1a30_ligand_158     2.32    
1a30_ligand_159     3.21    
1a30_ligand_16      -2.03   
1a30_ligand_166     2.18    
1a30_ligand_167     1.3     
1a30_ligand_169     1.4     
1a30_ligand_171     2       
1a30_ligand_182     0.12    
1a30_ligand_196     0.62    
1a30_ligand_197     -0.42   
1a30_ligand_2       -1.41   
1a30_ligand_202     -1.32   
1a30_ligand_203     -1.05   
1a30_ligand_206     -1.21   
1a30_ligand_207     -0.58   
1a30_ligand_21      0.05    
1a30_ligand_215     -2.28   
1a30_ligand_216     -1.72   
1a30_ligand_217     -0.35   
1a30_ligand_218     -0.73   
1a30_ligand_219     -1.81   
1a30_ligand_22      0.46    
1a30_ligand_220     0.14    
1a30_ligand_225     0.14    
1a30_ligand_23      0.88    
1a30_ligand_233     0.66    
1a30_ligand_239     -0.72   
1a30_ligand_243     -1.25   
1a30_ligand_246     0.1     
1a30_ligand_248     -1.96   
1a30_ligand_253     0.86    
1a30_ligand_26      2.26    
1a30_ligand_27      -0.57   
1a30_ligand_274     -1.38   
1a30_ligand_275     0.91    
1a30_ligand_279     1.23    
1a30_ligand_282     -1.14   
1a30_ligand_29      -0.04   
1a30_ligand_290     3.03    
1a30_ligand_291     -0.1    
1a30_ligand_294     2.46    
1a30_ligand_310     2       
1a30_ligand_314     0.61    
1a30_ligand_315     0.27    
1a30_ligand_318     -0.06   
1a30_ligand_323     -0.1    
1a30_ligand_326     -0.17   
1a30_ligand_329     0.44    
1a30_ligand_34      -1.14   
1a30_ligand_353     7.59    
1a30_ligand_356     6.76    
1a30_ligand_357     6.81    
1a30_ligand_36      1.15    
1a30_ligand_363     6.43    
1a30_ligand_366     6.91    
1a30_ligand_372     5.89    
1a30_ligand_379     6.76    
1a30_ligand_38      2.28    
1a30_ligand_39      -1.4    
1a30_ligand_391     5.81    
1a30_ligand_395     6.77    
1a30_ligand_398     6.03    
1a30_ligand_411     6.49    
1a30_ligand_42      -0.15   
1a30_ligand_421     5.76    
1a30_ligand_45      -2.47   
1a30_ligand_467     8.94    
1a30_ligand_481     7.37    
1a30_ligand_49      -1.45   
1a30_ligand_496     5.34    
1a30_ligand_52      4.72    
1a30_ligand_56      2.1     
1a30_ligand_59      0.45    
1a30_ligand_6       -0.9    
1a30_ligand_63      3.28    
1a30_ligand_64      5.18    
1a30_ligand_68      5.4     
1a30_ligand_7       -1.58   
1a30_ligand_73      3.02    
1a30_ligand_76      4.58    
1a30_ligand_81      -0.21   
1a30_ligand_82      3.08    
1a30_ligand_88      0.84    
1a30_ligand_9       0.44    
1a30_ligand_94      2.07    
1a30_ligand_95      -0.65   
1a30_ligand_97      1.31    
1a30_ligand_99      0.29    
1bcu_ligand_105     2.83    
1bcu_ligand_126     0.31    
1bcu_ligand_153     1.85    
1bcu_ligand_170     0.29    
1bcu_ligand_172     1.96    
1bcu_ligand_188     1.84    
1bcu_ligand_189     1.57    
1bcu_ligand_211     1.29    
1bcu_ligand_220     1.86    
1bcu_ligand_221     1.7     
1bcu_ligand_239     1.68    
1bcu_ligand_241     0.19    
1bcu_ligand_248     0.42    
1bcu_ligand_250     0.38    
1bcu_ligand_252     0.89    
1bcu_ligand_256     0.71    
1bcu_ligand_258     1.5     
1bcu_ligand_26      2.5     
1bcu_ligand_265     0.4     
1bcu_ligand_269     0.03    
1bcu_ligand_270     -0.47   
1bcu_ligand_273     1.32    
1bcu_ligand_277     0.75    
1bcu_ligand_278     1.11    
1bcu_ligand_284     0.89    
1bcu_ligand_286     0.89    
1bcu_ligand_288     0.1     
1bcu_ligand_293     0.62    
1bcu_ligand_300     0.64    
1bcu_ligand_312     2.74    
1bcu_ligand_327     1.31    
1bcu_ligand_329     1.88    
1bcu_ligand_342     1.43    
1bcu_ligand_343     1.66    
1bcu_ligand_345     1.94    
1bcu_ligand_347     0.27    
1bcu_ligand_352     3.2     
1bcu_ligand_361     1.24    
1bcu_ligand_362     1.06    
1bcu_ligand_364     0.97    
1bcu_ligand_365     0.83    
1bcu_ligand_366     1.41    
1bcu_ligand_367     1.04    
1bcu_ligand_369     0.88    
1bcu_ligand_371     0.25    
1bcu_ligand_372     1.61    
1bcu_ligand_374     1.55    
1bcu_ligand_376     0.48    
1bcu_ligand_377     0.61    
1bcu_ligand_379     0.42    
1bcu_ligand_380     0.18    
1bcu_ligand_381     0.02    
1bcu_ligand_382     0.28    
1bcu_ligand_383     0.21    
1bcu_ligand_385     -0.2    
1bcu_ligand_386     -0.02   
1bcu_ligand_387     -0.33   
1bcu_ligand_388     -0.28   
1bcu_ligand_389     -0.08   
1bcu_ligand_390     -0.35   
1bcu_ligand_392     0.06    
1bcu_ligand_393     0.15    
1bcu_ligand_395     -0.48   
1bcu_ligand_396     -0.85   
1bcu_ligand_398     -1.26   
1bcu_ligand_399     -0.09   
1bcu_ligand_400     -0.82   
1bcu_ligand_401     3.15    
1bcu_ligand_408     2.36    
1bcu_ligand_411     2.31    
1bcu_ligand_413     2.52    
1bcu_ligand_415     2.43    
1bcu_ligand_416     1.64    
1bcu_ligand_417     2.23    
1bcu_ligand_418     2.08    
1bcu_ligand_422     1.57    
1bcu_ligand_424     0.67    
1bcu_ligand_426     1.78    
1bcu_ligand_429     1.42    
1bcu_ligand_439     0.8     
1bcu_ligand_440     1.17    
1bcu_ligand_444     1.7     
1bcu_ligand_445     1.07    
1bcu_ligand_446     1.27    
1bcu_ligand_447     0.36    
1bcu_ligand_454     2.27    
1bcu_ligand_455     3.33    
1bcu_ligand_459     2.5     
1bcu_ligand_464     2.07    
1bcu_ligand_469     4.51    
1bcu_ligand_477     2.3     
1bcu_ligand_481     2.24    
1bcu_ligand_485     1.93    
1bcu_ligand_486     1.44    
1bcu_ligand_488     1.88    
1bcu_ligand_489     1.89    
1bcu_ligand_492     1.26    
1bcu_ligand_495     1.44    
1bcu_ligand_496     1.68    
1bcu_ligand_73      4.19    
1bzc_ligand_102     0.58    
1bzc_ligand_113     1.17    
1bzc_ligand_126     1.1     
1bzc_ligand_127     2.93    
1bzc_ligand_136     4.1     
1bzc_ligand_143     3.77    
1bzc_ligand_145     2.24    
1bzc_ligand_147     -0.28   
1bzc_ligand_152     1.96    
1bzc_ligand_157     4.85    
1bzc_ligand_168     3.87    
1bzc_ligand_169     1.09    
1bzc_ligand_17      1.57    
1bzc_ligand_175     3.77    
1bzc_ligand_176     1.75    
1bzc_ligand_177     2.08    
1bzc_ligand_178     3.81    
1bzc_ligand_179     5.35    
1bzc_ligand_182     4.83    
1bzc_ligand_184     2.04    
1bzc_ligand_185     2.63    
1bzc_ligand_188     1.8     
1bzc_ligand_192     2.19    
1bzc_ligand_193     0.91    
1bzc_ligand_194     2.26    
1bzc_ligand_198     1.61    
1bzc_ligand_209     1.18    
1bzc_ligand_21      1.88    
1bzc_ligand_210     -1.33   
1bzc_ligand_212     -0.2    
1bzc_ligand_214     0.64    
1bzc_ligand_215     1.05    
1bzc_ligand_216     -0.75   
1bzc_ligand_218     -0.45   
1bzc_ligand_22      2.62    
1bzc_ligand_222     0.53    
1bzc_ligand_226     -1.2    
1bzc_ligand_227     -1.27   
1bzc_ligand_230     1.27    
1bzc_ligand_231     -1.12   
1bzc_ligand_233     -0.27   
1bzc_ligand_234     -1.34   
1bzc_ligand_238     -0.08   
1bzc_ligand_240     -1.17   
1bzc_ligand_244     -0.13   
1bzc_ligand_245     0.75    
1bzc_ligand_246     1.2     
1bzc_ligand_250     -1.93   
1bzc_ligand_258     0.47    
1bzc_ligand_262     1.76    
1bzc_ligand_264     -0.15   
1bzc_ligand_274     1.27    
1bzc_ligand_275     6.65    
1bzc_ligand_276     3.89    
1bzc_ligand_280     1.2     
1bzc_ligand_287     1.01    
1bzc_ligand_289     1.11    
1bzc_ligand_290     0.48    
1bzc_ligand_295     2.03    
1bzc_ligand_297     0.94    
1bzc_ligand_301     3.28    
1bzc_ligand_308     0.26    
1bzc_ligand_316     0.19    
1bzc_ligand_319     3.22    
1bzc_ligand_327     1.32    
1bzc_ligand_328     4.05    
1bzc_ligand_330     2.95    
1bzc_ligand_332     2.5     
1bzc_ligand_341     1.59    
1bzc_ligand_342     3       
1bzc_ligand_344     3.45    
1bzc_ligand_346     2.65    
1bzc_ligand_348     2.05    
1bzc_ligand_356     5.83    
1bzc_ligand_36      -0.14   
1bzc_ligand_361     5.27    
1bzc_ligand_367     8.01    
1bzc_ligand_368     5.22    
1bzc_ligand_383     3.97    
1bzc_ligand_400     4.49    
1bzc_ligand_421     4.66    
1bzc_ligand_438     8.59    
1bzc_ligand_448     8.34    
1bzc_ligand_45      1.85    
1bzc_ligand_459     7.99    
1bzc_ligand_474     7.93    
1bzc_ligand_488     6.87    
1bzc_ligand_495     6.47    
1bzc_ligand_55      0.32    
1bzc_ligand_6       -0.13   
1bzc_ligand_62      2.15    
1bzc_ligand_68      3.71    
1bzc_ligand_69      1.97    
1bzc_ligand_72      3.8     
1bzc_ligand_73      3.26    
1bzc_ligand_79      3.08    
1bzc_ligand_83      1.78    
1bzc_ligand_85      2.84    
1bzc_ligand_89      2.04    
1bzc_ligand_9       0.04    
1c5z_ligand_125     2.32    
1c5z_ligand_151     0.68    
1c5z_ligand_157     0.41    
1c5z_ligand_158     0.82    
1c5z_ligand_161     1.3     
1c5z_ligand_173     0.6     
1c5z_ligand_174     1.64    
1c5z_ligand_182     0.67    
1c5z_ligand_189     0.84    
1c5z_ligand_190     0.95    
1c5z_ligand_192     0.22    
1c5z_ligand_204     1.06    
1c5z_ligand_205     1.12    
1c5z_ligand_206     0.13    
1c5z_ligand_207     0.46    
1c5z_ligand_209     3.07    
1c5z_ligand_210     0.23    
1c5z_ligand_211     1.49    
1c5z_ligand_213     0.67    
1c5z_ligand_216     -0.42   
