#code_ligand_num    score   
1a30_ligand_100     0.5     
1a30_ligand_104     -1.44   
1a30_ligand_107     0.03    
1a30_ligand_109     -1.39   
1a30_ligand_111     2.25    
1a30_ligand_113     1.25    
1a30_ligand_119     -2.12   
1a30_ligand_122     1.05    
1a30_ligand_126     -1.69   
1a30_ligand_127     -0.17   
1a30_ligand_136     0.12    
1a30_ligand_139     0.14    
1a30_ligand_146     1.84    
1a30_ligand_149     -0.36   
1a30_ligand_150     0.14    
1a30_ligand_156     3.45    
1a30_ligand_171     1.28    
1a30_ligand_186     3.3     
1a30_ligand_187     -0.07   
1a30_ligand_188     1.9     
1a30_ligand_194     4.36    
1a30_ligand_2       0.76    
1a30_ligand_206     -3.95   
1a30_ligand_207     -3.77   
1a30_ligand_208     -1.1    
1a30_ligand_209     -2.93   
1a30_ligand_210     -1.11   
1a30_ligand_211     0.63    
1a30_ligand_214     -3.28   
1a30_ligand_215     0.86    
1a30_ligand_217     -3.28   
1a30_ligand_218     -3.88   
1a30_ligand_222     -1.63   
1a30_ligand_223     -4.23   
1a30_ligand_224     -2.61   
1a30_ligand_231     -2.98   
1a30_ligand_233     -2.57   
1a30_ligand_236     -3.7    
1a30_ligand_239     -2.46   
1a30_ligand_240     -1.44   
1a30_ligand_241     -1.97   
1a30_ligand_243     -2.1    
1a30_ligand_246     -4.13   
1a30_ligand_248     -3.14   
1a30_ligand_249     -2.02   
1a30_ligand_25      -0.58   
1a30_ligand_258     2.21    
1a30_ligand_260     1.72    
1a30_ligand_275     1.19    
1a30_ligand_287     1.83    
1a30_ligand_296     -0.78   
1a30_ligand_306     -0.22   
1a30_ligand_31      -1.84   
1a30_ligand_314     -0.24   
1a30_ligand_324     -0.28   
1a30_ligand_325     1.53    
1a30_ligand_334     0.58    
1a30_ligand_337     -0.43   
1a30_ligand_341     1.64    
1a30_ligand_345     -0.79   
1a30_ligand_350     0.11    
1a30_ligand_36      -0.07   
1a30_ligand_364     8.86    
1a30_ligand_368     7.2     
1a30_ligand_37      1.41    
1a30_ligand_370     7.41    
1a30_ligand_388     2.2     
1a30_ligand_393     2.48    
1a30_ligand_400     4.82    
1a30_ligand_42      -0.74   
1a30_ligand_425     4.73    
1a30_ligand_426     12.68   
1a30_ligand_437     6.88    
1a30_ligand_44      1.45    
1a30_ligand_467     7.24    
1a30_ligand_48      -0.11   
1a30_ligand_5       2.41    
1a30_ligand_52      0.01    
1a30_ligand_54      1.54    
1a30_ligand_57      -1.61   
1a30_ligand_59      0.98    
1a30_ligand_61      -2.79   
1a30_ligand_62      -0.33   
1a30_ligand_65      0.07    
1a30_ligand_68      0.45    
1a30_ligand_71      -0.64   
1a30_ligand_73      -1.26   
1a30_ligand_76      0.42    
1a30_ligand_77      -2.57   
1a30_ligand_78      -1.09   
1a30_ligand_81      -1.21   
1a30_ligand_86      1.84    
1a30_ligand_87      -2.06   
1a30_ligand_9       -1.1    
1a30_ligand_91      0.09    
1a30_ligand_92      -1.34   
1a30_ligand_93      -0.62   
1a30_ligand_94      -2.19   
1a30_ligand_97      1.74    
1a30_ligand_99      -2.6    
1bcu_ligand_105     2.75    
1bcu_ligand_127     1.61    
1bcu_ligand_14      2.15    
1bcu_ligand_15      3.21    
1bcu_ligand_160     3.25    
1bcu_ligand_163     2.77    
1bcu_ligand_171     3.22    
1bcu_ligand_174     1.69    
1bcu_ligand_191     1.85    
1bcu_ligand_196     2.47    
1bcu_ligand_199     2.48    
1bcu_ligand_201     2.67    
1bcu_ligand_203     1.52    
1bcu_ligand_215     2.73    
1bcu_ligand_216     0.38    
1bcu_ligand_218     0.53    
1bcu_ligand_219     -0.74   
1bcu_ligand_220     1.28    
1bcu_ligand_222     0.25    
1bcu_ligand_231     -0.41   
1bcu_ligand_232     2.53    
1bcu_ligand_234     2.1     
1bcu_ligand_236     0.62    
1bcu_ligand_237     1.1     
1bcu_ligand_240     1.71    
1bcu_ligand_241     0.48    
1bcu_ligand_243     2.59    
1bcu_ligand_263     1.83    
1bcu_ligand_264     1.75    
1bcu_ligand_269     0.66    
1bcu_ligand_280     2.18    
1bcu_ligand_282     3.95    
1bcu_ligand_283     2.41    
1bcu_ligand_284     1.48    
1bcu_ligand_295     2.32    
1bcu_ligand_300     1.24    
1bcu_ligand_312     3.37    
1bcu_ligand_317     2.65    
1bcu_ligand_327     0.75    
1bcu_ligand_33      0.86    
1bcu_ligand_335     2.47    
1bcu_ligand_348     2.92    
1bcu_ligand_350     2.05    
1bcu_ligand_355     0.61    
1bcu_ligand_359     0.84    
1bcu_ligand_360     0.25    
1bcu_ligand_361     0.21    
1bcu_ligand_362     0.49    
1bcu_ligand_364     0.03    
1bcu_ligand_365     0.42    
1bcu_ligand_369     -0.01   
1bcu_ligand_372     -0.37   
1bcu_ligand_377     0.28    
1bcu_ligand_379     0.19    
1bcu_ligand_380     0.23    
1bcu_ligand_382     -0.21   
1bcu_ligand_384     -0.2    
1bcu_ligand_386     -0.63   
1bcu_ligand_387     -0.29   
1bcu_ligand_388     -0.22   
1bcu_ligand_389     -0.2    
1bcu_ligand_390     -0.62   
1bcu_ligand_391     -0.09   
1bcu_ligand_393     -0.62   
1bcu_ligand_394     -0.56   
1bcu_ligand_398     -0.79   
1bcu_ligand_4       1.81    
1bcu_ligand_400     -0.32   
1bcu_ligand_403     2.12    
1bcu_ligand_409     1.21    
1bcu_ligand_410     1.04    
1bcu_ligand_412     1.51    
1bcu_ligand_413     0.48    
1bcu_ligand_417     0.48    
1bcu_ligand_423     0.32    
1bcu_ligand_427     0.22    
1bcu_ligand_434     -0.3    
1bcu_ligand_438     -0.37   
1bcu_ligand_440     -0.15   
1bcu_ligand_444     0.07    
1bcu_ligand_446     0.36    
1bcu_ligand_447     0.14    
1bcu_ligand_448     -0.36   
1bcu_ligand_451     4.51    
1bcu_ligand_453     2.36    
1bcu_ligand_454     1.73    
1bcu_ligand_456     1.07    
1bcu_ligand_459     1.39    
1bcu_ligand_463     1.78    
1bcu_ligand_478     1.22    
1bcu_ligand_479     0.83    
1bcu_ligand_483     1.71    
1bcu_ligand_484     1.42    
1bcu_ligand_486     0.78    
1bcu_ligand_494     1.25    
1bcu_ligand_495     0.52    
1bcu_ligand_50      2.26    
1bcu_ligand_60      1.19    
1bcu_ligand_90      1.63    
1bcu_ligand_97      2.14    
1bzc_ligand_100     -0.96   
1bzc_ligand_110     1.2     
1bzc_ligand_122     -0.55   
1bzc_ligand_125     1.84    
1bzc_ligand_136     1.41    
1bzc_ligand_137     1.63    
1bzc_ligand_138     0.73    
1bzc_ligand_14      3.73    
1bzc_ligand_167     3.88    
1bzc_ligand_187     2.67    
1bzc_ligand_188     6.45    
1bzc_ligand_19      0.74    
1bzc_ligand_192     3.76    
1bzc_ligand_196     3.65    
1bzc_ligand_200     1.4     
1bzc_ligand_202     -1.93   
1bzc_ligand_204     0.35    
1bzc_ligand_206     0.91    
1bzc_ligand_207     0.04    
1bzc_ligand_209     -1.49   
1bzc_ligand_21      -0.24   
1bzc_ligand_210     -0.57   
1bzc_ligand_211     -1.06   
1bzc_ligand_212     -2.1    
1bzc_ligand_213     1.28    
1bzc_ligand_214     2.04    
1bzc_ligand_215     -1.25   
1bzc_ligand_216     -1.85   
1bzc_ligand_218     -1.81   
1bzc_ligand_219     -1.83   
1bzc_ligand_220     -2.57   
1bzc_ligand_221     -1.91   
1bzc_ligand_223     -0.57   
1bzc_ligand_224     -0.93   
1bzc_ligand_226     -0.48   
1bzc_ligand_228     -1.92   
1bzc_ligand_229     -0.08   
1bzc_ligand_231     -0.72   
1bzc_ligand_233     -0.49   
1bzc_ligand_236     -0.4    
1bzc_ligand_237     -1.06   
1bzc_ligand_238     0.04    
1bzc_ligand_239     0.21    
1bzc_ligand_241     -1.01   
1bzc_ligand_242     -0.99   
1bzc_ligand_243     -1      
1bzc_ligand_245     -1.84   
1bzc_ligand_246     -2.83   
1bzc_ligand_256     3.73    
1bzc_ligand_263     2.01    
1bzc_ligand_269     3.1     
1bzc_ligand_27      -0.89   
1bzc_ligand_280     0.61    
1bzc_ligand_281     4.2     
1bzc_ligand_284     3.17    
1bzc_ligand_289     3.33    
1bzc_ligand_290     1.83    
1bzc_ligand_3       2.26    
1bzc_ligand_30      2.15    
1bzc_ligand_304     1.56    
1bzc_ligand_307     1.08    
1bzc_ligand_308     5.37    
1bzc_ligand_310     1.84    
1bzc_ligand_312     2.11    
1bzc_ligand_317     0.07    
1bzc_ligand_318     1.33    
1bzc_ligand_328     2       
1bzc_ligand_329     3.17    
1bzc_ligand_335     0.57    
1bzc_ligand_336     3.14    
1bzc_ligand_341     1.94    
1bzc_ligand_350     0.72    
1bzc_ligand_353     6.45    
1bzc_ligand_363     4.07    
1bzc_ligand_376     7.67    
1bzc_ligand_38      2.37    
1bzc_ligand_384     3.93    
1bzc_ligand_4       0.46    
1bzc_ligand_44      1.54    
1bzc_ligand_48      1.45    
1bzc_ligand_50      1.09    
1bzc_ligand_51      -0.09   
1bzc_ligand_58      1.79    
1bzc_ligand_60      2.04    
1bzc_ligand_65      2.18    
1bzc_ligand_68      1.86    
1bzc_ligand_69      2.36    
1bzc_ligand_7       -0.87   
1bzc_ligand_71      1.74    
1bzc_ligand_73      -0.69   
1bzc_ligand_74      1.75    
1bzc_ligand_8       0.45    
1bzc_ligand_80      2.12    
1bzc_ligand_83      -0.22   
1bzc_ligand_86      -2.58   
1bzc_ligand_89      -0.64   
1bzc_ligand_93      1.91    
1bzc_ligand_95      4.44    
1bzc_ligand_98      -0.83   
1bzc_ligand_99      1.24    
1c5z_ligand_105     2.26    
1c5z_ligand_106     2.23    
1c5z_ligand_11      2.37    
1c5z_ligand_127     2.36    
1c5z_ligand_153     0.47    
1c5z_ligand_158     1.27    
1c5z_ligand_160     1.27    
1c5z_ligand_162     0.88    
1c5z_ligand_163     1.74    
1c5z_ligand_170     1.58    
1c5z_ligand_172     2.24    
1c5z_ligand_178     0.88    
1c5z_ligand_185     2.04    
1c5z_ligand_188     2.28    
1c5z_ligand_191     2.31    
1c5z_ligand_193     1.83    
1c5z_ligand_195     0.81    
1c5z_ligand_197     1.15    
1c5z_ligand_200     0.09    
1c5z_ligand_201     1.61    
1c5z_ligand_205     1.6     
1c5z_ligand_206     1.48    
