#code_ligand_num    score   
1a30_ligand_10      -1.08   
1a30_ligand_102     -1.13   
1a30_ligand_113     0.02    
1a30_ligand_118     -0.56   
1a30_ligand_119     -0.47   
1a30_ligand_12      -0.67   
1a30_ligand_123     0.65    
1a30_ligand_127     -0.48   
1a30_ligand_128     0       
1a30_ligand_13      -0.11   
1a30_ligand_131     1.66    
1a30_ligand_134     1.5     
1a30_ligand_138     1.09    
1a30_ligand_139     0.95    
1a30_ligand_140     -1.17   
1a30_ligand_143     1.76    
1a30_ligand_145     3.53    
1a30_ligand_147     0.2     
1a30_ligand_148     0.42    
1a30_ligand_160     -1.22   
1a30_ligand_166     1.34    
1a30_ligand_17      -0.1    
1a30_ligand_19      -0.97   
1a30_ligand_194     0.35    
1a30_ligand_197     1       
1a30_ligand_2       -0.56   
1a30_ligand_20      1.4     
1a30_ligand_204     -3      
1a30_ligand_205     -1.64   
1a30_ligand_207     -3.08   
1a30_ligand_209     -0.85   
1a30_ligand_21      -1.45   
1a30_ligand_210     -1.95   
1a30_ligand_214     -3.31   
1a30_ligand_215     -1.69   
1a30_ligand_216     -2.94   
1a30_ligand_219     1.43    
1a30_ligand_22      -1.25   
1a30_ligand_223     -3.12   
1a30_ligand_224     -2.02   
1a30_ligand_23      -3.13   
1a30_ligand_232     -3.51   
1a30_ligand_235     -1.97   
1a30_ligand_238     -0.69   
1a30_ligand_244     -2.65   
1a30_ligand_245     -3.17   
1a30_ligand_247     -2.38   
1a30_ligand_248     -3.6    
1a30_ligand_25      -1.93   
1a30_ligand_250     -3.23   
1a30_ligand_270     -2.52   
1a30_ligand_271     -0.49   
1a30_ligand_273     0.31    
1a30_ligand_278     -0.61   
1a30_ligand_28      -2.16   
1a30_ligand_290     -2.09   
1a30_ligand_292     2.31    
1a30_ligand_293     -2.15   
1a30_ligand_294     -0.58   
1a30_ligand_3       0.44    
1a30_ligand_307     1.81    
1a30_ligand_310     -1.93   
1a30_ligand_311     0.86    
1a30_ligand_321     -0.74   
1a30_ligand_335     -1.24   
1a30_ligand_343     -1.48   
1a30_ligand_349     1.83    
1a30_ligand_354     7.38    
1a30_ligand_36      -0.92   
1a30_ligand_386     4.11    
1a30_ligand_390     4.3     
1a30_ligand_391     3.05    
1a30_ligand_399     2.26    
1a30_ligand_4       -1.17   
1a30_ligand_40      -0.43   
1a30_ligand_402     5.85    
1a30_ligand_428     5.29    
1a30_ligand_43      -0.01   
1a30_ligand_454     7.97    
1a30_ligand_455     7.61    
1a30_ligand_464     5.49    
1a30_ligand_478     5.85    
1a30_ligand_48      -1.59   
1a30_ligand_481     4.26    
1a30_ligand_490     4.75    
1a30_ligand_52      3.2     
1a30_ligand_55      1.33    
1a30_ligand_58      1.47    
1a30_ligand_63      1.75    
1a30_ligand_65      -0.25   
1a30_ligand_67      2.81    
1a30_ligand_78      4.6     
1a30_ligand_8       -0.58   
1a30_ligand_81      0.94    
1a30_ligand_86      2.67    
1a30_ligand_87      -0.85   
1a30_ligand_89      -1.29   
1a30_ligand_91      0.53    
1a30_ligand_96      -2.4    
1a30_ligand_98      -1.1    
1bcu_ligand_147     1.63    
1bcu_ligand_159     2.83    
1bcu_ligand_171     0.5     
1bcu_ligand_177     0.86    
1bcu_ligand_185     0.81    
1bcu_ligand_187     -0.1    
1bcu_ligand_202     0.37    
1bcu_ligand_215     0.05    
1bcu_ligand_225     0.59    
1bcu_ligand_236     -0.25   
1bcu_ligand_240     0.43    
1bcu_ligand_259     1.69    
1bcu_ligand_265     0.35    
1bcu_ligand_267     1.98    
1bcu_ligand_268     1.35    
1bcu_ligand_272     0.49    
1bcu_ligand_273     2.23    
1bcu_ligand_276     -0.68   
1bcu_ligand_280     0.34    
1bcu_ligand_281     1.1     
1bcu_ligand_283     0.93    
1bcu_ligand_289     2.35    
1bcu_ligand_301     2.06    
1bcu_ligand_313     2.1     
1bcu_ligand_314     1.33    
1bcu_ligand_318     2.08    
1bcu_ligand_320     3.4     
1bcu_ligand_331     0.14    
1bcu_ligand_337     0.76    
1bcu_ligand_341     2.96    
1bcu_ligand_345     1.1     
1bcu_ligand_347     0.32    
1bcu_ligand_348     0.81    
1bcu_ligand_351     3.54    
1bcu_ligand_352     3.01    
1bcu_ligand_353     1.68    
1bcu_ligand_355     1.34    
1bcu_ligand_357     0.68    
1bcu_ligand_360     0.92    
1bcu_ligand_361     0.93    
1bcu_ligand_362     0.86    
1bcu_ligand_363     0.39    
1bcu_ligand_366     0.54    
1bcu_ligand_367     0.47    
1bcu_ligand_368     0.47    
1bcu_ligand_369     0.14    
1bcu_ligand_370     0.2     
1bcu_ligand_371     0.42    
1bcu_ligand_373     -0.14   
1bcu_ligand_376     0.42    
1bcu_ligand_377     0.13    
1bcu_ligand_378     -0.34   
1bcu_ligand_379     -0.23   
1bcu_ligand_380     -0.11   
1bcu_ligand_381     0.02    
1bcu_ligand_382     0.09    
1bcu_ligand_383     -0.56   
1bcu_ligand_384     -0.23   
1bcu_ligand_385     0.12    
1bcu_ligand_386     -0.02   
1bcu_ligand_387     -0.08   
1bcu_ligand_388     0.45    
1bcu_ligand_389     -0.35   
1bcu_ligand_390     -0.09   
1bcu_ligand_391     -0.24   
1bcu_ligand_396     -0.11   
1bcu_ligand_397     -0.23   
1bcu_ligand_399     -0.5    
1bcu_ligand_400     -0.82   
1bcu_ligand_407     1.94    
1bcu_ligand_412     1.22    
1bcu_ligand_413     1.56    
1bcu_ligand_418     1.14    
1bcu_ligand_419     2.64    
1bcu_ligand_422     0.86    
1bcu_ligand_426     1.2     
1bcu_ligand_428     0.82    
1bcu_ligand_430     1.72    
1bcu_ligand_431     0.81    
1bcu_ligand_433     0.44    
1bcu_ligand_435     0.84    
1bcu_ligand_437     0.39    
1bcu_ligand_438     0.61    
1bcu_ligand_439     0.71    
1bcu_ligand_441     0.47    
1bcu_ligand_444     0.49    
1bcu_ligand_447     0.56    
1bcu_ligand_450     -0.25   
1bcu_ligand_459     3.19    
1bcu_ligand_461     2.54    
1bcu_ligand_463     1.89    
1bcu_ligand_466     1.87    
1bcu_ligand_474     1.59    
1bcu_ligand_477     0.98    
1bcu_ligand_478     1.37    
1bcu_ligand_484     0.79    
1bcu_ligand_485     0.8     
1bcu_ligand_490     1.27    
1bcu_ligand_498     0.8     
1bcu_ligand_81      2.77    
1bzc_ligand_106     0.46    
1bzc_ligand_108     0.8     
1bzc_ligand_113     0.37    
1bzc_ligand_116     0.33    
1bzc_ligand_117     1.1     
1bzc_ligand_118     1.25    
1bzc_ligand_123     2.43    
1bzc_ligand_13      -1.17   
1bzc_ligand_151     1.35    
1bzc_ligand_156     0.77    
1bzc_ligand_16      -0.03   
1bzc_ligand_169     3.29    
1bzc_ligand_173     1.46    
1bzc_ligand_180     -0.21   
1bzc_ligand_181     1.46    
1bzc_ligand_189     2.48    
1bzc_ligand_193     0.98    
1bzc_ligand_194     1.27    
1bzc_ligand_196     1.61    
1bzc_ligand_197     1.53    
1bzc_ligand_202     -0.95   
1bzc_ligand_204     -1.4    
1bzc_ligand_206     -0.75   
1bzc_ligand_209     0.03    
1bzc_ligand_21      0.72    
1bzc_ligand_216     0.45    
1bzc_ligand_219     -0.64   
1bzc_ligand_220     1.51    
1bzc_ligand_221     -1.32   
1bzc_ligand_222     0.84    
1bzc_ligand_223     -1.25   
1bzc_ligand_224     -0.72   
1bzc_ligand_227     -1.7    
1bzc_ligand_229     0.38    
1bzc_ligand_232     -2.41   
1bzc_ligand_233     1.24    
1bzc_ligand_237     1.33    
1bzc_ligand_239     -0.02   
1bzc_ligand_241     -0.62   
1bzc_ligand_242     -2.24   
1bzc_ligand_244     0.78    
1bzc_ligand_245     -1.17   
1bzc_ligand_248     -2.43   
1bzc_ligand_250     0.21    
1bzc_ligand_258     0.91    
1bzc_ligand_268     1.61    
1bzc_ligand_269     -0.2    
1bzc_ligand_271     1.41    
1bzc_ligand_272     2.39    
1bzc_ligand_273     0.9     
1bzc_ligand_279     0.41    
1bzc_ligand_281     0.91    
1bzc_ligand_284     3.64    
1bzc_ligand_290     2.13    
1bzc_ligand_30      -0.57   
1bzc_ligand_305     2.61    
1bzc_ligand_31      1.18    
1bzc_ligand_310     1.82    
1bzc_ligand_311     0.08    
1bzc_ligand_316     -0.09   
1bzc_ligand_327     2.69    
1bzc_ligand_331     0.02    
1bzc_ligand_346     0.94    
1bzc_ligand_351     6.89    
1bzc_ligand_353     4.18    
1bzc_ligand_357     4.58    
1bzc_ligand_358     4.37    
1bzc_ligand_359     4.12    
1bzc_ligand_360     3.95    
1bzc_ligand_362     4.24    
1bzc_ligand_365     3.98    
1bzc_ligand_368     3.35    
1bzc_ligand_378     2.22    
1bzc_ligand_379     4.96    
1bzc_ligand_385     2.31    
1bzc_ligand_386     4.7     
1bzc_ligand_388     4.62    
1bzc_ligand_392     4.21    
1bzc_ligand_393     3.38    
1bzc_ligand_398     3.08    
1bzc_ligand_40      0.24    
1bzc_ligand_400     2.85    
1bzc_ligand_421     4.94    
1bzc_ligand_426     5.12    
1bzc_ligand_43      -0.2    
1bzc_ligand_467     5.8     
1bzc_ligand_479     6.57    
1bzc_ligand_484     7.36    
1bzc_ligand_5       1.04    
1bzc_ligand_50      0.55    
1bzc_ligand_57      1.95    
1bzc_ligand_64      1.32    
1bzc_ligand_77      0.62    
1bzc_ligand_85      2.58    
1bzc_ligand_86      1.08    
1bzc_ligand_90      0.74    
1bzc_ligand_92      -0.04   
1bzc_ligand_93      1.18    
1bzc_ligand_95      -0.68   
1bzc_ligand_97      1.94    
1c5z_ligand_154     -0.83   
1c5z_ligand_162     0.48    
1c5z_ligand_164     -0.69   
1c5z_ligand_167     1.2     
1c5z_ligand_171     -0.05   
1c5z_ligand_172     -0.36   
1c5z_ligand_178     -0.07   
1c5z_ligand_181     0.64    
1c5z_ligand_183     0.48    
1c5z_ligand_189     0       
1c5z_ligand_19      0.52    
1c5z_ligand_192     -0.84   
1c5z_ligand_193     0.21    
