#code_ligand_num    score   
1a30_ligand_10      -2.81   
1a30_ligand_102     0.79    
1a30_ligand_106     -0.61   
1a30_ligand_108     -2.56   
1a30_ligand_111     0.76    
1a30_ligand_116     -1.03   
1a30_ligand_117     -0.46   
1a30_ligand_12      -3.39   
1a30_ligand_122     0.91    
1a30_ligand_127     -0.32   
1a30_ligand_129     -1.64   
1a30_ligand_131     -2.02   
1a30_ligand_132     -0.74   
1a30_ligand_141     -1.88   
1a30_ligand_147     1.16    
1a30_ligand_15      -2.03   
1a30_ligand_162     3.06    
1a30_ligand_168     4.87    
1a30_ligand_169     1.34    
1a30_ligand_170     1.98    
1a30_ligand_181     1.69    
1a30_ligand_182     3.49    
1a30_ligand_185     0.73    
1a30_ligand_19      -2.43   
1a30_ligand_197     0.64    
1a30_ligand_204     -3.11   
1a30_ligand_205     -4.22   
1a30_ligand_206     -3.38   
1a30_ligand_208     -3      
1a30_ligand_209     -2.17   
1a30_ligand_210     -1.5    
1a30_ligand_211     -3.44   
1a30_ligand_216     -2.3    
1a30_ligand_223     -0.94   
1a30_ligand_224     -5.21   
1a30_ligand_228     -3.16   
1a30_ligand_229     -3.65   
1a30_ligand_232     -2.65   
1a30_ligand_235     -3.9    
1a30_ligand_236     -4.62   
1a30_ligand_237     -1.59   
1a30_ligand_240     -3.26   
1a30_ligand_241     -2.11   
1a30_ligand_247     -3.82   
1a30_ligand_248     -5.02   
1a30_ligand_249     -2.31   
1a30_ligand_259     0.04    
1a30_ligand_261     2.37    
1a30_ligand_264     -1.09   
1a30_ligand_270     -0.99   
1a30_ligand_273     -0.47   
1a30_ligand_274     -0.5    
1a30_ligand_28      -2.1    
1a30_ligand_282     1.48    
1a30_ligand_287     -0.3    
1a30_ligand_289     -0.01   
1a30_ligand_292     -0.04   
1a30_ligand_295     -0.51   
1a30_ligand_297     -2.12   
1a30_ligand_299     -1.41   
1a30_ligand_300     -0.45   
1a30_ligand_31      -0.4    
1a30_ligand_316     2.33    
1a30_ligand_319     -0.6    
1a30_ligand_32      -2.35   
1a30_ligand_320     -0.12   
1a30_ligand_33      -0.52   
1a30_ligand_330     0.57    
1a30_ligand_336     -1.73   
1a30_ligand_338     1.46    
1a30_ligand_340     2.07    
1a30_ligand_342     -2.81   
1a30_ligand_346     -0.8    
1a30_ligand_350     1.42    
1a30_ligand_353     5.52    
1a30_ligand_40      -2.26   
1a30_ligand_42      -1.61   
1a30_ligand_43      -1.87   
1a30_ligand_46      -2.18   
1a30_ligand_5       -1.86   
1a30_ligand_50      -1.3    
1a30_ligand_53      -0.47   
1a30_ligand_6       -2.52   
1a30_ligand_64      -4.16   
1a30_ligand_65      0.2     
1a30_ligand_66      -1.62   
1a30_ligand_68      -2.25   
1a30_ligand_70      -2.24   
1a30_ligand_71      0.29    
1a30_ligand_73      -2.45   
1a30_ligand_76      0.14    
1a30_ligand_8       -1.39   
1a30_ligand_83      1.4     
1a30_ligand_86      0.06    
1a30_ligand_87      -1.85   
1a30_ligand_89      -0.5    
1a30_ligand_90      0.7     
1a30_ligand_96      -0.42   
1a30_ligand_98      -1.43   
1a30_ligand_99      -1.78   
1bcu_ligand_160     2.14    
1bcu_ligand_168     1.43    
1bcu_ligand_169     2.53    
1bcu_ligand_178     2.18    
1bcu_ligand_179     2.74    
1bcu_ligand_188     3.23    
1bcu_ligand_197     2.87    
1bcu_ligand_198     2.53    
1bcu_ligand_209     -0.51   
1bcu_ligand_211     0.1     
1bcu_ligand_213     0.86    
1bcu_ligand_215     1.13    
1bcu_ligand_216     2.01    
1bcu_ligand_217     -1      
1bcu_ligand_219     2.96    
1bcu_ligand_221     1.07    
1bcu_ligand_222     2.5     
1bcu_ligand_223     1.88    
1bcu_ligand_226     -0.22   
1bcu_ligand_231     -0.93   
1bcu_ligand_235     2.96    
1bcu_ligand_236     -0.17   
1bcu_ligand_239     -0.16   
1bcu_ligand_245     2.85    
1bcu_ligand_247     0.68    
1bcu_ligand_248     1.49    
1bcu_ligand_249     0.45    
1bcu_ligand_250     0.86    
1bcu_ligand_257     2.22    
1bcu_ligand_259     1.43    
1bcu_ligand_274     4.08    
1bcu_ligand_277     2.5     
1bcu_ligand_278     2.5     
1bcu_ligand_280     2.13    
1bcu_ligand_282     -0.15   
1bcu_ligand_285     2.51    
1bcu_ligand_290     0.94    
1bcu_ligand_293     3.08    
1bcu_ligand_315     2.13    
1bcu_ligand_322     3.19    
1bcu_ligand_328     1.98    
1bcu_ligand_336     1.99    
1bcu_ligand_337     1.66    
1bcu_ligand_339     3.47    
1bcu_ligand_340     1.22    
1bcu_ligand_353     2.74    
1bcu_ligand_357     1.74    
1bcu_ligand_362     0.93    
1bcu_ligand_363     0.45    
1bcu_ligand_365     0.66    
1bcu_ligand_366     0.07    
1bcu_ligand_367     0.53    
1bcu_ligand_368     0.14    
1bcu_ligand_369     0.13    
1bcu_ligand_370     0.35    
1bcu_ligand_371     0.57    
1bcu_ligand_373     0.52    
1bcu_ligand_377     -0.06   
1bcu_ligand_378     -0.39   
1bcu_ligand_379     0.48    
1bcu_ligand_380     0.1     
1bcu_ligand_384     -0.13   
1bcu_ligand_385     -0.4    
1bcu_ligand_389     -0.4    
1bcu_ligand_391     -0.25   
1bcu_ligand_392     -0.09   
1bcu_ligand_393     -0.32   
1bcu_ligand_394     -0.36   
1bcu_ligand_395     -0.07   
1bcu_ligand_396     0.07    
1bcu_ligand_398     -0.41   
