#code_ligand_num    score   
1a30_ligand_101     1.83    
1a30_ligand_106     0.74    
1a30_ligand_110     1.13    
1a30_ligand_113     -0.5    
1a30_ligand_118     -0.37   
1a30_ligand_119     -1.2    
1a30_ligand_121     -2.21   
1a30_ligand_122     -1.71   
1a30_ligand_123     -1.28   
1a30_ligand_128     1.84    
1a30_ligand_130     0.07    
1a30_ligand_135     2.33    
1a30_ligand_136     -0.21   
1a30_ligand_14      -1.62   
1a30_ligand_148     -1.76   
1a30_ligand_158     0.49    
1a30_ligand_160     -2.11   
1a30_ligand_168     0.94    
1a30_ligand_170     0.28    
1a30_ligand_186     -0.74   
1a30_ligand_187     0.29    
1a30_ligand_188     -0.96   
1a30_ligand_20      -0.13   
1a30_ligand_208     -3.11   
1a30_ligand_211     -3.36   
1a30_ligand_212     -2.43   
1a30_ligand_213     -3.13   
1a30_ligand_215     -2.78   
1a30_ligand_218     -2.59   
1a30_ligand_220     -3.9    
1a30_ligand_222     -1.26   
1a30_ligand_224     -2.99   
1a30_ligand_226     -3.24   
1a30_ligand_229     -4.05   
1a30_ligand_234     -2.9    
1a30_ligand_237     -1.43   
1a30_ligand_244     -4.5    
1a30_ligand_247     -4.14   
1a30_ligand_248     -3.02   
1a30_ligand_249     -4.85   
1a30_ligand_250     -3.32   
1a30_ligand_265     -0.73   
1a30_ligand_273     -0.83   
1a30_ligand_275     -2.57   
1a30_ligand_282     -2.95   
1a30_ligand_285     -2.27   
1a30_ligand_287     -1.54   
1a30_ligand_296     2.43    
1a30_ligand_299     -2.63   
1a30_ligand_30      -2.54   
1a30_ligand_300     -1.92   
1a30_ligand_304     -0.15   
1a30_ligand_305     1.61    
1a30_ligand_307     -0.72   
1a30_ligand_308     2.49    
1a30_ligand_310     2.14    
1a30_ligand_318     -0.68   
1a30_ligand_319     -1.72   
1a30_ligand_335     -1.31   
1a30_ligand_337     0.28    
1a30_ligand_34      -2.16   
1a30_ligand_344     -0.61   
1a30_ligand_351     6.63    
1a30_ligand_360     4.11    
1a30_ligand_369     4.25    
1a30_ligand_38      -0.51   
1a30_ligand_383     3.93    
1a30_ligand_389     3.48    
1a30_ligand_393     2.47    
1a30_ligand_403     4.66    
1a30_ligand_42      -1.74   
1a30_ligand_423     7.77    
1a30_ligand_427     5.39    
1a30_ligand_435     5.21    
1a30_ligand_442     3       
1a30_ligand_444     4.92    
1a30_ligand_445     3.88    
1a30_ligand_447     3.7     
1a30_ligand_467     7.28    
1a30_ligand_5       -0.96   
1a30_ligand_51      -2.87   
1a30_ligand_52      -1.37   
1a30_ligand_53      2.07    
1a30_ligand_56      -3.6    
1a30_ligand_58      1.47    
1a30_ligand_59      -2.53   
1a30_ligand_64      0.33    
1a30_ligand_66      -0.96   
1a30_ligand_69      -1.57   
1a30_ligand_7       -1.83   
1a30_ligand_74      -0.94   
1a30_ligand_76      0.45    
1a30_ligand_79      -2.6    
1a30_ligand_81      -0.37   
1a30_ligand_85      -2.39   
1a30_ligand_87      0.53    
1a30_ligand_88      -1.31   
1a30_ligand_9       -0.47   
1a30_ligand_94      -0.8    
1a30_ligand_96      0.02    
1bcu_ligand_1       0.04    
1bcu_ligand_104     -1.12   
1bcu_ligand_107     1.34    
1bcu_ligand_118     1.61    
1bcu_ligand_150     1.73    
1bcu_ligand_161     0.27    
1bcu_ligand_181     2.14    
1bcu_ligand_188     1.34    
1bcu_ligand_195     0.02    
1bcu_ligand_212     -0.89   
1bcu_ligand_213     -2.01   
1bcu_ligand_214     -1.22   
1bcu_ligand_228     0.48    
1bcu_ligand_23      -0.04   
1bcu_ligand_231     -0.96   
1bcu_ligand_232     0.82    
1bcu_ligand_233     -0.15   
1bcu_ligand_235     -1.01   
1bcu_ligand_236     1.68    
1bcu_ligand_239     -0.16   
1bcu_ligand_24      -0.22   
1bcu_ligand_241     -0.63   
1bcu_ligand_243     -0.28   
1bcu_ligand_247     -1.16   
1bcu_ligand_255     -1.15   
1bcu_ligand_265     -0.18   
1bcu_ligand_284     -1.51   
1bcu_ligand_290     -0.08   
1bcu_ligand_30      -0.59   
1bcu_ligand_301     2.99    
1bcu_ligand_308     1.92    
1bcu_ligand_316     -0.07   
1bcu_ligand_320     1.85    
1bcu_ligand_321     3.18    
1bcu_ligand_330     1.67    
1bcu_ligand_335     1.34    
1bcu_ligand_341     0.49    
1bcu_ligand_343     0.08    
1bcu_ligand_345     -0.05   
1bcu_ligand_351     2.31    
1bcu_ligand_352     1.75    
1bcu_ligand_357     0.47    
1bcu_ligand_362     0.01    
1bcu_ligand_363     0.7     
1bcu_ligand_369     0.36    
1bcu_ligand_370     -0.27   
1bcu_ligand_371     -0.22   
1bcu_ligand_373     -0.25   
1bcu_ligand_375     0.27    
1bcu_ligand_377     -0.48   
1bcu_ligand_378     -0.54   
1bcu_ligand_380     0.02    
1bcu_ligand_383     -0.25   
1bcu_ligand_385     -0.63   
1bcu_ligand_386     -0.82   
1bcu_ligand_387     -0.85   
1bcu_ligand_388     0       
1bcu_ligand_39      -0.89   
1bcu_ligand_390     -0.35   
1bcu_ligand_392     -0.07   
1bcu_ligand_393     -0.44   
1bcu_ligand_395     -0.98   
1bcu_ligand_396     -1      
1bcu_ligand_397     -0.72   
1bcu_ligand_399     -0.6    
1bcu_ligand_400     -1.05   
1bcu_ligand_401     1.77    
1bcu_ligand_403     1.04    
1bcu_ligand_405     0.52    
1bcu_ligand_408     1.57    
1bcu_ligand_410     0.94    
1bcu_ligand_413     0.82    
1bcu_ligand_414     1.06    
1bcu_ligand_415     1.19    
1bcu_ligand_417     0.56    
1bcu_ligand_420     0.23    
1bcu_ligand_421     0.84    
1bcu_ligand_422     0.49    
1bcu_ligand_425     0.6     
1bcu_ligand_429     0.3     
1bcu_ligand_430     1.07    
1bcu_ligand_433     0.65    
1bcu_ligand_439     0.69    
1bcu_ligand_442     0.32    
1bcu_ligand_447     0.13    
1bcu_ligand_449     0.19    
1bcu_ligand_456     1.19    
1bcu_ligand_459     0.68    
1bcu_ligand_46      -0.4    
1bcu_ligand_460     0.63    
1bcu_ligand_462     0.72    
1bcu_ligand_48      0.05    
1bcu_ligand_480     0.55    
1bcu_ligand_482     0.76    
1bcu_ligand_483     0.54    
1bcu_ligand_485     0.99    
1bcu_ligand_488     0.61    
1bcu_ligand_494     0.78    
1bcu_ligand_7       -0.57   
1bcu_ligand_86      0.75    
1bzc_ligand_1       -0.16   
1bzc_ligand_115     2.36    
1bzc_ligand_117     1.59    
1bzc_ligand_120     0.28    
1bzc_ligand_123     1.7     
1bzc_ligand_15      -1.52   
1bzc_ligand_152     -0.69   
1bzc_ligand_16      -1.13   
1bzc_ligand_176     0.9     
1bzc_ligand_18      0.07    
1bzc_ligand_191     1.41    
1bzc_ligand_192     -0.36   
1bzc_ligand_198     -0.11   
1bzc_ligand_200     -1.68   
1bzc_ligand_202     -1.16   
1bzc_ligand_204     -1.89   
1bzc_ligand_206     -1.77   
1bzc_ligand_208     -1.62   
1bzc_ligand_210     -1.98   
1bzc_ligand_212     -1.37   
1bzc_ligand_217     -1.66   
1bzc_ligand_218     -1.2    
1bzc_ligand_219     -1.13   
1bzc_ligand_221     -0.67   
1bzc_ligand_222     -0.17   
1bzc_ligand_225     -2.73   
1bzc_ligand_227     -1.71   
1bzc_ligand_228     0.17    
1bzc_ligand_229     -0.68   
1bzc_ligand_233     -1.92   
1bzc_ligand_235     -2.59   
1bzc_ligand_238     -0.41   
1bzc_ligand_245     -0.86   
1bzc_ligand_246     -2.5    
1bzc_ligand_247     -1.71   
1bzc_ligand_249     -1.77   
1bzc_ligand_25      0.31    
1bzc_ligand_250     -0.54   
1bzc_ligand_251     0.35    
1bzc_ligand_257     -0.85   
1bzc_ligand_26      -0.05   
1bzc_ligand_262     2.33    
1bzc_ligand_265     -1.1    
1bzc_ligand_277     0.25    
1bzc_ligand_279     -0.04   
1bzc_ligand_286     -0.32   
1bzc_ligand_292     -1.52   
1bzc_ligand_297     1.71    
1bzc_ligand_299     0.5     
1bzc_ligand_304     2.08    
1bzc_ligand_309     0.92    
1bzc_ligand_31      1.36    
1bzc_ligand_311     1.68    
1bzc_ligand_312     -0.47   
1bzc_ligand_314     -0.31   
1bzc_ligand_317     0.8     
1bzc_ligand_319     -1.13   
1bzc_ligand_32      -2.19   
1bzc_ligand_329     0.52    
1bzc_ligand_330     -0.37   
1bzc_ligand_333     -1.18   
1bzc_ligand_334     0.98    
1bzc_ligand_340     2.8     
1bzc_ligand_344     0.87    
1bzc_ligand_347     0.38    
1bzc_ligand_352     8.02    
1bzc_ligand_354     6.72    
1bzc_ligand_360     3.8     
1bzc_ligand_369     3.09    
1bzc_ligand_37      -0.37   
1bzc_ligand_370     3.6     
1bzc_ligand_375     2.43    
1bzc_ligand_377     2.93    
1bzc_ligand_38      -1.06   
1bzc_ligand_385     3.57    
1bzc_ligand_388     3.52    
1bzc_ligand_389     2.88    
1bzc_ligand_398     3.5     
1bzc_ligand_42      -0.56   
1bzc_ligand_43      -1.21   
1bzc_ligand_443     3.91    
1bzc_ligand_446     6.49    
1bzc_ligand_447     5.75    
1bzc_ligand_450     4.59    
1bzc_ligand_49      -0.82   
1bzc_ligand_54      2.5     
1bzc_ligand_58      0.98    
1bzc_ligand_60      -0.38   
1bzc_ligand_61      3.66    
1bzc_ligand_63      -0.43   
1bzc_ligand_78      -0.78   
1bzc_ligand_80      1.12    
1bzc_ligand_85      0.81    
1bzc_ligand_87      -1.09   
1bzc_ligand_9       -1.82   
1bzc_ligand_90      0.34    
1bzc_ligand_92      -1.13   
1bzc_ligand_94      1.5     
1bzc_ligand_96      1.03    
1bzc_ligand_98      -0.57   
1c5z_ligand_122     0.06    
1c5z_ligand_136     0.26    
1c5z_ligand_139     1.06    
1c5z_ligand_140     -0.5    
1c5z_ligand_143     1.3     
1c5z_ligand_154     -0.41   
1c5z_ligand_160     -1.24   
1c5z_ligand_162     -0.56   
1c5z_ligand_168     -0.02   
1c5z_ligand_171     -0.34   
1c5z_ligand_181     -0.97   
1c5z_ligand_182     -1.31   
1c5z_ligand_185     -0.59   
1c5z_ligand_188     0.18    
1c5z_ligand_197     0.01    
1c5z_ligand_20      -0.37   
1c5z_ligand_200     0.06    
1c5z_ligand_206     -1.92   
1c5z_ligand_208     -0.24   
1c5z_ligand_209     -1.11   
1c5z_ligand_21      0.51    
1c5z_ligand_211     -1.4    
1c5z_ligand_213     -0.25   
1c5z_ligand_215     -0.64   
1c5z_ligand_222     -0.93   
1c5z_ligand_225     0.51    
