#code_ligand_num    score   
1a30_ligand_1       1.17    
1a30_ligand_11      0.39    
1a30_ligand_112     4.28    
1a30_ligand_114     -0.01   
1a30_ligand_115     3.76    
1a30_ligand_117     1.81    
1a30_ligand_128     2.26    
1a30_ligand_129     4.87    
1a30_ligand_131     -0.05   
1a30_ligand_14      0.7     
1a30_ligand_141     -0.41   
1a30_ligand_146     0.01    
1a30_ligand_148     -0.85   
1a30_ligand_149     -0.05   
1a30_ligand_155     0.73    
1a30_ligand_16      0.86    
1a30_ligand_161     3.31    
1a30_ligand_164     -0.21   
1a30_ligand_166     0.52    
1a30_ligand_168     0.34    
1a30_ligand_169     1.57    
1a30_ligand_173     -0.84   
1a30_ligand_175     0.62    
1a30_ligand_177     0.73    
1a30_ligand_178     2.7     
1a30_ligand_180     0.32    
1a30_ligand_184     0.55    
1a30_ligand_19      0.64    
1a30_ligand_190     0.75    
1a30_ligand_195     0.63    
1a30_ligand_198     1.52    
1a30_ligand_200     0.32    
1a30_ligand_204     0.24    
1a30_ligand_206     -2.74   
1a30_ligand_212     0.01    
1a30_ligand_217     -0.96   
1a30_ligand_221     1.15    
1a30_ligand_225     -2.79   
1a30_ligand_227     0.65    
1a30_ligand_232     -1.83   
1a30_ligand_234     -0.62   
1a30_ligand_235     0.04    
1a30_ligand_241     0.51    
1a30_ligand_246     1.87    
1a30_ligand_255     2.14    
1a30_ligand_265     -0.85   
1a30_ligand_267     1.1     
1a30_ligand_277     0.45    
1a30_ligand_279     0.79    
1a30_ligand_28      1.13    
1a30_ligand_280     0.68    
1a30_ligand_286     1.22    
1a30_ligand_291     0.74    
1a30_ligand_305     1.73    
1a30_ligand_31      -0.99   
1a30_ligand_316     2.91    
1a30_ligand_320     0.33    
1a30_ligand_327     0.64    
1a30_ligand_333     3.25    
1a30_ligand_335     1.19    
1a30_ligand_34      -2.69   
1a30_ligand_345     2.1     
1a30_ligand_349     -1.17   
1a30_ligand_359     6.5     
1a30_ligand_36      0.18    
1a30_ligand_360     4.88    
1a30_ligand_362     6.63    
1a30_ligand_371     8.96    
1a30_ligand_374     6.04    
1a30_ligand_376     5.1     
1a30_ligand_381     6.8     
1a30_ligand_388     5.2     
1a30_ligand_397     4.92    
1a30_ligand_399     4.76    
1a30_ligand_400     4.38    
1a30_ligand_422     5.25    
1a30_ligand_434     5.79    
1a30_ligand_45      -0.59   
1a30_ligand_488     7.39    
1a30_ligand_493     5.83    
1a30_ligand_495     5.61    
1a30_ligand_5       -0.02   
1a30_ligand_50      -0.73   
1a30_ligand_53      2.76    
1a30_ligand_56      -0.27   
1a30_ligand_59      -1.52   
1a30_ligand_6       1.35    
1a30_ligand_60      -1.34   
1a30_ligand_62      -1.92   
1a30_ligand_68      2.43    
1a30_ligand_69      0.3     
1a30_ligand_73      2.43    
1a30_ligand_75      2.85    
1a30_ligand_76      -1.01   
1a30_ligand_77      0.07    
1a30_ligand_83      -0.75   
1a30_ligand_86      3.29    
1a30_ligand_87      -1.43   
1a30_ligand_89      0.36    
1a30_ligand_99      2.85    
1bcu_ligand_106     2.03    
1bcu_ligand_113     2.68    
1bcu_ligand_118     2.86    
1bcu_ligand_123     1.82    
1bcu_ligand_131     0.58    
1bcu_ligand_137     1.06    
1bcu_ligand_155     0.97    
1bcu_ligand_156     0.74    
1bcu_ligand_159     2.39    
1bcu_ligand_169     0.65    
1bcu_ligand_171     0.31    
1bcu_ligand_177     1.13    
1bcu_ligand_182     0.9     
1bcu_ligand_187     1.36    
1bcu_ligand_189     2.43    
1bcu_ligand_190     0.37    
1bcu_ligand_194     1.16    
1bcu_ligand_199     2.01    
1bcu_ligand_20      1.19    
1bcu_ligand_200     1.15    
1bcu_ligand_202     1.01    
1bcu_ligand_21      2.3     
1bcu_ligand_212     1.9     
1bcu_ligand_220     1.68    
1bcu_ligand_230     -0.01   
1bcu_ligand_241     -0.37   
1bcu_ligand_251     0.72    
1bcu_ligand_260     2.86    
1bcu_ligand_261     1.03    
1bcu_ligand_262     -0.41   
1bcu_ligand_269     1.31    
1bcu_ligand_274     1.45    
1bcu_ligand_280     0.5     
1bcu_ligand_284     1.09    
1bcu_ligand_285     -0.08   
1bcu_ligand_286     0.12    
1bcu_ligand_290     0.5     
1bcu_ligand_291     1.5     
1bcu_ligand_294     1.2     
1bcu_ligand_296     1.01    
1bcu_ligand_298     -0.38   
1bcu_ligand_300     0.65    
1bcu_ligand_303     2.82    
1bcu_ligand_307     3.27    
1bcu_ligand_311     1.72    
1bcu_ligand_312     1.33    
1bcu_ligand_315     1.16    
1bcu_ligand_340     1.36    
1bcu_ligand_343     1.47    
1bcu_ligand_345     1.53    
1bcu_ligand_350     2.88    
1bcu_ligand_353     4.25    
1bcu_ligand_357     3.38    
1bcu_ligand_359     2.56    
1bcu_ligand_360     2.9     
1bcu_ligand_362     3.2     
1bcu_ligand_363     2.91    
1bcu_ligand_365     3.03    
1bcu_ligand_366     3.31    
1bcu_ligand_370     2.42    
1bcu_ligand_371     2.87    
1bcu_ligand_372     1.87    
1bcu_ligand_373     2.55    
1bcu_ligand_374     1.34    
1bcu_ligand_375     1.56    
1bcu_ligand_376     0.63    
1bcu_ligand_377     0.99    
1bcu_ligand_378     0.44    
1bcu_ligand_379     0.87    
1bcu_ligand_380     0.38    
1bcu_ligand_381     1.41    
1bcu_ligand_382     0.5     
1bcu_ligand_384     1.05    
1bcu_ligand_385     0.71    
1bcu_ligand_388     0.86    
1bcu_ligand_389     2.72    
1bcu_ligand_390     0.43    
1bcu_ligand_391     0.55    
1bcu_ligand_392     0.01    
1bcu_ligand_393     0.38    
1bcu_ligand_394     0.17    
1bcu_ligand_395     -0.02   
1bcu_ligand_396     -0.41   
1bcu_ligand_397     -0.85   
1bcu_ligand_398     -0.98   
1bcu_ligand_400     -0.38   
1bcu_ligand_406     4.39    
1bcu_ligand_418     3.56    
1bcu_ligand_430     3.04    
1bcu_ligand_442     1.46    
1bcu_ligand_445     3.14    
1bcu_ligand_451     4.78    
1bcu_ligand_455     3.9     
1bcu_ligand_459     3.5     
