#code_ligand_num    score   
1a30_ligand_1       -1.04   
1a30_ligand_10      -0.11   
1a30_ligand_106     -2.01   
1a30_ligand_109     0.73    
1a30_ligand_110     0.52    
1a30_ligand_111     2.97    
1a30_ligand_115     0.98    
1a30_ligand_116     0.61    
1a30_ligand_118     3.36    
1a30_ligand_121     0.39    
1a30_ligand_126     -0.24   
1a30_ligand_130     0.5     
1a30_ligand_147     4.09    
1a30_ligand_15      2       
1a30_ligand_151     3.15    
1a30_ligand_152     3.76    
1a30_ligand_167     4.36    
1a30_ligand_171     3.75    
1a30_ligand_180     3.53    
1a30_ligand_201     -2.04   
1a30_ligand_202     -3.07   
1a30_ligand_203     -3.22   
1a30_ligand_205     -4.04   
1a30_ligand_206     -3.37   
1a30_ligand_208     -0.99   
1a30_ligand_210     -0.81   
1a30_ligand_211     -3.65   
1a30_ligand_213     -4.68   
1a30_ligand_214     -1.1    
1a30_ligand_218     -2.58   
1a30_ligand_219     -2.31   
1a30_ligand_220     -2.53   
1a30_ligand_222     -5.24   
1a30_ligand_223     -1.65   
1a30_ligand_224     -3.95   
1a30_ligand_226     -2.58   
1a30_ligand_227     -4.04   
1a30_ligand_228     -2.67   
1a30_ligand_229     0.62    
1a30_ligand_230     -2.46   
1a30_ligand_232     -1.79   
1a30_ligand_233     -1.74   
1a30_ligand_234     -1.61   
1a30_ligand_243     -3.27   
1a30_ligand_244     -4.42   
1a30_ligand_245     -3.65   
1a30_ligand_247     -2.2    
1a30_ligand_248     -4.22   
1a30_ligand_249     -3.91   
1a30_ligand_250     -3.94   
1a30_ligand_252     5.42    
1a30_ligand_253     -2.04   
1a30_ligand_255     4.09    
1a30_ligand_256     3.42    
1a30_ligand_257     1.61    
1a30_ligand_259     3.73    
1a30_ligand_262     1.8     
1a30_ligand_263     -0.14   
1a30_ligand_269     -0.32   
1a30_ligand_27      -0.74   
1a30_ligand_270     -1.63   
1a30_ligand_276     2.41    
1a30_ligand_281     2.61    
1a30_ligand_282     -1.22   
1a30_ligand_289     5       
1a30_ligand_292     1.24    
1a30_ligand_296     3.97    
1a30_ligand_298     2.84    
1a30_ligand_300     1.78    
1a30_ligand_305     5.48    
1a30_ligand_312     5.65    
1a30_ligand_314     2.76    
1a30_ligand_322     2.34    
1a30_ligand_325     4.16    
1a30_ligand_33      -2.05   
1a30_ligand_34      -0.45   
1a30_ligand_340     2.84    
1a30_ligand_345     1.6     
1a30_ligand_346     0.77    
1a30_ligand_348     1.15    
1a30_ligand_35      0.87    
1a30_ligand_42      -2.51   
1a30_ligand_44      -1.91   
1a30_ligand_46      -0.57   
1a30_ligand_5       -2.67   
1a30_ligand_53      -0.33   
1a30_ligand_55      2.69    
1a30_ligand_58      0.65    
1a30_ligand_59      -0.91   
1a30_ligand_69      0.55    
1a30_ligand_70      0.69    
1a30_ligand_75      5.37    
1a30_ligand_76      -0.87   
1a30_ligand_77      -0.65   
1a30_ligand_79      -0.73   
1a30_ligand_8       -0.9    
1a30_ligand_82      -1.41   
1a30_ligand_95      -0.33   
1a30_ligand_96      0.56    
1a30_ligand_98      0.04    
1bcu_ligand_151     3.82    
1bcu_ligand_155     4.18    
1bcu_ligand_162     2.52    
1bcu_ligand_179     3.05    
1bcu_ligand_180     2.88    
1bcu_ligand_182     2.94    
1bcu_ligand_187     3.28    
1bcu_ligand_188     4.48    
1bcu_ligand_196     2.94    
1bcu_ligand_200     2.82    
1bcu_ligand_208     2.32    
1bcu_ligand_210     5.2     
1bcu_ligand_216     1.88    
1bcu_ligand_221     3.32    
1bcu_ligand_222     2.09    
1bcu_ligand_223     2.62    
1bcu_ligand_227     2.54    
1bcu_ligand_228     3.39    
1bcu_ligand_231     4.56    
1bcu_ligand_233     2.23    
1bcu_ligand_243     3.71    
1bcu_ligand_259     3.19    
1bcu_ligand_261     3.73    
1bcu_ligand_263     3.58    
1bcu_ligand_267     2.39    
1bcu_ligand_269     2.88    
1bcu_ligand_273     1.86    
1bcu_ligand_297     2.85    
1bcu_ligand_300     1.63    
1bcu_ligand_303     2.1     
1bcu_ligand_308     3.44    
1bcu_ligand_319     3.19    
1bcu_ligand_328     2.63    
1bcu_ligand_335     2.58    
1bcu_ligand_346     2.57    
1bcu_ligand_350     3.31    
1bcu_ligand_352     1.85    
1bcu_ligand_354     1.5     
1bcu_ligand_355     2.25    
1bcu_ligand_356     1.1     
1bcu_ligand_358     1.48    
1bcu_ligand_361     0.08    
1bcu_ligand_362     0.88    
1bcu_ligand_363     0.88    
1bcu_ligand_364     0.94    
1bcu_ligand_365     1.15    
1bcu_ligand_369     0.1     
1bcu_ligand_370     0.43    
1bcu_ligand_371     0.55    
1bcu_ligand_372     0.71    
1bcu_ligand_373     0.12    
1bcu_ligand_374     0.75    
1bcu_ligand_375     0.41    
1bcu_ligand_376     -0.16   
1bcu_ligand_379     -0.11   
1bcu_ligand_380     0.14    
1bcu_ligand_381     0       
1bcu_ligand_382     0.18    
1bcu_ligand_383     -0.38   
1bcu_ligand_384     0.06    
1bcu_ligand_385     -0.59   
1bcu_ligand_386     -0.36   
1bcu_ligand_387     0.49    
1bcu_ligand_388     0.67    
1bcu_ligand_389     0.34    
1bcu_ligand_390     -0.5    
1bcu_ligand_392     -0.4    
1bcu_ligand_393     -0.47   
1bcu_ligand_395     -1.16   
1bcu_ligand_396     -0.8    
1bcu_ligand_397     -0.35   
1bcu_ligand_398     -0.09   
1bcu_ligand_399     -1.13   
1bcu_ligand_400     -0.36   
1bcu_ligand_408     3.46    
1bcu_ligand_411     1.29    
1bcu_ligand_413     1.14    
1bcu_ligand_420     1.01    
1bcu_ligand_429     1.35    
1bcu_ligand_431     1.04    
1bcu_ligand_433     0.86    
1bcu_ligand_435     0.6     
1bcu_ligand_437     0.53    
1bcu_ligand_438     0.67    
1bcu_ligand_441     0.57    
1bcu_ligand_443     0.45    
1bcu_ligand_448     0.55    
1bcu_ligand_449     0.2     
1bcu_ligand_450     1.63    
1bcu_ligand_468     2.83    
1bcu_ligand_471     2.02    
1bcu_ligand_472     2.66    
1bcu_ligand_473     1.83    
1bcu_ligand_477     1.08    
1bcu_ligand_479     1.91    
1bcu_ligand_480     2.27    
1bcu_ligand_488     0.93    
1bcu_ligand_489     1.3     
1bcu_ligand_495     1.23    
1bcu_ligand_6       3.5     
1bzc_ligand_1       2.79    
1bzc_ligand_104     4.08    
1bzc_ligand_120     3.83    
1bzc_ligand_129     0.67    
1bzc_ligand_134     3.71    
1bzc_ligand_138     4.08    
1bzc_ligand_142     2.57    
1bzc_ligand_155     2.15    
1bzc_ligand_156     4.4     
1bzc_ligand_160     6.86    
1bzc_ligand_161     3.36    
1bzc_ligand_164     3.37    
1bzc_ligand_168     5.16    
1bzc_ligand_174     4.42    
1bzc_ligand_180     4.91    
1bzc_ligand_181     3.28    
1bzc_ligand_183     4.53    
1bzc_ligand_184     3.71    
1bzc_ligand_185     3.96    
1bzc_ligand_19      2.66    
1bzc_ligand_191     2.74    
1bzc_ligand_193     4.5     
1bzc_ligand_198     2.92    
1bzc_ligand_199     2.59    
1bzc_ligand_200     3.66    
1bzc_ligand_204     -1.06   
1bzc_ligand_205     -1.81   
1bzc_ligand_206     -1.75   
1bzc_ligand_207     -0.15   
1bzc_ligand_208     -1.49   
1bzc_ligand_209     3.55    
1bzc_ligand_212     0.03    
1bzc_ligand_215     -2.7    
1bzc_ligand_216     0.9     
1bzc_ligand_217     -2.64   
1bzc_ligand_218     1.05    
1bzc_ligand_219     3.27    
1bzc_ligand_220     -2.12   
1bzc_ligand_221     1.98    
1bzc_ligand_222     1.15    
1bzc_ligand_223     -0.25   
1bzc_ligand_225     2.06    
1bzc_ligand_226     3.6     
1bzc_ligand_228     -2.78   
1bzc_ligand_229     -2.44   
1bzc_ligand_230     0.6     
1bzc_ligand_231     -0.11   
1bzc_ligand_232     0.02    
1bzc_ligand_233     -2.43   
1bzc_ligand_236     -0.16   
1bzc_ligand_237     -0.84   
1bzc_ligand_239     2.77    
1bzc_ligand_241     -1.61   
1bzc_ligand_242     2.09    
1bzc_ligand_243     1.73    
1bzc_ligand_244     0.11    
1bzc_ligand_246     1.55    
1bzc_ligand_247     -1.48   
1bzc_ligand_249     1.09    
1bzc_ligand_250     -0.64   
1bzc_ligand_254     3.6     
1bzc_ligand_257     1.95    
1bzc_ligand_259     5.5     
1bzc_ligand_261     2.25    
1bzc_ligand_267     5.27    
1bzc_ligand_272     4       
1bzc_ligand_273     7.82    
1bzc_ligand_276     1.54    
1bzc_ligand_277     3.02    
1bzc_ligand_279     3.44    
1bzc_ligand_280     2.72    
1bzc_ligand_285     1.23    
1bzc_ligand_286     3.75    
1bzc_ligand_287     3.92    
1bzc_ligand_288     2.31    
1bzc_ligand_291     2.16    
1bzc_ligand_292     0.74    
1bzc_ligand_294     2.85    
1bzc_ligand_295     3.73    
1bzc_ligand_297     2.25    
1bzc_ligand_298     0.91    
1bzc_ligand_301     5.34    
1bzc_ligand_302     2.92    
1bzc_ligand_307     5.42    
1bzc_ligand_312     4.76    
1bzc_ligand_315     2.67    
1bzc_ligand_316     2.77    
1bzc_ligand_322     4.9     
1bzc_ligand_325     4       
1bzc_ligand_327     3.15    
1bzc_ligand_329     4.93    
1bzc_ligand_331     2.77    
1bzc_ligand_334     2.63    
1bzc_ligand_336     4.21    
1bzc_ligand_338     3.82    
1bzc_ligand_339     3.33    
1bzc_ligand_342     2.71    
1bzc_ligand_344     2.35    
1bzc_ligand_347     3.8     
1bzc_ligand_75      3.78    
1c5z_ligand_140     1.55    
1c5z_ligand_155     0.86    
1c5z_ligand_156     1.98    
1c5z_ligand_158     0.64    
1c5z_ligand_163     0.42    
1c5z_ligand_167     0.41    
1c5z_ligand_172     1.82    
1c5z_ligand_175     1.45    
1c5z_ligand_181     -0.31   
1c5z_ligand_182     0.06    
1c5z_ligand_185     1.54    
1c5z_ligand_187     1.69    
1c5z_ligand_189     2.02    
1c5z_ligand_190     1.54    
1c5z_ligand_195     1.53    
1c5z_ligand_198     1.12    
1c5z_ligand_208     0.83    
1c5z_ligand_212     2.86    
1c5z_ligand_215     2.19    
1c5z_ligand_216     1       
1c5z_ligand_217     1.21    
1c5z_ligand_222     0.97    
1c5z_ligand_224     1.14    
1c5z_ligand_226     1.04    
1c5z_ligand_227     1.29    
1c5z_ligand_229     2       
1c5z_ligand_230     1.02    
1c5z_ligand_235     1.07    
1c5z_ligand_236     1.44    
1c5z_ligand_242     1.46    
1c5z_ligand_243     0.59    
1c5z_ligand_255     1.77    
1c5z_ligand_257     0.57    
1c5z_ligand_261     1.25    
1c5z_ligand_262     1.39    
1c5z_ligand_268     1.78    
1c5z_ligand_273     1.42    
1c5z_ligand_278     1.06    
