#code_ligand_num    score   
1a30_ligand_10      66      
1a30_ligand_100     177     
1a30_ligand_104     242     
1a30_ligand_106     229     
1a30_ligand_110     85      
1a30_ligand_115     286     
1a30_ligand_120     148     
1a30_ligand_121     241     
1a30_ligand_122     43      
1a30_ligand_124     259     
1a30_ligand_125     66      
1a30_ligand_127     316     
1a30_ligand_14      -48     
1a30_ligand_140     228     
1a30_ligand_15      11      
1a30_ligand_152     49      
1a30_ligand_16      -2      
1a30_ligand_162     169     
1a30_ligand_164     208     
1a30_ligand_171     125     
1a30_ligand_173     99      
1a30_ligand_179     378     
1a30_ligand_183     204     
1a30_ligand_19      12      
1a30_ligand_197     329     
1a30_ligand_203     -134    
1a30_ligand_204     -133    
1a30_ligand_205     -147    
1a30_ligand_207     81      
1a30_ligand_209     -89     
1a30_ligand_215     -59     
1a30_ligand_220     -29     
1a30_ligand_222     -53     
1a30_ligand_224     13      
1a30_ligand_226     -142    
1a30_ligand_227     -123    
1a30_ligand_229     -103    
1a30_ligand_231     216     
1a30_ligand_235     34      
1a30_ligand_236     -19     
1a30_ligand_24      -7      
1a30_ligand_240     -68     
1a30_ligand_241     52      
1a30_ligand_262     237     
1a30_ligand_265     98      
1a30_ligand_268     23      
1a30_ligand_27      42      
1a30_ligand_279     158     
1a30_ligand_28      -74     
1a30_ligand_283     80      
1a30_ligand_285     74      
1a30_ligand_289     95      
1a30_ligand_290     65      
1a30_ligand_296     131     
1a30_ligand_30      112     
1a30_ligand_300     -65     
1a30_ligand_301     169     
1a30_ligand_302     60      
1a30_ligand_31      -30     
1a30_ligand_310     430     
1a30_ligand_313     133     
1a30_ligand_314     280     
1a30_ligand_317     98      
1a30_ligand_319     142     
1a30_ligand_320     145     
1a30_ligand_323     63      
1a30_ligand_327     69      
1a30_ligand_33      142     
1a30_ligand_330     -48     
1a30_ligand_332     100     
1a30_ligand_335     60      
1a30_ligand_337     59      
1a30_ligand_341     235     
1a30_ligand_346     203     
1a30_ligand_349     -83     
1a30_ligand_35      25      
1a30_ligand_369     244     
1a30_ligand_378     376     
1a30_ligand_38      -62     
1a30_ligand_387     271     
1a30_ligand_4       -66     
1a30_ligand_403     398     
