#code_ligand_num    score   
1a30_ligand_1       100     
1a30_ligand_10      -77     
1a30_ligand_105     -8      
1a30_ligand_106     76      
1a30_ligand_107     99      
1a30_ligand_111     16      
1a30_ligand_113     -29     
1a30_ligand_114     149     
1a30_ligand_115     90      
1a30_ligand_117     -24     
1a30_ligand_119     24      
1a30_ligand_12      -13     
1a30_ligand_126     12      
1a30_ligand_127     43      
1a30_ligand_131     199     
1a30_ligand_134     122     
1a30_ligand_136     138     
1a30_ligand_139     -52     
1a30_ligand_14      35      
1a30_ligand_144     8       
1a30_ligand_145     45      
1a30_ligand_148     -21     
1a30_ligand_150     -25     
1a30_ligand_16      -68     
1a30_ligand_169     43      
1a30_ligand_17      -109    
1a30_ligand_179     148     
1a30_ligand_19      -63     
1a30_ligand_192     140     
1a30_ligand_199     111     
1a30_ligand_2       -15     
1a30_ligand_20      24      
1a30_ligand_204     -67     
1a30_ligand_21      -183    
1a30_ligand_218     -131    
1a30_ligand_221     -109    
1a30_ligand_232     -112    
1a30_ligand_24      -75     
1a30_ligand_242     24      
1a30_ligand_244     -139    
1a30_ligand_245     -131    
1a30_ligand_26      -109    
1a30_ligand_268     -104    
1a30_ligand_27      -59     
1a30_ligand_28      -145    
1a30_ligand_282     3       
1a30_ligand_29      -45     
1a30_ligand_292     147     
1a30_ligand_31      -53     
1a30_ligand_316     58      
1a30_ligand_319     35      
1a30_ligand_326     57      
1a30_ligand_33      110     
1a30_ligand_335     2       
1a30_ligand_343     181     
1a30_ligand_35      -38     
1a30_ligand_350     -9      
1a30_ligand_356     205     
1a30_ligand_36      -172    
1a30_ligand_379     94      
1a30_ligand_38      79      
1a30_ligand_385     109     
1a30_ligand_388     217     
1a30_ligand_39      3       
1a30_ligand_4       55      
1a30_ligand_40      115     
1a30_ligand_400     195     
1a30_ligand_411     258     
1a30_ligand_425     275     
1a30_ligand_455     283     
1a30_ligand_459     225     
1a30_ligand_464     299     
1a30_ligand_476     149     
1a30_ligand_48      -27     
1a30_ligand_485     78      
1a30_ligand_51      11      
1a30_ligand_52      229     
1a30_ligand_54      -85     
1a30_ligand_57      52      
1a30_ligand_58      127     
1a30_ligand_59      92      
1a30_ligand_60      99      
1a30_ligand_63      180     
1a30_ligand_66      -54     
1a30_ligand_67      -52     
1a30_ligand_70      29      
1a30_ligand_74      -75     
1a30_ligand_75      -66     
1a30_ligand_77      -6      
1a30_ligand_80      91      
1a30_ligand_81      -92     
1a30_ligand_85      83      
1a30_ligand_87      37      
1a30_ligand_88      31      
1a30_ligand_89      87      
1a30_ligand_91      -26     
1a30_ligand_93      15      
1a30_ligand_96      30      
