#code_ligand_num    score   
1a30_ligand_112     346     
1a30_ligand_116     327     
1a30_ligand_117     242     
1a30_ligand_120     333     
1a30_ligand_124     200     
1a30_ligand_126     227     
1a30_ligand_127     327     
1a30_ligand_129     132     
1a30_ligand_131     18      
1a30_ligand_135     229     
1a30_ligand_141     350     
1a30_ligand_143     174     
1a30_ligand_147     317     
1a30_ligand_151     62      
1a30_ligand_162     6       
1a30_ligand_163     164     
1a30_ligand_170     121     
1a30_ligand_176     44      
1a30_ligand_185     -20     
1a30_ligand_195     -9      
1a30_ligand_197     223     
1a30_ligand_20      209     
1a30_ligand_201     140     
1a30_ligand_202     -12     
1a30_ligand_206     -77     
1a30_ligand_210     -9      
1a30_ligand_212     -121    
1a30_ligand_220     56      
1a30_ligand_223     -75     
1a30_ligand_226     71      
1a30_ligand_228     -68     
1a30_ligand_23      188     
1a30_ligand_232     92      
1a30_ligand_233     -15     
1a30_ligand_234     49      
1a30_ligand_236     -74     
1a30_ligand_237     9       
1a30_ligand_238     89      
1a30_ligand_241     -92     
1a30_ligand_242     -74     
1a30_ligand_244     79      
1a30_ligand_245     0       
1a30_ligand_247     28      
1a30_ligand_248     -74     
1a30_ligand_250     -27     
1a30_ligand_255     58      
1a30_ligand_259     80      
1a30_ligand_26      85      
1a30_ligand_265     143     
1a30_ligand_266     37      
1a30_ligand_267     153     
1a30_ligand_276     62      
1a30_ligand_28      218     
1a30_ligand_282     -21     
1a30_ligand_283     58      
1a30_ligand_284     12      
1a30_ligand_286     107     
1a30_ligand_289     36      
1a30_ligand_291     169     
1a30_ligand_295     126     
1a30_ligand_297     26      
1a30_ligand_304     215     
1a30_ligand_306     -40     
1a30_ligand_31      174     
1a30_ligand_316     234     
1a30_ligand_325     118     
1a30_ligand_335     209     
1a30_ligand_346     72      
1a30_ligand_349     -4      
1a30_ligand_359     339     
1a30_ligand_368     352     
1a30_ligand_369     397     
1a30_ligand_381     306     
1a30_ligand_384     530     
1a30_ligand_408     606     
1a30_ligand_412     464     
1a30_ligand_427     398     
1a30_ligand_429     254     
1a30_ligand_443     352     
1a30_ligand_444     232     
1a30_ligand_446     426     
1a30_ligand_45      119     
1a30_ligand_458     536     
1a30_ligand_479     334     
1a30_ligand_480     332     
1a30_ligand_49      213     
1a30_ligand_51      138     
1a30_ligand_53      251     
1a30_ligand_54      162     
1a30_ligand_56      196     
1a30_ligand_57      177     
1a30_ligand_66      538     
1a30_ligand_68      160     
1a30_ligand_7       201     
1a30_ligand_71      148     
1a30_ligand_75      148     
1a30_ligand_78      145     
1a30_ligand_79      252     
1a30_ligand_83      93      
1a30_ligand_91      209     
1bcu_ligand_138     270     
1bcu_ligand_140     326     
1bcu_ligand_146     349     
1bcu_ligand_149     257     
1bcu_ligand_151     322     
1bcu_ligand_152     312     
1bcu_ligand_163     191     
1bcu_ligand_166     262     
1bcu_ligand_186     234     
1bcu_ligand_213     298     
1bcu_ligand_214     334     
1bcu_ligand_216     374     
1bcu_ligand_218     247     
1bcu_ligand_223     223     
1bcu_ligand_224     250     
1bcu_ligand_233     402     
1bcu_ligand_234     244     
1bcu_ligand_237     343     
1bcu_ligand_246     394     
1bcu_ligand_249     331     
1bcu_ligand_266     170     
1bcu_ligand_270     205     
1bcu_ligand_274     247     
1bcu_ligand_280     250     
1bcu_ligand_289     230     
1bcu_ligand_291     268     
1bcu_ligand_302     449     
1bcu_ligand_303     444     
1bcu_ligand_305     392     
1bcu_ligand_311     354     
1bcu_ligand_313     308     
1bcu_ligand_314     310     
1bcu_ligand_328     336     
1bcu_ligand_332     304     
1bcu_ligand_335     185     
1bcu_ligand_337     312     
1bcu_ligand_342     268     
1bcu_ligand_353     280     
1bcu_ligand_356     235     
1bcu_ligand_357     176     
1bcu_ligand_359     226     
1bcu_ligand_363     232     
1bcu_ligand_366     238     
1bcu_ligand_367     225     
1bcu_ligand_368     256     
1bcu_ligand_369     268     
1bcu_ligand_371     191     
1bcu_ligand_372     300     
1bcu_ligand_373     293     
1bcu_ligand_375     179     
1bcu_ligand_376     187     
1bcu_ligand_377     190     
1bcu_ligand_379     170     
1bcu_ligand_380     197     
1bcu_ligand_382     161     
1bcu_ligand_383     140     
1bcu_ligand_385     143     
1bcu_ligand_386     179     
1bcu_ligand_387     201     
1bcu_ligand_388     179     
1bcu_ligand_389     123     
1bcu_ligand_390     126     
1bcu_ligand_392     66      
1bcu_ligand_393     108     
1bcu_ligand_396     191     
1bcu_ligand_398     170     
1bcu_ligand_400     134     
1bcu_ligand_406     304     
1bcu_ligand_407     322     
1bcu_ligand_42      395     
1bcu_ligand_430     311     
1bcu_ligand_432     155     
1bcu_ligand_433     279     
1bcu_ligand_438     202     
1bcu_ligand_439     215     
1bcu_ligand_440     149     
1bcu_ligand_441     267     
1bcu_ligand_445     303     
1bcu_ligand_446     223     
1bcu_ligand_448     203     
1bcu_ligand_456     247     
1bcu_ligand_458     356     
1bcu_ligand_462     334     
1bcu_ligand_465     344     
1bcu_ligand_468     336     
1bcu_ligand_471     396     
1bcu_ligand_473     296     
1bcu_ligand_475     176     
1bcu_ligand_477     209     
1bcu_ligand_478     185     
1bcu_ligand_480     270     
1bcu_ligand_481     338     
1bcu_ligand_483     275     
1bcu_ligand_484     323     
1bcu_ligand_486     256     
1bcu_ligand_488     307     
1bcu_ligand_489     367     
1bcu_ligand_498     283     
1bcu_ligand_68      309     
1bcu_ligand_72      408     
1bzc_ligand_1       127     
1bzc_ligand_102     36      
1bzc_ligand_105     165     
1bzc_ligand_107     353     
1bzc_ligand_111     126     
1bzc_ligand_114     67      
1bzc_ligand_116     306     
1bzc_ligand_118     0       
1bzc_ligand_119     428     
1bzc_ligand_120     165     
1bzc_ligand_121     97      
1bzc_ligand_125     170     
1bzc_ligand_131     316     
1bzc_ligand_140     379     
1bzc_ligand_146     282     
1bzc_ligand_148     340     
1bzc_ligand_150     198     
1bzc_ligand_154     291     
1bzc_ligand_160     221     
1bzc_ligand_164     312     
1bzc_ligand_166     191     
1bzc_ligand_167     249     
1bzc_ligand_170     437     
1bzc_ligand_175     237     
1bzc_ligand_186     67      
1bzc_ligand_189     320     
1bzc_ligand_194     313     
1bzc_ligand_196     197     
1bzc_ligand_197     128     
1bzc_ligand_198     209     
1bzc_ligand_2       188     
1bzc_ligand_205     31      
1bzc_ligand_206     224     
1bzc_ligand_208     258     
1bzc_ligand_211     229     
1bzc_ligand_212     312     
1bzc_ligand_217     -45     
1bzc_ligand_218     292     
1bzc_ligand_221     151     
1bzc_ligand_222     273     
1bzc_ligand_223     150     
1bzc_ligand_224     159     
1bzc_ligand_229     221     
1bzc_ligand_230     166     
1bzc_ligand_232     114     
1bzc_ligand_238     178     
1bzc_ligand_241     433     
1bzc_ligand_242     220     
1bzc_ligand_247     204     
1bzc_ligand_248     312     
1bzc_ligand_257     328     
1bzc_ligand_260     359     
1bzc_ligand_263     192     
1bzc_ligand_264     143     
1bzc_ligand_267     197     
1bzc_ligand_270     165     
1bzc_ligand_271     314     
1bzc_ligand_277     156     
1bzc_ligand_281     162     
1bzc_ligand_288     370     
1bzc_ligand_29      263     
1bzc_ligand_290     253     
1bzc_ligand_294     120     
1bzc_ligand_295     191     
1bzc_ligand_296     117     
1bzc_ligand_299     67      
1bzc_ligand_300     55      
1bzc_ligand_305     285     
1bzc_ligand_307     219     
1bzc_ligand_311     220     
1bzc_ligand_315     253     
1bzc_ligand_319     86      
1bzc_ligand_323     364     
1bzc_ligand_328     199     
1bzc_ligand_330     190     
1bzc_ligand_332     369     
1bzc_ligand_346     365     
1bzc_ligand_35      165     
1bzc_ligand_392     262     
1bzc_ligand_399     351     
1bzc_ligand_40      258     
1bzc_ligand_455     594     
1bzc_ligand_49      305     
1bzc_ligand_53      380     
1bzc_ligand_57      31      
1bzc_ligand_59      291     
1bzc_ligand_60      194     
1bzc_ligand_61      407     
1bzc_ligand_62      144     
1bzc_ligand_63      308     
1bzc_ligand_65      313     
1bzc_ligand_70      308     
1bzc_ligand_76      217     
1bzc_ligand_80      325     
1bzc_ligand_82      158     
1bzc_ligand_88      147     
1bzc_ligand_91      73      
1bzc_ligand_92      184     
1bzc_ligand_95      17      
1bzc_ligand_98      -8      
1c5z_ligand_108     394     
1c5z_ligand_127     398     
1c5z_ligand_129     295     
1c5z_ligand_156     344     
1c5z_ligand_161     181     
1c5z_ligand_169     321     
1c5z_ligand_172     176     
1c5z_ligand_174     202     
1c5z_ligand_175     176     
1c5z_ligand_180     416     
1c5z_ligand_184     227     
1c5z_ligand_187     221     
1c5z_ligand_192     202     
1c5z_ligand_194     392     
1c5z_ligand_197     230     
1c5z_ligand_198     194     
1c5z_ligand_200     316     
1c5z_ligand_204     280     
1c5z_ligand_207     302     
1c5z_ligand_211     395     
1c5z_ligand_215     299     
1c5z_ligand_220     155     
1c5z_ligand_222     214     
1c5z_ligand_224     305     
1c5z_ligand_230     437     
1c5z_ligand_232     278     
1c5z_ligand_235     103     
1c5z_ligand_243     201     
1c5z_ligand_245     96      
1c5z_ligand_246     392     
1c5z_ligand_250     158     
1c5z_ligand_252     265     
1c5z_ligand_257     158     
1c5z_ligand_260     88      
1c5z_ligand_261     163     
1c5z_ligand_264     164     
1c5z_ligand_265     75      
1c5z_ligand_266     162     
1c5z_ligand_268     179     
1c5z_ligand_272     111     
1c5z_ligand_273     172     
1c5z_ligand_276     126     
1c5z_ligand_279     117     
1c5z_ligand_280     75      
1c5z_ligand_281     171     
1c5z_ligand_282     213     
1c5z_ligand_283     497     
1c5z_ligand_284     126     
1c5z_ligand_289     102     
1c5z_ligand_290     241     
