#code_ligand_num    score   
1a30_ligand_1       141     
1a30_ligand_102     127     
1a30_ligand_104     243     
1a30_ligand_105     109     
1a30_ligand_108     90      
1a30_ligand_109     186     
1a30_ligand_110     189     
1a30_ligand_111     216     
1a30_ligand_112     263     
1a30_ligand_113     201     
1a30_ligand_115     118     
1a30_ligand_117     132     
1a30_ligand_125     220     
1a30_ligand_128     203     
1a30_ligand_129     379     
1a30_ligand_131     130     
1a30_ligand_132     147     
1a30_ligand_134     225     
1a30_ligand_146     472     
1a30_ligand_150     234     
1a30_ligand_155     122     
1a30_ligand_158     139     
1a30_ligand_159     273     
1a30_ligand_16      435     
1a30_ligand_165     100     
1a30_ligand_172     140     
1a30_ligand_178     141     
1a30_ligand_18      154     
1a30_ligand_185     94      
1a30_ligand_188     79      
1a30_ligand_19      107     
1a30_ligand_194     126     
1a30_ligand_2       117     
1a30_ligand_200     175     
1a30_ligand_203     10      
1a30_ligand_205     -55     
1a30_ligand_209     -89     
1a30_ligand_22      57      
1a30_ligand_225     5       
1a30_ligand_228     140     
1a30_ligand_229     -47     
1a30_ligand_235     2       
1a30_ligand_243     20      
1a30_ligand_247     115     
1a30_ligand_248     159     
1a30_ligand_257     196     
1a30_ligand_269     252     
1a30_ligand_27      237     
1a30_ligand_271     58      
1a30_ligand_273     186     
1a30_ligand_274     68      
1a30_ligand_275     145     
1a30_ligand_279     177     
1a30_ligand_28      178     
1a30_ligand_283     88      
1a30_ligand_294     159     
1a30_ligand_299     15      
1a30_ligand_306     220     
1a30_ligand_315     142     
1a30_ligand_317     87      
1a30_ligand_321     301     
1a30_ligand_322     91      
1a30_ligand_323     251     
1a30_ligand_326     80      
1a30_ligand_330     163     
1a30_ligand_336     68      
1a30_ligand_337     163     
1a30_ligand_340     -37     
1a30_ligand_341     100     
1a30_ligand_349     141     
1a30_ligand_357     245     
1a30_ligand_372     177     
1a30_ligand_376     238     
1a30_ligand_378     84      
1a30_ligand_382     155     
1a30_ligand_385     236     
1a30_ligand_392     343     
1a30_ligand_398     175     
1a30_ligand_433     198     
1a30_ligand_44      76      
1a30_ligand_45      388     
1a30_ligand_455     634     
1a30_ligand_47      194     
1a30_ligand_489     468     
1a30_ligand_497     400     
1a30_ligand_51      306     
1a30_ligand_55      228     
1a30_ligand_57      234     
1a30_ligand_6       52      
1a30_ligand_60      169     
1a30_ligand_61      80      
1a30_ligand_63      199     
1a30_ligand_64      271     
1a30_ligand_69      267     
1a30_ligand_70      103     
1a30_ligand_75      250     
1a30_ligand_80      162     
1a30_ligand_82      427     
1a30_ligand_86      246     
1a30_ligand_87      332     
1bcu_ligand_124     330     
1bcu_ligand_136     342     
1bcu_ligand_142     321     
1bcu_ligand_147     309     
1bcu_ligand_153     271     
1bcu_ligand_155     297     
1bcu_ligand_180     306     
1bcu_ligand_188     348     
1bcu_ligand_196     268     
1bcu_ligand_208     297     
1bcu_ligand_210     340     
1bcu_ligand_211     348     
1bcu_ligand_225     386     
1bcu_ligand_231     316     
1bcu_ligand_232     303     
