#code_ligand_num    score   
1a30_ligand_102     183     
1a30_ligand_104     255     
1a30_ligand_105     283     
1a30_ligand_107     291     
1a30_ligand_111     177     
1a30_ligand_116     428     
1a30_ligand_122     327     
1a30_ligand_123     304     
1a30_ligand_124     107     
1a30_ligand_130     370     
1a30_ligand_141     216     
1a30_ligand_144     351     
1a30_ligand_147     117     
1a30_ligand_15      53      
1a30_ligand_150     159     
1a30_ligand_153     182     
1a30_ligand_161     358     
1a30_ligand_173     12      
1a30_ligand_174     69      
1a30_ligand_175     247     
1a30_ligand_178     79      
1a30_ligand_18      156     
1a30_ligand_181     203     
1a30_ligand_185     304     
1a30_ligand_186     169     
1a30_ligand_201     -168    
1a30_ligand_202     -68     
1a30_ligand_206     -95     
1a30_ligand_207     166     
1a30_ligand_208     15      
1a30_ligand_209     95      
1a30_ligand_21      72      
1a30_ligand_210     -119    
1a30_ligand_211     -103    
1a30_ligand_213     -81     
1a30_ligand_216     -154    
1a30_ligand_217     -136    
1a30_ligand_221     -142    
1a30_ligand_222     -112    
1a30_ligand_223     -106    
1a30_ligand_226     -127    
1a30_ligand_228     -1      
1a30_ligand_231     -53     
1a30_ligand_232     -103    
1a30_ligand_237     -65     
1a30_ligand_238     -101    
1a30_ligand_241     -48     
1a30_ligand_243     -263    
1a30_ligand_245     -130    
1a30_ligand_246     -157    
1a30_ligand_247     -134    
1a30_ligand_249     -142    
1a30_ligand_250     -113    
1a30_ligand_259     356     
1a30_ligand_26      -75     
1a30_ligand_261     257     
1a30_ligand_278     -41     
1a30_ligand_280     291     
1a30_ligand_287     140     
1a30_ligand_292     321     
1a30_ligand_294     -69     
1a30_ligand_297     264     
1a30_ligand_301     106     
1a30_ligand_322     255     
1a30_ligand_328     223     
1a30_ligand_329     -17     
1a30_ligand_33      14      
1a30_ligand_339     120     
1a30_ligand_34      -21     
1a30_ligand_340     353     
1a30_ligand_345     28      
1a30_ligand_350     103     
1a30_ligand_351     492     
1a30_ligand_38      143     
1a30_ligand_388     225     
1a30_ligand_395     188     
1a30_ligand_398     62      
1a30_ligand_412     272     
1a30_ligand_43      -53     
1a30_ligand_441     363     
1a30_ligand_448     485     
1a30_ligand_449     271     
1a30_ligand_452     455     
1a30_ligand_46      143     
1a30_ligand_469     407     
1a30_ligand_484     501     
1a30_ligand_488     255     
