#code_ligand_num    score   
1a30_ligand_100     236     
1a30_ligand_103     323     
1a30_ligand_104     311     
1a30_ligand_11      166     
1a30_ligand_114     401     
1a30_ligand_123     184     
1a30_ligand_128     399     
1a30_ligand_130     385     
1a30_ligand_137     42      
1a30_ligand_146     256     
1a30_ligand_15      328     
1a30_ligand_150     413     
1a30_ligand_153     -38     
1a30_ligand_155     132     
1a30_ligand_169     120     
1a30_ligand_174     191     
1a30_ligand_18      134     
1a30_ligand_194     98      
1a30_ligand_201     58      
1a30_ligand_204     -83     
1a30_ligand_208     -25     
1a30_ligand_209     123     
1a30_ligand_211     115     
1a30_ligand_212     7       
1a30_ligand_213     17      
1a30_ligand_218     -60     
1a30_ligand_220     -198    
1a30_ligand_221     -55     
1a30_ligand_222     123     
1a30_ligand_224     -33     
1a30_ligand_229     -44     
1a30_ligand_234     86      
1a30_ligand_240     -105    
1a30_ligand_25      236     
1a30_ligand_250     -30     
1a30_ligand_257     113     
1a30_ligand_26      0       
1a30_ligand_261     221     
1a30_ligand_266     -46     
1a30_ligand_267     63      
1a30_ligand_268     112     
1a30_ligand_27      58      
1a30_ligand_270     116     
1a30_ligand_273     229     
1a30_ligand_275     71      
1a30_ligand_289     10      
1a30_ligand_29      -3      
1a30_ligand_291     -50     
1a30_ligand_292     23      
1a30_ligand_295     24      
1a30_ligand_298     64      
1a30_ligand_3       15      
1a30_ligand_30      36      
1a30_ligand_301     1       
1a30_ligand_303     342     
1a30_ligand_304     116     
1a30_ligand_307     85      
1a30_ligand_326     61      
1a30_ligand_337     10      
1a30_ligand_338     78      
1a30_ligand_34      21      
1a30_ligand_341     68      
1a30_ligand_346     229     
1a30_ligand_348     97      
1a30_ligand_353     273     
1a30_ligand_356     310     
1a30_ligand_36      367     
1a30_ligand_362     286     
1a30_ligand_369     483     
1a30_ligand_370     363     
1a30_ligand_377     224     
1a30_ligand_387     428     
1a30_ligand_39      38      
1a30_ligand_418     394     
1a30_ligand_419     302     
1a30_ligand_425     413     
1a30_ligand_428     344     
1a30_ligand_435     333     
1a30_ligand_44      108     
1a30_ligand_447     303     
1a30_ligand_449     243     
1a30_ligand_45      43      
1a30_ligand_46      6       
1a30_ligand_47      124     
1a30_ligand_48      46      
1a30_ligand_491     437     
1a30_ligand_492     518     
1a30_ligand_498     241     
1a30_ligand_50      22      
1a30_ligand_53      348     
1a30_ligand_56      129     
1a30_ligand_58      136     
1a30_ligand_61      221     
1a30_ligand_62      268     
1a30_ligand_63      319     
1a30_ligand_66      323     
1a30_ligand_81      412     
1a30_ligand_86      279     
1a30_ligand_88      199     
1a30_ligand_93      439     
1bcu_ligand_137     286     
1bcu_ligand_167     146     
1bcu_ligand_170     229     
1bcu_ligand_171     205     
1bcu_ligand_172     220     
1bcu_ligand_178     220     
1bcu_ligand_207     284     
1bcu_ligand_209     381     
1bcu_ligand_216     167     
1bcu_ligand_221     202     
1bcu_ligand_226     194     
1bcu_ligand_228     214     
1bcu_ligand_230     265     
1bcu_ligand_232     244     
1bcu_ligand_234     291     
1bcu_ligand_235     311     
1bcu_ligand_237     188     
1bcu_ligand_238     277     
1bcu_ligand_259     220     
1bcu_ligand_260     276     
1bcu_ligand_262     176     
1bcu_ligand_272     239     
1bcu_ligand_273     288     
1bcu_ligand_277     245     
1bcu_ligand_282     368     
1bcu_ligand_307     303     
1bcu_ligand_308     329     
1bcu_ligand_310     339     
1bcu_ligand_311     228     
1bcu_ligand_314     308     
1bcu_ligand_315     292     
1bcu_ligand_320     334     
1bcu_ligand_325     265     
1bcu_ligand_327     241     
1bcu_ligand_336     291     
1bcu_ligand_337     202     
1bcu_ligand_340     302     
1bcu_ligand_343     280     
1bcu_ligand_344     303     
1bcu_ligand_352     257     
1bcu_ligand_353     266     
1bcu_ligand_355     256     
1bcu_ligand_357     192     
1bcu_ligand_358     229     
1bcu_ligand_360     174     
1bcu_ligand_361     232     
1bcu_ligand_362     170     
1bcu_ligand_363     191     
1bcu_ligand_365     134     
1bcu_ligand_367     166     
1bcu_ligand_368     149     
1bcu_ligand_369     170     
1bcu_ligand_370     126     
1bcu_ligand_373     137     
1bcu_ligand_374     81      
1bcu_ligand_375     140     
1bcu_ligand_377     161     
1bcu_ligand_378     228     
1bcu_ligand_379     191     
1bcu_ligand_381     63      
1bcu_ligand_383     129     
1bcu_ligand_385     108     
1bcu_ligand_386     66      
1bcu_ligand_387     200     
1bcu_ligand_388     103     
1bcu_ligand_390     103     
1bcu_ligand_391     135     
1bcu_ligand_392     111     
1bcu_ligand_394     140     
1bcu_ligand_396     117     
1bcu_ligand_398     146     
1bcu_ligand_399     62      
1bcu_ligand_400     96      
1bcu_ligand_409     263     
1bcu_ligand_410     239     
1bcu_ligand_412     222     
1bcu_ligand_415     197     
1bcu_ligand_416     202     
1bcu_ligand_420     210     
1bcu_ligand_421     232     
1bcu_ligand_429     295     
1bcu_ligand_432     223     
1bcu_ligand_433     233     
1bcu_ligand_444     237     
1bcu_ligand_445     173     
1bcu_ligand_446     152     
1bcu_ligand_451     358     
1bcu_ligand_452     348     
1bcu_ligand_459     330     
1bcu_ligand_467     236     
1bcu_ligand_472     318     
