#code_ligand_num    score   
1a30_ligand_10      446     
1a30_ligand_101     459     
1a30_ligand_107     90      
1a30_ligand_108     330     
1a30_ligand_115     254     
1a30_ligand_128     438     
1a30_ligand_129     528     
1a30_ligand_131     396     
1a30_ligand_135     75      
1a30_ligand_152     128     
1a30_ligand_154     207     
1a30_ligand_163     374     
1a30_ligand_171     113     
1a30_ligand_190     -7      
1a30_ligand_191     370     
1a30_ligand_193     257     
1a30_ligand_200     309     
1a30_ligand_201     120     
1a30_ligand_203     -219    
1a30_ligand_206     -66     
1a30_ligand_207     363     
1a30_ligand_209     -124    
1a30_ligand_21      7       
1a30_ligand_210     -210    
1a30_ligand_216     174     
1a30_ligand_217     -173    
1a30_ligand_218     -17     
1a30_ligand_219     14      
1a30_ligand_220     -96     
1a30_ligand_222     -97     
1a30_ligand_224     43      
1a30_ligand_225     -44     
1a30_ligand_230     -59     
1a30_ligand_231     -35     
1a30_ligand_233     -120    
1a30_ligand_235     22      
1a30_ligand_237     -49     
1a30_ligand_238     -53     
1a30_ligand_239     -116    
1a30_ligand_240     -222    
1a30_ligand_241     256     
1a30_ligand_242     -85     
1a30_ligand_243     189     
1a30_ligand_244     -127    
1a30_ligand_245     -55     
1a30_ligand_246     -111    
1a30_ligand_248     -88     
1a30_ligand_253     256     
1a30_ligand_272     108     
1a30_ligand_274     100     
1a30_ligand_275     101     
1a30_ligand_280     253     
1a30_ligand_282     288     
1a30_ligand_283     242     
1a30_ligand_284     113     
1a30_ligand_287     -16     
1a30_ligand_29      299     
1a30_ligand_291     4       
1a30_ligand_292     256     
1a30_ligand_294     205     
1a30_ligand_300     242     
1a30_ligand_303     284     
1a30_ligand_307     40      
1a30_ligand_31      154     
1a30_ligand_311     223     
1a30_ligand_319     270     
1a30_ligand_327     147     
1a30_ligand_338     160     
1a30_ligand_34      151     
1a30_ligand_342     207     
1a30_ligand_35      27      
1a30_ligand_351     541     
1a30_ligand_354     528     
1a30_ligand_366     325     
1a30_ligand_377     431     
1a30_ligand_387     323     
1a30_ligand_397     123     
1a30_ligand_402     502     
1a30_ligand_428     457     
1a30_ligand_445     345     
1a30_ligand_51      358     
1a30_ligand_52      200     
1a30_ligand_55      215     
1a30_ligand_60      235     
1a30_ligand_63      215     
1a30_ligand_65      119     
1a30_ligand_66      190     
1a30_ligand_68      90      
1a30_ligand_69      323     
1a30_ligand_7       82      
1a30_ligand_71      452     
1a30_ligand_74      331     
1a30_ligand_75      129     
1a30_ligand_79      484     
1a30_ligand_83      508     
1a30_ligand_85      268     
1a30_ligand_90      308     
1a30_ligand_92      139     
1a30_ligand_93      183     
1a30_ligand_99      28      
1bcu_ligand_160     300     
1bcu_ligand_189     398     
1bcu_ligand_193     334     
1bcu_ligand_196     286     
1bcu_ligand_200     282     
1bcu_ligand_215     353     
1bcu_ligand_219     326     
1bcu_ligand_222     339     
1bcu_ligand_224     365     
1bcu_ligand_227     301     
1bcu_ligand_237     302     
1bcu_ligand_24      421     
1bcu_ligand_253     250     
1bcu_ligand_262     220     
1bcu_ligand_263     217     
1bcu_ligand_268     288     
1bcu_ligand_269     345     
1bcu_ligand_272     211     
1bcu_ligand_275     342     
1bcu_ligand_281     241     
1bcu_ligand_283     289     
1bcu_ligand_285     312     
1bcu_ligand_286     284     
1bcu_ligand_29      500     
1bcu_ligand_296     240     
1bcu_ligand_298     251     
1bcu_ligand_310     397     
1bcu_ligand_313     274     
1bcu_ligand_315     337     
1bcu_ligand_318     320     
1bcu_ligand_331     264     
1bcu_ligand_338     350     
1bcu_ligand_340     231     
1bcu_ligand_345     288     
1bcu_ligand_355     209     
1bcu_ligand_357     346     
1bcu_ligand_358     134     
1bcu_ligand_361     165     
1bcu_ligand_365     72      
1bcu_ligand_369     170     
1bcu_ligand_370     180     
1bcu_ligand_371     120     
1bcu_ligand_373     149     
1bcu_ligand_374     111     
1bcu_ligand_375     90      
1bcu_ligand_377     126     
1bcu_ligand_378     87      
1bcu_ligand_379     134     
1bcu_ligand_380     152     
1bcu_ligand_381     126     
1bcu_ligand_382     75      
1bcu_ligand_383     146     
1bcu_ligand_385     72      
1bcu_ligand_386     170     
1bcu_ligand_387     87      
1bcu_ligand_388     140     
1bcu_ligand_389     96      
1bcu_ligand_390     131     
1bcu_ligand_393     140     
1bcu_ligand_394     179     
1bcu_ligand_395     87      
1bcu_ligand_396     128     
1bcu_ligand_397     87      
1bcu_ligand_398     141     
1bcu_ligand_399     99      
1bcu_ligand_400     60      
1bcu_ligand_402     422     
1bcu_ligand_405     411     
1bcu_ligand_406     410     
