#code_ligand_num    score   
1a30_ligand_102     -142    
1a30_ligand_103     -133    
1a30_ligand_105     53      
1a30_ligand_106     -16     
1a30_ligand_108     -66     
1a30_ligand_11      -74     
1a30_ligand_111     -104    
1a30_ligand_113     -1      
1a30_ligand_114     -131    
1a30_ligand_117     38      
1a30_ligand_126     -8      
1a30_ligand_128     100     
1a30_ligand_129     -70     
1a30_ligand_13      -101    
1a30_ligand_130     -94     
1a30_ligand_132     -183    
1a30_ligand_133     123     
1a30_ligand_136     -132    
1a30_ligand_142     -157    
1a30_ligand_143     218     
1a30_ligand_146     -187    
1a30_ligand_175     -65     
1a30_ligand_183     -35     
1a30_ligand_185     -71     
1a30_ligand_187     -198    
1a30_ligand_19      -126    
1a30_ligand_192     -154    
1a30_ligand_195     -150    
1a30_ligand_199     -198    
1a30_ligand_202     -246    
1a30_ligand_204     -80     
1a30_ligand_205     53      
1a30_ligand_206     76      
1a30_ligand_212     125     
1a30_ligand_216     -123    
1a30_ligand_223     65      
1a30_ligand_225     51      
1a30_ligand_226     -210    
1a30_ligand_228     0       
1a30_ligand_230     -32     
1a30_ligand_233     39      
1a30_ligand_234     -194    
1a30_ligand_237     -145    
1a30_ligand_240     -275    
1a30_ligand_242     30      
1a30_ligand_25      11      
1a30_ligand_253     -81     
1a30_ligand_258     -77     
1a30_ligand_268     -130    
1a30_ligand_27      -101    
1a30_ligand_279     -65     
1a30_ligand_280     -101    
1a30_ligand_282     -126    
1a30_ligand_285     27      
1a30_ligand_286     -115    
1a30_ligand_288     44      
1a30_ligand_289     -79     
1a30_ligand_293     -68     
1a30_ligand_297     17      
1a30_ligand_298     -21     
1a30_ligand_300     157     
1a30_ligand_301     17      
1a30_ligand_312     -74     
1a30_ligand_315     28      
1a30_ligand_316     65      
1a30_ligand_319     -201    
1a30_ligand_325     2       
1a30_ligand_332     -216    
1a30_ligand_335     -116    
1a30_ligand_342     -109    
1a30_ligand_347     -98     
1a30_ligand_350     79      
1a30_ligand_366     4       
1a30_ligand_378     -184    
1a30_ligand_380     116     
1a30_ligand_394     -105    
1a30_ligand_397     -18     
1a30_ligand_398     -8      
1a30_ligand_41      29      
1a30_ligand_42      -10     
1a30_ligand_430     231     
1a30_ligand_447     -161    
1a30_ligand_49      -41     
1a30_ligand_52      44      
1a30_ligand_54      173     
1a30_ligand_59      128     
1a30_ligand_62      -177    
1a30_ligand_65      94      
1a30_ligand_7       -94     
1a30_ligand_72      -228    
1a30_ligand_75      -78     
1a30_ligand_78      -172    
1a30_ligand_79      50      
1a30_ligand_80      -127    
1a30_ligand_81      -119    
1a30_ligand_83      196     
1a30_ligand_85      -145    
1a30_ligand_88      -32     
1a30_ligand_97      -176    
1a30_ligand_99      271     
1bcu_ligand_102     106     
1bcu_ligand_153     19      
1bcu_ligand_154     28      
1bcu_ligand_155     22      
1bcu_ligand_157     40      
1bcu_ligand_159     25      
1bcu_ligand_164     34      
1bcu_ligand_177     22      
1bcu_ligand_181     13      
1bcu_ligand_183     81      
1bcu_ligand_185     72      
1bcu_ligand_189     4       
1bcu_ligand_190     52      
1bcu_ligand_191     22      
1bcu_ligand_193     156     
1bcu_ligand_194     129     
1bcu_ligand_195     -19     
1bcu_ligand_196     49      
1bcu_ligand_198     -4      
1bcu_ligand_199     -7      
1bcu_ligand_202     132     
1bcu_ligand_205     46      
1bcu_ligand_206     97      
1bcu_ligand_216     122     
1bcu_ligand_217     83      
1bcu_ligand_225     25      
1bcu_ligand_226     145     
1bcu_ligand_234     99      
1bcu_ligand_238     40      
1bcu_ligand_240     4       
1bcu_ligand_241     102     
1bcu_ligand_242     111     
1bcu_ligand_244     47      
1bcu_ligand_246     230     
1bcu_ligand_247     78      
1bcu_ligand_248     128     
1bcu_ligand_249     10      
1bcu_ligand_250     57      
1bcu_ligand_257     117     
1bcu_ligand_259     105     
1bcu_ligand_266     191     
1bcu_ligand_269     78      
1bcu_ligand_275     219     
1bcu_ligand_282     96      
1bcu_ligand_283     81      
1bcu_ligand_286     149     
1bcu_ligand_288     167     
1bcu_ligand_289     111     
1bcu_ligand_293     90      
1bcu_ligand_294     128     
1bcu_ligand_296     148     
1bcu_ligand_297     143     
1bcu_ligand_311     152     
1bcu_ligand_314     84      
1bcu_ligand_325     65      
1bcu_ligand_330     19      
1bcu_ligand_331     203     
1bcu_ligand_334     7       
1bcu_ligand_336     81      
1bcu_ligand_338     103     
1bcu_ligand_342     -21     
1bcu_ligand_344     11      
1bcu_ligand_347     22      
