#code_ligand_num    score   
1a30_ligand_100     452     
1a30_ligand_105     401     
1a30_ligand_106     59      
1a30_ligand_108     294     
1a30_ligand_119     212     
1a30_ligand_13      -82     
1a30_ligand_134     272     
1a30_ligand_138     312     
1a30_ligand_14      259     
1a30_ligand_141     311     
1a30_ligand_148     195     
1a30_ligand_15      58      
1a30_ligand_158     131     
1a30_ligand_159     157     
1a30_ligand_16      148     
1a30_ligand_166     135     
1a30_ligand_167     70      
1a30_ligand_169     79      
1a30_ligand_171     103     
1a30_ligand_182     63      
1a30_ligand_196     67      
1a30_ligand_197     101     
1a30_ligand_2       106     
1a30_ligand_202     -62     
1a30_ligand_203     114     
1a30_ligand_206     -117    
1a30_ligand_207     263     
1a30_ligand_21      147     
1a30_ligand_215     -83     
1a30_ligand_216     -61     
1a30_ligand_217     28      
1a30_ligand_218     52      
1a30_ligand_219     113     
1a30_ligand_22      202     
1a30_ligand_220     108     
1a30_ligand_225     52      
1a30_ligand_23      79      
1a30_ligand_233     246     
1a30_ligand_239     52      
1a30_ligand_243     92      
1a30_ligand_246     94      
1a30_ligand_248     10      
1a30_ligand_253     195     
1a30_ligand_26      216     
1a30_ligand_27      241     
1a30_ligand_274     169     
1a30_ligand_275     59      
1a30_ligand_279     200     
1a30_ligand_282     -95     
1a30_ligand_29      95      
1a30_ligand_290     235     
1a30_ligand_291     197     
1a30_ligand_294     150     
1a30_ligand_310     385     
1a30_ligand_314     161     
1a30_ligand_315     143     
1a30_ligand_318     132     
1a30_ligand_323     217     
1a30_ligand_326     106     
1a30_ligand_329     142     
1a30_ligand_34      170     
1a30_ligand_353     440     
1a30_ligand_356     488     
1a30_ligand_357     456     
1a30_ligand_36      273     
1a30_ligand_363     473     
1a30_ligand_366     334     
1a30_ligand_372     413     
1a30_ligand_379     491     
1a30_ligand_38      221     
1a30_ligand_39      282     
1a30_ligand_391     385     
1a30_ligand_395     209     
1a30_ligand_398     362     
1a30_ligand_411     232     
1a30_ligand_42      132     
1a30_ligand_421     371     
1a30_ligand_45      14      
1a30_ligand_467     508     
1a30_ligand_481     591     
1a30_ligand_49      9       
1a30_ligand_496     508     
1a30_ligand_52      535     
1a30_ligand_56      264     
1a30_ligand_59      227     
1a30_ligand_6       3       
1a30_ligand_63      209     
1a30_ligand_64      339     
1a30_ligand_68      526     
1a30_ligand_7       100     
1a30_ligand_73      383     
1a30_ligand_76      385     
1a30_ligand_81      248     
1a30_ligand_82      308     
1a30_ligand_88      231     
1a30_ligand_9       311     
1a30_ligand_94      429     
1a30_ligand_95      295     
1a30_ligand_97      295     
1a30_ligand_99      312     
1bcu_ligand_105     395     
1bcu_ligand_126     274     
1bcu_ligand_153     330     
1bcu_ligand_170     285     
1bcu_ligand_172     303     
1bcu_ligand_188     368     
1bcu_ligand_189     265     
1bcu_ligand_211     394     
1bcu_ligand_220     463     
1bcu_ligand_221     275     
1bcu_ligand_239     397     
1bcu_ligand_241     295     
1bcu_ligand_248     336     
1bcu_ligand_250     321     
1bcu_ligand_252     343     
1bcu_ligand_256     296     
1bcu_ligand_258     235     
1bcu_ligand_26      317     
1bcu_ligand_265     215     
1bcu_ligand_269     306     
1bcu_ligand_270     197     
1bcu_ligand_273     304     
1bcu_ligand_277     294     
1bcu_ligand_278     254     
1bcu_ligand_284     291     
1bcu_ligand_286     319     
1bcu_ligand_288     256     
1bcu_ligand_293     273     
1bcu_ligand_300     211     
1bcu_ligand_312     444     
1bcu_ligand_327     367     
1bcu_ligand_329     344     
1bcu_ligand_342     362     
1bcu_ligand_343     424     
1bcu_ligand_345     324     
1bcu_ligand_347     235     
1bcu_ligand_352     362     
1bcu_ligand_361     200     
1bcu_ligand_362     208     
1bcu_ligand_364     185     
1bcu_ligand_365     252     
1bcu_ligand_366     283     
1bcu_ligand_367     131     
1bcu_ligand_369     146     
1bcu_ligand_371     115     
1bcu_ligand_372     277     
