#code_ligand_num    score   
1a30_ligand_11      152     
1a30_ligand_112     47      
1a30_ligand_113     76      
1a30_ligand_117     113     
1a30_ligand_119     210     
1a30_ligand_120     232     
1a30_ligand_128     194     
1a30_ligand_13      205     
1a30_ligand_134     366     
1a30_ligand_14      217     
1a30_ligand_146     114     
1a30_ligand_150     60      
1a30_ligand_151     245     
1a30_ligand_156     193     
1a30_ligand_159     169     
1a30_ligand_165     74      
1a30_ligand_173     112     
1a30_ligand_179     -38     
1a30_ligand_181     65      
1a30_ligand_182     130     
1a30_ligand_188     155     
1a30_ligand_189     129     
1a30_ligand_191     26      
1a30_ligand_192     -24     
1a30_ligand_194     90      
1a30_ligand_197     101     
1a30_ligand_198     71      
1a30_ligand_20      -83     
1a30_ligand_200     101     
1a30_ligand_206     172     
1a30_ligand_209     34      
1a30_ligand_221     19      
1a30_ligand_223     -47     
1a30_ligand_225     -109    
1a30_ligand_228     -98     
1a30_ligand_232     23      
1a30_ligand_235     14      
1a30_ligand_236     -101    
1a30_ligand_237     -60     
1a30_ligand_238     -97     
1a30_ligand_241     -136    
1a30_ligand_244     136     
1a30_ligand_247     69      
1a30_ligand_249     83      
1a30_ligand_250     -89     
1a30_ligand_251     225     
1a30_ligand_259     6       
1a30_ligand_26      108     
1a30_ligand_263     228     
1a30_ligand_271     114     
1a30_ligand_272     -59     
1a30_ligand_273     -74     
1a30_ligand_276     3       
1a30_ligand_278     -18     
1a30_ligand_282     33      
1a30_ligand_287     -42     
1a30_ligand_288     294     
1a30_ligand_29      128     
1a30_ligand_294     -53     
1a30_ligand_296     200     
1a30_ligand_298     31      
1a30_ligand_306     467     
1a30_ligand_307     208     
1a30_ligand_308     270     
1a30_ligand_322     110     
1a30_ligand_328     160     
1a30_ligand_329     265     
1a30_ligand_330     67      
1a30_ligand_331     234     
1a30_ligand_335     170     
1a30_ligand_341     272     
1a30_ligand_343     75      
1a30_ligand_348     268     
1a30_ligand_349     56      
1a30_ligand_36      117     
1a30_ligand_373     519     
1a30_ligand_375     269     
1a30_ligand_381     554     
1a30_ligand_390     482     
1a30_ligand_391     650     
1a30_ligand_393     430     
1a30_ligand_398     600     
1a30_ligand_399     623     
1a30_ligand_448     534     
1a30_ligand_49      137     
1a30_ligand_55      115     
1a30_ligand_60      166     
1a30_ligand_67      141     
1a30_ligand_68      25      
1a30_ligand_69      70      
1a30_ligand_72      30      
1a30_ligand_75      321     
1a30_ligand_77      128     
1a30_ligand_82      143     
1a30_ligand_83      179     
1a30_ligand_85      51      
1a30_ligand_86      99      
1a30_ligand_91      224     
1a30_ligand_95      173     
1a30_ligand_96      207     
1bcu_ligand_157     368     
1bcu_ligand_173     244     
1bcu_ligand_175     241     
1bcu_ligand_191     362     
1bcu_ligand_204     241     
1bcu_ligand_212     205     
1bcu_ligand_215     215     
1bcu_ligand_219     182     
1bcu_ligand_221     284     
1bcu_ligand_225     137     
1bcu_ligand_227     299     
1bcu_ligand_232     280     
1bcu_ligand_233     313     
1bcu_ligand_234     164     
1bcu_ligand_235     232     
1bcu_ligand_236     227     
1bcu_ligand_238     277     
1bcu_ligand_243     234     
1bcu_ligand_245     429     
1bcu_ligand_252     255     
1bcu_ligand_259     282     
1bcu_ligand_260     232     
1bcu_ligand_267     346     
1bcu_ligand_269     372     
1bcu_ligand_273     241     
1bcu_ligand_275     257     
1bcu_ligand_277     354     
1bcu_ligand_285     342     
1bcu_ligand_297     359     
1bcu_ligand_301     372     
1bcu_ligand_304     455     
1bcu_ligand_305     353     
1bcu_ligand_306     400     
1bcu_ligand_318     320     
1bcu_ligand_319     320     
1bcu_ligand_321     319     
1bcu_ligand_324     361     
1bcu_ligand_330     420     
1bcu_ligand_347     442     
1bcu_ligand_354     232     
1bcu_ligand_355     277     
1bcu_ligand_362     265     
1bcu_ligand_365     236     
1bcu_ligand_368     245     
1bcu_ligand_369     185     
1bcu_ligand_370     174     
1bcu_ligand_373     185     
1bcu_ligand_378     257     
1bcu_ligand_379     188     
1bcu_ligand_380     211     
1bcu_ligand_382     218     
1bcu_ligand_386     214     
1bcu_ligand_387     155     
1bcu_ligand_388     143     
1bcu_ligand_389     182     
1bcu_ligand_390     108     
1bcu_ligand_391     154     
1bcu_ligand_392     226     
1bcu_ligand_393     194     
1bcu_ligand_394     253     
1bcu_ligand_395     155     
1bcu_ligand_396     117     
1bcu_ligand_397     148     
1bcu_ligand_398     185     
1bcu_ligand_399     193     
1bcu_ligand_400     155     
1bcu_ligand_404     337     
1bcu_ligand_407     269     
1bcu_ligand_411     296     
1bcu_ligand_412     135     
1bcu_ligand_414     318     
1bcu_ligand_415     229     
1bcu_ligand_416     299     
1bcu_ligand_418     223     
1bcu_ligand_419     263     
1bcu_ligand_420     281     
1bcu_ligand_424     278     
1bcu_ligand_425     250     
1bcu_ligand_428     354     
1bcu_ligand_432     313     
1bcu_ligand_437     205     
1bcu_ligand_438     303     
1bcu_ligand_439     268     
1bcu_ligand_442     247     
1bcu_ligand_447     161     
1bcu_ligand_449     161     
1bcu_ligand_451     291     
1bcu_ligand_452     371     
1bcu_ligand_459     375     
1bcu_ligand_461     341     
1bcu_ligand_463     185     
1bcu_ligand_464     337     
1bcu_ligand_471     291     
1bcu_ligand_477     225     
1bcu_ligand_479     310     
1bcu_ligand_487     303     
1bcu_ligand_489     188     
1bcu_ligand_495     250     
1bcu_ligand_498     278     
1bcu_ligand_70      378     
1bzc_ligand_111     380     
1bzc_ligand_139     271     
1bzc_ligand_153     231     
1bzc_ligand_158     284     
1bzc_ligand_165     231     
1bzc_ligand_169     339     
1bzc_ligand_171     173     
1bzc_ligand_178     198     
1bzc_ligand_18      294     
1bzc_ligand_186     192     
1bzc_ligand_191     232     
1bzc_ligand_192     244     
1bzc_ligand_194     83      
1bzc_ligand_195     114     
1bzc_ligand_196     214     
1bzc_ligand_197     280     
1bzc_ligand_198     262     
1bzc_ligand_201     199     
1bzc_ligand_205     41      
1bzc_ligand_206     124     
1bzc_ligand_207     5       
1bzc_ligand_208     130     
1bzc_ligand_210     135     
1bzc_ligand_211     77      
1bzc_ligand_212     151     
1bzc_ligand_213     295     
1bzc_ligand_215     70      
1bzc_ligand_216     93      
1bzc_ligand_218     259     
1bzc_ligand_222     280     
1bzc_ligand_227     124     
1bzc_ligand_228     28      
1bzc_ligand_230     86      
1bzc_ligand_236     4       
1bzc_ligand_237     0       
1bzc_ligand_239     42      
1bzc_ligand_240     121     
1bzc_ligand_242     52      
1bzc_ligand_248     51      
1bzc_ligand_249     94      
1bzc_ligand_254     261     
1bzc_ligand_256     247     
1bzc_ligand_261     157     
1bzc_ligand_265     249     
1bzc_ligand_269     124     
1bzc_ligand_270     232     
1bzc_ligand_273     194     
1bzc_ligand_276     373     
1bzc_ligand_278     69      
1bzc_ligand_281     107     
1bzc_ligand_285     334     
1bzc_ligand_289     216     
1bzc_ligand_290     446     
1bzc_ligand_291     150     
1bzc_ligand_292     267     
1bzc_ligand_295     224     
1bzc_ligand_296     207     
1bzc_ligand_298     96      
1bzc_ligand_299     129     
1bzc_ligand_301     416     
1bzc_ligand_303     125     
1bzc_ligand_306     313     
1bzc_ligand_310     279     
1bzc_ligand_313     66      
1bzc_ligand_314     320     
1bzc_ligand_316     301     
1bzc_ligand_317     493     
1bzc_ligand_319     182     
1bzc_ligand_324     310     
1bzc_ligand_326     187     
1bzc_ligand_329     160     
1bzc_ligand_330     350     
1bzc_ligand_335     150     
1bzc_ligand_336     3       
1bzc_ligand_338     96      
1bzc_ligand_339     342     
1bzc_ligand_341     162     
1bzc_ligand_346     229     
1bzc_ligand_348     270     
1bzc_ligand_349     378     
1bzc_ligand_352     549     
1bzc_ligand_37      199     
1bzc_ligand_371     366     
1bzc_ligand_383     474     
1bzc_ligand_385     239     
1bzc_ligand_387     228     
1bzc_ligand_399     350     
1bzc_ligand_4       326     
1bzc_ligand_418     292     
1bzc_ligand_424     490     
1bzc_ligand_441     287     
1bzc_ligand_442     479     
1bzc_ligand_443     382     
1bzc_ligand_464     423     
1bzc_ligand_487     242     
1bzc_ligand_491     365     
1bzc_ligand_500     200     
1bzc_ligand_68      563     
1bzc_ligand_82      249     
1bzc_ligand_99      430     
1c5z_ligand_124     306     
1c5z_ligand_134     188     
1c5z_ligand_154     165     
1c5z_ligand_155     161     
1c5z_ligand_158     183     
1c5z_ligand_163     131     
1c5z_ligand_170     151     
1c5z_ligand_171     146     
1c5z_ligand_175     170     
1c5z_ligand_177     149     
1c5z_ligand_184     194     
1c5z_ligand_185     162     
1c5z_ligand_186     158     
1c5z_ligand_188     152     
1c5z_ligand_189     334     
1c5z_ligand_190     407     
1c5z_ligand_191     163     
1c5z_ligand_208     229     
1c5z_ligand_209     303     
1c5z_ligand_210     195     
1c5z_ligand_212     306     
1c5z_ligand_215     532     
1c5z_ligand_217     224     
1c5z_ligand_219     227     
1c5z_ligand_221     213     
1c5z_ligand_222     194     
1c5z_ligand_224     331     
1c5z_ligand_225     181     
1c5z_ligand_227     285     
1c5z_ligand_232     317     
1c5z_ligand_234     188     
1c5z_ligand_235     134     
1c5z_ligand_237     243     
1c5z_ligand_238     207     
1c5z_ligand_239     278     
1c5z_ligand_246     270     
1c5z_ligand_247     166     
1c5z_ligand_248     268     
1c5z_ligand_249     173     
1c5z_ligand_251     239     
1c5z_ligand_255     285     
1c5z_ligand_257     115     
1c5z_ligand_260     189     
1c5z_ligand_267     131     
1c5z_ligand_268     155     
1c5z_ligand_269     171     
1c5z_ligand_270     220     
1c5z_ligand_274     170     
1c5z_ligand_275     191     
1c5z_ligand_276     239     
1c5z_ligand_283     120     
1c5z_ligand_284     182     
1c5z_ligand_287     114     
1c5z_ligand_288     120     
1c5z_ligand_289     201     
1c5z_ligand_293     193     
1c5z_ligand_294     185     
1c5z_ligand_295     361     
1c5z_ligand_298     342     
1c5z_ligand_302     276     
1c5z_ligand_303     187     
1c5z_ligand_306     211     
1c5z_ligand_310     196     
1c5z_ligand_314     351     
1c5z_ligand_315     72      
1c5z_ligand_316     204     
1c5z_ligand_323     195     
1c5z_ligand_326     227     
1c5z_ligand_327     155     
1c5z_ligand_330     149     
1c5z_ligand_335     227     
1c5z_ligand_337     284     
1c5z_ligand_338     270     
1c5z_ligand_343     164     
1c5z_ligand_345     141     
1c5z_ligand_350     244     
1c5z_ligand_36      290     
1c5z_ligand_382     257     
1c5z_ligand_386     250     
1c5z_ligand_387     296     
1c5z_ligand_388     149     
1c5z_ligand_390     67      
1c5z_ligand_394     135     
1c5z_ligand_396     272     
1c5z_ligand_397     117     
1c5z_ligand_400     197     
1c5z_ligand_423     270     
1c5z_ligand_427     321     
1c5z_ligand_438     383     
1c5z_ligand_441     203     
1c5z_ligand_445     393     
1c5z_ligand_495     364     
1c5z_ligand_51      355     
1c5z_ligand_62      376     
1c5z_ligand_67      392     
1c5z_ligand_70      251     
1c5z_ligand_75      217     
1c5z_ligand_90      211     
1c5z_ligand_92      451     
1c5z_ligand_95      238     
1e66_ligand_100     320     
1e66_ligand_104     343     
1e66_ligand_128     323     
1e66_ligand_137     296     
1e66_ligand_143     291     
1e66_ligand_149     340     
1e66_ligand_161     432     
1e66_ligand_168     382     
1e66_ligand_177     426     
1e66_ligand_189     331     
1e66_ligand_195     485     
1e66_ligand_20      415     
1e66_ligand_200     441     
1e66_ligand_203     347     
1e66_ligand_205     275     
1e66_ligand_206     210     
1e66_ligand_210     314     
1e66_ligand_219     293     
1e66_ligand_220     337     
1e66_ligand_222     358     
1e66_ligand_223     278     
1e66_ligand_224     274     
1e66_ligand_228     254     
1e66_ligand_230     281     
1e66_ligand_233     356     
1e66_ligand_234     260     
1e66_ligand_235     263     
1e66_ligand_239     249     
1e66_ligand_240     272     
1e66_ligand_244     397     
1e66_ligand_245     337     
1e66_ligand_248     263     
1e66_ligand_251     450     
1e66_ligand_260     477     
1e66_ligand_265     327     
1e66_ligand_268     361     
1e66_ligand_269     327     
1e66_ligand_270     364     
1e66_ligand_273     323     
1e66_ligand_278     358     
1e66_ligand_282     454     
1e66_ligand_285     380     
1e66_ligand_286     263     
1e66_ligand_287     414     
1e66_ligand_288     337     
1e66_ligand_297     344     
1e66_ligand_300     249     
1e66_ligand_301     596     
1e66_ligand_309     405     
1e66_ligand_315     417     
1e66_ligand_331     503     
1e66_ligand_334     390     
1e66_ligand_337     355     
1e66_ligand_338     465     
1e66_ligand_341     352     
1e66_ligand_342     438     
1e66_ligand_343     379     
1e66_ligand_346     417     
1e66_ligand_347     497     
1e66_ligand_348     408     
1e66_ligand_350     562     
1e66_ligand_352     340     
1e66_ligand_355     352     
1e66_ligand_367     388     
1e66_ligand_368     331     
1e66_ligand_369     349     
1e66_ligand_372     311     
1e66_ligand_378     284     
1e66_ligand_381     297     
1e66_ligand_387     302     
1e66_ligand_389     326     
1e66_ligand_391     240     
1e66_ligand_393     434     
1e66_ligand_394     278     
1e66_ligand_395     239     
1e66_ligand_397     352     
1e66_ligand_400     318     
1e66_ligand_401     394     
1e66_ligand_414     388     
1e66_ligand_419     305     
1e66_ligand_439     281     
1e66_ligand_440     512     
1e66_ligand_441     358     
1e66_ligand_447     317     
1e66_ligand_450     251     
1e66_ligand_467     385     
1e66_ligand_468     343     
1e66_ligand_471     388     
1e66_ligand_500     337     
1e66_ligand_53      421     
1e66_ligand_64      366     
1e66_ligand_65      373     
1e66_ligand_70      376     
1e66_ligand_73      328     
1e66_ligand_78      388     
1e66_ligand_82      373     
1e66_ligand_86      435     
1e66_ligand_91      337     
1e66_ligand_95      225     
1e66_ligand_98      352     
1eby_ligand_101     475     
1eby_ligand_102     350     
1eby_ligand_104     264     
1eby_ligand_106     278     
1eby_ligand_112     199     
1eby_ligand_117     302     
1eby_ligand_121     342     
1eby_ligand_124     409     
1eby_ligand_125     452     
1eby_ligand_127     327     
