#code_ligand_num    score   
1a30_ligand_104     60      
1a30_ligand_113     378     
1a30_ligand_116     -33     
1a30_ligand_118     167     
1a30_ligand_122     12      
1a30_ligand_123     27      
1a30_ligand_130     201     
1a30_ligand_132     195     
1a30_ligand_133     275     
1a30_ligand_136     -5      
1a30_ligand_137     217     
1a30_ligand_14      96      
1a30_ligand_147     193     
1a30_ligand_148     360     
1a30_ligand_15      -15     
1a30_ligand_150     72      
1a30_ligand_152     192     
1a30_ligand_154     118     
1a30_ligand_164     94      
1a30_ligand_167     209     
1a30_ligand_168     317     
1a30_ligand_169     106     
1a30_ligand_170     162     
1a30_ligand_174     291     
1a30_ligand_181     339     
1a30_ligand_183     146     
1a30_ligand_199     154     
1a30_ligand_200     138     
1a30_ligand_203     -103    
1a30_ligand_204     99      
1a30_ligand_209     29      
1a30_ligand_21      -111    
1a30_ligand_210     -186    
1a30_ligand_211     78      
1a30_ligand_213     -43     
1a30_ligand_215     40      
1a30_ligand_218     -89     
1a30_ligand_219     -207    
1a30_ligand_222     -133    
1a30_ligand_224     -103    
1a30_ligand_225     -68     
1a30_ligand_226     76      
1a30_ligand_227     -59     
1a30_ligand_229     6       
1a30_ligand_230     6       
1a30_ligand_232     -98     
1a30_ligand_233     -216    
1a30_ligand_238     41      
1a30_ligand_239     -146    
1a30_ligand_243     -80     
1a30_ligand_247     -99     
1a30_ligand_248     32      
1a30_ligand_266     4       
1a30_ligand_267     52      
1a30_ligand_27      14      
1a30_ligand_276     137     
1a30_ligand_284     199     
1a30_ligand_287     138     
1a30_ligand_297     21      
1a30_ligand_299     130     
1a30_ligand_30      105     
1a30_ligand_309     -28     
1a30_ligand_31      35      
1a30_ligand_311     98      
1a30_ligand_317     30      
1a30_ligand_32      84      
1a30_ligand_320     109     
1a30_ligand_321     214     
1a30_ligand_323     194     
1a30_ligand_325     73      
1a30_ligand_331     171     
1a30_ligand_333     286     
1a30_ligand_336     44      
1a30_ligand_337     191     
1a30_ligand_338     146     
1a30_ligand_339     271     
1a30_ligand_34      -83     
1a30_ligand_343     76      
1a30_ligand_36      -7      
1a30_ligand_363     188     
1a30_ligand_367     275     
1a30_ligand_372     414     
1a30_ligand_375     276     
1a30_ligand_39      126     
1a30_ligand_4       141     
1a30_ligand_48      -23     
1a30_ligand_487     440     
1a30_ligand_49      -33     
1a30_ligand_54      175     
1a30_ligand_57      103     
1a30_ligand_60      84      
1a30_ligand_66      260     
1a30_ligand_69      402     
1a30_ligand_76      131     
1a30_ligand_77      162     
1a30_ligand_83      96      
1a30_ligand_88      304     
1a30_ligand_9       -97     
1a30_ligand_91      274     
1a30_ligand_99      -80     
1bcu_ligand_105     392     
1bcu_ligand_158     339     
1bcu_ligand_162     371     
1bcu_ligand_165     395     
1bcu_ligand_169     536     
1bcu_ligand_177     421     
1bcu_ligand_183     345     
1bcu_ligand_187     407     
1bcu_ligand_188     342     
1bcu_ligand_197     342     
1bcu_ligand_199     341     
1bcu_ligand_212     350     
1bcu_ligand_214     345     
1bcu_ligand_215     487     
1bcu_ligand_223     353     
1bcu_ligand_229     455     
1bcu_ligand_231     461     
1bcu_ligand_235     379     
1bcu_ligand_237     351     
1bcu_ligand_240     364     
1bcu_ligand_249     338     
1bcu_ligand_251     348     
1bcu_ligand_257     316     
1bcu_ligand_258     457     
1bcu_ligand_259     219     
1bcu_ligand_267     314     
1bcu_ligand_268     259     
1bcu_ligand_269     149     
1bcu_ligand_271     301     
1bcu_ligand_273     197     
1bcu_ligand_276     243     
1bcu_ligand_278     330     
1bcu_ligand_279     169     
1bcu_ligand_280     155     
1bcu_ligand_282     173     
1bcu_ligand_284     348     
1bcu_ligand_286     197     
1bcu_ligand_287     271     
1bcu_ligand_296     226     
1bcu_ligand_298     232     
1bcu_ligand_300     300     
1bcu_ligand_303     488     
1bcu_ligand_308     424     
1bcu_ligand_317     372     
1bcu_ligand_322     368     
1bcu_ligand_326     421     
1bcu_ligand_328     292     
1bcu_ligand_338     355     
1bcu_ligand_339     405     
