#code_ligand_num    score   
1a30_ligand_100     66      
1a30_ligand_103     105     
1a30_ligand_107     183     
1a30_ligand_118     204     
1a30_ligand_127     152     
1a30_ligand_135     253     
1a30_ligand_138     183     
1a30_ligand_143     206     
1a30_ligand_146     218     
1a30_ligand_150     198     
1a30_ligand_168     30      
1a30_ligand_180     97      
1a30_ligand_185     82      
1a30_ligand_188     67      
1a30_ligand_198     82      
1a30_ligand_20      144     
1a30_ligand_21      101     
1a30_ligand_210     174     
1a30_ligand_213     102     
1a30_ligand_220     16      
1a30_ligand_227     81      
1a30_ligand_228     50      
1a30_ligand_229     29      
1a30_ligand_23      131     
1a30_ligand_230     72      
1a30_ligand_231     114     
1a30_ligand_232     70      
1a30_ligand_236     164     
1a30_ligand_237     24      
1a30_ligand_24      79      
1a30_ligand_241     133     
1a30_ligand_242     -18     
1a30_ligand_247     109     
1a30_ligand_248     22      
1a30_ligand_250     33      
1a30_ligand_253     163     
1a30_ligand_255     96      
1a30_ligand_258     106     
1a30_ligand_263     194     
1a30_ligand_269     58      
1a30_ligand_270     144     
1a30_ligand_271     128     
1a30_ligand_275     117     
1a30_ligand_277     117     
1a30_ligand_281     114     
1a30_ligand_284     61      
1a30_ligand_290     97      
1a30_ligand_294     103     
1a30_ligand_295     25      
1a30_ligand_298     223     
1a30_ligand_305     61      
1a30_ligand_311     112     
1a30_ligand_315     228     
1a30_ligand_316     99      
1a30_ligand_324     135     
1a30_ligand_328     109     
1a30_ligand_330     144     
1a30_ligand_334     371     
1a30_ligand_338     129     
1a30_ligand_343     166     
1a30_ligand_344     110     
1a30_ligand_348     259     
1a30_ligand_352     366     
1a30_ligand_370     258     
1a30_ligand_376     325     
1a30_ligand_384     180     
1a30_ligand_388     183     
1a30_ligand_393     207     
1a30_ligand_396     185     
1a30_ligand_4       94      
1a30_ligand_410     267     
1a30_ligand_422     245     
1a30_ligand_430     303     
1a30_ligand_443     210     
1a30_ligand_445     253     
1a30_ligand_448     268     
1a30_ligand_45      92      
1a30_ligand_462     342     
1a30_ligand_47      86      
1a30_ligand_479     275     
1a30_ligand_48      139     
1a30_ligand_480     304     
1a30_ligand_494     305     
1a30_ligand_5       78      
1a30_ligand_51      238     
1a30_ligand_53      91      
1a30_ligand_54      238     
1a30_ligand_56      164     
1a30_ligand_6       117     
1a30_ligand_64      117     
1a30_ligand_66      171     
1a30_ligand_67      235     
1a30_ligand_74      127     
1a30_ligand_77      157     
1a30_ligand_79      106     
1a30_ligand_83      354     
1a30_ligand_84      221     
1a30_ligand_88      108     
1a30_ligand_91      251     
1a30_ligand_95      250     
1bcu_ligand_121     216     
1bcu_ligand_127     311     
1bcu_ligand_13      320     
1bcu_ligand_135     245     
1bcu_ligand_145     289     
1bcu_ligand_157     192     
1bcu_ligand_162     174     
1bcu_ligand_175     227     
1bcu_ligand_177     201     
1bcu_ligand_178     291     
1bcu_ligand_179     264     
1bcu_ligand_180     219     
1bcu_ligand_184     301     
1bcu_ligand_191     197     
1bcu_ligand_196     203     
1bcu_ligand_198     192     
1bcu_ligand_199     284     
1bcu_ligand_200     236     
1bcu_ligand_203     326     
1bcu_ligand_215     216     
1bcu_ligand_229     252     
1bcu_ligand_231     203     
1bcu_ligand_235     228     
1bcu_ligand_240     178     
1bcu_ligand_244     224     
1bcu_ligand_247     260     
1bcu_ligand_256     172     
1bcu_ligand_262     290     
1bcu_ligand_264     235     
1bcu_ligand_266     216     
1bcu_ligand_272     200     
1bcu_ligand_273     293     
1bcu_ligand_277     209     
1bcu_ligand_279     238     
1bcu_ligand_280     199     
1bcu_ligand_281     230     
1bcu_ligand_282     218     
1bcu_ligand_285     203     
1bcu_ligand_287     166     
1bcu_ligand_289     216     
1bcu_ligand_290     241     
1bcu_ligand_291     271     
1bcu_ligand_295     240     
1bcu_ligand_296     185     
1bcu_ligand_297     212     
1bcu_ligand_316     290     
1bcu_ligand_317     318     
1bcu_ligand_319     320     
1bcu_ligand_322     262     
1bcu_ligand_326     228     
1bcu_ligand_329     307     
1bcu_ligand_331     334     
1bcu_ligand_332     254     
1bcu_ligand_338     331     
1bcu_ligand_340     267     
1bcu_ligand_342     269     
1bcu_ligand_345     266     
1bcu_ligand_346     204     
1bcu_ligand_351     315     
1bcu_ligand_353     280     
1bcu_ligand_358     316     
1bcu_ligand_363     267     
1bcu_ligand_365     269     
1bcu_ligand_366     266     
1bcu_ligand_367     265     
1bcu_ligand_368     248     
1bcu_ligand_372     281     
1bcu_ligand_374     275     
1bcu_ligand_375     260     
1bcu_ligand_376     275     
1bcu_ligand_377     324     
1bcu_ligand_378     266     
1bcu_ligand_380     244     
1bcu_ligand_381     189     
1bcu_ligand_384     214     
1bcu_ligand_385     202     
1bcu_ligand_395     299     
1bcu_ligand_398     212     
1bcu_ligand_400     191     
1bcu_ligand_423     304     
1bcu_ligand_429     233     
1bcu_ligand_434     243     
1bcu_ligand_437     310     
1bcu_ligand_440     300     
1bcu_ligand_442     225     
1bcu_ligand_445     226     
1bcu_ligand_447     240     
1bcu_ligand_451     339     
1bcu_ligand_463     301     
1bcu_ligand_465     261     
1bcu_ligand_466     242     
1bcu_ligand_468     273     
1bcu_ligand_472     325     
1bcu_ligand_483     323     
1bcu_ligand_487     231     
1bcu_ligand_488     265     
1bcu_ligand_499     225     
1bcu_ligand_70      333     
1bcu_ligand_78      298     
1bcu_ligand_9       336     
1bzc_ligand_103     355     
1bzc_ligand_108     311     
1bzc_ligand_109     305     
1bzc_ligand_111     248     
1bzc_ligand_114     337     
1bzc_ligand_12      206     
1bzc_ligand_127     218     
1bzc_ligand_138     212     
1bzc_ligand_143     213     
1bzc_ligand_153     170     
1bzc_ligand_159     177     
1bzc_ligand_164     249     
1bzc_ligand_177     208     
1bzc_ligand_187     180     
1bzc_ligand_189     143     
1bzc_ligand_19      274     
1bzc_ligand_190     230     
1bzc_ligand_192     241     
1bzc_ligand_193     418     
1bzc_ligand_195     151     
1bzc_ligand_199     206     
1bzc_ligand_2       304     
1bzc_ligand_20      191     
1bzc_ligand_201     190     
1bzc_ligand_207     154     
1bzc_ligand_209     98      
1bzc_ligand_210     272     
1bzc_ligand_225     122     
1bzc_ligand_226     158     
1bzc_ligand_228     167     
1bzc_ligand_231     120     
1bzc_ligand_233     131     
1bzc_ligand_238     107     
1bzc_ligand_239     173     
1bzc_ligand_240     151     
1bzc_ligand_242     178     
1bzc_ligand_244     119     
1bzc_ligand_245     105     
1bzc_ligand_246     159     
1bzc_ligand_249     135     
1bzc_ligand_254     143     
1bzc_ligand_257     230     
1bzc_ligand_264     129     
1bzc_ligand_266     131     
1bzc_ligand_268     323     
1bzc_ligand_273     179     
1bzc_ligand_277     175     
1bzc_ligand_28      217     
1bzc_ligand_281     165     
1bzc_ligand_285     121     
1bzc_ligand_286     171     
1bzc_ligand_289     230     
1bzc_ligand_29      223     
1bzc_ligand_293     182     
1bzc_ligand_294     164     
1bzc_ligand_297     185     
1bzc_ligand_298     224     
1bzc_ligand_299     174     
1bzc_ligand_303     203     
1bzc_ligand_304     213     
1bzc_ligand_306     212     
1bzc_ligand_308     272     
1bzc_ligand_313     93      
1bzc_ligand_315     244     
1bzc_ligand_319     186     
1bzc_ligand_32      262     
1bzc_ligand_329     208     
1bzc_ligand_330     302     
1bzc_ligand_336     238     
1bzc_ligand_338     144     
1bzc_ligand_341     278     
1bzc_ligand_342     154     
1bzc_ligand_345     184     
1bzc_ligand_347     237     
1bzc_ligand_350     235     
1bzc_ligand_364     278     
1bzc_ligand_372     191     
1bzc_ligand_382     276     
1bzc_ligand_391     217     
1bzc_ligand_395     260     
1bzc_ligand_422     227     
1bzc_ligand_425     274     
1bzc_ligand_433     311     
1bzc_ligand_45      146     
1bzc_ligand_47      204     
1bzc_ligand_485     342     
1bzc_ligand_492     327     
1bzc_ligand_55      321     
1bzc_ligand_56      205     
1bzc_ligand_65      231     
1bzc_ligand_69      291     
1bzc_ligand_72      238     
1bzc_ligand_74      210     
1bzc_ligand_75      278     
1bzc_ligand_81      222     
1bzc_ligand_85      205     
1bzc_ligand_86      300     
1bzc_ligand_89      259     
1bzc_ligand_94      188     
1bzc_ligand_98      307     
1c5z_ligand_144     326     
1c5z_ligand_15      247     
1c5z_ligand_151     160     
1c5z_ligand_164     156     
1c5z_ligand_171     150     
1c5z_ligand_185     133     
1c5z_ligand_186     118     
1c5z_ligand_190     167     
1c5z_ligand_192     145     
1c5z_ligand_195     87      
1c5z_ligand_196     164     
1c5z_ligand_197     133     
1c5z_ligand_198     161     
1c5z_ligand_206     153     
1c5z_ligand_207     183     
1c5z_ligand_209     220     
1c5z_ligand_210     199     
1c5z_ligand_212     143     
1c5z_ligand_213     246     
1c5z_ligand_216     154     
1c5z_ligand_217     250     
1c5z_ligand_218     173     
1c5z_ligand_219     158     
1c5z_ligand_223     278     
1c5z_ligand_225     161     
1c5z_ligand_226     156     
1c5z_ligand_227     129     
1c5z_ligand_228     188     
1c5z_ligand_233     170     
1c5z_ligand_234     182     
1c5z_ligand_235     134     
1c5z_ligand_237     258     
1c5z_ligand_240     134     
1c5z_ligand_242     140     
1c5z_ligand_243     143     
1c5z_ligand_244     252     
1c5z_ligand_245     149     
1c5z_ligand_246     182     
1c5z_ligand_25      206     
1c5z_ligand_251     114     
1c5z_ligand_255     199     
1c5z_ligand_260     175     
1c5z_ligand_262     176     
1c5z_ligand_265     210     
1c5z_ligand_266     215     
1c5z_ligand_267     173     
1c5z_ligand_269     145     
1c5z_ligand_274     176     
1c5z_ligand_276     174     
1c5z_ligand_278     112     
1c5z_ligand_279     162     
1c5z_ligand_281     212     
1c5z_ligand_283     172     
1c5z_ligand_284     254     
1c5z_ligand_285     162     
1c5z_ligand_287     190     
1c5z_ligand_288     141     
1c5z_ligand_290     194     
1c5z_ligand_291     124     
1c5z_ligand_294     124     
1c5z_ligand_296     151     
1c5z_ligand_297     224     
1c5z_ligand_298     158     
1c5z_ligand_299     162     
1c5z_ligand_3       231     
1c5z_ligand_301     207     
1c5z_ligand_303     184     
1c5z_ligand_308     166     
1c5z_ligand_312     163     
1c5z_ligand_317     176     
1c5z_ligand_322     156     
1c5z_ligand_324     216     
1c5z_ligand_325     216     
1c5z_ligand_330     238     
1c5z_ligand_331     166     
1c5z_ligand_335     227     
1c5z_ligand_337     199     
1c5z_ligand_340     129     
1c5z_ligand_341     258     
1c5z_ligand_342     166     
1c5z_ligand_343     223     
1c5z_ligand_344     132     
1c5z_ligand_349     203     
1c5z_ligand_364     216     
1c5z_ligand_369     248     
1c5z_ligand_383     192     
1c5z_ligand_385     233     
1c5z_ligand_393     206     
1c5z_ligand_397     181     
1c5z_ligand_398     236     
1c5z_ligand_426     300     
1c5z_ligand_453     233     
1c5z_ligand_465     190     
1c5z_ligand_482     188     
1c5z_ligand_488     239     
1c5z_ligand_498     227     
1c5z_ligand_500     236     
1c5z_ligand_55      264     
1c5z_ligand_56      240     
1c5z_ligand_61      221     
1e66_ligand_125     337     
1e66_ligand_160     331     
1e66_ligand_162     372     
1e66_ligand_169     360     
1e66_ligand_183     319     
1e66_ligand_187     356     
1e66_ligand_188     325     
1e66_ligand_199     312     
1e66_ligand_200     264     
1e66_ligand_206     308     
1e66_ligand_207     310     
1e66_ligand_217     335     
1e66_ligand_218     314     
1e66_ligand_223     294     
1e66_ligand_226     327     
1e66_ligand_232     287     
1e66_ligand_233     314     
1e66_ligand_234     289     
1e66_ligand_241     300     
1e66_ligand_244     298     
1e66_ligand_245     285     
1e66_ligand_247     294     
1e66_ligand_25      358     
1e66_ligand_252     285     
1e66_ligand_260     395     
1e66_ligand_262     327     
1e66_ligand_273     377     
1e66_ligand_276     258     
1e66_ligand_278     333     
1e66_ligand_282     321     
1e66_ligand_285     300     
1e66_ligand_286     221     
1e66_ligand_289     371     
1e66_ligand_293     287     
1e66_ligand_298     372     
1e66_ligand_300     314     
1e66_ligand_303     357     
1e66_ligand_305     409     
1e66_ligand_306     384     
1e66_ligand_310     323     
1e66_ligand_311     354     
1e66_ligand_314     302     
1e66_ligand_315     272     
1e66_ligand_317     325     
1e66_ligand_320     347     
1e66_ligand_321     421     
1e66_ligand_322     328     
1e66_ligand_323     326     
1e66_ligand_326     395     
1e66_ligand_329     405     
1e66_ligand_331     363     
1e66_ligand_333     304     
1e66_ligand_334     402     
1e66_ligand_342     346     
1e66_ligand_343     348     
1e66_ligand_344     391     
1e66_ligand_346     304     
1e66_ligand_347     273     
1e66_ligand_349     294     
1e66_ligand_350     312     
1e66_ligand_352     392     
1e66_ligand_356     318     
1e66_ligand_358     388     
1e66_ligand_359     321     
1e66_ligand_361     330     
1e66_ligand_363     420     
1e66_ligand_366     314     
1e66_ligand_367     314     
1e66_ligand_371     356     
1e66_ligand_373     333     
1e66_ligand_382     291     
1e66_ligand_383     356     
1e66_ligand_384     304     
1e66_ligand_385     389     
1e66_ligand_389     306     
1e66_ligand_393     296     
1e66_ligand_394     296     
1e66_ligand_399     341     
1e66_ligand_400     233     
1e66_ligand_419     373     
1e66_ligand_421     310     
1e66_ligand_423     304     
1e66_ligand_43      342     
1e66_ligand_431     281     
1e66_ligand_440     294     
1e66_ligand_441     397     
1e66_ligand_446     301     
1e66_ligand_447     275     
1e66_ligand_448     258     
1e66_ligand_451     346     
1e66_ligand_459     318     
1e66_ligand_466     362     
1e66_ligand_470     350     
1e66_ligand_479     312     
1e66_ligand_497     302     
1e66_ligand_499     323     
1e66_ligand_500     356     
1e66_ligand_54      349     
1e66_ligand_71      339     
1e66_ligand_80      343     
1eby_ligand_103     128     
1eby_ligand_106     378     
1eby_ligand_11      357     
1eby_ligand_112     319     
1eby_ligand_113     335     
1eby_ligand_114     347     
1eby_ligand_115     303     
1eby_ligand_117     384     
1eby_ligand_121     307     
1eby_ligand_122     494     
1eby_ligand_123     267     
1eby_ligand_124     218     
1eby_ligand_125     242     
1eby_ligand_127     261     
1eby_ligand_129     185     
1eby_ligand_132     260     
1eby_ligand_136     448     
1eby_ligand_137     353     
1eby_ligand_138     389     
