#code_ligand_num    score   
1a30_ligand_10      347     
1a30_ligand_103     306     
1a30_ligand_106     475     
1a30_ligand_107     459     
1a30_ligand_111     525     
1a30_ligand_119     378     
1a30_ligand_121     370     
1a30_ligand_123     403     
1a30_ligand_128     439     
1a30_ligand_130     520     
1a30_ligand_159     99      
1a30_ligand_163     94      
1a30_ligand_167     217     
1a30_ligand_173     109     
1a30_ligand_176     166     
1a30_ligand_179     231     
1a30_ligand_181     82      
1a30_ligand_182     212     
1a30_ligand_195     165     
1a30_ligand_209     298     
1a30_ligand_214     142     
1a30_ligand_217     251     
1a30_ligand_22      311     
1a30_ligand_220     670     
1a30_ligand_221     417     
1a30_ligand_222     154     
1a30_ligand_223     154     
1a30_ligand_224     88      
1a30_ligand_228     320     
1a30_ligand_230     123     
1a30_ligand_232     310     
1a30_ligand_235     88      
1a30_ligand_236     180     
1a30_ligand_238     209     
1a30_ligand_239     266     
1a30_ligand_247     239     
1a30_ligand_257     490     
1a30_ligand_258     160     
1a30_ligand_259     283     
1a30_ligand_264     152     
1a30_ligand_266     180     
1a30_ligand_279     68      
1a30_ligand_284     120     
1a30_ligand_288     218     
1a30_ligand_29      149     
1a30_ligand_291     295     
1a30_ligand_292     334     
1a30_ligand_294     448     
1a30_ligand_300     128     
1a30_ligand_305     546     
1a30_ligand_306     195     
1a30_ligand_313     434     
1a30_ligand_315     337     
1a30_ligand_321     230     
1a30_ligand_324     359     
1a30_ligand_325     255     
1a30_ligand_326     385     
1a30_ligand_33      393     
1a30_ligand_330     381     
1a30_ligand_336     318     
1a30_ligand_34      363     
1a30_ligand_340     298     
1a30_ligand_342     582     
1a30_ligand_349     156     
1a30_ligand_352     690     
1a30_ligand_36      255     
1a30_ligand_364     611     
1a30_ligand_365     567     
1a30_ligand_366     410     
1a30_ligand_370     532     
1a30_ligand_371     546     
1a30_ligand_38      313     
1a30_ligand_382     593     
1a30_ligand_383     510     
1a30_ligand_387     466     
1a30_ligand_394     371     
1a30_ligand_397     314     
1a30_ligand_399     378     
1a30_ligand_4       357     
1a30_ligand_408     305     
1a30_ligand_41      364     
1a30_ligand_417     758     
1a30_ligand_429     565     
1a30_ligand_448     417     
1a30_ligand_449     674     
1a30_ligand_45      526     
1a30_ligand_48      381     
1a30_ligand_483     390     
1a30_ligand_49      316     
1a30_ligand_50      336     
1a30_ligand_56      515     
1a30_ligand_58      457     
1a30_ligand_61      483     
1a30_ligand_71      293     
1a30_ligand_74      253     
1a30_ligand_78      283     
1a30_ligand_81      322     
1a30_ligand_83      433     
1a30_ligand_9       494     
1a30_ligand_96      406     
1bcu_ligand_152     296     
1bcu_ligand_153     259     
1bcu_ligand_155     245     
1bcu_ligand_161     251     
1bcu_ligand_171     245     
1bcu_ligand_176     288     
1bcu_ligand_185     239     
1bcu_ligand_186     223     
1bcu_ligand_187     212     
1bcu_ligand_194     216     
1bcu_ligand_197     245     
1bcu_ligand_204     309     
1bcu_ligand_210     233     
1bcu_ligand_225     279     
1bcu_ligand_232     245     
1bcu_ligand_235     236     
1bcu_ligand_236     218     
1bcu_ligand_241     286     
1bcu_ligand_248     233     
1bcu_ligand_249     242     
1bcu_ligand_252     326     
1bcu_ligand_254     223     
1bcu_ligand_259     319     
1bcu_ligand_266     284     
1bcu_ligand_270     233     
1bcu_ligand_277     218     
1bcu_ligand_284     274     
1bcu_ligand_294     260     
1bcu_ligand_296     315     
1bcu_ligand_302     312     
1bcu_ligand_303     371     
1bcu_ligand_308     340     
1bcu_ligand_309     255     
1bcu_ligand_312     307     
1bcu_ligand_316     306     
1bcu_ligand_317     325     
1bcu_ligand_319     270     
1bcu_ligand_325     288     
1bcu_ligand_327     275     
1bcu_ligand_335     247     
1bcu_ligand_337     271     
1bcu_ligand_338     327     
1bcu_ligand_340     235     
1bcu_ligand_341     276     
1bcu_ligand_349     330     
1bcu_ligand_351     314     
1bcu_ligand_355     323     
1bcu_ligand_356     351     
1bcu_ligand_358     344     
1bcu_ligand_362     308     
1bcu_ligand_363     306     
1bcu_ligand_365     228     
1bcu_ligand_366     281     
1bcu_ligand_367     312     
1bcu_ligand_372     279     
1bcu_ligand_373     302     
1bcu_ligand_374     234     
1bcu_ligand_376     323     
1bcu_ligand_377     283     
1bcu_ligand_378     226     
1bcu_ligand_379     237     
1bcu_ligand_380     223     
1bcu_ligand_381     277     
1bcu_ligand_382     312     
1bcu_ligand_384     290     
1bcu_ligand_385     313     
1bcu_ligand_386     264     
1bcu_ligand_387     273     
1bcu_ligand_388     273     
1bcu_ligand_389     342     
1bcu_ligand_391     290     
1bcu_ligand_392     233     
1bcu_ligand_393     251     
1bcu_ligand_395     265     
1bcu_ligand_396     235     
1bcu_ligand_397     328     
1bcu_ligand_398     258     
1bcu_ligand_399     251     
1bcu_ligand_400     240     
1bcu_ligand_405     320     
1bcu_ligand_406     272     
1bcu_ligand_408     316     
1bcu_ligand_409     355     
1bcu_ligand_412     315     
1bcu_ligand_421     320     
1bcu_ligand_429     294     
1bcu_ligand_434     222     
1bcu_ligand_441     237     
1bcu_ligand_447     265     
1bcu_ligand_448     352     
1bcu_ligand_453     329     
1bcu_ligand_456     349     
1bcu_ligand_467     307     
1bcu_ligand_486     267     
1bcu_ligand_487     282     
1bcu_ligand_489     268     
1bcu_ligand_491     337     
1bcu_ligand_495     230     
1bcu_ligand_499     311     
1bcu_ligand_65      321     
1bzc_ligand_10      333     
1bzc_ligand_102     465     
1bzc_ligand_110     428     
1bzc_ligand_113     405     
1bzc_ligand_118     458     
1bzc_ligand_120     584     
1bzc_ligand_122     353     
1bzc_ligand_134     489     
1bzc_ligand_136     417     
1bzc_ligand_150     467     
1bzc_ligand_165     278     
1bzc_ligand_167     390     
1bzc_ligand_174     351     
1bzc_ligand_180     158     
1bzc_ligand_181     287     
1bzc_ligand_186     313     
1bzc_ligand_191     173     
1bzc_ligand_195     251     
1bzc_ligand_198     393     
1bzc_ligand_2       383     
1bzc_ligand_203     359     
1bzc_ligand_205     448     
1bzc_ligand_213     323     
1bzc_ligand_216     310     
1bzc_ligand_217     314     
1bzc_ligand_218     333     
1bzc_ligand_220     476     
1bzc_ligand_221     383     
1bzc_ligand_225     352     
1bzc_ligand_227     327     
1bzc_ligand_229     212     
1bzc_ligand_230     292     
1bzc_ligand_231     306     
1bzc_ligand_232     286     
1bzc_ligand_233     252     
1bzc_ligand_234     306     
1bzc_ligand_237     235     
1bzc_ligand_246     230     
1bzc_ligand_248     155     
1bzc_ligand_250     278     
1bzc_ligand_251     478     
1bzc_ligand_259     208     
1bzc_ligand_260     259     
1bzc_ligand_262     297     
1bzc_ligand_265     243     
1bzc_ligand_267     215     
1bzc_ligand_268     353     
1bzc_ligand_27      227     
1bzc_ligand_273     200     
1bzc_ligand_284     364     
1bzc_ligand_298     264     
1bzc_ligand_299     341     
1bzc_ligand_302     386     
1bzc_ligand_309     445     
1bzc_ligand_31      311     
1bzc_ligand_310     439     
1bzc_ligand_311     393     
1bzc_ligand_312     299     
1bzc_ligand_314     199     
1bzc_ligand_316     248     
1bzc_ligand_325     426     
1bzc_ligand_328     377     
1bzc_ligand_329     312     
1bzc_ligand_330     211     
1bzc_ligand_332     285     
1bzc_ligand_334     406     
1bzc_ligand_336     417     
1bzc_ligand_337     378     
1bzc_ligand_338     170     
1bzc_ligand_344     191     
1bzc_ligand_35      318     
1bzc_ligand_352     505     
1bzc_ligand_357     412     
1bzc_ligand_361     356     
1bzc_ligand_366     476     
1bzc_ligand_377     640     
1bzc_ligand_388     474     
1bzc_ligand_393     358     
1bzc_ligand_394     455     
1bzc_ligand_397     434     
1bzc_ligand_398     352     
1bzc_ligand_41      293     
1bzc_ligand_412     400     
1bzc_ligand_432     410     
1bzc_ligand_441     519     
1bzc_ligand_456     535     
1bzc_ligand_458     394     
1bzc_ligand_46      326     
1bzc_ligand_475     361     
1bzc_ligand_478     477     
1bzc_ligand_484     405     
1bzc_ligand_489     249     
1bzc_ligand_500     478     
1bzc_ligand_51      465     
1bzc_ligand_58      467     
1bzc_ligand_86      371     
1bzc_ligand_9       422     
