#code_ligand_num    score   
1a30_ligand_10      158     
1a30_ligand_100     209     
1a30_ligand_103     363     
1a30_ligand_107     288     
1a30_ligand_110     349     
1a30_ligand_111     354     
1a30_ligand_118     294     
1a30_ligand_12      114     
1a30_ligand_128     271     
1a30_ligand_130     169     
1a30_ligand_136     284     
1a30_ligand_140     251     
1a30_ligand_142     312     
1a30_ligand_143     267     
1a30_ligand_146     216     
1a30_ligand_148     209     
1a30_ligand_149     171     
1a30_ligand_16      287     
1a30_ligand_17      101     
1a30_ligand_187     71      
1a30_ligand_191     111     
1a30_ligand_194     134     
1a30_ligand_214     61      
1a30_ligand_215     87      
1a30_ligand_219     10      
1a30_ligand_229     273     
1a30_ligand_23      177     
1a30_ligand_232     24      
1a30_ligand_238     140     
1a30_ligand_24      80      
1a30_ligand_240     97      
1a30_ligand_244     95      
1a30_ligand_251     133     
1a30_ligand_256     26      
1a30_ligand_265     73      
1a30_ligand_269     133     
1a30_ligand_275     236     
1a30_ligand_277     160     
1a30_ligand_285     162     
1a30_ligand_287     152     
1a30_ligand_289     254     
1a30_ligand_290     174     
1a30_ligand_291     74      
1a30_ligand_299     158     
1a30_ligand_3       118     
1a30_ligand_30      94      
1a30_ligand_301     87      
1a30_ligand_302     271     
1a30_ligand_305     165     
1a30_ligand_310     54      
1a30_ligand_311     27      
1a30_ligand_319     132     
1a30_ligand_321     199     
1a30_ligand_322     403     
1a30_ligand_324     107     
1a30_ligand_325     223     
1a30_ligand_33      11      
1a30_ligand_335     92      
1a30_ligand_337     78      
1a30_ligand_340     220     
1a30_ligand_341     139     
1a30_ligand_342     162     
1a30_ligand_344     214     
1a30_ligand_345     210     
1a30_ligand_349     107     
1a30_ligand_354     269     
1a30_ligand_361     492     
1a30_ligand_372     326     
1a30_ligand_38      211     
1a30_ligand_382     291     
1a30_ligand_385     231     
1a30_ligand_39      119     
1a30_ligand_394     272     
1a30_ligand_401     434     
1a30_ligand_41      205     
1a30_ligand_412     421     
1a30_ligand_414     397     
1a30_ligand_424     398     
1a30_ligand_429     484     
1a30_ligand_45      191     
1a30_ligand_46      240     
1a30_ligand_48      54      
1a30_ligand_5       177     
1a30_ligand_50      223     
1a30_ligand_51      223     
1a30_ligand_55      365     
1a30_ligand_58      356     
1a30_ligand_63      297     
1a30_ligand_70      222     
1a30_ligand_74      405     
1a30_ligand_76      321     
1a30_ligand_79      325     
1a30_ligand_8       211     
1a30_ligand_82      206     
1a30_ligand_83      257     
1a30_ligand_85      219     
1a30_ligand_88      437     
1a30_ligand_92      371     
1a30_ligand_96      464     
1a30_ligand_98      279     
1bcu_ligand_104     263     
1bcu_ligand_119     259     
1bcu_ligand_155     222     
1bcu_ligand_160     351     
1bcu_ligand_169     206     
1bcu_ligand_181     233     
1bcu_ligand_184     177     
1bcu_ligand_186     218     
1bcu_ligand_189     292     
1bcu_ligand_196     214     
1bcu_ligand_197     284     
1bcu_ligand_204     362     
1bcu_ligand_209     279     
1bcu_ligand_224     267     
1bcu_ligand_232     251     
1bcu_ligand_242     385     
1bcu_ligand_243     220     
1bcu_ligand_247     258     
1bcu_ligand_258     180     
1bcu_ligand_264     222     
1bcu_ligand_276     226     
1bcu_ligand_285     199     
1bcu_ligand_294     291     
1bcu_ligand_296     245     
1bcu_ligand_299     312     
1bcu_ligand_300     194     
1bcu_ligand_302     342     
1bcu_ligand_308     295     
1bcu_ligand_319     289     
1bcu_ligand_322     254     
1bcu_ligand_332     255     
1bcu_ligand_341     294     
1bcu_ligand_343     288     
1bcu_ligand_349     292     
1bcu_ligand_352     249     
1bcu_ligand_354     260     
1bcu_ligand_356     260     
1bcu_ligand_357     299     
1bcu_ligand_359     241     
1bcu_ligand_360     261     
1bcu_ligand_361     279     
1bcu_ligand_362     263     
1bcu_ligand_364     242     
1bcu_ligand_365     259     
1bcu_ligand_367     219     
1bcu_ligand_368     215     
1bcu_ligand_369     223     
1bcu_ligand_370     261     
1bcu_ligand_371     223     
1bcu_ligand_372     239     
1bcu_ligand_376     184     
1bcu_ligand_377     322     
1bcu_ligand_378     231     
1bcu_ligand_379     256     
1bcu_ligand_383     173     
1bcu_ligand_386     236     
1bcu_ligand_388     202     
1bcu_ligand_389     184     
1bcu_ligand_391     226     
1bcu_ligand_393     225     
1bcu_ligand_394     197     
1bcu_ligand_395     174     
1bcu_ligand_396     300     
1bcu_ligand_397     188     
1bcu_ligand_398     198     
1bcu_ligand_400     199     
1bcu_ligand_402     315     
1bcu_ligand_404     264     
1bcu_ligand_410     299     
1bcu_ligand_414     243     
1bcu_ligand_416     239     
1bcu_ligand_418     272     
1bcu_ligand_419     243     
1bcu_ligand_421     242     
1bcu_ligand_427     218     
1bcu_ligand_430     184     
1bcu_ligand_431     275     
1bcu_ligand_437     202     
1bcu_ligand_440     266     
1bcu_ligand_443     198     
1bcu_ligand_445     229     
1bcu_ligand_446     221     
1bcu_ligand_450     147     
1bcu_ligand_452     263     
1bcu_ligand_468     264     
1bcu_ligand_469     254     
1bcu_ligand_47      239     
1bcu_ligand_471     301     
1bcu_ligand_473     262     
1bcu_ligand_474     302     
1bcu_ligand_478     285     
1bcu_ligand_479     297     
1bcu_ligand_483     279     
1bcu_ligand_491     241     
1bcu_ligand_492     245     
1bcu_ligand_496     234     
1bcu_ligand_71      279     
1bcu_ligand_86      322     
1bcu_ligand_94      361     
1bcu_ligand_98      268     
1bzc_ligand_100     311     
1bzc_ligand_101     264     
1bzc_ligand_102     239     
1bzc_ligand_103     257     
1bzc_ligand_105     375     
1bzc_ligand_108     309     
1bzc_ligand_110     218     
1bzc_ligand_111     388     
1bzc_ligand_113     207     
1bzc_ligand_120     260     
1bzc_ligand_123     290     
1bzc_ligand_127     301     
1bzc_ligand_128     333     
1bzc_ligand_13      214     
1bzc_ligand_134     214     
1bzc_ligand_135     384     
1bzc_ligand_150     300     
1bzc_ligand_152     341     
1bzc_ligand_156     229     
1bzc_ligand_166     193     
1bzc_ligand_167     156     
1bzc_ligand_168     297     
1bzc_ligand_174     224     
1bzc_ligand_183     226     
1bzc_ligand_186     207     
1bzc_ligand_188     231     
1bzc_ligand_190     111     
1bzc_ligand_194     374     
1bzc_ligand_196     104     
1bzc_ligand_200     243     
1bzc_ligand_202     165     
1bzc_ligand_203     220     
1bzc_ligand_206     218     
1bzc_ligand_211     126     
1bzc_ligand_213     239     
1bzc_ligand_217     126     
1bzc_ligand_218     150     
1bzc_ligand_220     264     
1bzc_ligand_221     154     
1bzc_ligand_222     208     
1bzc_ligand_224     150     
1bzc_ligand_232     85      
1bzc_ligand_234     166     
1bzc_ligand_236     159     
1bzc_ligand_237     138     
1bzc_ligand_238     243     
1bzc_ligand_24      241     
1bzc_ligand_240     88      
1bzc_ligand_241     140     
1bzc_ligand_246     221     
1bzc_ligand_251     157     
1bzc_ligand_253     313     
1bzc_ligand_255     371     
1bzc_ligand_256     239     
1bzc_ligand_257     192     
1bzc_ligand_258     121     
1bzc_ligand_260     307     
1bzc_ligand_263     202     
1bzc_ligand_265     276     
1bzc_ligand_270     116     
1bzc_ligand_292     267     
1bzc_ligand_300     168     
1bzc_ligand_301     417     
1bzc_ligand_304     164     
1bzc_ligand_306     146     
1bzc_ligand_308     201     
1bzc_ligand_309     512     
1bzc_ligand_31      262     
1bzc_ligand_311     260     
1bzc_ligand_312     261     
1bzc_ligand_313     257     
1bzc_ligand_316     135     
1bzc_ligand_323     219     
1bzc_ligand_327     128     
1bzc_ligand_328     285     
1bzc_ligand_334     127     
1bzc_ligand_34      329     
1bzc_ligand_340     169     
1bzc_ligand_342     300     
1bzc_ligand_346     349     
1bzc_ligand_35      227     
1bzc_ligand_353     388     
1bzc_ligand_359     333     
1bzc_ligand_372     417     
1bzc_ligand_386     317     
1bzc_ligand_390     351     
1bzc_ligand_393     274     
1bzc_ligand_394     298     
1bzc_ligand_395     239     
1bzc_ligand_406     478     
1bzc_ligand_433     378     
1bzc_ligand_47      160     
1bzc_ligand_54      270     
1bzc_ligand_58      188     
1bzc_ligand_60      223     
1bzc_ligand_75      287     
