#code_ligand_num    score   
1a30_ligand_1       163     
1a30_ligand_101     103     
1a30_ligand_122     195     
1a30_ligand_123     199     
1a30_ligand_124     399     
1a30_ligand_125     372     
1a30_ligand_141     389     
1a30_ligand_143     215     
1a30_ligand_144     334     
1a30_ligand_146     322     
1a30_ligand_149     407     
1a30_ligand_154     159     
1a30_ligand_159     128     
1a30_ligand_167     215     
1a30_ligand_170     174     
1a30_ligand_184     188     
1a30_ligand_185     181     
1a30_ligand_188     247     
1a30_ligand_19      140     
1a30_ligand_195     162     
1a30_ligand_196     202     
1a30_ligand_197     86      
1a30_ligand_198     168     
1a30_ligand_20      258     
1a30_ligand_201     78      
1a30_ligand_203     262     
1a30_ligand_204     85      
1a30_ligand_205     165     
1a30_ligand_206     123     
1a30_ligand_207     116     
1a30_ligand_210     193     
1a30_ligand_213     242     
1a30_ligand_214     258     
1a30_ligand_215     226     
1a30_ligand_219     53      
1a30_ligand_222     247     
1a30_ligand_229     92      
1a30_ligand_232     394     
1a30_ligand_236     111     
1a30_ligand_237     277     
1a30_ligand_238     222     
1a30_ligand_239     120     
1a30_ligand_240     279     
1a30_ligand_241     276     
1a30_ligand_242     43      
1a30_ligand_243     127     
1a30_ligand_246     265     
1a30_ligand_253     338     
1a30_ligand_264     170     
1a30_ligand_267     229     
1a30_ligand_27      426     
1a30_ligand_274     218     
1a30_ligand_276     144     
1a30_ligand_279     210     
1a30_ligand_282     282     
1a30_ligand_290     231     
1a30_ligand_293     197     
1a30_ligand_3       114     
1a30_ligand_304     202     
1a30_ligand_306     151     
1a30_ligand_31      171     
1a30_ligand_313     327     
1a30_ligand_315     261     
1a30_ligand_316     249     
1a30_ligand_322     186     
1a30_ligand_333     225     
1a30_ligand_340     218     
1a30_ligand_341     198     
1a30_ligand_346     182     
1a30_ligand_347     229     
1a30_ligand_349     210     
1a30_ligand_350     403     
1a30_ligand_376     422     
1a30_ligand_385     348     
1a30_ligand_389     359     
1a30_ligand_391     395     
1a30_ligand_393     530     
1a30_ligand_397     295     
1a30_ligand_40      106     
1a30_ligand_403     328     
1a30_ligand_405     315     
1a30_ligand_431     419     
1a30_ligand_432     412     
1a30_ligand_444     384     
1a30_ligand_449     340     
1a30_ligand_45      105     
1a30_ligand_493     427     
1a30_ligand_50      249     
1a30_ligand_51      253     
1a30_ligand_52      329     
1a30_ligand_55      290     
1a30_ligand_63      315     
1a30_ligand_65      463     
1a30_ligand_69      367     
1a30_ligand_7       147     
1a30_ligand_70      360     
1a30_ligand_76      188     
1a30_ligand_85      192     
1a30_ligand_86      340     
1a30_ligand_94      247     
1bcu_ligand_105     324     
1bcu_ligand_115     253     
1bcu_ligand_134     254     
1bcu_ligand_135     323     
1bcu_ligand_136     307     
1bcu_ligand_148     336     
1bcu_ligand_155     341     
1bcu_ligand_162     336     
1bcu_ligand_163     314     
1bcu_ligand_168     375     
1bcu_ligand_176     299     
1bcu_ligand_178     355     
1bcu_ligand_179     341     
1bcu_ligand_182     251     
1bcu_ligand_183     326     
1bcu_ligand_191     313     
1bcu_ligand_2       299     
1bcu_ligand_200     319     
1bcu_ligand_205     379     
1bcu_ligand_210     296     
1bcu_ligand_216     278     
1bcu_ligand_219     278     
1bcu_ligand_222     435     
1bcu_ligand_23      305     
1bcu_ligand_230     311     
1bcu_ligand_234     340     
1bcu_ligand_240     359     
1bcu_ligand_244     269     
1bcu_ligand_249     278     
1bcu_ligand_256     261     
1bcu_ligand_261     323     
1bcu_ligand_263     250     
1bcu_ligand_265     255     
1bcu_ligand_274     297     
1bcu_ligand_276     346     
1bcu_ligand_293     321     
1bcu_ligand_294     296     
1bcu_ligand_297     232     
1bcu_ligand_3       332     
1bcu_ligand_313     305     
1bcu_ligand_328     314     
1bcu_ligand_337     282     
1bcu_ligand_340     377     
1bcu_ligand_344     369     
1bcu_ligand_346     332     
1bcu_ligand_355     290     
1bcu_ligand_357     258     
1bcu_ligand_362     289     
1bcu_ligand_363     206     
1bcu_ligand_366     252     
1bcu_ligand_367     236     
1bcu_ligand_368     206     
1bcu_ligand_37      255     
1bcu_ligand_370     200     
1bcu_ligand_373     189     
1bcu_ligand_374     190     
1bcu_ligand_375     224     
1bcu_ligand_376     180     
1bcu_ligand_377     358     
1bcu_ligand_379     209     
1bcu_ligand_381     215     
1bcu_ligand_382     181     
1bcu_ligand_383     178     
1bcu_ligand_384     150     
1bcu_ligand_385     147     
1bcu_ligand_388     229     
1bcu_ligand_390     168     
1bcu_ligand_391     249     
1bcu_ligand_392     387     
1bcu_ligand_394     199     
1bcu_ligand_395     201     
1bcu_ligand_396     164     
1bcu_ligand_397     165     
1bcu_ligand_400     169     
1bcu_ligand_401     354     
1bcu_ligand_404     299     
1bcu_ligand_405     339     
1bcu_ligand_406     348     
1bcu_ligand_407     257     
1bcu_ligand_411     304     
1bcu_ligand_413     284     
1bcu_ligand_414     293     
1bcu_ligand_419     324     
1bcu_ligand_42      316     
1bcu_ligand_420     300     
1bcu_ligand_424     195     
1bcu_ligand_432     237     
1bcu_ligand_437     245     
1bcu_ligand_440     344     
1bcu_ligand_442     332     
1bcu_ligand_443     178     
1bcu_ligand_445     270     
1bcu_ligand_446     292     
1bcu_ligand_449     327     
1bcu_ligand_450     248     
1bcu_ligand_457     394     
1bcu_ligand_458     303     
1bcu_ligand_480     313     
1bcu_ligand_498     302     
1bcu_ligand_99      379     
1bzc_ligand_107     381     
1bzc_ligand_113     416     
1bzc_ligand_127     349     
1bzc_ligand_14      311     
1bzc_ligand_147     289     
1bzc_ligand_152     262     
1bzc_ligand_159     344     
1bzc_ligand_165     233     
1bzc_ligand_166     299     
1bzc_ligand_168     250     
1bzc_ligand_171     229     
1bzc_ligand_175     274     
1bzc_ligand_176     289     
1bzc_ligand_179     244     
1bzc_ligand_189     236     
1bzc_ligand_191     399     
1bzc_ligand_192     254     
1bzc_ligand_199     252     
1bzc_ligand_202     278     
1bzc_ligand_203     193     
1bzc_ligand_207     267     
1bzc_ligand_208     366     
1bzc_ligand_209     178     
1bzc_ligand_210     188     
1bzc_ligand_211     185     
1bzc_ligand_212     170     
1bzc_ligand_214     241     
1bzc_ligand_219     227     
1bzc_ligand_221     198     
1bzc_ligand_222     195     
1bzc_ligand_223     256     
1bzc_ligand_225     194     
1bzc_ligand_228     230     
1bzc_ligand_229     231     
1bzc_ligand_230     292     
1bzc_ligand_231     269     
1bzc_ligand_235     185     
1bzc_ligand_238     215     
1bzc_ligand_239     218     
1bzc_ligand_242     235     
1bzc_ligand_246     148     
1bzc_ligand_247     182     
1bzc_ligand_252     296     
1bzc_ligand_257     267     
1bzc_ligand_259     209     
1bzc_ligand_26      390     
1bzc_ligand_267     251     
1bzc_ligand_272     329     
1bzc_ligand_276     208     
1bzc_ligand_277     259     
1bzc_ligand_278     167     
1bzc_ligand_283     133     
1bzc_ligand_285     308     
1bzc_ligand_287     395     
1bzc_ligand_289     227     
1bzc_ligand_290     260     
1bzc_ligand_300     252     
1bzc_ligand_303     196     
1bzc_ligand_307     157     
1bzc_ligand_309     268     
1bzc_ligand_310     317     
1bzc_ligand_311     283     
1bzc_ligand_313     250     
1bzc_ligand_315     391     
1bzc_ligand_316     220     
1bzc_ligand_317     289     
1bzc_ligand_322     262     
1bzc_ligand_325     213     
