#code_ligand_num    score   
1a30_ligand_103     233     
1a30_ligand_104     41      
1a30_ligand_107     24      
1a30_ligand_11      34      
1a30_ligand_111     249     
1a30_ligand_116     109     
1a30_ligand_119     181     
1a30_ligand_123     161     
1a30_ligand_128     69      
1a30_ligand_13      96      
1a30_ligand_130     252     
1a30_ligand_140     194     
1a30_ligand_15      157     
1a30_ligand_154     194     
1a30_ligand_155     183     
1a30_ligand_161     196     
1a30_ligand_162     196     
1a30_ligand_169     206     
1a30_ligand_17      -24     
1a30_ligand_170     187     
1a30_ligand_172     183     
1a30_ligand_178     225     
1a30_ligand_18      159     
1a30_ligand_199     166     
1a30_ligand_202     29      
1a30_ligand_207     152     
1a30_ligand_209     213     
1a30_ligand_212     125     
1a30_ligand_214     117     
1a30_ligand_216     111     
1a30_ligand_22      113     
1a30_ligand_221     95      
1a30_ligand_225     210     
1a30_ligand_229     209     
1a30_ligand_23      144     
1a30_ligand_230     207     
1a30_ligand_232     114     
1a30_ligand_237     170     
1a30_ligand_241     192     
1a30_ligand_242     121     
1a30_ligand_247     218     
1a30_ligand_256     126     
1a30_ligand_257     192     
1a30_ligand_26      55      
1a30_ligand_27      68      
1a30_ligand_28      130     
1a30_ligand_281     208     
1a30_ligand_283     218     
1a30_ligand_29      160     
1a30_ligand_293     218     
1a30_ligand_3       148     
1a30_ligand_300     227     
1a30_ligand_302     237     
1a30_ligand_308     131     
1a30_ligand_31      -44     
1a30_ligand_313     191     
1a30_ligand_319     122     
1a30_ligand_333     152     
1a30_ligand_336     256     
1a30_ligand_347     163     
1a30_ligand_348     181     
1a30_ligand_37      16      
1a30_ligand_383     242     
1a30_ligand_385     240     
1a30_ligand_386     201     
1a30_ligand_39      61      
1a30_ligand_398     254     
1a30_ligand_4       155     
1a30_ligand_400     334     
1a30_ligand_41      127     
1a30_ligand_44      52      
1a30_ligand_45      76      
1a30_ligand_454     479     
1a30_ligand_46      99      
1a30_ligand_47      183     
1a30_ligand_48      80      
1a30_ligand_51      100     
1a30_ligand_52      36      
1a30_ligand_53      119     
1a30_ligand_55      120     
1a30_ligand_56      202     
1a30_ligand_58      121     
1a30_ligand_61      212     
1a30_ligand_65      115     
1a30_ligand_66      124     
1a30_ligand_67      178     
1a30_ligand_68      99      
1a30_ligand_70      78      
1a30_ligand_72      160     
1a30_ligand_75      53      
1a30_ligand_76      175     
1a30_ligand_78      79      
1a30_ligand_79      129     
1a30_ligand_82      102     
1a30_ligand_84      20      
1a30_ligand_88      294     
1a30_ligand_89      183     
1a30_ligand_96      80      
1a30_ligand_97      41      
1a30_ligand_99      258     
1bcu_ligand_154     358     
1bcu_ligand_170     380     
1bcu_ligand_177     310     
1bcu_ligand_178     330     
1bcu_ligand_184     395     
1bcu_ligand_186     339     
1bcu_ligand_189     306     
1bcu_ligand_191     349     
1bcu_ligand_192     348     
1bcu_ligand_193     322     
1bcu_ligand_194     293     
1bcu_ligand_196     326     
1bcu_ligand_197     341     
1bcu_ligand_198     380     
1bcu_ligand_200     334     
1bcu_ligand_203     356     
1bcu_ligand_204     341     
1bcu_ligand_209     316     
1bcu_ligand_210     384     
1bcu_ligand_212     350     
1bcu_ligand_215     347     
1bcu_ligand_216     360     
1bcu_ligand_220     320     
1bcu_ligand_221     330     
1bcu_ligand_224     307     
1bcu_ligand_227     360     
1bcu_ligand_228     355     
1bcu_ligand_229     338     
1bcu_ligand_231     327     
1bcu_ligand_232     417     
1bcu_ligand_235     323     
1bcu_ligand_236     372     
1bcu_ligand_238     337     
1bcu_ligand_242     314     
1bcu_ligand_243     340     
1bcu_ligand_246     369     
1bcu_ligand_249     324     
1bcu_ligand_251     316     
1bcu_ligand_257     338     
1bcu_ligand_258     316     
1bcu_ligand_266     379     
1bcu_ligand_275     372     
1bcu_ligand_276     310     
1bcu_ligand_277     301     
1bcu_ligand_279     371     
1bcu_ligand_280     303     
1bcu_ligand_284     334     
1bcu_ligand_290     327     
1bcu_ligand_296     285     
1bcu_ligand_297     307     
