#code_ligand_num    score   
1a30_ligand_10      11      
1a30_ligand_102     215     
1a30_ligand_106     262     
1a30_ligand_108     30      
1a30_ligand_111     74      
1a30_ligand_116     26      
1a30_ligand_117     223     
1a30_ligand_12      44      
1a30_ligand_122     159     
1a30_ligand_127     214     
1a30_ligand_129     264     
1a30_ligand_131     231     
1a30_ligand_132     146     
1a30_ligand_141     116     
1a30_ligand_147     243     
1a30_ligand_15      -4      
1a30_ligand_162     148     
1a30_ligand_168     309     
1a30_ligand_169     120     
1a30_ligand_170     149     
1a30_ligand_181     111     
1a30_ligand_182     210     
1a30_ligand_185     142     
1a30_ligand_19      50      
1a30_ligand_197     113     
1a30_ligand_204     -35     
1a30_ligand_205     -69     
1a30_ligand_206     -73     
1a30_ligand_208     32      
1a30_ligand_209     58      
1a30_ligand_210     47      
1a30_ligand_211     -83     
1a30_ligand_216     25      
1a30_ligand_223     79      
1a30_ligand_224     -106    
1a30_ligand_228     25      
1a30_ligand_229     -40     
1a30_ligand_232     24      
1a30_ligand_235     -6      
1a30_ligand_236     -58     
1a30_ligand_237     18      
1a30_ligand_240     -13     
1a30_ligand_241     57      
1a30_ligand_247     -6      
1a30_ligand_248     -121    
1a30_ligand_249     87      
1a30_ligand_259     49      
1a30_ligand_261     159     
1a30_ligand_264     59      
1a30_ligand_270     109     
1a30_ligand_273     179     
1a30_ligand_274     74      
1a30_ligand_28      73      
1a30_ligand_282     122     
1a30_ligand_287     63      
1a30_ligand_289     93      
1a30_ligand_292     46      
1a30_ligand_295     70      
1a30_ligand_297     28      
1a30_ligand_299     68      
1a30_ligand_300     100     
1a30_ligand_31      142     
1a30_ligand_316     168     
1a30_ligand_319     97      
1a30_ligand_32      97      
1a30_ligand_320     105     
1a30_ligand_33      177     
1a30_ligand_330     111     
1a30_ligand_336     61      
1a30_ligand_338     154     
1a30_ligand_340     204     
1a30_ligand_342     51      
1a30_ligand_346     45      
1a30_ligand_350     134     
1a30_ligand_353     345     
1a30_ligand_40      27      
1a30_ligand_42      82      
1a30_ligand_43      129     
1a30_ligand_46      11      
1a30_ligand_5       78      
1a30_ligand_50      61      
1a30_ligand_53      171     
1a30_ligand_6       43      
1a30_ligand_64      6       
1a30_ligand_65      129     
1a30_ligand_66      96      
1a30_ligand_68      93      
1a30_ligand_70      25      
1a30_ligand_71      142     
1a30_ligand_73      73      
1a30_ligand_76      97      
1a30_ligand_8       80      
1a30_ligand_83      243     
1a30_ligand_86      139     
1a30_ligand_87      85      
1a30_ligand_89      74      
1a30_ligand_90      214     
1a30_ligand_96      247     
1a30_ligand_98      62      
1a30_ligand_99      74      
1bcu_ligand_160     369     
1bcu_ligand_168     314     
1bcu_ligand_169     310     
1bcu_ligand_178     308     
1bcu_ligand_179     333     
1bcu_ligand_188     384     
1bcu_ligand_197     337     
1bcu_ligand_198     385     
1bcu_ligand_209     221     
1bcu_ligand_211     241     
1bcu_ligand_213     258     
1bcu_ligand_215     275     
1bcu_ligand_216     281     
1bcu_ligand_217     279     
1bcu_ligand_219     314     
1bcu_ligand_221     299     
1bcu_ligand_222     276     
1bcu_ligand_223     235     
1bcu_ligand_226     230     
1bcu_ligand_231     197     
1bcu_ligand_235     317     
1bcu_ligand_236     233     
1bcu_ligand_239     208     
1bcu_ligand_245     313     
1bcu_ligand_247     273     
1bcu_ligand_248     253     
1bcu_ligand_249     262     
1bcu_ligand_250     260     
1bcu_ligand_257     312     
1bcu_ligand_259     255     
1bcu_ligand_274     301     
1bcu_ligand_277     288     
1bcu_ligand_278     314     
1bcu_ligand_280     315     
1bcu_ligand_282     265     
1bcu_ligand_285     324     
1bcu_ligand_290     309     
1bcu_ligand_293     315     
1bcu_ligand_315     358     
1bcu_ligand_322     310     
1bcu_ligand_328     297     
1bcu_ligand_336     245     
1bcu_ligand_337     245     
1bcu_ligand_339     358     
1bcu_ligand_340     228     
1bcu_ligand_353     304     
1bcu_ligand_357     223     
1bcu_ligand_362     232     
1bcu_ligand_363     188     
1bcu_ligand_365     176     
1bcu_ligand_366     179     
1bcu_ligand_367     206     
1bcu_ligand_368     211     
1bcu_ligand_369     188     
1bcu_ligand_370     181     
1bcu_ligand_371     199     
1bcu_ligand_373     175     
1bcu_ligand_377     184     
1bcu_ligand_378     155     
1bcu_ligand_379     156     
1bcu_ligand_380     176     
1bcu_ligand_384     134     
1bcu_ligand_385     179     
1bcu_ligand_389     146     
1bcu_ligand_391     192     
1bcu_ligand_392     150     
1bcu_ligand_393     209     
1bcu_ligand_394     202     
1bcu_ligand_395     182     
1bcu_ligand_396     153     
1bcu_ligand_398     197     
1bcu_ligand_399     122     
1bcu_ligand_400     124     
1bcu_ligand_406     231     
1bcu_ligand_411     245     
1bcu_ligand_421     181     
1bcu_ligand_426     176     
1bcu_ligand_427     244     
1bcu_ligand_429     218     
1bcu_ligand_430     163     
1bcu_ligand_433     184     
1bcu_ligand_435     189     
1bcu_ligand_443     190     
1bcu_ligand_445     167     
1bcu_ligand_448     167     
1bcu_ligand_450     176     
1bcu_ligand_457     223     
1bcu_ligand_458     216     
1bcu_ligand_461     226     
1bcu_ligand_468     222     
1bcu_ligand_472     206     
1bcu_ligand_477     228     
1bcu_ligand_478     266     
1bcu_ligand_479     210     
1bcu_ligand_483     244     
1bcu_ligand_484     206     
1bcu_ligand_485     215     
1bcu_ligand_488     193     
1bcu_ligand_493     186     
1bcu_ligand_499     229     
1bzc_ligand_108     166     
1bzc_ligand_110     250     
1bzc_ligand_116     135     
1bzc_ligand_118     168     
1bzc_ligand_126     167     
1bzc_ligand_13      83      
1bzc_ligand_130     160     
1bzc_ligand_132     236     
1bzc_ligand_139     322     
1bzc_ligand_144     151     
1bzc_ligand_16      235     
1bzc_ligand_160     262     
1bzc_ligand_162     305     
1bzc_ligand_164     367     
1bzc_ligand_167     217     
1bzc_ligand_170     278     
1bzc_ligand_171     379     
1bzc_ligand_176     356     
1bzc_ligand_177     307     
