#code_ligand_num    score   
1a30_ligand_105     375     
1a30_ligand_106     330     
1a30_ligand_108     326     
1a30_ligand_109     183     
1a30_ligand_111     267     
1a30_ligand_114     299     
1a30_ligand_115     181     
1a30_ligand_120     188     
1a30_ligand_125     260     
1a30_ligand_127     258     
1a30_ligand_128     202     
1a30_ligand_13      230     
1a30_ligand_136     341     
1a30_ligand_140     203     
1a30_ligand_141     298     
1a30_ligand_143     261     
1a30_ligand_148     303     
1a30_ligand_153     149     
1a30_ligand_16      198     
1a30_ligand_165     137     
1a30_ligand_17      320     
1a30_ligand_171     144     
1a30_ligand_180     232     
1a30_ligand_197     167     
1a30_ligand_198     264     
1a30_ligand_200     136     
1a30_ligand_206     203     
1a30_ligand_215     190     
1a30_ligand_218     310     
1a30_ligand_219     292     
1a30_ligand_222     257     
1a30_ligand_223     115     
1a30_ligand_225     193     
1a30_ligand_232     251     
1a30_ligand_234     216     
1a30_ligand_235     169     
1a30_ligand_237     175     
1a30_ligand_240     165     
1a30_ligand_242     233     
1a30_ligand_243     235     
1a30_ligand_244     160     
1a30_ligand_247     77      
1a30_ligand_253     284     
1a30_ligand_254     148     
1a30_ligand_259     265     
1a30_ligand_264     199     
1a30_ligand_278     257     
1a30_ligand_29      82      
1a30_ligand_293     292     
1a30_ligand_294     237     
1a30_ligand_296     228     
1a30_ligand_30      270     
1a30_ligand_306     434     
1a30_ligand_309     233     
1a30_ligand_311     450     
1a30_ligand_331     271     
1a30_ligand_339     325     
1a30_ligand_341     276     
1a30_ligand_346     236     
1a30_ligand_349     267     
1a30_ligand_36      143     
1a30_ligand_364     517     
1a30_ligand_371     287     
1a30_ligand_372     395     
1a30_ligand_374     451     
1a30_ligand_375     365     
1a30_ligand_377     357     
1a30_ligand_383     438     
1a30_ligand_385     587     
1a30_ligand_394     506     
1a30_ligand_395     395     
1a30_ligand_4       124     
1a30_ligand_400     362     
1a30_ligand_401     507     
1a30_ligand_42      216     
1a30_ligand_437     304     
1a30_ligand_440     375     
