#code_ligand_num    score   
1a30_ligand_1       22      
1a30_ligand_100     188     
1a30_ligand_101     116     
1a30_ligand_108     269     
1a30_ligand_120     76      
1a30_ligand_121     149     
1a30_ligand_127     126     
1a30_ligand_13      32      
1a30_ligand_132     81      
1a30_ligand_140     115     
1a30_ligand_145     111     
1a30_ligand_151     111     
1a30_ligand_161     62      
1a30_ligand_162     131     
1a30_ligand_165     82      
1a30_ligand_171     106     
1a30_ligand_178     149     
1a30_ligand_185     235     
1a30_ligand_19      10      
1a30_ligand_191     95      
1a30_ligand_194     110     
1a30_ligand_198     130     
1a30_ligand_199     130     
1a30_ligand_200     126     
1a30_ligand_202     105     
1a30_ligand_210     43      
1a30_ligand_211     -4      
1a30_ligand_215     106     
1a30_ligand_216     48      
1a30_ligand_218     36      
1a30_ligand_219     77      
1a30_ligand_223     -8      
1a30_ligand_229     45      
1a30_ligand_231     18      
1a30_ligand_233     181     
1a30_ligand_236     14      
1a30_ligand_241     74      
1a30_ligand_245     211     
1a30_ligand_246     9       
1a30_ligand_248     126     
1a30_ligand_253     200     
1a30_ligand_258     198     
1a30_ligand_266     131     
1a30_ligand_27      70      
1a30_ligand_276     158     
1a30_ligand_277     84      
1a30_ligand_278     78      
1a30_ligand_279     84      
1a30_ligand_290     115     
1a30_ligand_295     150     
1a30_ligand_302     126     
1a30_ligand_303     214     
1a30_ligand_309     128     
1a30_ligand_31      56      
1a30_ligand_316     98      
1a30_ligand_320     167     
1a30_ligand_323     141     
1a30_ligand_328     80      
1a30_ligand_332     140     
1a30_ligand_335     152     
1a30_ligand_338     240     
1a30_ligand_34      55      
1a30_ligand_344     63      
1a30_ligand_346     202     
1a30_ligand_350     105     
1a30_ligand_365     258     
1a30_ligand_37      86      
1a30_ligand_377     286     
1a30_ligand_38      88      
1a30_ligand_389     191     
1a30_ligand_40      88      
1a30_ligand_401     364     
1a30_ligand_406     348     
1a30_ligand_41      155     
1a30_ligand_417     275     
1a30_ligand_42      74      
1a30_ligand_422     321     
1a30_ligand_425     315     
1a30_ligand_438     179     
1a30_ligand_44      55      
1a30_ligand_447     395     
1a30_ligand_45      96      
1a30_ligand_46      80      
1a30_ligand_461     274     
1a30_ligand_465     312     
1a30_ligand_482     281     
1a30_ligand_49      14      
1a30_ligand_50      93      
1a30_ligand_56      157     
1a30_ligand_57      157     
1a30_ligand_60      178     
1a30_ligand_63      138     
1a30_ligand_67      131     
1a30_ligand_68      321     
1a30_ligand_69      103     
1a30_ligand_70      120     
1a30_ligand_82      178     
1a30_ligand_91      165     
1a30_ligand_94      108     
1a30_ligand_97      151     
1bcu_ligand_103     897     
1bcu_ligand_113     858     
1bcu_ligand_123     730     
1bcu_ligand_127     691     
1bcu_ligand_138     587     
1bcu_ligand_158     886     
1bcu_ligand_166     888     
1bcu_ligand_170     681     
1bcu_ligand_171     757     
1bcu_ligand_182     708     
1bcu_ligand_187     577     
1bcu_ligand_194     729     
1bcu_ligand_197     1001    
1bcu_ligand_198     665     
1bcu_ligand_199     882     
1bcu_ligand_203     833     
1bcu_ligand_210     858     
1bcu_ligand_229     754     
1bcu_ligand_23      679     
1bcu_ligand_230     533     
1bcu_ligand_231     815     
1bcu_ligand_233     563     
1bcu_ligand_238     658     
1bcu_ligand_240     835     
1bcu_ligand_244     525     
1bcu_ligand_262     488     
1bcu_ligand_263     592     
1bcu_ligand_271     749     
1bcu_ligand_274     702     
1bcu_ligand_277     383     
1bcu_ligand_280     788     
1bcu_ligand_284     585     
1bcu_ligand_289     510     
1bcu_ligand_293     466     
1bcu_ligand_294     463     
1bcu_ligand_295     618     
1bcu_ligand_298     284     
1bcu_ligand_300     622     
1bcu_ligand_304     515     
1bcu_ligand_311     528     
1bcu_ligand_312     720     
1bcu_ligand_316     653     
1bcu_ligand_317     546     
1bcu_ligand_322     503     
1bcu_ligand_326     615     
1bcu_ligand_331     464     
1bcu_ligand_334     596     
1bcu_ligand_337     634     
1bcu_ligand_344     459     
1bcu_ligand_346     962     
1bcu_ligand_356     1023    
1bcu_ligand_357     827     
1bcu_ligand_363     453     
1bcu_ligand_364     924     
1bcu_ligand_368     261     
1bcu_ligand_369     436     
1bcu_ligand_372     926     
1bcu_ligand_373     301     
1bcu_ligand_375     294     
1bcu_ligand_376     417     
1bcu_ligand_377     329     
1bcu_ligand_378     255     
1bcu_ligand_380     853     
1bcu_ligand_381     245     
1bcu_ligand_383     211     
1bcu_ligand_385     436     
1bcu_ligand_386     425     
1bcu_ligand_387     273     
1bcu_ligand_388     265     
1bcu_ligand_389     311     
1bcu_ligand_392     325     
1bcu_ligand_393     247     
1bcu_ligand_394     246     
1bcu_ligand_395     217     
1bcu_ligand_396     208     
1bcu_ligand_397     237     
1bcu_ligand_398     188     
1bcu_ligand_400     274     
1bcu_ligand_406     681     
1bcu_ligand_412     703     
1bcu_ligand_413     383     
1bcu_ligand_415     463     
1bcu_ligand_418     531     
1bcu_ligand_423     371     
1bcu_ligand_426     682     
1bcu_ligand_427     241     
1bcu_ligand_431     448     
1bcu_ligand_436     322     
1bcu_ligand_437     661     
1bcu_ligand_440     336     
1bcu_ligand_444     720     
1bcu_ligand_446     360     
1bcu_ligand_450     618     
1bcu_ligand_451     537     
1bcu_ligand_465     368     
1bcu_ligand_471     532     
1bcu_ligand_479     535     
1bcu_ligand_482     392     
1bcu_ligand_487     606     
1bcu_ligand_496     317     
1bzc_ligand_1       316     
1bzc_ligand_102     752     
1bzc_ligand_118     204     
1bzc_ligand_12      510     
1bzc_ligand_124     308     
1bzc_ligand_125     671     
1bzc_ligand_128     556     
1bzc_ligand_14      720     
1bzc_ligand_166     449     
1bzc_ligand_168     646     
1bzc_ligand_172     462     
1bzc_ligand_177     407     
1bzc_ligand_180     506     
1bzc_ligand_181     445     
1bzc_ligand_183     623     
1bzc_ligand_185     705     
1bzc_ligand_188     621     
1bzc_ligand_189     389     
1bzc_ligand_191     744     
1bzc_ligand_192     502     
1bzc_ligand_194     485     
1bzc_ligand_195     412     
1bzc_ligand_196     418     
1bzc_ligand_197     815     
1bzc_ligand_198     314     
1bzc_ligand_199     452     
1bzc_ligand_20      589     
1bzc_ligand_200     396     
1bzc_ligand_204     329     
1bzc_ligand_206     429     
1bzc_ligand_209     399     
1bzc_ligand_213     703     
1bzc_ligand_214     482     
1bzc_ligand_215     722     
1bzc_ligand_216     606     
1bzc_ligand_217     611     
1bzc_ligand_218     333     
1bzc_ligand_220     580     
1bzc_ligand_224     595     
1bzc_ligand_227     466     
1bzc_ligand_228     313     
1bzc_ligand_231     115     
1bzc_ligand_233     112     
1bzc_ligand_234     440     
1bzc_ligand_236     443     
1bzc_ligand_238     730     
1bzc_ligand_239     525     
1bzc_ligand_241     704     
1bzc_ligand_242     546     
1bzc_ligand_244     491     
1bzc_ligand_245     460     
1bzc_ligand_246     418     
1bzc_ligand_249     395     
1bzc_ligand_253     519     
1bzc_ligand_254     442     
