#code_ligand_num    score   
1a30_ligand_103     37      
1a30_ligand_115     5       
1a30_ligand_118     71      
1a30_ligand_12      53      
1a30_ligand_128     102     
1a30_ligand_129     89      
1a30_ligand_134     0       
1a30_ligand_135     -54     
1a30_ligand_142     5       
1a30_ligand_146     74      
1a30_ligand_153     -4      
1a30_ligand_157     20      
1a30_ligand_158     -42     
1a30_ligand_159     11      
1a30_ligand_160     -2      
1a30_ligand_161     1       
1a30_ligand_164     -33     
1a30_ligand_167     110     
1a30_ligand_169     -65     
1a30_ligand_170     -13     
1a30_ligand_171     14      
1a30_ligand_172     120     
1a30_ligand_175     37      
1a30_ligand_178     -52     
1a30_ligand_186     9       
1a30_ligand_188     -60     
1a30_ligand_191     29      
1a30_ligand_192     46      
1a30_ligand_194     16      
1a30_ligand_196     46      
1a30_ligand_198     50      
1a30_ligand_209     25      
1a30_ligand_210     -2      
1a30_ligand_211     -55     
1a30_ligand_216     11      
1a30_ligand_217     38      
1a30_ligand_218     -6      
1a30_ligand_219     -89     
1a30_ligand_220     9       
1a30_ligand_221     -21     
1a30_ligand_222     -27     
1a30_ligand_224     60      
1a30_ligand_227     1       
1a30_ligand_228     -27     
1a30_ligand_230     -8      
1a30_ligand_231     141     
1a30_ligand_232     42      
1a30_ligand_234     47      
1a30_ligand_235     9       
1a30_ligand_237     61      
1a30_ligand_239     -52     
1a30_ligand_240     -46     
1a30_ligand_245     31      
1a30_ligand_246     59      
1a30_ligand_248     82      
1a30_ligand_249     -2      
1a30_ligand_250     115     
1a30_ligand_273     101     
1a30_ligand_276     14      
1a30_ligand_280     -3      
1a30_ligand_284     -26     
1a30_ligand_290     -35     
1a30_ligand_293     93      
1a30_ligand_295     -6      
1a30_ligand_296     -27     
1a30_ligand_297     -4      
1a30_ligand_300     38      
1a30_ligand_322     -33     
1a30_ligand_324     89      
1a30_ligand_328     -44     
1a30_ligand_330     106     
1a30_ligand_333     27      
1a30_ligand_334     -48     
1a30_ligand_335     71      
1a30_ligand_338     55      
1a30_ligand_34      62      
1a30_ligand_341     -13     
1a30_ligand_346     -43     
1a30_ligand_348     -14     
1a30_ligand_35      -4      
1a30_ligand_350     9       
1a30_ligand_373     28      
1a30_ligand_374     83      
1a30_ligand_391     36      
1a30_ligand_395     50      
1a30_ligand_400     197     
1a30_ligand_402     84      
1a30_ligand_415     50      
1a30_ligand_443     59      
1a30_ligand_448     64      
1a30_ligand_482     114     
1a30_ligand_486     42      
1a30_ligand_498     5       
1a30_ligand_57      107     
1a30_ligand_66      79      
1a30_ligand_71      67      
1a30_ligand_76      3       
1a30_ligand_87      74      
1a30_ligand_96      -54     
1a30_ligand_99      40      
1bcu_ligand_1       328     
1bcu_ligand_100     476     
1bcu_ligand_102     419     
1bcu_ligand_109     462     
1bcu_ligand_11      421     
1bcu_ligand_110     487     
1bcu_ligand_111     445     
1bcu_ligand_113     389     
1bcu_ligand_114     409     
1bcu_ligand_119     407     
1bcu_ligand_120     428     
1bcu_ligand_122     430     
1bcu_ligand_123     346     
1bcu_ligand_128     488     
1bcu_ligand_131     480     
1bcu_ligand_135     401     
1bcu_ligand_138     428     
1bcu_ligand_140     412     
1bcu_ligand_141     488     
1bcu_ligand_142     442     
1bcu_ligand_143     434     
1bcu_ligand_144     416     
1bcu_ligand_145     476     
1bcu_ligand_146     405     
1bcu_ligand_151     310     
1bcu_ligand_152     410     
1bcu_ligand_153     445     
1bcu_ligand_154     259     
1bcu_ligand_155     460     
1bcu_ligand_16      428     
1bcu_ligand_17      437     
1bcu_ligand_18      384     
1bcu_ligand_189     542     
1bcu_ligand_19      460     
1bcu_ligand_190     447     
1bcu_ligand_192     599     
1bcu_ligand_193     562     
1bcu_ligand_194     622     
1bcu_ligand_195     624     
1bcu_ligand_197     511     
1bcu_ligand_198     589     
1bcu_ligand_199     599     
1bcu_ligand_2       489     
1bcu_ligand_202     486     
1bcu_ligand_204     615     
1bcu_ligand_205     640     
1bcu_ligand_206     424     
1bcu_ligand_207     468     
1bcu_ligand_208     573     
1bcu_ligand_209     616     
1bcu_ligand_210     508     
1bcu_ligand_211     534     
1bcu_ligand_212     491     
1bcu_ligand_213     494     
1bcu_ligand_218     421     
1bcu_ligand_219     579     
1bcu_ligand_220     630     
1bcu_ligand_228     480     
1bcu_ligand_232     329     
1bcu_ligand_24      464     
1bcu_ligand_240     434     
1bcu_ligand_242     420     
1bcu_ligand_246     223     
1bcu_ligand_252     374     
1bcu_ligand_255     491     
1bcu_ligand_256     376     
1bcu_ligand_259     464     
1bcu_ligand_26      405     
1bcu_ligand_260     387     
1bcu_ligand_263     470     
1bcu_ligand_264     313     
1bcu_ligand_266     415     
1bcu_ligand_269     396     
1bcu_ligand_27      398     
1bcu_ligand_29      478     
1bcu_ligand_3       351     
1bcu_ligand_31      423     
1bcu_ligand_35      470     
1bcu_ligand_39      466     
1bcu_ligand_47      335     
1bcu_ligand_5       417     
1bcu_ligand_52      427     
1bcu_ligand_53      466     
1bcu_ligand_54      405     
1bcu_ligand_55      411     
1bcu_ligand_59      432     
1bcu_ligand_61      464     
1bcu_ligand_62      474     
1bcu_ligand_65      393     
1bcu_ligand_69      427     
1bcu_ligand_7       477     
1bcu_ligand_71      394     
1bcu_ligand_75      339     
1bcu_ligand_78      411     
1bcu_ligand_8       451     
1bcu_ligand_81      342     
1bcu_ligand_83      480     
1bcu_ligand_85      434     
1bcu_ligand_95      421     
1bcu_ligand_99      427     
1bzc_ligand_100     137     
1bzc_ligand_101     320     
1bzc_ligand_103     293     
1bzc_ligand_108     445     
1bzc_ligand_113     324     
1bzc_ligand_116     254     
1bzc_ligand_122     421     
1bzc_ligand_131     295     
1bzc_ligand_132     170     
1bzc_ligand_137     436     
1bzc_ligand_140     398     
1bzc_ligand_144     329     
1bzc_ligand_152     291     
1bzc_ligand_160     168     
1bzc_ligand_167     256     
1bzc_ligand_169     240     
1bzc_ligand_170     183     
1bzc_ligand_173     187     
1bzc_ligand_174     310     
1bzc_ligand_175     201     
1bzc_ligand_176     313     
1bzc_ligand_178     243     
1bzc_ligand_179     160     
1bzc_ligand_180     239     
1bzc_ligand_184     160     
1bzc_ligand_188     257     
1bzc_ligand_190     194     
1bzc_ligand_192     224     
1bzc_ligand_194     183     
1bzc_ligand_196     202     
1bzc_ligand_2       156     
1bzc_ligand_200     139     
1bzc_ligand_202     240     
1bzc_ligand_205     330     
1bzc_ligand_209     351     
1bzc_ligand_211     386     
1bzc_ligand_214     305     
1bzc_ligand_218     371     
1bzc_ligand_219     60      
1bzc_ligand_225     246     
1bzc_ligand_228     348     
1bzc_ligand_229     278     
1bzc_ligand_23      284     
1bzc_ligand_231     249     
1bzc_ligand_233     252     
1bzc_ligand_235     273     
1bzc_ligand_236     184     
1bzc_ligand_240     324     
1bzc_ligand_241     217     
1bzc_ligand_243     305     
1bzc_ligand_244     254     
1bzc_ligand_245     191     
1bzc_ligand_246     369     
1bzc_ligand_249     128     
1bzc_ligand_273     329     
1bzc_ligand_278     252     
1bzc_ligand_290     217     
1bzc_ligand_292     292     
1bzc_ligand_300     296     
1bzc_ligand_31      280     
1bzc_ligand_311     263     
1bzc_ligand_317     172     
1bzc_ligand_325     164     
1bzc_ligand_328     206     
1bzc_ligand_330     359     
1bzc_ligand_334     207     
1bzc_ligand_346     176     
1bzc_ligand_354     173     
1bzc_ligand_357     293     
1bzc_ligand_360     250     
1bzc_ligand_361     156     
1bzc_ligand_365     124     
1bzc_ligand_366     320     
1bzc_ligand_367     131     
1bzc_ligand_374     252     
1bzc_ligand_377     164     
1bzc_ligand_385     256     
1bzc_ligand_391     154     
1bzc_ligand_394     380     
1bzc_ligand_396     373     
1bzc_ligand_398     191     
1bzc_ligand_399     388     
1bzc_ligand_4       164     
1bzc_ligand_400     116     
1bzc_ligand_410     232     
1bzc_ligand_413     235     
1bzc_ligand_423     184     
1bzc_ligand_43      357     
1bzc_ligand_446     239     
1bzc_ligand_452     351     
1bzc_ligand_499     308     
1bzc_ligand_68      227     
1bzc_ligand_69      332     
1bzc_ligand_70      324     
1bzc_ligand_71      334     
1bzc_ligand_74      300     
1bzc_ligand_88      432     
1bzc_ligand_89      356     
1bzc_ligand_90      254     
1bzc_ligand_99      391     
1c5z_ligand_102     293     
1c5z_ligand_120     336     
1c5z_ligand_129     312     
1c5z_ligand_133     305     
1c5z_ligand_139     316     
1c5z_ligand_14      276     
1c5z_ligand_163     245     
1c5z_ligand_172     184     
1c5z_ligand_184     251     
1c5z_ligand_188     284     
1c5z_ligand_189     181     
1c5z_ligand_190     253     
1c5z_ligand_191     218     
1c5z_ligand_192     154     
1c5z_ligand_193     177     
1c5z_ligand_194     79      
1c5z_ligand_195     182     
1c5z_ligand_196     171     
1c5z_ligand_197     129     
1c5z_ligand_198     100     
1c5z_ligand_199     194     
1c5z_ligand_200     286     
1c5z_ligand_201     247     
1c5z_ligand_203     301     
1c5z_ligand_204     234     
1c5z_ligand_205     237     
1c5z_ligand_206     241     
1c5z_ligand_207     230     
1c5z_ligand_208     270     
1c5z_ligand_209     245     
1c5z_ligand_21      289     
1c5z_ligand_210     223     
1c5z_ligand_211     232     
1c5z_ligand_212     222     
1c5z_ligand_214     247     
1c5z_ligand_215     243     
1c5z_ligand_217     211     
1c5z_ligand_218     194     
1c5z_ligand_219     194     
1c5z_ligand_220     228     
1c5z_ligand_221     268     
1c5z_ligand_222     171     
1c5z_ligand_223     157     
1c5z_ligand_224     173     
1c5z_ligand_226     243     
1c5z_ligand_227     276     
1c5z_ligand_228     194     
1c5z_ligand_229     216     
1c5z_ligand_23      302     
1c5z_ligand_230     214     
1c5z_ligand_231     214     
1c5z_ligand_232     284     
1c5z_ligand_233     222     
1c5z_ligand_234     136     
1c5z_ligand_236     167     
1c5z_ligand_237     209     
1c5z_ligand_238     179     
1c5z_ligand_239     243     
1c5z_ligand_240     259     
1c5z_ligand_242     177     
1c5z_ligand_243     283     
1c5z_ligand_246     226     
1c5z_ligand_247     165     
1c5z_ligand_248     165     
1c5z_ligand_250     91      
1c5z_ligand_270     200     
1c5z_ligand_272     200     
1c5z_ligand_279     221     
1c5z_ligand_28      325     
1c5z_ligand_280     261     
1c5z_ligand_284     226     
1c5z_ligand_286     261     
1c5z_ligand_291     218     
1c5z_ligand_292     226     
1c5z_ligand_293     228     
1c5z_ligand_294     161     
1c5z_ligand_3       258     
1c5z_ligand_32      300     
1c5z_ligand_331     192     
1c5z_ligand_35      262     
1c5z_ligand_368     173     
1c5z_ligand_372     256     
1c5z_ligand_375     261     
1c5z_ligand_379     298     
1c5z_ligand_386     195     
1c5z_ligand_394     215     
1c5z_ligand_396     274     
1c5z_ligand_399     145     
1c5z_ligand_400     251     
1c5z_ligand_413     347     
1c5z_ligand_46      279     
1c5z_ligand_469     325     
1c5z_ligand_477     266     
1c5z_ligand_6       254     
1c5z_ligand_63      251     
1c5z_ligand_7       247     
1c5z_ligand_73      296     
1c5z_ligand_80      286     
1c5z_ligand_82      315     
1c5z_ligand_86      291     
1e66_ligand_103     582     
1e66_ligand_110     514     
1e66_ligand_12      441     
1e66_ligand_120     508     
1e66_ligand_132     503     
1e66_ligand_152     34      
1e66_ligand_160     34      
1e66_ligand_166     34      
1e66_ligand_175     34      
1e66_ligand_179     34      
1e66_ligand_181     34      
1e66_ligand_184     34      
1e66_ligand_186     34      
1e66_ligand_190     34      
