#code_ligand_num    score   
1a30_ligand_102     249     
1a30_ligand_11      125     
1a30_ligand_120     259     
1a30_ligand_126     273     
1a30_ligand_138     329     
1a30_ligand_148     291     
1a30_ligand_149     216     
1a30_ligand_153     261     
1a30_ligand_156     209     
1a30_ligand_16      51      
1a30_ligand_164     152     
1a30_ligand_168     159     
1a30_ligand_170     102     
1a30_ligand_174     253     
1a30_ligand_175     187     
1a30_ligand_182     138     
1a30_ligand_184     128     
1a30_ligand_186     129     
1a30_ligand_191     165     
1a30_ligand_195     220     
1a30_ligand_196     308     
1a30_ligand_198     183     
1a30_ligand_201     86      
1a30_ligand_202     133     
1a30_ligand_206     -6      
1a30_ligand_209     36      
1a30_ligand_211     65      
1a30_ligand_214     51      
1a30_ligand_217     43      
1a30_ligand_218     30      
1a30_ligand_219     6       
1a30_ligand_222     46      
1a30_ligand_224     181     
1a30_ligand_225     247     
1a30_ligand_226     -23     
1a30_ligand_228     63      
1a30_ligand_232     115     
1a30_ligand_233     5       
1a30_ligand_235     -51     
1a30_ligand_237     33      
1a30_ligand_243     30      
1a30_ligand_245     127     
1a30_ligand_247     1       
1a30_ligand_249     159     
1a30_ligand_257     103     
1a30_ligand_261     158     
1a30_ligand_265     112     
1a30_ligand_267     150     
1a30_ligand_268     132     
1a30_ligand_269     192     
1a30_ligand_272     171     
1a30_ligand_284     122     
1a30_ligand_285     120     
1a30_ligand_287     146     
1a30_ligand_291     168     
1a30_ligand_295     176     
1a30_ligand_297     77      
1a30_ligand_304     41      
1a30_ligand_307     300     
1a30_ligand_319     122     
1a30_ligand_325     96      
1a30_ligand_330     66      
1a30_ligand_334     251     
1a30_ligand_344     274     
1a30_ligand_351     515     
1a30_ligand_36      96      
1a30_ligand_366     272     
1a30_ligand_374     353     
1a30_ligand_379     371     
1a30_ligand_4       80      
1a30_ligand_40      184     
1a30_ligand_413     487     
1a30_ligand_427     408     
1a30_ligand_428     472     
1a30_ligand_43      109     
1a30_ligand_446     402     
1a30_ligand_482     365     
1a30_ligand_51      179     
1a30_ligand_56      267     
1a30_ligand_57      204     
1a30_ligand_58      251     
1a30_ligand_65      334     
1a30_ligand_67      166     
1a30_ligand_69      115     
1a30_ligand_7       201     
1a30_ligand_73      259     
1a30_ligand_75      209     
1a30_ligand_78      274     
1a30_ligand_79      172     
1a30_ligand_8       90      
1a30_ligand_81      226     
1a30_ligand_86      169     
1a30_ligand_88      143     
1a30_ligand_9       17      
1a30_ligand_90      263     
1a30_ligand_92      103     
1a30_ligand_93      320     
1a30_ligand_95      299     
1a30_ligand_96      272     
1a30_ligand_97      159     
1bcu_ligand_14      395     
1bcu_ligand_153     507     
1bcu_ligand_174     421     
1bcu_ligand_177     535     
1bcu_ligand_189     385     
1bcu_ligand_196     599     
1bcu_ligand_204     450     
1bcu_ligand_212     464     
1bcu_ligand_216     329     
1bcu_ligand_218     257     
1bcu_ligand_220     398     
1bcu_ligand_225     414     
1bcu_ligand_227     354     
1bcu_ligand_232     389     
1bcu_ligand_234     360     
1bcu_ligand_240     376     
1bcu_ligand_243     402     
1bcu_ligand_245     371     
1bcu_ligand_246     449     
1bcu_ligand_248     394     
1bcu_ligand_263     395     
1bcu_ligand_268     301     
1bcu_ligand_271     400     
1bcu_ligand_274     389     
1bcu_ligand_279     398     
1bcu_ligand_280     384     
1bcu_ligand_281     314     
1bcu_ligand_288     189     
1bcu_ligand_293     365     
1bcu_ligand_294     408     
1bcu_ligand_298     392     
1bcu_ligand_33      420     
1bcu_ligand_332     449     
1bcu_ligand_336     506     
1bcu_ligand_337     427     
1bcu_ligand_341     408     
1bcu_ligand_346     422     
1bcu_ligand_348     441     
1bcu_ligand_351     436     
1bcu_ligand_358     211     
1bcu_ligand_362     374     
1bcu_ligand_364     350     
1bcu_ligand_365     186     
1bcu_ligand_367     187     
1bcu_ligand_368     285     
1bcu_ligand_369     326     
1bcu_ligand_373     340     
1bcu_ligand_375     203     
1bcu_ligand_376     380     
1bcu_ligand_378     378     
1bcu_ligand_379     350     
1bcu_ligand_380     369     
1bcu_ligand_381     306     
1bcu_ligand_382     186     
1bcu_ligand_383     275     
1bcu_ligand_385     324     
1bcu_ligand_387     248     
1bcu_ligand_388     304     
1bcu_ligand_389     182     
1bcu_ligand_391     141     
1bcu_ligand_392     246     
1bcu_ligand_394     270     
1bcu_ligand_395     79      
1bcu_ligand_397     154     
1bcu_ligand_406     448     
1bcu_ligand_411     409     
1bcu_ligand_412     445     
1bcu_ligand_415     421     
1bcu_ligand_418     386     
1bcu_ligand_419     293     
1bcu_ligand_420     399     
1bcu_ligand_422     217     
1bcu_ligand_427     209     
1bcu_ligand_430     249     
1bcu_ligand_431     156     
1bcu_ligand_434     311     
1bcu_ligand_435     417     
1bcu_ligand_441     310     
1bcu_ligand_442     392     
1bcu_ligand_443     297     
1bcu_ligand_444     213     
1bcu_ligand_445     354     
1bcu_ligand_446     359     
1bcu_ligand_447     241     
1bcu_ligand_449     362     
1bcu_ligand_453     587     
1bcu_ligand_455     499     
1bcu_ligand_459     560     
1bcu_ligand_461     525     
1bcu_ligand_465     423     
1bcu_ligand_469     427     
1bcu_ligand_470     436     
1bcu_ligand_472     376     
1bcu_ligand_474     456     
1bcu_ligand_482     414     
1bcu_ligand_491     303     
1bcu_ligand_493     357     
1bcu_ligand_499     221     
1bcu_ligand_500     286     
1bcu_ligand_53      458     
1bzc_ligand_102     357     
1bzc_ligand_108     387     
1bzc_ligand_125     329     
1bzc_ligand_129     340     
1bzc_ligand_14      73      
1bzc_ligand_152     361     
1bzc_ligand_154     385     
1bzc_ligand_155     388     
1bzc_ligand_158     464     
1bzc_ligand_161     425     
1bzc_ligand_167     454     
1bzc_ligand_176     332     
1bzc_ligand_177     454     
1bzc_ligand_184     398     
1bzc_ligand_192     372     
1bzc_ligand_194     385     
1bzc_ligand_195     335     
1bzc_ligand_196     294     
1bzc_ligand_199     341     
1bzc_ligand_20      218     
1bzc_ligand_203     118     
1bzc_ligand_205     181     
1bzc_ligand_209     270     
1bzc_ligand_21      226     
1bzc_ligand_210     100     
1bzc_ligand_211     77      
1bzc_ligand_213     224     
1bzc_ligand_214     226     
1bzc_ligand_218     154     
1bzc_ligand_221     190     
1bzc_ligand_223     182     
