#code_ligand_num    score   
1a30_ligand_101     159     
1a30_ligand_102     229     
1a30_ligand_103     258     
1a30_ligand_107     228     
1a30_ligand_109     162     
1a30_ligand_110     204     
1a30_ligand_112     236     
1a30_ligand_115     165     
1a30_ligand_117     405     
1a30_ligand_12      121     
1a30_ligand_120     205     
1a30_ligand_128     248     
1a30_ligand_13      45      
1a30_ligand_131     197     
1a30_ligand_133     197     
1a30_ligand_134     153     
1a30_ligand_136     85      
1a30_ligand_140     318     
1a30_ligand_141     140     
1a30_ligand_142     185     
1a30_ligand_15      100     
1a30_ligand_179     99      
1a30_ligand_183     170     
1a30_ligand_188     55      
1a30_ligand_193     74      
1a30_ligand_2       140     
1a30_ligand_202     -34     
1a30_ligand_203     19      
1a30_ligand_204     -40     
1a30_ligand_207     -13     
1a30_ligand_209     44      
1a30_ligand_211     18      
1a30_ligand_212     26      
1a30_ligand_216     -8      
1a30_ligand_219     13      
1a30_ligand_221     106     
1a30_ligand_224     -44     
1a30_ligand_228     -42     
1a30_ligand_230     51      
1a30_ligand_231     32      
1a30_ligand_232     49      
1a30_ligand_233     55      
1a30_ligand_234     83      
1a30_ligand_235     -2      
1a30_ligand_238     7       
1a30_ligand_245     -35     
1a30_ligand_247     9       
1a30_ligand_248     29      
1a30_ligand_254     94      
1a30_ligand_26      116     
1a30_ligand_274     54      
1a30_ligand_275     129     
1a30_ligand_28      187     
1a30_ligand_281     138     
1a30_ligand_286     227     
1a30_ligand_289     132     
1a30_ligand_294     1       
1a30_ligand_295     54      
1a30_ligand_3       94      
1a30_ligand_301     175     
1a30_ligand_309     85      
1a30_ligand_312     123     
1a30_ligand_316     86      
1a30_ligand_320     53      
1a30_ligand_328     111     
1a30_ligand_33      281     
1a30_ligand_337     100     
1a30_ligand_338     66      
1a30_ligand_34      128     
1a30_ligand_347     91      
1a30_ligand_350     47      
1a30_ligand_375     199     
1a30_ligand_377     171     
1a30_ligand_38      154     
1a30_ligand_382     255     
1a30_ligand_387     223     
1a30_ligand_39      95      
1a30_ligand_397     112     
1a30_ligand_40      193     
1a30_ligand_418     204     
1a30_ligand_42      99      
1a30_ligand_43      235     
1a30_ligand_441     214     
1a30_ligand_468     292     
1a30_ligand_47      54      
1a30_ligand_48      119     
1a30_ligand_488     232     
1a30_ligand_49      13      
1a30_ligand_51      180     
1a30_ligand_56      203     
1a30_ligand_61      217     
1a30_ligand_63      192     
1a30_ligand_7       106     
1a30_ligand_73      146     
1a30_ligand_8       239     
1a30_ligand_81      137     
1a30_ligand_84      224     
1a30_ligand_88      285     
1a30_ligand_90      198     
1a30_ligand_97      156     
1bcu_ligand_102     441     
1bcu_ligand_111     409     
1bcu_ligand_154     300     
1bcu_ligand_155     210     
1bcu_ligand_16      302     
1bcu_ligand_161     343     
1bcu_ligand_164     321     
1bcu_ligand_166     240     
1bcu_ligand_177     269     
1bcu_ligand_178     241     
1bcu_ligand_182     302     
1bcu_ligand_191     236     
1bcu_ligand_192     344     
1bcu_ligand_195     302     
1bcu_ligand_199     386     
1bcu_ligand_200     219     
