#code_ligand_num    score   
1a30_ligand_1       53      
1a30_ligand_10      137     
1a30_ligand_106     81      
1a30_ligand_109     157     
1a30_ligand_110     145     
1a30_ligand_111     179     
1a30_ligand_115     117     
1a30_ligand_116     121     
1a30_ligand_118     222     
1a30_ligand_121     110     
1a30_ligand_126     146     
1a30_ligand_130     168     
1a30_ligand_147     234     
1a30_ligand_15      173     
1a30_ligand_151     202     
1a30_ligand_152     264     
1a30_ligand_167     188     
1a30_ligand_171     359     
1a30_ligand_180     163     
1a30_ligand_201     42      
1a30_ligand_202     -43     
1a30_ligand_203     -21     
1a30_ligand_205     -65     
1a30_ligand_206     4       
1a30_ligand_208     55      
1a30_ligand_210     86      
1a30_ligand_211     -73     
1a30_ligand_213     -50     
1a30_ligand_214     43      
1a30_ligand_218     -35     
1a30_ligand_219     63      
1a30_ligand_220     -19     
1a30_ligand_222     -108    
1a30_ligand_223     -4      
1a30_ligand_224     -8      
1a30_ligand_226     -39     
1a30_ligand_227     -45     
1a30_ligand_228     -37     
1a30_ligand_229     101     
1a30_ligand_230     -34     
1a30_ligand_232     11      
1a30_ligand_233     41      
1a30_ligand_234     -39     
1a30_ligand_243     -6      
1a30_ligand_244     -52     
1a30_ligand_245     -34     
1a30_ligand_247     -3      
1a30_ligand_248     -6      
1a30_ligand_249     28      
1a30_ligand_250     -16     
1a30_ligand_252     300     
1a30_ligand_253     51      
1a30_ligand_255     151     
1a30_ligand_256     194     
1a30_ligand_257     69      
1a30_ligand_259     240     
1a30_ligand_262     140     
1a30_ligand_263     106     
1a30_ligand_269     77      
1a30_ligand_27      65      
1a30_ligand_270     -33     
1a30_ligand_276     138     
1a30_ligand_281     237     
1a30_ligand_282     47      
1a30_ligand_289     218     
1a30_ligand_292     201     
1a30_ligand_296     149     
1a30_ligand_298     166     
1a30_ligand_300     182     
1a30_ligand_305     179     
1a30_ligand_312     206     
1a30_ligand_314     126     
1a30_ligand_322     181     
1a30_ligand_325     202     
1a30_ligand_33      14      
1a30_ligand_34      102     
1a30_ligand_340     210     
1a30_ligand_345     162     
1a30_ligand_346     118     
1a30_ligand_348     142     
1a30_ligand_35      104     
1a30_ligand_42      62      
1a30_ligand_44      -4      
1a30_ligand_46      177     
1a30_ligand_5       -7      
1a30_ligand_53      157     
1a30_ligand_55      142     
1a30_ligand_58      117     
1a30_ligand_59      90      
1a30_ligand_69      105     
1a30_ligand_70      162     
1a30_ligand_75      312     
1a30_ligand_76      146     
1a30_ligand_77      173     
1a30_ligand_79      105     
1a30_ligand_8       55      
1a30_ligand_82      102     
1a30_ligand_95      192     
1a30_ligand_96      208     
1a30_ligand_98      170     
1bcu_ligand_151     564     
1bcu_ligand_155     578     
1bcu_ligand_162     568     
1bcu_ligand_179     537     
1bcu_ligand_180     581     
1bcu_ligand_182     637     
1bcu_ligand_187     534     
1bcu_ligand_188     618     
1bcu_ligand_196     560     
1bcu_ligand_200     545     
1bcu_ligand_208     498     
1bcu_ligand_210     645     
1bcu_ligand_216     488     
1bcu_ligand_221     629     
1bcu_ligand_222     441     
1bcu_ligand_223     683     
1bcu_ligand_227     569     
1bcu_ligand_228     490     
1bcu_ligand_231     606     
1bcu_ligand_233     476     
1bcu_ligand_243     442     
1bcu_ligand_259     496     
1bcu_ligand_261     452     
1bcu_ligand_263     449     
1bcu_ligand_267     445     
1bcu_ligand_269     511     
1bcu_ligand_273     433     
1bcu_ligand_297     500     
1bcu_ligand_300     427     
1bcu_ligand_303     616     
1bcu_ligand_308     502     
1bcu_ligand_319     580     
1bcu_ligand_328     551     
1bcu_ligand_335     490     
1bcu_ligand_346     617     
1bcu_ligand_350     582     
1bcu_ligand_352     254     
1bcu_ligand_354     231     
1bcu_ligand_355     450     
1bcu_ligand_356     259     
1bcu_ligand_358     304     
1bcu_ligand_361     175     
1bcu_ligand_362     440     
1bcu_ligand_363     219     
1bcu_ligand_364     278     
1bcu_ligand_365     401     
1bcu_ligand_369     318     
1bcu_ligand_370     212     
1bcu_ligand_371     151     
1bcu_ligand_372     317     
1bcu_ligand_373     179     
1bcu_ligand_374     329     
1bcu_ligand_375     147     
1bcu_ligand_376     181     
1bcu_ligand_379     219     
1bcu_ligand_380     445     
1bcu_ligand_381     333     
1bcu_ligand_382     241     
1bcu_ligand_383     168     
1bcu_ligand_384     361     
1bcu_ligand_385     177     
1bcu_ligand_386     260     
1bcu_ligand_387     179     
1bcu_ligand_388     287     
1bcu_ligand_389     185     
1bcu_ligand_390     304     
1bcu_ligand_392     264     
1bcu_ligand_393     179     
1bcu_ligand_395     165     
1bcu_ligand_396     351     
1bcu_ligand_397     156     
1bcu_ligand_398     224     
