#code_ligand_num    score   
1a30_ligand_100     305     
1a30_ligand_102     85      
1a30_ligand_108     113     
1a30_ligand_12      -8      
1a30_ligand_121     281     
1a30_ligand_13      55      
1a30_ligand_130     48      
1a30_ligand_135     145     
1a30_ligand_138     90      
1a30_ligand_148     116     
1a30_ligand_149     360     
1a30_ligand_15      80      
1a30_ligand_150     194     
1a30_ligand_153     82      
1a30_ligand_161     22      
1a30_ligand_162     239     
1a30_ligand_169     178     
1a30_ligand_173     101     
1a30_ligand_18      -6      
1a30_ligand_198     97      
1a30_ligand_199     90      
1a30_ligand_20      4       
1a30_ligand_203     80      
1a30_ligand_204     48      
1a30_ligand_209     -25     
1a30_ligand_21      49      
1a30_ligand_210     106     
1a30_ligand_212     78      
1a30_ligand_217     24      
1a30_ligand_218     81      
1a30_ligand_22      63      
1a30_ligand_222     47      
1a30_ligand_223     -16     
1a30_ligand_224     130     
1a30_ligand_226     -13     
1a30_ligand_23      11      
1a30_ligand_232     81      
1a30_ligand_233     -19     
1a30_ligand_237     97      
1a30_ligand_240     70      
1a30_ligand_241     71      
1a30_ligand_244     8       
1a30_ligand_251     32      
1a30_ligand_252     165     
1a30_ligand_253     163     
1a30_ligand_256     34      
1a30_ligand_257     32      
1a30_ligand_261     206     
1a30_ligand_269     31      
1a30_ligand_270     148     
1a30_ligand_272     89      
1a30_ligand_277     7       
1a30_ligand_278     129     
1a30_ligand_28      65      
1a30_ligand_281     41      
1a30_ligand_286     34      
1a30_ligand_288     126     
1a30_ligand_296     57      
1a30_ligand_297     -61     
1a30_ligand_30      52      
1a30_ligand_302     71      
1a30_ligand_306     108     
1a30_ligand_307     150     
1a30_ligand_309     146     
1a30_ligand_31      131     
1a30_ligand_311     149     
1a30_ligand_312     99      
1a30_ligand_315     31      
1a30_ligand_320     197     
1a30_ligand_321     37      
1a30_ligand_322     -11     
1a30_ligand_324     126     
1a30_ligand_325     147     
1a30_ligand_327     89      
1a30_ligand_33      -6      
1a30_ligand_334     135     
1a30_ligand_338     79      
1a30_ligand_340     116     
1a30_ligand_345     78      
1a30_ligand_347     59      
1a30_ligand_350     178     
1a30_ligand_364     225     
1a30_ligand_381     283     
1a30_ligand_384     229     
1a30_ligand_397     219     
1a30_ligand_400     153     
1a30_ligand_406     334     
1a30_ligand_43      167     
1a30_ligand_52      115     
1a30_ligand_55      221     
1a30_ligand_6       83      
1a30_ligand_64      280     
1a30_ligand_68      171     
1a30_ligand_73      59      
1a30_ligand_81      91      
1a30_ligand_86      276     
1a30_ligand_89      79      
1a30_ligand_90      228     
1a30_ligand_98      248     
1a30_ligand_99      102     
1bcu_ligand_12      326     
1bcu_ligand_151     379     
1bcu_ligand_154     252     
1bcu_ligand_155     247     
1bcu_ligand_162     247     
1bcu_ligand_167     280     
1bcu_ligand_17      328     
1bcu_ligand_171     307     
1bcu_ligand_176     355     
1bcu_ligand_179     373     
1bcu_ligand_186     314     
1bcu_ligand_187     301     
1bcu_ligand_188     255     
1bcu_ligand_20      356     
1bcu_ligand_204     283     
1bcu_ligand_206     416     
1bcu_ligand_207     206     
1bcu_ligand_21      363     
1bcu_ligand_210     359     
1bcu_ligand_211     215     
1bcu_ligand_214     201     
1bcu_ligand_215     178     
1bcu_ligand_218     425     
1bcu_ligand_219     387     
1bcu_ligand_22      366     
1bcu_ligand_220     187     
1bcu_ligand_228     309     
1bcu_ligand_229     200     
1bcu_ligand_234     337     
1bcu_ligand_239     310     
1bcu_ligand_240     236     
1bcu_ligand_241     457     
