#code_ligand_num    score   
1a30_ligand_102     4.85    
1a30_ligand_103     5.29    
1a30_ligand_106     4.19    
1a30_ligand_11      3.24    
1a30_ligand_111     5.63    
1a30_ligand_115     4.8     
1a30_ligand_12      4.58    
1a30_ligand_125     4.6     
1a30_ligand_128     4.45    
1a30_ligand_13      4.28    
1a30_ligand_134     3.31    
1a30_ligand_136     3.65    
1a30_ligand_137     2.94    
1a30_ligand_139     2.71    
1a30_ligand_14      4.23    
1a30_ligand_141     4.2     
1a30_ligand_144     3.13    
1a30_ligand_145     3.81    
1a30_ligand_146     4.19    
1a30_ligand_147     4.14    
1a30_ligand_149     2.97    
1a30_ligand_150     3.65    
1a30_ligand_16      4.3     
1a30_ligand_160     -12.3   
1a30_ligand_168     -9.21   
1a30_ligand_173     -14.55  
1a30_ligand_180     -5.07   
1a30_ligand_187     -23.53  
1a30_ligand_192     -24.65  
1a30_ligand_194     -13.36  
1a30_ligand_195     -10.86  
1a30_ligand_20      2.6     
1a30_ligand_204     2.37    
1a30_ligand_211     2.28    
1a30_ligand_214     3.08    
1a30_ligand_224     3.94    
1a30_ligand_227     2.4     
1a30_ligand_230     2.69    
1a30_ligand_238     0.52    
1a30_ligand_239     1.39    
1a30_ligand_242     3.3     
1a30_ligand_248     2.23    
1a30_ligand_250     2.93    
1a30_ligand_267     2.19    
1a30_ligand_269     -9.14   
1a30_ligand_282     -0.08   
1a30_ligand_285     -10.04  
1a30_ligand_29      2.35    
1a30_ligand_290     -0.1    
1a30_ligand_297     -0.78   
1a30_ligand_30      3.92    
1a30_ligand_300     0.21    
1a30_ligand_303     -2.69   
1a30_ligand_305     1.97    
1a30_ligand_307     -13.88  
1a30_ligand_318     -8.95   
1a30_ligand_325     -0.02   
1a30_ligand_33      3.86    
1a30_ligand_334     -3.32   
1a30_ligand_336     -0.12   
1a30_ligand_338     -8.75   
1a30_ligand_342     -1.58   
1a30_ligand_347     -5.43   
1a30_ligand_350     -1.59   
1a30_ligand_355     5.93    
1a30_ligand_367     4.28    
1a30_ligand_37      2.63    
1a30_ligand_371     4.48    
1a30_ligand_375     5.26    
1a30_ligand_379     5.2     
1a30_ligand_38      3.89    
1a30_ligand_381     3.42    
1a30_ligand_383     4.23    
1a30_ligand_384     4.87    
1a30_ligand_397     5.89    
1a30_ligand_399     4.61    
1a30_ligand_4       3.79    
1a30_ligand_40      3.07    
1a30_ligand_403     5.25    
1a30_ligand_414     5.22    
1a30_ligand_42      3.94    
1a30_ligand_434     5.21    
1a30_ligand_44      3.86    
1a30_ligand_440     4.37    
1a30_ligand_455     5.81    
1a30_ligand_467     5.87    
1a30_ligand_47      4.05    
1a30_ligand_478     5.96    
1a30_ligand_53      1.74    
1a30_ligand_63      3.68    
1a30_ligand_69      4.21    
1a30_ligand_71      3.59    
1a30_ligand_83      4.03    
1a30_ligand_89      2.81    
1a30_ligand_90      2.61    
1a30_ligand_92      3.89    
1a30_ligand_93      2.73    
1a30_ligand_94      3.79    
1a30_ligand_96      4.01    
1a30_ligand_97      3.34    
1bcu_ligand_127     2.6     
1bcu_ligand_134     1.57    
1bcu_ligand_152     -3.02   
1bcu_ligand_176     -1.88   
1bcu_ligand_179     0.71    
1bcu_ligand_182     -2.96   
1bcu_ligand_188     -6.91   
1bcu_ligand_189     -11.4   
1bcu_ligand_199     -7.31   
1bcu_ligand_200     -5.72   
1bcu_ligand_205     2.57    
1bcu_ligand_207     2.65    
1bcu_ligand_211     2.81    
1bcu_ligand_214     2.4     
1bcu_ligand_216     2.32    
1bcu_ligand_227     2.11    
1bcu_ligand_228     2.26    
1bcu_ligand_230     1.48    
1bcu_ligand_233     2.47    
1bcu_ligand_234     2.61    
1bcu_ligand_238     2.49    
1bcu_ligand_249     2.06    
1bcu_ligand_261     -1.53   
1bcu_ligand_262     3.88    
1bcu_ligand_268     -3.25   
1bcu_ligand_273     1.44    
1bcu_ligand_274     2.27    
1bcu_ligand_285     3.4     
1bcu_ligand_289     1.96    
1bcu_ligand_291     1.14    
1bcu_ligand_293     -0.35   
1bcu_ligand_316     1.68    
1bcu_ligand_324     -1.12   
1bcu_ligand_326     0.04    
1bcu_ligand_336     -0.73   
1bcu_ligand_337     1.49    
1bcu_ligand_340     -1.89   
1bcu_ligand_341     -0.24   
1bcu_ligand_343     0.89    
1bcu_ligand_348     -0.4    
1bcu_ligand_351     2.46    
1bcu_ligand_355     3.39    
1bcu_ligand_356     3.22    
1bcu_ligand_358     2.53    
1bcu_ligand_360     2.22    
1bcu_ligand_361     1.81    
1bcu_ligand_367     3.09    
1bcu_ligand_368     2.22    
1bcu_ligand_369     2.9     
1bcu_ligand_372     -999.9  
1bcu_ligand_374     2.09    
1bcu_ligand_375     -999.9  
1bcu_ligand_377     1.67    
1bcu_ligand_378     2.4     
1bcu_ligand_379     1.95    
1bcu_ligand_381     -999.9  
1bcu_ligand_383     2.55    
1bcu_ligand_386     2.74    
1bcu_ligand_388     2.87    
1bcu_ligand_389     2.79    
1bcu_ligand_390     1.84    
1bcu_ligand_391     2.66    
1bcu_ligand_392     2.9     
1bcu_ligand_393     2.36    
1bcu_ligand_394     -999.9  
1bcu_ligand_395     -999.9  
1bcu_ligand_396     2.09    
1bcu_ligand_398     1.79    
1bcu_ligand_399     2.57    
1bcu_ligand_401     2.47    
1bcu_ligand_402     2.9     
1bcu_ligand_409     2.4     
1bcu_ligand_411     2.71    
1bcu_ligand_425     3.09    
1bcu_ligand_426     3.54    
1bcu_ligand_430     3.81    
1bcu_ligand_432     2.05    
1bcu_ligand_437     1.9     
1bcu_ligand_439     2.25    
1bcu_ligand_442     1.29    
1bcu_ligand_443     2.35    
1bcu_ligand_444     2.3     
1bcu_ligand_446     3.16    
1bcu_ligand_447     2.31    
1bcu_ligand_464     3.48    
1bcu_ligand_469     3.1     
1bcu_ligand_472     1.98    
1bcu_ligand_473     2.56    
1bcu_ligand_476     1.69    
1bcu_ligand_478     2.37    
1bcu_ligand_480     3.38    
1bcu_ligand_482     1.68    
1bcu_ligand_488     2.7     
1bcu_ligand_49      2.71    
1bcu_ligand_491     2.92    
1bcu_ligand_492     3.2     
1bcu_ligand_498     1.83    
1bcu_ligand_500     3.36    
1bcu_ligand_52      2.95    
1bcu_ligand_75      1.63    
1bzc_ligand_10      1.19    
1bzc_ligand_101     4.49    
1bzc_ligand_105     5.18    
1bzc_ligand_11      2.93    
1bzc_ligand_115     4.22    
1bzc_ligand_117     5.23    
1bzc_ligand_122     -0.84   
1bzc_ligand_126     4.14    
1bzc_ligand_131     4.75    
1bzc_ligand_136     3.74    
1bzc_ligand_138     2.41    
1bzc_ligand_145     3.94    
1bzc_ligand_150     4.76    
1bzc_ligand_152     -26.13  
1bzc_ligand_161     -53.33  
1bzc_ligand_162     -7.84   
1bzc_ligand_166     -8.67   
1bzc_ligand_168     -8.18   
1bzc_ligand_170     -27.58  
1bzc_ligand_182     -15.28  
1bzc_ligand_193     -13.3   
1bzc_ligand_196     -5.06   
1bzc_ligand_20      1.42    
1bzc_ligand_202     1.59    
1bzc_ligand_203     2.62    
1bzc_ligand_205     1.26    
1bzc_ligand_208     -3.38   
1bzc_ligand_216     1.26    
