#code_ligand_num    score   
1a30_ligand_1       3.7     
1a30_ligand_10      -999.9  
1a30_ligand_105     2.88    
1a30_ligand_106     3.98    
1a30_ligand_107     4.15    
1a30_ligand_111     4.65    
1a30_ligand_113     -999.9  
1a30_ligand_114     3.26    
1a30_ligand_115     4.11    
1a30_ligand_117     2.47    
1a30_ligand_119     3.85    
1a30_ligand_12      3.46    
1a30_ligand_126     4.27    
1a30_ligand_127     3.97    
1a30_ligand_131     3.93    
1a30_ligand_134     4.06    
1a30_ligand_136     3.35    
1a30_ligand_139     2.82    
1a30_ligand_14      2.34    
1a30_ligand_144     -999.9  
1a30_ligand_145     3.46    
1a30_ligand_148     3.8     
1a30_ligand_150     3.12    
1a30_ligand_16      2.25    
1a30_ligand_169     -19.53  
1a30_ligand_17      2.63    
1a30_ligand_179     -9.18   
1a30_ligand_19      4.4     
1a30_ligand_192     -25.38  
1a30_ligand_199     -7.01   
1a30_ligand_2       3.38    
1a30_ligand_20      3.07    
1a30_ligand_204     1.87    
1a30_ligand_21      2.77    
1a30_ligand_218     2.56    
1a30_ligand_221     0.01    
1a30_ligand_232     -2.51   
1a30_ligand_24      4.07    
1a30_ligand_242     0.13    
1a30_ligand_244     2.58    
1a30_ligand_245     1.44    
1a30_ligand_26      -999.9  
1a30_ligand_268     -1.13   
1a30_ligand_27      3.43    
1a30_ligand_28      2.64    
1a30_ligand_282     2.85    
1a30_ligand_29      -999.9  
1a30_ligand_292     0.21    
1a30_ligand_31      2.51    
1a30_ligand_316     -1.38   
1a30_ligand_319     -9.08   
1a30_ligand_326     -3.8    
1a30_ligand_33      4.18    
1a30_ligand_335     -9.82   
1a30_ligand_343     -9.17   
1a30_ligand_35      3.75    
1a30_ligand_350     -2.66   
1a30_ligand_356     4.72    
1a30_ligand_36      2.44    
1a30_ligand_379     4.61    
1a30_ligand_38      4.19    
1a30_ligand_385     4.28    
1a30_ligand_388     4.95    
1a30_ligand_39      -999.9  
1a30_ligand_4       4.45    
1a30_ligand_40      3.94    
1a30_ligand_400     5.04    
1a30_ligand_411     4.14    
1a30_ligand_425     4.64    
1a30_ligand_455     3.48    
1a30_ligand_459     5.85    
1a30_ligand_464     4.55    
1a30_ligand_476     5.03    
1a30_ligand_48      2.74    
1a30_ligand_485     4.85    
1a30_ligand_51      3.11    
1a30_ligand_52      3.08    
1a30_ligand_54      -999.9  
1a30_ligand_57      3.44    
1a30_ligand_58      4       
1a30_ligand_59      5.13    
1a30_ligand_60      4.57    
1a30_ligand_63      4.11    
1a30_ligand_66      3.21    
1a30_ligand_67      2.55    
1a30_ligand_70      -999.9  
1a30_ligand_74      2.96    
1a30_ligand_75      3.1     
1a30_ligand_77      -999.9  
1a30_ligand_80      -999.9  
1a30_ligand_81      2.34    
1a30_ligand_85      3.84    
1a30_ligand_87      4.33    
1a30_ligand_88      3.89    
1a30_ligand_89      2.48    
1a30_ligand_91      3.53    
1a30_ligand_93      1.99    
1a30_ligand_96      1.53    
1a30_ligand_97      4.47    
1a30_ligand_99      2.71    
1bcu_ligand_152     -0.59   
1bcu_ligand_169     -7.34   
1bcu_ligand_17      -999.9  
1bcu_ligand_170     -3.14   
1bcu_ligand_180     -2.01   
1bcu_ligand_187     -10.45  
1bcu_ligand_209     1.82    
1bcu_ligand_215     1.38    
1bcu_ligand_225     1.39    
1bcu_ligand_231     2.14    
1bcu_ligand_232     1.93    
1bcu_ligand_235     0.71    
1bcu_ligand_243     1.52    
1bcu_ligand_247     3.05    
1bcu_ligand_249     1.67    
1bcu_ligand_253     1.27    
1bcu_ligand_256     -0.07   
1bcu_ligand_258     3.03    
1bcu_ligand_263     1.98    
1bcu_ligand_266     0.08    
1bcu_ligand_271     2.49    
1bcu_ligand_277     -0.72   
1bcu_ligand_281     2.57    
1bcu_ligand_284     -0.7    
1bcu_ligand_287     0.33    
1bcu_ligand_295     0.88    
1bcu_ligand_298     1.36    
1bcu_ligand_299     -1.23   
1bcu_ligand_303     1.71    
1bcu_ligand_31      3.26    
1bcu_ligand_311     -2.05   
1bcu_ligand_332     -0.74   
1bcu_ligand_335     -10.1   
1bcu_ligand_336     1.19    
1bcu_ligand_346     -1.99   
1bcu_ligand_348     -4.52   
1bcu_ligand_349     -1.59   
1bcu_ligand_351     3.52    
1bcu_ligand_354     3.27    
1bcu_ligand_357     2.9     
1bcu_ligand_358     2.06    
1bcu_ligand_359     2.05    
1bcu_ligand_360     3.84    
1bcu_ligand_362     2.44    
1bcu_ligand_364     2.69    
1bcu_ligand_366     2.26    
1bcu_ligand_367     3.19    
1bcu_ligand_368     3.42    
1bcu_ligand_372     2.88    
1bcu_ligand_374     1.82    
1bcu_ligand_375     -999.9  
1bcu_ligand_376     2.74    
1bcu_ligand_377     -999.9  
1bcu_ligand_378     2.55    
1bcu_ligand_379     3.4     
1bcu_ligand_380     1.74    
1bcu_ligand_382     2.36    
1bcu_ligand_384     2.29    
1bcu_ligand_386     2.12    
1bcu_ligand_388     1.57    
1bcu_ligand_390     2.13    
1bcu_ligand_391     2.09    
1bcu_ligand_392     2.15    
1bcu_ligand_394     1.65    
1bcu_ligand_395     1.29    
1bcu_ligand_396     1.97    
1bcu_ligand_397     -999.9  
1bcu_ligand_398     1.51    
1bcu_ligand_399     2.02    
1bcu_ligand_40      1.68    
1bcu_ligand_400     2.44    
1bcu_ligand_410     -999.9  
1bcu_ligand_411     3.01    
1bcu_ligand_415     3.42    
1bcu_ligand_418     3.1     
1bcu_ligand_42      -999.9  
1bcu_ligand_422     3.4     
1bcu_ligand_425     2.59    
1bcu_ligand_426     2.18    
1bcu_ligand_43      -999.9  
1bcu_ligand_436     3.04    
1bcu_ligand_437     2.98    
1bcu_ligand_441     2.01    
1bcu_ligand_442     2.07    
1bcu_ligand_450     2.79    
1bcu_ligand_452     3.9     
1bcu_ligand_454     3.48    
1bcu_ligand_462     3.52    
1bcu_ligand_465     3.42    
1bcu_ligand_473     3.53    
1bcu_ligand_475     2.58    
1bcu_ligand_482     3.07    
1bcu_ligand_488     1.57    
1bcu_ligand_490     2.04    
1bcu_ligand_497     2.48    
1bcu_ligand_65      1.76    
1bcu_ligand_66      2.7     
1bcu_ligand_69      -999.9  
1bcu_ligand_76      2.38    
1bcu_ligand_83      -999.9  
1bzc_ligand_10      3.22    
1bzc_ligand_103     2.53    
1bzc_ligand_105     -999.9  
1bzc_ligand_108     3.15    
1bzc_ligand_111     3.75    
1bzc_ligand_12      -999.9  
1bzc_ligand_127     2.51    
1bzc_ligand_129     3.17    
1bzc_ligand_13      3.8     
1bzc_ligand_132     3.04    
1bzc_ligand_133     4.08    
1bzc_ligand_140     4.55    
1bzc_ligand_145     3.74    
1bzc_ligand_146     4.2     
1bzc_ligand_151     -25.89  
1bzc_ligand_153     -25.33  
1bzc_ligand_16      3.07    
1bzc_ligand_161     -36.11  
1bzc_ligand_165     -14.08  
1bzc_ligand_169     -12.08  
1bzc_ligand_172     -10.4   
1bzc_ligand_180     -5.51   
1bzc_ligand_19      -999.9  
