#code_ligand_num    score   
1a30_ligand_1       3.13    
1a30_ligand_102     3.47    
1a30_ligand_104     3.64    
1a30_ligand_105     3.93    
1a30_ligand_108     3.23    
1a30_ligand_109     3.47    
1a30_ligand_110     3.25    
1a30_ligand_111     4.73    
1a30_ligand_112     3.94    
1a30_ligand_113     3.86    
1a30_ligand_115     3.88    
1a30_ligand_117     2.91    
1a30_ligand_125     4.33    
1a30_ligand_128     2.94    
1a30_ligand_129     4.99    
1a30_ligand_131     5.43    
1a30_ligand_132     3.51    
1a30_ligand_134     4.03    
1a30_ligand_146     3.4     
1a30_ligand_150     3.54    
1a30_ligand_155     -29.87  
1a30_ligand_158     -13.2   
1a30_ligand_159     -12.98  
1a30_ligand_16      4.67    
1a30_ligand_165     -21.74  
1a30_ligand_172     -11.15  
1a30_ligand_178     -5.81   
1a30_ligand_18      -1.03   
1a30_ligand_185     -13.29  
1a30_ligand_188     -20.49  
1a30_ligand_19      4.33    
1a30_ligand_194     -2.44   
1a30_ligand_2       2.96    
1a30_ligand_200     -23.57  
1a30_ligand_203     2.58    
1a30_ligand_205     1.08    
1a30_ligand_209     -0.18   
1a30_ligand_22      3.5     
1a30_ligand_225     -7.73   
1a30_ligand_228     -9.37   
1a30_ligand_229     -4.63   
1a30_ligand_235     -2.46   
1a30_ligand_243     -4.22   
1a30_ligand_247     -0.57   
1a30_ligand_248     -7.17   
1a30_ligand_257     -2.78   
1a30_ligand_269     -16.93  
1a30_ligand_27      1.36    
1a30_ligand_271     -14.4   
1a30_ligand_273     -6.84   
1a30_ligand_274     -2.7    
1a30_ligand_275     -17.03  
1a30_ligand_279     -12.45  
1a30_ligand_28      4.15    
1a30_ligand_283     -14.44  
1a30_ligand_294     -18.87  
1a30_ligand_299     -4.18   
1a30_ligand_306     -13.05  
1a30_ligand_315     -8.49   
1a30_ligand_317     -8.5    
1a30_ligand_321     -15.87  
1a30_ligand_322     -19.65  
1a30_ligand_323     -17.12  
1a30_ligand_326     -17.06  
1a30_ligand_330     -8.53   
1a30_ligand_336     -6.35   
1a30_ligand_337     -8.09   
1a30_ligand_340     -14.03  
1a30_ligand_341     -11.32  
1a30_ligand_349     -14.2   
1a30_ligand_357     4.23    
1a30_ligand_372     5.4     
1a30_ligand_376     4.44    
1a30_ligand_378     4.48    
1a30_ligand_382     4.61    
1a30_ligand_385     5       
1a30_ligand_392     4.15    
1a30_ligand_398     3.64    
1a30_ligand_433     4.45    
1a30_ligand_44      2.67    
1a30_ligand_45      4.72    
1a30_ligand_455     6.01    
1a30_ligand_47      2.47    
1a30_ligand_489     5.3     
1a30_ligand_497     4.95    
1a30_ligand_51      4.17    
1a30_ligand_55      2.61    
1a30_ligand_57      0.02    
1a30_ligand_6       0.97    
1a30_ligand_60      3.46    
1a30_ligand_61      3.91    
1a30_ligand_63      2.22    
1a30_ligand_64      0.32    
1a30_ligand_69      3.6     
1a30_ligand_70      3.16    
1a30_ligand_75      2.32    
1a30_ligand_80      3.71    
1a30_ligand_82      4.48    
1a30_ligand_86      -1.21   
1a30_ligand_87      3.24    
1bcu_ligand_124     3.22    
1bcu_ligand_136     3.12    
1bcu_ligand_142     2.68    
1bcu_ligand_147     2.11    
1bcu_ligand_153     2.2     
1bcu_ligand_155     2.74    
1bcu_ligand_180     0.99    
1bcu_ligand_188     2.78    
1bcu_ligand_196     1.81    
1bcu_ligand_208     2.66    
1bcu_ligand_210     2.8     
1bcu_ligand_211     2.32    
1bcu_ligand_225     1.57    
1bcu_ligand_231     1.6     
1bcu_ligand_232     0.78    
1bcu_ligand_238     1.92    
1bcu_ligand_239     1.98    
1bcu_ligand_245     2.87    
1bcu_ligand_246     1.8     
1bcu_ligand_247     -0.48   
1bcu_ligand_25      -3.35   
1bcu_ligand_257     1.38    
1bcu_ligand_259     -1.69   
1bcu_ligand_261     1.82    
1bcu_ligand_262     0.76    
1bcu_ligand_276     1.65    
1bcu_ligand_281     -1.04   
1bcu_ligand_284     -2.57   
1bcu_ligand_302     -2.19   
1bcu_ligand_303     2.27    
1bcu_ligand_304     1.61    
1bcu_ligand_305     2.89    
1bcu_ligand_307     -3.95   
1bcu_ligand_309     2.1     
1bcu_ligand_310     0.08    
1bcu_ligand_311     0.45    
1bcu_ligand_312     -3.58   
1bcu_ligand_321     2.89    
1bcu_ligand_327     1.33    
1bcu_ligand_328     0.66    
1bcu_ligand_330     -5.98   
1bcu_ligand_332     1.35    
1bcu_ligand_333     0.72    
1bcu_ligand_336     0.36    
1bcu_ligand_339     3.31    
1bcu_ligand_342     2.49    
1bcu_ligand_35      2.7     
1bcu_ligand_351     3.74    
1bcu_ligand_354     1.56    
1bcu_ligand_355     3       
1bcu_ligand_356     2.61    
1bcu_ligand_361     2.81    
1bcu_ligand_365     3.72    
1bcu_ligand_366     3.29    
1bcu_ligand_367     2.39    
1bcu_ligand_370     1.57    
1bcu_ligand_373     3.14    
1bcu_ligand_374     3.05    
1bcu_ligand_376     2.1     
1bcu_ligand_377     2.82    
1bcu_ligand_379     1.81    
1bcu_ligand_380     2.75    
1bcu_ligand_381     3.18    
1bcu_ligand_382     2.38    
1bcu_ligand_383     3.21    
1bcu_ligand_384     2.01    
1bcu_ligand_386     2.39    
1bcu_ligand_387     2.67    
1bcu_ligand_388     2.44    
1bcu_ligand_389     1.89    
1bcu_ligand_390     2.69    
1bcu_ligand_391     1.6     
1bcu_ligand_392     2.83    
1bcu_ligand_393     3.27    
1bcu_ligand_394     3       
1bcu_ligand_395     2.4     
1bcu_ligand_396     3.35    
1bcu_ligand_397     2.12    
1bcu_ligand_398     1.94    
1bcu_ligand_399     2.29    
1bcu_ligand_400     2.99    
1bcu_ligand_401     3.85    
1bcu_ligand_408     2.71    
1bcu_ligand_409     2.58    
1bcu_ligand_426     2.44    
1bcu_ligand_427     2.07    
1bcu_ligand_439     3.32    
1bcu_ligand_441     2.34    
1bcu_ligand_443     2.51    
1bcu_ligand_444     2.53    
1bcu_ligand_445     2.7     
1bcu_ligand_446     1.77    
1bcu_ligand_449     2.54    
1bcu_ligand_456     3.23    
1bcu_ligand_482     3.3     
1bcu_ligand_487     2.8     
1bcu_ligand_493     1.94    
1bcu_ligand_82      0.98    
1bcu_ligand_87      2.08    
1bcu_ligand_91      3.71    
1bzc_ligand_101     4.23    
1bzc_ligand_114     3.84    
1bzc_ligand_12      3.51    
