#code_ligand_num    score   
1a30_ligand_105     -999.9  
1a30_ligand_107     5.03    
1a30_ligand_108     -999.9  
1a30_ligand_115     3.97    
1a30_ligand_120     4.3     
1a30_ligand_124     1.93    
1a30_ligand_131     3.24    
1a30_ligand_134     4.71    
1a30_ligand_138     -999.9  
1a30_ligand_156     -999.9  
1a30_ligand_158     -999.9  
1a30_ligand_163     -999.9  
1a30_ligand_17      -999.9  
1a30_ligand_172     -999.9  
1a30_ligand_175     -999.9  
1a30_ligand_185     -999.9  
1a30_ligand_186     -999.9  
1a30_ligand_194     -999.9  
1a30_ligand_195     -999.9  
1a30_ligand_196     -999.9  
1a30_ligand_198     -999.9  
1a30_ligand_205     -999.9  
1a30_ligand_206     -999.9  
1a30_ligand_208     -999.9  
1a30_ligand_210     -999.9  
1a30_ligand_211     -999.9  
1a30_ligand_215     -999.9  
1a30_ligand_216     -999.9  
1a30_ligand_218     -999.9  
1a30_ligand_224     -999.9  
1a30_ligand_225     -999.9  
1a30_ligand_226     -999.9  
1a30_ligand_232     -999.9  
1a30_ligand_233     -999.9  
1a30_ligand_235     -999.9  
1a30_ligand_236     -999.9  
1a30_ligand_237     -999.9  
1a30_ligand_238     -999.9  
1a30_ligand_239     -999.9  
1a30_ligand_24      4.9     
1a30_ligand_242     -999.9  
1a30_ligand_243     -999.9  
1a30_ligand_245     -999.9  
1a30_ligand_246     -999.9  
1a30_ligand_247     -999.9  
1a30_ligand_248     -999.9  
1a30_ligand_249     -999.9  
1a30_ligand_250     -999.9  
1a30_ligand_254     -999.9  
1a30_ligand_258     -999.9  
1a30_ligand_267     -999.9  
1a30_ligand_268     -999.9  
1a30_ligand_271     -999.9  
1a30_ligand_275     -999.9  
1a30_ligand_276     -999.9  
1a30_ligand_277     -999.9  
1a30_ligand_28      2.46    
1a30_ligand_281     -999.9  
1a30_ligand_287     -999.9  
1a30_ligand_288     -999.9  
1a30_ligand_291     -999.9  
1a30_ligand_299     -999.9  
1a30_ligand_300     -999.9  
1a30_ligand_303     -999.9  
1a30_ligand_305     -999.9  
1a30_ligand_306     -999.9  
1a30_ligand_307     -999.9  
1a30_ligand_315     -999.9  
1a30_ligand_316     -999.9  
1a30_ligand_318     -999.9  
1a30_ligand_321     -999.9  
1a30_ligand_324     -999.9  
1a30_ligand_325     -999.9  
1a30_ligand_328     -999.9  
1a30_ligand_330     -999.9  
1a30_ligand_336     -999.9  
1a30_ligand_339     -999.9  
1a30_ligand_342     -999.9  
1a30_ligand_343     -999.9  
1a30_ligand_344     -999.9  
1a30_ligand_345     -999.9  
1a30_ligand_35      3.31    
1a30_ligand_350     -999.9  
1a30_ligand_387     0.26    
1a30_ligand_391     -3.91   
1a30_ligand_395     0.24    
1a30_ligand_396     -1.77   
1a30_ligand_40      2.19    
1a30_ligand_469     4.43    
1a30_ligand_47      5.2     
1a30_ligand_471     4.84    
1a30_ligand_55      3.68    
1a30_ligand_66      4.55    
1a30_ligand_68      -999.9  
1a30_ligand_70      3.93    
1a30_ligand_75      2.77    
1a30_ligand_8       -999.9  
1a30_ligand_85      -999.9  
1a30_ligand_88      -999.9  
1a30_ligand_96      -999.9  
1bcu_ligand_10      3.09    
1bcu_ligand_110     3.19    
1bcu_ligand_150     2.25    
1bcu_ligand_154     -11.48  
1bcu_ligand_156     -4.34   
1bcu_ligand_169     -999.9  
1bcu_ligand_177     -999.9  
1bcu_ligand_184     -999.9  
1bcu_ligand_187     -999.9  
1bcu_ligand_192     -999.9  
1bcu_ligand_198     -999.9  
1bcu_ligand_203     -999.9  
1bcu_ligand_204     -999.9  
1bcu_ligand_206     -999.9  
1bcu_ligand_215     -999.9  
1bcu_ligand_216     -999.9  
