#code_ligand_num    score   
1a30_ligand_100     3.36    
1a30_ligand_103     5.49    
1a30_ligand_107     3.99    
1a30_ligand_118     2.76    
1a30_ligand_127     3.7     
1a30_ligand_135     4.81    
1a30_ligand_138     3.9     
1a30_ligand_143     4.11    
1a30_ligand_146     5.07    
1a30_ligand_150     3.52    
1a30_ligand_168     -2.67   
1a30_ligand_180     3.74    
1a30_ligand_185     -6.63   
1a30_ligand_188     0.08    
1a30_ligand_198     -0.86   
1a30_ligand_20      4.13    
1a30_ligand_21      2.88    
1a30_ligand_210     2.01    
1a30_ligand_213     2.66    
1a30_ligand_220     1.55    
1a30_ligand_227     2.19    
1a30_ligand_228     2.25    
1a30_ligand_229     2.37    
1a30_ligand_23      2.2     
1a30_ligand_230     1.45    
1a30_ligand_231     2.92    
1a30_ligand_232     2.63    
1a30_ligand_236     0.82    
1a30_ligand_237     2.18    
1a30_ligand_24      4.5     
1a30_ligand_241     1.41    
1a30_ligand_242     1.61    
1a30_ligand_247     0       
1a30_ligand_248     1.28    
1a30_ligand_250     2.14    
1a30_ligand_253     -4.47   
1a30_ligand_255     2.19    
1a30_ligand_258     2.55    
1a30_ligand_263     -7.07   
1a30_ligand_269     -0.26   
1a30_ligand_270     -3.26   
1a30_ligand_271     1.86    
1a30_ligand_275     2.8     
1a30_ligand_277     0.18    
1a30_ligand_281     -7.04   
1a30_ligand_284     2.41    
1a30_ligand_290     -0.37   
1a30_ligand_294     -0.61   
1a30_ligand_295     -2.17   
1a30_ligand_298     -0.15   
1a30_ligand_305     0.72    
1a30_ligand_311     -12.4   
1a30_ligand_315     -6.98   
1a30_ligand_316     -5.94   
1a30_ligand_324     -6.34   
1a30_ligand_328     -9.4    
1a30_ligand_330     -7.19   
1a30_ligand_334     -4.32   
1a30_ligand_338     -14.12  
1a30_ligand_343     -12.72  
1a30_ligand_344     -5.63   
1a30_ligand_348     -19.68  
1a30_ligand_352     5.29    
1a30_ligand_370     5.3     
1a30_ligand_376     5.05    
1a30_ligand_384     4.68    
1a30_ligand_388     3.78    
1a30_ligand_393     5.32    
1a30_ligand_396     4.53    
1a30_ligand_4       4.64    
1a30_ligand_410     4.75    
1a30_ligand_422     4.98    
1a30_ligand_430     -999.9  
1a30_ligand_443     4.88    
1a30_ligand_445     4.46    
1a30_ligand_448     4.43    
1a30_ligand_45      3.73    
1a30_ligand_462     6.24    
1a30_ligand_47      3.84    
1a30_ligand_479     4.94    
1a30_ligand_48      3.7     
1a30_ligand_480     6.18    
1a30_ligand_494     4.96    
1a30_ligand_5       3.7     
1a30_ligand_51      4.99    
1a30_ligand_53      4.89    
1a30_ligand_54      5.55    
1a30_ligand_56      3.35    
1a30_ligand_6       4       
1a30_ligand_64      2.63    
1a30_ligand_66      3.99    
1a30_ligand_67      4.56    
1a30_ligand_74      3.46    
1a30_ligand_77      4.89    
1a30_ligand_79      3.5     
1a30_ligand_83      4.71    
1a30_ligand_84      3.87    
1a30_ligand_88      2.98    
1a30_ligand_91      1.3     
1a30_ligand_95      4.86    
1bcu_ligand_121     2.01    
1bcu_ligand_127     2.43    
1bcu_ligand_13      2       
1bcu_ligand_135     2.6     
1bcu_ligand_145     3.17    
1bcu_ligand_157     2.03    
1bcu_ligand_162     1.7     
1bcu_ligand_175     1.05    
1bcu_ligand_177     2.01    
1bcu_ligand_178     -1.5    
1bcu_ligand_179     1.89    
1bcu_ligand_180     -0.67   
1bcu_ligand_184     -0.09   
1bcu_ligand_191     1.78    
1bcu_ligand_196     0.45    
1bcu_ligand_198     -0.88   
1bcu_ligand_199     -0.95   
1bcu_ligand_200     -1.21   
1bcu_ligand_203     2.25    
1bcu_ligand_215     3.16    
1bcu_ligand_229     2.95    
1bcu_ligand_231     2.78    
1bcu_ligand_235     3.1     
1bcu_ligand_240     2.14    
1bcu_ligand_244     2.26    
1bcu_ligand_247     2.14    
1bcu_ligand_256     1.88    
1bcu_ligand_262     1.73    
1bcu_ligand_264     0.62    
1bcu_ligand_266     2.65    
1bcu_ligand_272     1.7     
1bcu_ligand_273     2.79    
