#code_ligand_num    score   
1a30_ligand_100     3.56    
1a30_ligand_104     3.21    
1a30_ligand_107     4.37    
1a30_ligand_110     4.55    
1a30_ligand_111     4.68    
1a30_ligand_113     1.61    
1a30_ligand_127     4.98    
1a30_ligand_13      4.03    
1a30_ligand_134     4.6     
1a30_ligand_136     3.04    
1a30_ligand_138     2.1     
1a30_ligand_140     3.71    
1a30_ligand_144     4.67    
1a30_ligand_145     -999.9  
1a30_ligand_149     2.83    
1a30_ligand_15      4.37    
1a30_ligand_151     -30.2   
1a30_ligand_153     -33.92  
1a30_ligand_154     -38.08  
1a30_ligand_160     -30.01  
1a30_ligand_161     -18.8   
1a30_ligand_163     -32.92  
1a30_ligand_168     -18.38  
1a30_ligand_173     -38.08  
1a30_ligand_188     -27.22  
1a30_ligand_19      3.23    
1a30_ligand_195     -25.1   
1a30_ligand_197     -23.24  
1a30_ligand_2       2.52    
1a30_ligand_20      3.51    
1a30_ligand_21      4.55    
1a30_ligand_218     -2.09   
1a30_ligand_22      -999.9  
1a30_ligand_223     0.46    
1a30_ligand_226     2.57    
1a30_ligand_229     -3.23   
1a30_ligand_23      4.82    
1a30_ligand_231     0.1     
1a30_ligand_235     2.11    
1a30_ligand_237     1.11    
1a30_ligand_239     2.71    
1a30_ligand_24      1.73    
1a30_ligand_246     1.44    
1a30_ligand_247     1.22    
1a30_ligand_25      5.24    
1a30_ligand_26      4.37    
1a30_ligand_271     -7.04   
1a30_ligand_274     -9.91   
1a30_ligand_275     -0.34   
1a30_ligand_287     -0.06   
1a30_ligand_288     -6.97   
1a30_ligand_293     -7.6    
1a30_ligand_297     -3.19   
1a30_ligand_31      3.35    
1a30_ligand_310     -4.52   
1a30_ligand_316     -8.45   
1a30_ligand_323     -8.56   
1a30_ligand_327     -1.58   
1a30_ligand_335     -14.92  
1a30_ligand_34      4.14    
1a30_ligand_37      -999.9  
1a30_ligand_375     4.81    
1a30_ligand_38      4.8     
1a30_ligand_388     6.02    
1a30_ligand_394     4.77    
1a30_ligand_395     5.62    
1a30_ligand_4       5.49    
1a30_ligand_41      5       
1a30_ligand_411     4.75    
1a30_ligand_418     -999.9  
1a30_ligand_42      2.98    
1a30_ligand_427     4.51    
1a30_ligand_439     5.15    
1a30_ligand_453     5.7     
1a30_ligand_46      4.68    
1a30_ligand_471     5.11    
1a30_ligand_48      4.42    
1a30_ligand_488     4.23    
1a30_ligand_49      3.24    
1a30_ligand_497     3.84    
1a30_ligand_51      3.63    
1a30_ligand_54      3.16    
1a30_ligand_55      3.59    
1a30_ligand_59      2.95    
1a30_ligand_61      5.2     
1a30_ligand_62      2.89    
1a30_ligand_63      2.04    
1a30_ligand_65      3.01    
1a30_ligand_66      3.09    
1a30_ligand_71      3.98    
1a30_ligand_72      2.86    
1a30_ligand_73      4.07    
1a30_ligand_76      4.18    
1a30_ligand_85      3.89    
1a30_ligand_86      4.21    
1a30_ligand_9       4.63    
1a30_ligand_90      3.11    
1a30_ligand_94      3.16    
1a30_ligand_96      1.65    
1a30_ligand_98      3.19    
1bcu_ligand_155     0.78    
1bcu_ligand_156     -1.68   
1bcu_ligand_171     -0.03   
1bcu_ligand_172     0.63    
1bcu_ligand_185     -5.1    
1bcu_ligand_187     -1.79   
1bcu_ligand_192     -4.18   
1bcu_ligand_194     -3.55   
1bcu_ligand_199     -15.38  
1bcu_ligand_200     -11.11  
1bcu_ligand_202     1.51    
1bcu_ligand_207     1.37    
1bcu_ligand_208     2.59    
1bcu_ligand_210     3.3     
1bcu_ligand_211     2.99    
1bcu_ligand_232     2.9     
1bcu_ligand_235     3.08    
1bcu_ligand_239     2.48    
1bcu_ligand_240     3.14    
1bcu_ligand_243     2.26    
1bcu_ligand_244     1.98    
1bcu_ligand_249     3.5     
1bcu_ligand_259     1.84    
1bcu_ligand_272     -0.37   
1bcu_ligand_278     3.36    
1bcu_ligand_281     1.83    
1bcu_ligand_286     2.98    
1bcu_ligand_292     1.93    
1bcu_ligand_296     3.87    
1bcu_ligand_299     2       
1bcu_ligand_303     -0.36   
1bcu_ligand_311     2.19    
1bcu_ligand_328     1.54    
1bcu_ligand_329     2.37    
1bcu_ligand_330     1.24    
1bcu_ligand_334     0.69    
1bcu_ligand_338     -3.89   
1bcu_ligand_341     -0.54   
1bcu_ligand_344     -0.79   
1bcu_ligand_349     1.24    
1bcu_ligand_356     2.89    
1bcu_ligand_359     3.16    
1bcu_ligand_361     2.81    
1bcu_ligand_362     3.12    
1bcu_ligand_364     2.41    
1bcu_ligand_365     2.87    
1bcu_ligand_366     2.79    
1bcu_ligand_367     2.24    
1bcu_ligand_368     2.99    
1bcu_ligand_369     2.51    
1bcu_ligand_370     2.6     
1bcu_ligand_371     2.9     
1bcu_ligand_372     1.47    
1bcu_ligand_373     2.09    
1bcu_ligand_374     -999.9  
1bcu_ligand_375     1.98    
1bcu_ligand_376     -999.9  
1bcu_ligand_377     1.67    
1bcu_ligand_378     2.25    
1bcu_ligand_380     -999.9  
1bcu_ligand_381     1.52    
1bcu_ligand_382     2.05    
1bcu_ligand_383     2.54    
1bcu_ligand_385     1.32    
1bcu_ligand_387     2.58    
1bcu_ligand_388     2.11    
1bcu_ligand_389     2.2     
1bcu_ligand_390     2.23    
1bcu_ligand_391     2.01    
1bcu_ligand_392     1.95    
1bcu_ligand_393     1.9     
1bcu_ligand_394     -999.9  
1bcu_ligand_396     1.27    
1bcu_ligand_397     2.1     
1bcu_ligand_398     1.83    
1bcu_ligand_400     1.61    
1bcu_ligand_409     3.76    
1bcu_ligand_416     2.86    
1bcu_ligand_417     2.84    
1bcu_ligand_418     3.53    
1bcu_ligand_421     2.85    
1bcu_ligand_423     3.22    
1bcu_ligand_424     3.47    
1bcu_ligand_427     2.77    
1bcu_ligand_428     2       
1bcu_ligand_429     2.76    
1bcu_ligand_430     2.88    
1bcu_ligand_432     1.93    
1bcu_ligand_434     3.33    
1bcu_ligand_435     2.61    
1bcu_ligand_441     2.01    
1bcu_ligand_445     2.78    
1bcu_ligand_446     2.81    
1bcu_ligand_448     1.89    
1bcu_ligand_449     2.28    
1bcu_ligand_482     2.49    
1bcu_ligand_484     2.8     
1bcu_ligand_486     2.53    
1bcu_ligand_488     2.68    
1bcu_ligand_490     2.56    
1bzc_ligand_112     4.82    
1bzc_ligand_124     4.02    
1bzc_ligand_130     4.91    
1bzc_ligand_133     4.08    
1bzc_ligand_138     3.89    
1bzc_ligand_146     5.25    
1bzc_ligand_150     5.06    
1bzc_ligand_158     -54.52  
1bzc_ligand_159     -11.17  
1bzc_ligand_164     -32.62  
1bzc_ligand_17      3.38    
1bzc_ligand_171     -19.03  
1bzc_ligand_173     -20.8   
1bzc_ligand_174     -33.41  
1bzc_ligand_177     -37.24  
1bzc_ligand_178     -28.37  
1bzc_ligand_185     -23.17  
1bzc_ligand_189     -25.67  
1bzc_ligand_190     -31.97  
1bzc_ligand_193     -2.42   
1bzc_ligand_197     -37.04  
1bzc_ligand_198     -7.45   
1bzc_ligand_2       -3.55   
1bzc_ligand_201     2.66    
1bzc_ligand_202     1.92    
1bzc_ligand_208     0.46    
1bzc_ligand_209     3.28    
1bzc_ligand_210     -999.9  
1bzc_ligand_213     1.27    
1bzc_ligand_215     2.48    
1bzc_ligand_217     2.43    
1bzc_ligand_218     1.65    
1bzc_ligand_221     -0.24   
1bzc_ligand_222     1.03    
1bzc_ligand_225     -3.46   
1bzc_ligand_226     -3.16   
1bzc_ligand_227     -1.16   
1bzc_ligand_228     1.16    
1bzc_ligand_229     -1.26   
1bzc_ligand_23      4.77    
1bzc_ligand_230     -2.04   
1bzc_ligand_234     0.26    
1bzc_ligand_235     1.94    
1bzc_ligand_236     1.17    
1bzc_ligand_238     1.91    
1bzc_ligand_240     -1.81   
1bzc_ligand_241     -0.26   
1bzc_ligand_242     -6.34   
1bzc_ligand_244     1.48    
1bzc_ligand_245     -0.72   
1bzc_ligand_246     -6.13   
1bzc_ligand_248     -2.6    
1bzc_ligand_250     -999.9  
1bzc_ligand_252     -9.19   
1bzc_ligand_257     -11.17  
1bzc_ligand_26      4.86    
1bzc_ligand_263     -11.54  
1bzc_ligand_267     -3.1    
1bzc_ligand_272     -5.48   
1bzc_ligand_277     -31.31  
1bzc_ligand_282     -19.38  
1bzc_ligand_285     -12.95  
1bzc_ligand_287     -6.22   
1bzc_ligand_289     -14.21  
1bzc_ligand_29      4.38    
1bzc_ligand_291     -10.69  
1bzc_ligand_293     -4.94   
1bzc_ligand_294     -2.5    
1bzc_ligand_295     -5.2    
1bzc_ligand_296     -1.68   
1bzc_ligand_297     -5.71   
1bzc_ligand_298     -21.87  
1bzc_ligand_318     -4.36   
1bzc_ligand_319     -1.91   
1bzc_ligand_320     -5.41   
1bzc_ligand_322     -18.95  
1bzc_ligand_324     -18.42  
1bzc_ligand_326     -28.93  
1bzc_ligand_331     -6.54   
1bzc_ligand_333     -7.47   
1bzc_ligand_334     -10.1   
1bzc_ligand_337     -4.28   
1bzc_ligand_341     -8.2    
1bzc_ligand_345     -9.42   
1bzc_ligand_35      -1.68   
1bzc_ligand_36      4.81    
1bzc_ligand_362     4.34    
1bzc_ligand_365     4.34    
1bzc_ligand_392     2.66    
1bzc_ligand_4       -0.32   
1bzc_ligand_445     3.9     
1bzc_ligand_448     3.22    
1bzc_ligand_488     5.88    
1bzc_ligand_58      5       
1bzc_ligand_65      2.21    
1bzc_ligand_69      4.31    
1bzc_ligand_76      4.54    
1bzc_ligand_80      2.4     
1bzc_ligand_85      4.81    
1bzc_ligand_88      2.21    
1c5z_ligand_107     1.71    
1c5z_ligand_129     1.98    
1c5z_ligand_147     1.7     
1c5z_ligand_153     1.63    
1c5z_ligand_154     0.13    
1c5z_ligand_155     -0.91   
1c5z_ligand_164     1.55    
1c5z_ligand_168     0.56    
1c5z_ligand_169     -0.28   
1c5z_ligand_171     -1.88   
1c5z_ligand_176     1.16    
1c5z_ligand_178     -3.13   
1c5z_ligand_181     0.35    
1c5z_ligand_182     -6.09   
1c5z_ligand_184     -4.37   
1c5z_ligand_185     -4.08   
1c5z_ligand_186     -11.4   
1c5z_ligand_190     2.12    
1c5z_ligand_191     0.52    
1c5z_ligand_192     -6.51   
1c5z_ligand_195     1.35    
1c5z_ligand_197     -1.42   
1c5z_ligand_198     1.99    
1c5z_ligand_199     1.17    
1c5z_ligand_200     -6.1    
1c5z_ligand_202     1.91    
1c5z_ligand_205     -0.14   
