#code_ligand_num    score   
1a30_ligand_101     3.26    
1a30_ligand_102     -4.08   
1a30_ligand_107     -999.9  
1a30_ligand_109     -999.9  
1a30_ligand_110     3.01    
1a30_ligand_111     5.42    
1a30_ligand_112     3.91    
1a30_ligand_124     -999.9  
1a30_ligand_125     -999.9  
1a30_ligand_127     3.11    
1a30_ligand_131     2.12    
1a30_ligand_139     -999.9  
1a30_ligand_142     -999.9  
1a30_ligand_144     -999.9  
1a30_ligand_145     -999.9  
1a30_ligand_148     -999.9  
1a30_ligand_150     4.12    
1a30_ligand_159     -38.72  
1a30_ligand_16      3.92    
1a30_ligand_160     -60.26  
1a30_ligand_17      -1.61   
1a30_ligand_184     -45.04  
1a30_ligand_196     -31.26  
1a30_ligand_201     0.71    
1a30_ligand_202     -0.53   
1a30_ligand_203     -999.9  
1a30_ligand_205     -999.9  
1a30_ligand_207     -1      
1a30_ligand_208     -999.9  
1a30_ligand_209     -999.9  
1a30_ligand_21      -999.9  
1a30_ligand_211     -999.9  
1a30_ligand_220     -999.9  
1a30_ligand_227     -999.9  
1a30_ligand_228     -999.9  
1a30_ligand_230     -999.9  
1a30_ligand_232     -3.8    
1a30_ligand_234     -999.9  
1a30_ligand_235     -999.9  
1a30_ligand_237     -11.81  
1a30_ligand_238     -999.9  
1a30_ligand_242     -999.9  
1a30_ligand_248     -13.41  
1a30_ligand_273     -20.99  
1a30_ligand_28      -999.9  
1a30_ligand_285     -18.55  
1a30_ligand_287     -25.86  
1a30_ligand_295     -11.72  
1a30_ligand_30      1.57    
1a30_ligand_301     -999.9  
1a30_ligand_308     -15.97  
1a30_ligand_313     -18.48  
1a30_ligand_326     -22.84  
1a30_ligand_336     -31.73  
1a30_ligand_339     -16.51  
1a30_ligand_34      -999.9  
1a30_ligand_348     -17.4   
1a30_ligand_351     5.01    
1a30_ligand_366     4.91    
1a30_ligand_378     1.77    
1a30_ligand_382     2.68    
1a30_ligand_383     0.94    
1a30_ligand_385     2.54    
1a30_ligand_387     2.75    
1a30_ligand_39      -999.9  
1a30_ligand_419     4.45    
1a30_ligand_421     0.41    
1a30_ligand_428     4.47    
1a30_ligand_43      -999.9  
1a30_ligand_435     2.04    
1a30_ligand_436     2.51    
1a30_ligand_439     3.25    
1a30_ligand_444     4.03    
1a30_ligand_447     2.3     
1a30_ligand_45      -999.9  
1a30_ligand_47      -999.9  
1a30_ligand_474     5.11    
1a30_ligand_5       -999.9  
1a30_ligand_50      3.81    
1a30_ligand_51      -999.9  
1a30_ligand_55      -999.9  
1a30_ligand_57      2.72    
1a30_ligand_58      2.26    
1a30_ligand_60      2.05    
1a30_ligand_64      -999.9  
1a30_ligand_67      2.48    
1a30_ligand_68      -999.9  
1a30_ligand_7       2.58    
1a30_ligand_71      -999.9  
1a30_ligand_72      2.59    
1a30_ligand_74      4.59    
1a30_ligand_77      3.13    
1a30_ligand_79      -999.9  
1a30_ligand_82      -7      
1a30_ligand_9       -999.9  
1a30_ligand_93      2.79    
1a30_ligand_94      1.33    
1a30_ligand_95      1.97    
1a30_ligand_98      -999.9  
1a30_ligand_99      -999.9  
1bcu_ligand_168     -0.34   
1bcu_ligand_191     -7.89   
1bcu_ligand_196     -0.91   
1bcu_ligand_2       2.77    
1bcu_ligand_203     2.39    
1bcu_ligand_204     1.06    
1bcu_ligand_205     1.57    
1bcu_ligand_210     2.82    
1bcu_ligand_213     3.19    
1bcu_ligand_216     -0.46   
1bcu_ligand_217     1.59    
1bcu_ligand_222     2.46    
1bcu_ligand_223     -999.9  
1bcu_ligand_225     1.86    
1bcu_ligand_227     0.62    
1bcu_ligand_229     0.38    
1bcu_ligand_230     2.03    
1bcu_ligand_231     1.85    
1bcu_ligand_234     1.74    
1bcu_ligand_237     -0.22   
1bcu_ligand_242     1.61    
1bcu_ligand_243     1.55    
1bcu_ligand_250     1.67    
1bcu_ligand_255     -0.09   
1bcu_ligand_267     3.04    
1bcu_ligand_269     -5.97   
