#code_ligand_num    score   
1a30_ligand_100     4.12    
1a30_ligand_105     2.28    
1a30_ligand_106     3.1     
1a30_ligand_108     4.61    
1a30_ligand_119     5.2     
1a30_ligand_13      4.58    
1a30_ligand_134     4.16    
1a30_ligand_138     3.06    
1a30_ligand_14      3.22    
1a30_ligand_141     3.91    
1a30_ligand_148     3.74    
1a30_ligand_15      4.47    
1a30_ligand_158     -24.9   
1a30_ligand_159     -46.93  
1a30_ligand_16      4.86    
1a30_ligand_166     -26     
1a30_ligand_167     -13.76  
1a30_ligand_169     -11.33  
1a30_ligand_171     -27.95  
1a30_ligand_182     -16.63  
1a30_ligand_196     -50.7   
1a30_ligand_197     -3.7    
1a30_ligand_2       4.47    
1a30_ligand_202     2.44    
1a30_ligand_203     3.8     
1a30_ligand_206     2.01    
1a30_ligand_207     0.74    
1a30_ligand_21      2.98    
1a30_ligand_215     0.19    
1a30_ligand_216     1.69    
1a30_ligand_217     0.78    
1a30_ligand_218     2.58    
1a30_ligand_219     2.66    
1a30_ligand_22      2.87    
1a30_ligand_220     -1.55   
1a30_ligand_225     2.52    
1a30_ligand_23      4.15    
1a30_ligand_233     3.67    
1a30_ligand_239     0.85    
1a30_ligand_243     0.74    
1a30_ligand_246     -2.34   
1a30_ligand_248     0.47    
1a30_ligand_253     -20.1   
1a30_ligand_26      4.89    
1a30_ligand_27      4.51    
1a30_ligand_274     -7.22   
1a30_ligand_275     -9.59   
1a30_ligand_279     -8.41   
1a30_ligand_282     -1.11   
1a30_ligand_29      4.09    
1a30_ligand_290     -10.27  
1a30_ligand_291     -8.03   
1a30_ligand_294     -6.63   
1a30_ligand_310     -18.64  
1a30_ligand_314     -0.01   
1a30_ligand_315     -1.92   
1a30_ligand_318     -16.79  
1a30_ligand_323     -4.69   
1a30_ligand_326     -0.26   
1a30_ligand_329     -16.16  
1a30_ligand_34      3.62    
1a30_ligand_353     5.04    
1a30_ligand_356     4.42    
1a30_ligand_357     5.37    
1a30_ligand_36      5.7     
1a30_ligand_363     4.62    
1a30_ligand_366     1.57    
1a30_ligand_372     5.2     
1a30_ligand_379     4.46    
1a30_ligand_38      1.57    
1a30_ligand_39      4.44    
1a30_ligand_391     4.26    
1a30_ligand_395     1.82    
1a30_ligand_398     3.43    
1a30_ligand_411     4.35    
1a30_ligand_42      4.52    
1a30_ligand_421     5.41    
1a30_ligand_45      2.19    
1a30_ligand_467     3.39    
1a30_ligand_481     4.95    
1a30_ligand_49      3.57    
1a30_ligand_496     5.38    
1a30_ligand_52      4.67    
1a30_ligand_56      4.32    
1a30_ligand_59      3.39    
1a30_ligand_6       3.31    
1a30_ligand_63      2.51    
1a30_ligand_64      4.75    
1a30_ligand_68      -0.22   
1a30_ligand_7       4.27    
1a30_ligand_73      0.62    
1a30_ligand_76      -2.76   
1a30_ligand_81      4.68    
1a30_ligand_82      4.62    
1a30_ligand_88      4.4     
1a30_ligand_9       4.71    
1a30_ligand_94      2.25    
1a30_ligand_95      3.61    
1a30_ligand_97      4.99    
1a30_ligand_99      4.76    
1bcu_ligand_105     3.2     
1bcu_ligand_126     -30.86  
1bcu_ligand_153     -1.09   
1bcu_ligand_170     2.7     
1bcu_ligand_172     2.71    
1bcu_ligand_188     2.24    
1bcu_ligand_189     2.18    
1bcu_ligand_211     3.02    
1bcu_ligand_220     2.64    
1bcu_ligand_221     1.74    
1bcu_ligand_239     1.82    
1bcu_ligand_241     2.61    
1bcu_ligand_248     2.34    
1bcu_ligand_250     2.59    
1bcu_ligand_252     1.41    
1bcu_ligand_256     2.88    
1bcu_ligand_258     3.05    
1bcu_ligand_26      3.51    
1bcu_ligand_265     2.69    
1bcu_ligand_269     2.46    
1bcu_ligand_270     2.62    
1bcu_ligand_273     1.67    
1bcu_ligand_277     3.34    
1bcu_ligand_278     2.42    
1bcu_ligand_284     2.14    
1bcu_ligand_286     1.51    
1bcu_ligand_288     3.19    
1bcu_ligand_293     3.02    
1bcu_ligand_300     2.46    
1bcu_ligand_312     -1.68   
1bcu_ligand_327     -0.15   
1bcu_ligand_329     -0.31   
1bcu_ligand_342     3.06    
1bcu_ligand_343     -0.44   
1bcu_ligand_345     0.28    
1bcu_ligand_347     2.15    
1bcu_ligand_352     2.54    
1bcu_ligand_361     1.98    
1bcu_ligand_362     2.37    
1bcu_ligand_364     1.83    
1bcu_ligand_365     2.17    
1bcu_ligand_366     2.42    
1bcu_ligand_367     1.96    
1bcu_ligand_369     2.15    
1bcu_ligand_371     2.11    
1bcu_ligand_372     2.23    
1bcu_ligand_374     3.05    
1bcu_ligand_376     2.7     
1bcu_ligand_377     1.98    
1bcu_ligand_379     2.45    
1bcu_ligand_380     2.61    
1bcu_ligand_381     1.91    
1bcu_ligand_382     2.15    
1bcu_ligand_383     3       
1bcu_ligand_385     3.32    
1bcu_ligand_386     2.24    
1bcu_ligand_387     2.14    
1bcu_ligand_388     1.77    
1bcu_ligand_389     3       
1bcu_ligand_390     1.9     
1bcu_ligand_392     2.44    
1bcu_ligand_393     2.37    
1bcu_ligand_395     1.91    
1bcu_ligand_396     2.85    
1bcu_ligand_398     1.34    
1bcu_ligand_399     2.46    
1bcu_ligand_400     2.51    
1bcu_ligand_401     2.45    
1bcu_ligand_408     2.55    
1bcu_ligand_411     2.97    
1bcu_ligand_413     2.54    
1bcu_ligand_415     2.05    
1bcu_ligand_416     2.77    
1bcu_ligand_417     2.73    
1bcu_ligand_418     2.89    
1bcu_ligand_422     2.9     
1bcu_ligand_424     2.63    
1bcu_ligand_426     1.82    
1bcu_ligand_429     2.7     
1bcu_ligand_439     2.96    
1bcu_ligand_440     3.32    
1bcu_ligand_444     2.97    
1bcu_ligand_445     3.01    
1bcu_ligand_446     2.22    
1bcu_ligand_447     3.29    
1bcu_ligand_454     3.06    
1bcu_ligand_455     3.29    
1bcu_ligand_459     2.74    
1bcu_ligand_464     1.82    
1bcu_ligand_469     3.21    
1bcu_ligand_477     3.39    
1bcu_ligand_481     4.05    
1bcu_ligand_485     3.62    
1bcu_ligand_486     3.05    
1bcu_ligand_488     3.05    
1bcu_ligand_489     2.39    
1bcu_ligand_492     3.35    
1bcu_ligand_495     2.38    
1bcu_ligand_496     2.95    
1bcu_ligand_73      2.58    
1bzc_ligand_102     3.68    
1bzc_ligand_113     3.9     
1bzc_ligand_126     4.96    
1bzc_ligand_127     3.77    
1bzc_ligand_136     4.1     
1bzc_ligand_143     3.95    
1bzc_ligand_145     4.39    
1bzc_ligand_147     4.56    
1bzc_ligand_152     -20.86  
1bzc_ligand_157     -34.6   
1bzc_ligand_168     -31.81  
1bzc_ligand_169     -18.49  
1bzc_ligand_17      4.23    
1bzc_ligand_175     -6.18   
1bzc_ligand_176     -14.54  
1bzc_ligand_177     -34.46  
1bzc_ligand_178     -26.57  
1bzc_ligand_179     -28.06  
1bzc_ligand_182     -35.72  
1bzc_ligand_184     -18.76  
1bzc_ligand_185     -14.41  
1bzc_ligand_188     -17.21  
1bzc_ligand_192     -19.41  
1bzc_ligand_193     -6.07   
1bzc_ligand_194     -19.17  
1bzc_ligand_198     -24.77  
1bzc_ligand_209     0.49    
1bzc_ligand_21      4.17    
1bzc_ligand_210     4.25    
1bzc_ligand_212     3.06    
1bzc_ligand_214     1.92    
1bzc_ligand_215     -2.5    
1bzc_ligand_216     2.72    
1bzc_ligand_218     0.58    
1bzc_ligand_22      4.8     
1bzc_ligand_222     3.61    
1bzc_ligand_226     1.22    
1bzc_ligand_227     2.64    
1bzc_ligand_230     -3.73   
1bzc_ligand_231     2.76    
1bzc_ligand_233     -1.21   
1bzc_ligand_234     -0.69   
1bzc_ligand_238     2.47    
1bzc_ligand_240     2.86    
1bzc_ligand_244     3.41    
1bzc_ligand_245     4.97    
1bzc_ligand_246     1.1     
1bzc_ligand_250     2       
1bzc_ligand_258     -6.62   
1bzc_ligand_262     -10.57  
1bzc_ligand_264     -2.58   
1bzc_ligand_274     -7.46   
1bzc_ligand_275     -8.71   
1bzc_ligand_276     -8.75   
1bzc_ligand_280     -7.46   
1bzc_ligand_287     -7.46   
1bzc_ligand_289     0.1     
1bzc_ligand_290     -12.38  
1bzc_ligand_295     -26.91  
1bzc_ligand_297     1.44    
1bzc_ligand_301     -22.87  
1bzc_ligand_308     -4.69   
1bzc_ligand_316     -3.69   
1bzc_ligand_319     -12.09  
1bzc_ligand_327     -8.48   
1bzc_ligand_328     -2.19   
1bzc_ligand_330     -13     
1bzc_ligand_332     -9.1    
1bzc_ligand_341     -5.97   
1bzc_ligand_342     -10.85  
1bzc_ligand_344     -0.77   
1bzc_ligand_346     0.68    
1bzc_ligand_348     -21.4   
1bzc_ligand_356     5.12    
1bzc_ligand_36      4.59    
1bzc_ligand_361     3.05    
1bzc_ligand_367     4.73    
1bzc_ligand_368     3.82    
1bzc_ligand_383     4.51    
1bzc_ligand_400     3.5     
1bzc_ligand_421     5.19    
1bzc_ligand_438     3.07    
1bzc_ligand_448     1.28    
1bzc_ligand_45      4.09    
1bzc_ligand_459     2.16    
1bzc_ligand_474     4.59    
1bzc_ligand_488     3.24    
1bzc_ligand_495     3.5     
1bzc_ligand_55      4.12    
1bzc_ligand_6       3.63    
1bzc_ligand_62      2.65    
1bzc_ligand_68      4.44    
1bzc_ligand_69      3.89    
1bzc_ligand_72      4.52    
1bzc_ligand_73      3.31    
1bzc_ligand_79      4.06    
1bzc_ligand_83      3.29    
1bzc_ligand_85      3.18    
1bzc_ligand_89      2.43    
1bzc_ligand_9       3.64    
1c5z_ligand_125     3.4     
1c5z_ligand_151     1.4     
1c5z_ligand_157     0.78    
1c5z_ligand_158     1.54    
1c5z_ligand_161     1.74    
1c5z_ligand_173     1.21    
1c5z_ligand_174     -0.12   
1c5z_ligand_182     -1.18   
1c5z_ligand_189     1.92    
1c5z_ligand_190     -1.85   
1c5z_ligand_192     1.54    
1c5z_ligand_204     1.24    
1c5z_ligand_205     2.09    
1c5z_ligand_206     1.15    
1c5z_ligand_207     1.62    
1c5z_ligand_209     1.97    
1c5z_ligand_210     1.81    
1c5z_ligand_211     2.19    
1c5z_ligand_213     2.64    
1c5z_ligand_216     1.55    
1c5z_ligand_219     2.11    
1c5z_ligand_221     2.96    
1c5z_ligand_222     1.35    
1c5z_ligand_227     2.05    
1c5z_ligand_229     1.57    
1c5z_ligand_23      1.75    
1c5z_ligand_231     2.54    
1c5z_ligand_232     2.18    
1c5z_ligand_239     1.57    
1c5z_ligand_242     1.16    
1c5z_ligand_245     1.59    
1c5z_ligand_246     1.7     
1c5z_ligand_250     1.4     
1c5z_ligand_251     2.26    
1c5z_ligand_252     1.64    
1c5z_ligand_253     2.58    
1c5z_ligand_256     3.38    
1c5z_ligand_263     2.3     
1c5z_ligand_267     2.09    
1c5z_ligand_268     1.84    
1c5z_ligand_271     1.85    
1c5z_ligand_274     2.06    
1c5z_ligand_278     0.69    
1c5z_ligand_280     2.04    
1c5z_ligand_281     1.66    
1c5z_ligand_284     1.55    
1c5z_ligand_288     2.11    
1c5z_ligand_290     1.31    
1c5z_ligand_292     1.28    
1c5z_ligand_293     1.24    
1c5z_ligand_294     1.29    
1c5z_ligand_295     1.72    
1c5z_ligand_298     -2      
1c5z_ligand_299     1.37    
1c5z_ligand_301     2.08    
1c5z_ligand_302     0.55    
1c5z_ligand_307     -1.19   
1c5z_ligand_309     2.27    
1c5z_ligand_310     0.27    
1c5z_ligand_311     -2.45   
1c5z_ligand_313     1.86    
1c5z_ligand_317     1.79    
1c5z_ligand_318     0.87    
1c5z_ligand_321     -5.24   
1c5z_ligand_322     0.59    
1c5z_ligand_323     -2.12   
1c5z_ligand_325     -1.49   
1c5z_ligand_328     1.82    
1c5z_ligand_33      2.04    
1c5z_ligand_332     1.66    
1c5z_ligand_333     0.84    
1c5z_ligand_337     0.41    
1c5z_ligand_339     -2.26   
1c5z_ligand_340     0.63    
1c5z_ligand_341     0.13    
1c5z_ligand_342     1.88    
1c5z_ligand_343     1.53    
1c5z_ligand_344     1.91    
1c5z_ligand_349     1.32    
1c5z_ligand_350     -4.16   
1c5z_ligand_367     2.84    
1c5z_ligand_374     2.45    
1c5z_ligand_375     1.32    
1c5z_ligand_381     1.81    
1c5z_ligand_382     2.18    
1c5z_ligand_383     2.95    
1c5z_ligand_384     2.05    
1c5z_ligand_385     1.63    
1c5z_ligand_387     1.25    
1c5z_ligand_390     2.53    
1c5z_ligand_392     2.25    
1c5z_ligand_396     1.91    
1c5z_ligand_397     1.1     
1c5z_ligand_400     2.27    
1c5z_ligand_439     2.74    
1c5z_ligand_45      2.08    
1c5z_ligand_450     2.98    
1c5z_ligand_6       1.75    
1c5z_ligand_88      3.56    
1c5z_ligand_95      2.56    
1e66_ligand_107     -999.9  
1e66_ligand_11      0.49    
1e66_ligand_12      -999.9  
1e66_ligand_151     -15.49  
1e66_ligand_153     -28.7   
1e66_ligand_160     -48.95  
1e66_ligand_161     -10.16  
1e66_ligand_164     -28.24  
1e66_ligand_166     -24.51  
1e66_ligand_167     -18.8   
1e66_ligand_168     -34.78  
1e66_ligand_173     -23.78  
1e66_ligand_176     -7.3    
1e66_ligand_179     -30.33  
1e66_ligand_18      2.49    
1e66_ligand_180     -11.09  
1e66_ligand_181     -13.3   
1e66_ligand_182     -14.14  
1e66_ligand_185     -18.32  
1e66_ligand_186     -6.85   
1e66_ligand_199     -44.4   
1e66_ligand_2       1.95    
1e66_ligand_200     -16.76  
1e66_ligand_202     1.6     
1e66_ligand_207     0.85    
1e66_ligand_211     1.4     
1e66_ligand_212     1.19    
1e66_ligand_213     -4.55   
1e66_ligand_222     -0.59   
1e66_ligand_225     -0.62   
1e66_ligand_232     0.77    
1e66_ligand_233     0.39    
1e66_ligand_234     0.33    
1e66_ligand_235     -0.34   
