#code_ligand_num    score   
1a30_ligand_102     1.69    
1a30_ligand_103     -1.75   
1a30_ligand_108     2.27    
1a30_ligand_109     2.15    
1a30_ligand_11      2.39    
1a30_ligand_111     3.11    
1a30_ligand_113     2.51    
1a30_ligand_116     1.9     
1a30_ligand_118     2.93    
1a30_ligand_119     1.35    
1a30_ligand_12      1.78    
1a30_ligand_123     2.5     
1a30_ligand_13      3.83    
1a30_ligand_133     3.07    
1a30_ligand_135     3.84    
1a30_ligand_148     2.67    
1a30_ligand_157     -28.68  
1a30_ligand_16      3.37    
1a30_ligand_162     -23.06  
1a30_ligand_169     -20.95  
1a30_ligand_17      3.31    
1a30_ligand_176     -29.75  
1a30_ligand_183     -14.52  
1a30_ligand_188     -27.47  
1a30_ligand_193     -35.65  
1a30_ligand_199     -30.49  
1a30_ligand_200     -21.7   
1a30_ligand_201     2.11    
1a30_ligand_209     1.03    
1a30_ligand_214     -2.39   
1a30_ligand_224     -1.21   
1a30_ligand_225     2.86    
1a30_ligand_232     -0.95   
1a30_ligand_233     -0.94   
1a30_ligand_234     -0.23   
1a30_ligand_235     -0.91   
1a30_ligand_239     0.78    
1a30_ligand_244     0.28    
1a30_ligand_263     -11.9   
1a30_ligand_27      3.18    
1a30_ligand_283     -15.52  
1a30_ligand_287     -9.15   
1a30_ligand_29      -999.9  
1a30_ligand_296     0.99    
1a30_ligand_297     -7.37   
1a30_ligand_3       0.84    
1a30_ligand_305     -0.52   
1a30_ligand_31      2.49    
1a30_ligand_311     -5.58   
1a30_ligand_32      2.78    
1a30_ligand_325     -6.83   
1a30_ligand_33      -2.91   
1a30_ligand_332     -3.53   
1a30_ligand_342     -11.28  
1a30_ligand_346     -25.8   
1a30_ligand_36      3.96    
1a30_ligand_362     4.6     
1a30_ligand_368     3.69    
1a30_ligand_376     3.54    
1a30_ligand_377     4.04    
1a30_ligand_38      1.57    
1a30_ligand_386     -0.74   
1a30_ligand_389     2.96    
1a30_ligand_390     3.14    
1a30_ligand_397     3.37    
1a30_ligand_4       -999.9  
1a30_ligand_400     2.83    
1a30_ligand_41      1.56    
1a30_ligand_42      2.2     
1a30_ligand_427     -0.52   
1a30_ligand_43      3.02    
1a30_ligand_432     3.9     
1a30_ligand_44      2.27    
1a30_ligand_444     3.76    
1a30_ligand_449     3.2     
1a30_ligand_45      1.47    
1a30_ligand_462     3.6     
1a30_ligand_466     4.3     
1a30_ligand_498     2.66    
1a30_ligand_58      0.13    
1a30_ligand_6       3.59    
1a30_ligand_60      1.7     
1a30_ligand_63      1.05    
1a30_ligand_65      -1.5    
1a30_ligand_66      2.21    
1a30_ligand_67      1.96    
1a30_ligand_7       2.46    
1a30_ligand_70      2.4     
1a30_ligand_73      3.57    
1a30_ligand_74      3.72    
1a30_ligand_76      2.09    
1a30_ligand_79      0.87    
1a30_ligand_8       3.61    
1a30_ligand_82      2.16    
1a30_ligand_85      2.06    
1a30_ligand_89      3.27    
1a30_ligand_9       2.65    
1a30_ligand_94      0.59    
1a30_ligand_95      2.53    
1a30_ligand_96      -1.34   
1bcu_ligand_152     -7.8    
1bcu_ligand_156     -4.11   
1bcu_ligand_160     -26.48  
1bcu_ligand_162     0.39    
1bcu_ligand_166     -1.68   
1bcu_ligand_172     -4.65   
1bcu_ligand_175     -3.55   
1bcu_ligand_179     -4.38   
1bcu_ligand_182     -12.21  
1bcu_ligand_184     -10.51  
1bcu_ligand_186     -2.12   
1bcu_ligand_189     -0.13   
1bcu_ligand_194     -0.4    
1bcu_ligand_207     0.89    
1bcu_ligand_211     -0.34   
1bcu_ligand_218     1.42    
1bcu_ligand_228     2.17    
1bcu_ligand_229     -0.38   
1bcu_ligand_232     1.01    
1bcu_ligand_234     1.05    
1bcu_ligand_236     1.89    
1bcu_ligand_237     -2.91   
1bcu_ligand_240     1.53    
1bcu_ligand_242     0.17    
1bcu_ligand_246     0.98    
1bcu_ligand_257     0.78    
1bcu_ligand_262     0.26    
1bcu_ligand_263     -0.47   
1bcu_ligand_265     1.12    
1bcu_ligand_294     0.2     
1bcu_ligand_298     -0.41   
1bcu_ligand_299     -0.98   
1bcu_ligand_302     -2.71   
