#code_ligand_num    score   
1a30_ligand_10      2.8     
1a30_ligand_100     3.11    
1a30_ligand_103     3.54    
1a30_ligand_104     1.55    
1a30_ligand_108     2.96    
1a30_ligand_113     1.19    
1a30_ligand_115     1.8     
1a30_ligand_12      1.41    
1a30_ligand_134     3.41    
1a30_ligand_135     3.53    
1a30_ligand_14      2.92    
1a30_ligand_142     3.41    
1a30_ligand_144     4.42    
1a30_ligand_145     3.73    
1a30_ligand_153     -28.77  
1a30_ligand_184     -32.27  
1a30_ligand_190     -6.77   
1a30_ligand_197     -27.35  
1a30_ligand_198     -25.56  
1a30_ligand_203     2.18    
1a30_ligand_206     2.31    
1a30_ligand_21      3.85    
1a30_ligand_212     0.8     
1a30_ligand_213     2.31    
1a30_ligand_214     0.55    
1a30_ligand_215     2.33    
1a30_ligand_216     2.98    
1a30_ligand_217     0.54    
1a30_ligand_218     0.36    
1a30_ligand_221     1.9     
1a30_ligand_222     1.71    
1a30_ligand_224     0.42    
1a30_ligand_226     -0.15   
1a30_ligand_227     0.51    
1a30_ligand_234     0.54    
1a30_ligand_235     1.43    
1a30_ligand_237     1.16    
1a30_ligand_238     2.38    
1a30_ligand_239     3.13    
1a30_ligand_24      2.95    
1a30_ligand_240     1.87    
1a30_ligand_242     1.6     
1a30_ligand_246     0.74    
1a30_ligand_247     -1.83   
1a30_ligand_25      2.67    
1a30_ligand_252     -13.59  
1a30_ligand_254     -7.13   
1a30_ligand_255     0.18    
1a30_ligand_259     -15.64  
1a30_ligand_26      2.41    
1a30_ligand_266     -3.68   
1a30_ligand_27      1.42    
1a30_ligand_271     -9.18   
1a30_ligand_280     0.17    
1a30_ligand_29      3.82    
1a30_ligand_290     -8.55   
1a30_ligand_294     1.75    
1a30_ligand_299     -7.53   
1a30_ligand_30      1.76    
1a30_ligand_302     -9.65   
1a30_ligand_315     -6.05   
1a30_ligand_338     -23.49  
1a30_ligand_34      2.3     
1a30_ligand_372     5.13    
1a30_ligand_394     4.95    
1a30_ligand_395     3.43    
1a30_ligand_40      3.21    
1a30_ligand_410     3.55    
1a30_ligand_416     4.87    
1a30_ligand_42      4.81    
1a30_ligand_423     4.5     
1a30_ligand_433     5.13    
1a30_ligand_434     4.02    
1a30_ligand_438     4.89    
1a30_ligand_44      4.42    
1a30_ligand_48      4.04    
1a30_ligand_50      4.1     
