#code_ligand_num    score   
1a30_ligand_105     -999.9  
1a30_ligand_106     -2.14   
1a30_ligand_108     -999.9  
1a30_ligand_109     3.56    
1a30_ligand_111     -999.9  
1a30_ligand_114     3.94    
1a30_ligand_115     -999.9  
1a30_ligand_120     6.26    
1a30_ligand_125     -1.86   
1a30_ligand_127     -999.9  
1a30_ligand_128     2.58    
1a30_ligand_13      4.22    
1a30_ligand_136     -5.45   
1a30_ligand_140     4.27    
1a30_ligand_141     5.36    
1a30_ligand_143     4.37    
1a30_ligand_148     -999.9  
1a30_ligand_153     -31.37  
1a30_ligand_16      -13.12  
1a30_ligand_165     -44.28  
1a30_ligand_17      -999.9  
1a30_ligand_171     -39.48  
1a30_ligand_180     -45.66  
1a30_ligand_197     -55.93  
1a30_ligand_198     -77.76  
1a30_ligand_200     -42.21  
1a30_ligand_206     -2.95   
1a30_ligand_215     -12.02  
1a30_ligand_218     -23.43  
1a30_ligand_219     -17.76  
1a30_ligand_222     -24.9   
1a30_ligand_223     -22.83  
1a30_ligand_225     -13.23  
1a30_ligand_232     -16.97  
1a30_ligand_234     -26.29  
1a30_ligand_235     -27.57  
1a30_ligand_237     -27.86  
1a30_ligand_240     -35.04  
1a30_ligand_242     -26.08  
1a30_ligand_243     -10.24  
1a30_ligand_244     -13.65  
1a30_ligand_247     -23.93  
1a30_ligand_253     -48.29  
1a30_ligand_254     -21.41  
1a30_ligand_259     -26.06  
1a30_ligand_264     -37.2   
1a30_ligand_278     -37.75  
1a30_ligand_29      -999.9  
1a30_ligand_293     -19.63  
1a30_ligand_294     -63.78  
1a30_ligand_296     -30.64  
1a30_ligand_30      2.83    
1a30_ligand_306     -49.6   
1a30_ligand_309     -37.76  
1a30_ligand_311     -41.5   
1a30_ligand_331     -24.35  
1a30_ligand_339     -40.45  
1a30_ligand_341     -22.47  
1a30_ligand_346     -81.53  
1a30_ligand_349     -37.38  
1a30_ligand_36      2.75    
1a30_ligand_364     2.79    
1a30_ligand_371     2.16    
1a30_ligand_372     3.05    
1a30_ligand_374     -1.64   
1a30_ligand_375     2.29    
1a30_ligand_377     -4.12   
1a30_ligand_383     -0.39   
1a30_ligand_385     1.59    
1a30_ligand_394     1.02    
1a30_ligand_395     -0.73   
1a30_ligand_4       3.41    
1a30_ligand_400     -0.58   
1a30_ligand_401     1.62    
1a30_ligand_42      4.09    
1a30_ligand_437     2.03    
1a30_ligand_440     1.54    
1a30_ligand_492     1.66    
1a30_ligand_52      -999.9  
1a30_ligand_53      -999.9  
1a30_ligand_54      -999.9  
1a30_ligand_56      -999.9  
1a30_ligand_58      -999.9  
1a30_ligand_59      -999.9  
1a30_ligand_60      -999.9  
1a30_ligand_61      2.06    
1a30_ligand_62      -999.9  
1a30_ligand_63      2.36    
1a30_ligand_70      -3.34   
1a30_ligand_71      -999.9  
1a30_ligand_74      4.54    
1a30_ligand_75      -9.07   
1a30_ligand_77      -999.9  
1a30_ligand_80      -999.9  
1a30_ligand_84      -999.9  
1a30_ligand_85      -999.9  
1a30_ligand_86      2.66    
1a30_ligand_88      4.88    
1a30_ligand_90      -5.68   
1a30_ligand_99      -999.9  
1bcu_ligand_142     4.23    
1bcu_ligand_159     -4.81   
1bcu_ligand_165     4.29    
1bcu_ligand_169     -1.02   
1bcu_ligand_170     -4.38   
1bcu_ligand_171     2.33    
1bcu_ligand_172     -26.02  
1bcu_ligand_178     1.52    
1bcu_ligand_189     -1.14   
1bcu_ligand_190     3.23    
1bcu_ligand_191     -9.49   
1bcu_ligand_195     -0.17   
1bcu_ligand_196     3.57    
1bcu_ligand_197     -2.17   
1bcu_ligand_198     -13.23  
1bcu_ligand_201     4.69    
1bcu_ligand_207     3.67    
1bcu_ligand_210     3.12    
1bcu_ligand_217     4.36    
1bcu_ligand_224     1.81    
1bcu_ligand_226     1.87    
1bcu_ligand_228     0.44    
1bcu_ligand_232     3.65    
1bcu_ligand_233     2.19    
1bcu_ligand_238     2.04    
1bcu_ligand_239     -4.36   
1bcu_ligand_241     2.6     
1bcu_ligand_244     3.04    
1bcu_ligand_247     2.71    
1bcu_ligand_248     2.3     
1bcu_ligand_250     0.95    
1bcu_ligand_256     -0.04   
1bcu_ligand_264     1.05    
1bcu_ligand_265     3.39    
1bcu_ligand_267     -0.85   
1bcu_ligand_270     -8.7    
1bcu_ligand_274     3.73    
1bcu_ligand_275     -4.83   
1bcu_ligand_283     -2.3    
1bcu_ligand_284     3.77    
1bcu_ligand_285     0.4     
1bcu_ligand_286     -5.19   
1bcu_ligand_298     -0.03   
1bcu_ligand_299     -17.54  
1bcu_ligand_3       4.94    
1bcu_ligand_300     -8.76   
1bcu_ligand_301     1.25    
1bcu_ligand_305     -2.48   
1bcu_ligand_308     1.36    
1bcu_ligand_309     -2.07   
1bcu_ligand_310     0.3     
1bcu_ligand_313     1.53    
1bcu_ligand_314     -2.94   
1bcu_ligand_316     -12.25  
1bcu_ligand_319     3.06    
1bcu_ligand_32      4.17    
1bcu_ligand_325     -1.09   
1bcu_ligand_327     2.4     
1bcu_ligand_328     1.87    
1bcu_ligand_341     3.42    
1bcu_ligand_343     -7.46   
1bcu_ligand_346     1.94    
1bcu_ligand_347     4.52    
1bcu_ligand_348     -16.31  
1bcu_ligand_352     4.15    
1bcu_ligand_355     4.68    
1bcu_ligand_357     4.28    
1bcu_ligand_363     4.58    
1bcu_ligand_365     4.25    
1bcu_ligand_366     4.09    
1bcu_ligand_37      3.78    
1bcu_ligand_371     2.06    
1bcu_ligand_381     -999.9  
1bcu_ligand_385     4.12    
1bcu_ligand_386     3.35    
1bcu_ligand_388     3.76    
1bcu_ligand_389     4.64    
1bcu_ligand_390     4.08    
1bcu_ligand_391     3.55    
1bcu_ligand_394     4.28    
1bcu_ligand_395     3.58    
1bcu_ligand_396     3.79    
1bcu_ligand_398     3.65    
1bcu_ligand_399     3.18    
1bcu_ligand_400     3.84    
1bcu_ligand_447     4.07    
1bcu_ligand_45      4.78    
1bcu_ligand_450     3.35    
