#code_ligand_num    score   
1a30_ligand_10      5.78    
1a30_ligand_100     4.29    
1a30_ligand_103     4.28    
1a30_ligand_107     4.99    
1a30_ligand_110     4.6     
1a30_ligand_111     4.66    
1a30_ligand_118     5.25    
1a30_ligand_12      5.34    
1a30_ligand_128     4.13    
1a30_ligand_130     4.67    
1a30_ligand_136     5.79    
1a30_ligand_140     5.45    
1a30_ligand_142     5.77    
1a30_ligand_143     5.96    
1a30_ligand_146     2.84    
1a30_ligand_148     4.18    
1a30_ligand_149     4.66    
1a30_ligand_16      4.49    
1a30_ligand_17      4.78    
1a30_ligand_187     0.63    
1a30_ligand_191     -25.53  
1a30_ligand_194     -9.86   
1a30_ligand_214     -0.89   
1a30_ligand_215     2.89    
1a30_ligand_219     4.05    
1a30_ligand_229     3.47    
1a30_ligand_23      5.74    
1a30_ligand_232     0.89    
1a30_ligand_238     -2.61   
1a30_ligand_24      6.28    
1a30_ligand_240     1.88    
1a30_ligand_244     4.52    
1a30_ligand_251     2.69    
1a30_ligand_256     4.67    
1a30_ligand_265     -14.92  
1a30_ligand_269     -10.78  
1a30_ligand_275     -14.1   
1a30_ligand_277     -8.27   
1a30_ligand_285     -1.62   
1a30_ligand_287     -25.95  
1a30_ligand_289     -1.73   
1a30_ligand_290     -1.51   
1a30_ligand_291     0.62    
1a30_ligand_299     -10.49  
1a30_ligand_3       4.57    
1a30_ligand_30      4.48    
1a30_ligand_301     -1.93   
1a30_ligand_302     -12.79  
1a30_ligand_305     0.9     
1a30_ligand_310     -20.86  
1a30_ligand_311     -5.62   
1a30_ligand_319     -22.15  
1a30_ligand_321     -3.84   
1a30_ligand_322     -1.58   
1a30_ligand_324     -20.43  
1a30_ligand_325     -5.98   
1a30_ligand_33      3.97    
1a30_ligand_335     -7.16   
1a30_ligand_337     1.61    
1a30_ligand_340     -20.89  
1a30_ligand_341     1.04    
1a30_ligand_342     -8.54   
1a30_ligand_344     -9.18   
1a30_ligand_345     -7.98   
1a30_ligand_349     -0.02   
1a30_ligand_354     4.8     
1a30_ligand_361     4.32    
1a30_ligand_372     5.3     
1a30_ligand_38      5.37    
1a30_ligand_382     5.14    
1a30_ligand_385     4.69    
1a30_ligand_39      6       
1a30_ligand_394     4.83    
1a30_ligand_401     5.12    
1a30_ligand_41      5.9     
1a30_ligand_412     5.08    
1a30_ligand_414     5.33    
1a30_ligand_424     3.98    
1a30_ligand_429     5.41    
1a30_ligand_45      4.08    
1a30_ligand_46      5.24    
1a30_ligand_48      4.56    
1a30_ligand_5       5.2     
1a30_ligand_50      4.98    
1a30_ligand_51      3.37    
1a30_ligand_55      4.95    
1a30_ligand_58      5.61    
1a30_ligand_63      5.32    
1a30_ligand_70      2.77    
1a30_ligand_74      5.54    
1a30_ligand_76      5.91    
1a30_ligand_79      4.85    
1a30_ligand_8       5.37    
1a30_ligand_82      5.39    
1a30_ligand_83      4.99    
1a30_ligand_85      3.92    
1a30_ligand_88      6.39    
1a30_ligand_92      5.52    
1a30_ligand_96      4.94    
1a30_ligand_98      5.25    
1bcu_ligand_104     4.24    
1bcu_ligand_119     4.23    
1bcu_ligand_155     2.31    
1bcu_ligand_160     -14.15  
1bcu_ligand_169     3.04    
1bcu_ligand_181     -4.12   
1bcu_ligand_184     3.07    
1bcu_ligand_186     4.11    
1bcu_ligand_189     -18.94  
1bcu_ligand_196     1.62    
1bcu_ligand_197     0.58    
1bcu_ligand_204     -0.43   
1bcu_ligand_209     2.4     
1bcu_ligand_224     3.87    
1bcu_ligand_232     2.57    
1bcu_ligand_242     1.28    
1bcu_ligand_243     3.79    
1bcu_ligand_247     3.62    
1bcu_ligand_258     3.28    
1bcu_ligand_264     3.27    
1bcu_ligand_276     3.56    
1bcu_ligand_285     3.06    
1bcu_ligand_294     0.42    
1bcu_ligand_296     -0.97   
1bcu_ligand_299     0       
1bcu_ligand_300     3.13    
1bcu_ligand_302     -6.22   
1bcu_ligand_308     -0.78   
1bcu_ligand_319     -7.65   
1bcu_ligand_322     -0.83   
1bcu_ligand_332     3.19    
1bcu_ligand_341     -1.48   
1bcu_ligand_343     -2.85   
1bcu_ligand_349     2.77    
1bcu_ligand_352     3.94    
1bcu_ligand_354     3.78    
1bcu_ligand_356     3.67    
1bcu_ligand_357     4.21    
1bcu_ligand_359     3.71    
1bcu_ligand_360     4.29    
1bcu_ligand_361     4.24    
1bcu_ligand_362     3.92    
1bcu_ligand_364     3.21    
1bcu_ligand_365     3.84    
1bcu_ligand_367     3.73    
1bcu_ligand_368     3.48    
1bcu_ligand_369     3.26    
1bcu_ligand_370     3.26    
1bcu_ligand_371     3.37    
1bcu_ligand_372     3.34    
1bcu_ligand_376     3.03    
1bcu_ligand_377     3.65    
1bcu_ligand_378     3.64    
1bcu_ligand_379     -999.9  
1bcu_ligand_383     3.55    
1bcu_ligand_386     3.94    
1bcu_ligand_388     3.33    
1bcu_ligand_389     3.61    
1bcu_ligand_391     3.85    
1bcu_ligand_393     3.62    
1bcu_ligand_394     3.2     
1bcu_ligand_395     3.32    
1bcu_ligand_396     2.78    
1bcu_ligand_397     3.06    
1bcu_ligand_398     3.13    
1bcu_ligand_400     2.97    
1bcu_ligand_402     4.11    
1bcu_ligand_404     4       
1bcu_ligand_410     3.91    
1bcu_ligand_414     3.69    
1bcu_ligand_416     4.04    
1bcu_ligand_418     3.98    
1bcu_ligand_419     3.68    
1bcu_ligand_421     3.05    
1bcu_ligand_427     3.52    
1bcu_ligand_430     3.47    
1bcu_ligand_431     3.84    
1bcu_ligand_437     2.89    
1bcu_ligand_440     3.72    
1bcu_ligand_443     3.77    
1bcu_ligand_445     3.79    
1bcu_ligand_446     3.67    
1bcu_ligand_450     3.29    
1bcu_ligand_452     3.47    
1bcu_ligand_468     4.15    
1bcu_ligand_469     3.47    
1bcu_ligand_47      4.11    
1bcu_ligand_471     4.17    
1bcu_ligand_473     3.79    
1bcu_ligand_474     3.82    
1bcu_ligand_478     4.33    
1bcu_ligand_479     4.06    
1bcu_ligand_483     4.06    
1bcu_ligand_491     3.07    
1bcu_ligand_492     3.83    
1bcu_ligand_496     3.86    
1bcu_ligand_71      3.58    
1bcu_ligand_86      -1.16   
1bcu_ligand_94      1.84    
1bcu_ligand_98      4.03    
1bzc_ligand_100     3.49    
1bzc_ligand_101     5.46    
1bzc_ligand_102     -999.9  
1bzc_ligand_103     5.16    
1bzc_ligand_105     5.87    
1bzc_ligand_108     5.88    
1bzc_ligand_110     -999.9  
1bzc_ligand_111     4.18    
1bzc_ligand_113     -999.9  
1bzc_ligand_120     5.21    
1bzc_ligand_123     4.92    
1bzc_ligand_127     5.5     
1bzc_ligand_128     -999.9  
1bzc_ligand_13      2.11    
1bzc_ligand_134     4.76    
1bzc_ligand_135     4.76    
1bzc_ligand_150     5.76    
1bzc_ligand_152     -25.22  
1bzc_ligand_156     -36.14  
1bzc_ligand_166     -18.96  
1bzc_ligand_167     1.8     
1bzc_ligand_168     -86.46  
1bzc_ligand_174     -30.95  
1bzc_ligand_183     -58.71  
1bzc_ligand_186     -24.48  
1bzc_ligand_188     -15.87  
1bzc_ligand_190     4.33    
1bzc_ligand_194     -17.48  
1bzc_ligand_196     -24.36  
1bzc_ligand_200     -12.27  
1bzc_ligand_202     0.41    
1bzc_ligand_203     1.84    
1bzc_ligand_206     3.92    
1bzc_ligand_211     5.37    
1bzc_ligand_213     2.34    
1bzc_ligand_217     2.88    
1bzc_ligand_218     -2.17   
1bzc_ligand_220     -1.7    
1bzc_ligand_221     1.43    
1bzc_ligand_222     4.57    
1bzc_ligand_224     4.65    
1bzc_ligand_232     3.15    
1bzc_ligand_234     1.57    
1bzc_ligand_236     4.58    
1bzc_ligand_237     1.75    
1bzc_ligand_238     2.76    
1bzc_ligand_24      5.36    
1bzc_ligand_240     -0.3    
1bzc_ligand_241     5.38    
1bzc_ligand_246     3.71    
1bzc_ligand_251     1.37    
1bzc_ligand_253     -6.2    
1bzc_ligand_255     -45.2   
1bzc_ligand_256     -15.93  
1bzc_ligand_257     -5.74   
1bzc_ligand_258     -5.39   
1bzc_ligand_260     -10.56  
1bzc_ligand_263     -9.3    
1bzc_ligand_265     -3.85   
1bzc_ligand_270     -3.17   
1bzc_ligand_292     -9.83   
1bzc_ligand_300     -3.07   
1bzc_ligand_301     -18.07  
1bzc_ligand_304     -10.93  
1bzc_ligand_306     -12.12  
1bzc_ligand_308     -18.45  
1bzc_ligand_309     -31.73  
1bzc_ligand_31      5.36    
1bzc_ligand_311     -15.22  
1bzc_ligand_312     -3.36   
1bzc_ligand_313     -21.2   
1bzc_ligand_316     -6.91   
1bzc_ligand_323     -20.01  
1bzc_ligand_327     -6.78   
1bzc_ligand_328     -16.19  
1bzc_ligand_334     -7.36   
1bzc_ligand_34      3.19    
1bzc_ligand_340     -14.63  
1bzc_ligand_342     -40.75  
1bzc_ligand_346     0.39    
1bzc_ligand_35      4.28    
1bzc_ligand_353     3.39    
1bzc_ligand_359     4.18    
1bzc_ligand_372     4.44    
1bzc_ligand_386     4.27    
1bzc_ligand_390     4.82    
1bzc_ligand_393     4.5     
1bzc_ligand_394     5.1     
1bzc_ligand_395     4.67    
1bzc_ligand_406     6.41    
1bzc_ligand_433     5.91    
1bzc_ligand_47      0.1     
1bzc_ligand_54      5.07    
1bzc_ligand_58      4.78    
1bzc_ligand_60      4.55    
1bzc_ligand_75      2.65    
1bzc_ligand_78      5.37    
1bzc_ligand_81      4.92    
1bzc_ligand_85      5.6     
1bzc_ligand_88      5.29    
1c5z_ligand_110     3.35    
1c5z_ligand_116     3.63    
1c5z_ligand_118     3.63    
1c5z_ligand_124     3.67    
1c5z_ligand_126     3.65    
1c5z_ligand_131     3.63    
1c5z_ligand_132     2.92    
1c5z_ligand_136     -999.9  
1c5z_ligand_146     3       
1c5z_ligand_149     3.3     
1c5z_ligand_155     3.18    
1c5z_ligand_160     3.55    
1c5z_ligand_161     3.13    
1c5z_ligand_167     0.21    
1c5z_ligand_168     -0.24   
1c5z_ligand_170     0.09    
1c5z_ligand_173     2.19    
1c5z_ligand_184     -3.94   
1c5z_ligand_187     2.85    
1c5z_ligand_189     -0.51   
1c5z_ligand_196     2.1     
1c5z_ligand_198     -3.1    
1c5z_ligand_201     2.71    
1c5z_ligand_202     2.74    
1c5z_ligand_203     3.33    
1c5z_ligand_207     1.96    
1c5z_ligand_208     3.59    
1c5z_ligand_215     3.06    
1c5z_ligand_216     2.62    
1c5z_ligand_221     2.97    
1c5z_ligand_229     2.82    
1c5z_ligand_231     2.98    
1c5z_ligand_234     3.17    
1c5z_ligand_236     0.7     
1c5z_ligand_238     2.66    
1c5z_ligand_239     3.51    
1c5z_ligand_240     3.26    
1c5z_ligand_241     3.2     
1c5z_ligand_242     2.61    
1c5z_ligand_243     2.66    
1c5z_ligand_245     2.23    
1c5z_ligand_246     1.84    
1c5z_ligand_249     1.44    
1c5z_ligand_254     1.51    
1c5z_ligand_255     2.76    
1c5z_ligand_256     3.56    
1c5z_ligand_258     3.12    
1c5z_ligand_260     2.85    
1c5z_ligand_270     3.15    
1c5z_ligand_274     -1.25   
1c5z_ligand_275     -5.83   
1c5z_ligand_277     2.9     
1c5z_ligand_279     2.66    
1c5z_ligand_28      3.63    
1c5z_ligand_282     0.36    
1c5z_ligand_283     2.42    
1c5z_ligand_284     3.29    
1c5z_ligand_29      2.81    
1c5z_ligand_290     3.23    
1c5z_ligand_292     2.54    
1c5z_ligand_293     0.73    
1c5z_ligand_294     -4.62   
1c5z_ligand_296     2.81    
1c5z_ligand_299     0.04    
1c5z_ligand_303     0.65    
1c5z_ligand_306     -2.07   
1c5z_ligand_308     3.35    
1c5z_ligand_313     1.36    
1c5z_ligand_320     0       
1c5z_ligand_321     -3.02   
1c5z_ligand_327     -4.63   
1c5z_ligand_330     1.23    
1c5z_ligand_337     1.62    
1c5z_ligand_338     -0.71   
1c5z_ligand_339     2.75    
1c5z_ligand_341     -3.81   
1c5z_ligand_342     -4.94   
1c5z_ligand_349     1.16    
1c5z_ligand_350     2.19    
1c5z_ligand_373     2.8     
1c5z_ligand_375     3.32    
1c5z_ligand_376     2.48    
1c5z_ligand_384     2.89    
1c5z_ligand_386     3.19    
1c5z_ligand_396     2.75    
1c5z_ligand_397     2.78    
1c5z_ligand_399     2.98    
1c5z_ligand_41      2.3     
1c5z_ligand_421     2.77    
1c5z_ligand_433     2.9     
1c5z_ligand_44      2.84    
1c5z_ligand_446     3.2     
1c5z_ligand_473     3.4     
1c5z_ligand_479     2.69    
1c5z_ligand_492     3.28    
1c5z_ligand_53      3.56    
1c5z_ligand_55      3.3     
