#code_ligand_num    score   
1a30_ligand_102     4.34    
1a30_ligand_119     5.28    
1a30_ligand_121     5.85    
1a30_ligand_128     5.36    
1a30_ligand_129     5.61    
1a30_ligand_130     6.37    
1a30_ligand_135     5.87    
1a30_ligand_139     6.44    
1a30_ligand_143     5.32    
1a30_ligand_15      5.37    
1a30_ligand_154     -0.82   
1a30_ligand_156     -10.79  
1a30_ligand_159     -19.98  
1a30_ligand_163     -5.72   
1a30_ligand_165     -6.21   
1a30_ligand_169     -11.85  
1a30_ligand_172     -12.74  
1a30_ligand_177     -8.86   
1a30_ligand_180     -5.74   
1a30_ligand_190     -16.22  
1a30_ligand_193     -4.96   
1a30_ligand_195     -21.84  
1a30_ligand_207     0.45    
1a30_ligand_21      4.32    
1a30_ligand_212     0.73    
1a30_ligand_214     4.44    
1a30_ligand_217     1.77    
1a30_ligand_218     3.96    
1a30_ligand_221     0.62    
1a30_ligand_222     1.37    
1a30_ligand_226     -0.23   
1a30_ligand_231     -4.44   
1a30_ligand_238     3.08    
1a30_ligand_239     -1.93   
1a30_ligand_245     4.31    
1a30_ligand_249     0.71    
1a30_ligand_25      5.75    
1a30_ligand_250     2.96    
1a30_ligand_26      5.48    
1a30_ligand_260     -5.58   
1a30_ligand_263     -10.42  
1a30_ligand_264     -4.4    
1a30_ligand_270     -21.55  
1a30_ligand_285     -7.12   
1a30_ligand_286     -3.34   
1a30_ligand_289     -10.12  
1a30_ligand_291     0.07    
1a30_ligand_300     3.01    
1a30_ligand_302     -10.19  
1a30_ligand_307     -7.62   
1a30_ligand_308     -12.67  
1a30_ligand_311     -9.37   
1a30_ligand_313     -5.6    
1a30_ligand_317     -10.07  
1a30_ligand_319     -8.45   
1a30_ligand_32      5.71    
1a30_ligand_320     -5.42   
1a30_ligand_322     -36.34  
1a30_ligand_323     -23.52  
1a30_ligand_326     -4.3    
1a30_ligand_327     -9.02   
1a30_ligand_328     -17.26  
1a30_ligand_33      6.18    
1a30_ligand_331     -1.07   
