#code_ligand_num    score   
1a30_ligand_103     3.36    
1a30_ligand_104     -999.9  
1a30_ligand_107     -999.9  
1a30_ligand_11      -999.9  
1a30_ligand_111     2.46    
1a30_ligand_116     -999.9  
1a30_ligand_119     5.07    
1a30_ligand_123     -999.9  
1a30_ligand_128     -999.9  
1a30_ligand_13      -999.9  
1a30_ligand_130     1.66    
1a30_ligand_140     -999.9  
1a30_ligand_15      -999.9  
1a30_ligand_154     -34.66  
1a30_ligand_155     -65.36  
1a30_ligand_161     -38.93  
1a30_ligand_162     -47.43  
1a30_ligand_169     -40.07  
1a30_ligand_17      -999.9  
1a30_ligand_170     -60.59  
1a30_ligand_172     -51.95  
1a30_ligand_178     -38.21  
1a30_ligand_18      4.92    
1a30_ligand_199     -69.07  
1a30_ligand_202     -2.56   
1a30_ligand_207     -15.93  
1a30_ligand_209     -24.06  
1a30_ligand_212     -22.6   
1a30_ligand_214     -18.98  
1a30_ligand_216     -13.57  
1a30_ligand_22      -999.9  
1a30_ligand_221     -29.96  
1a30_ligand_225     -25.02  
1a30_ligand_229     -18     
1a30_ligand_23      2.72    
1a30_ligand_230     -27.8   
1a30_ligand_232     -34.22  
1a30_ligand_237     -34.6   
1a30_ligand_241     -24.49  
1a30_ligand_242     -30.54  
1a30_ligand_247     -20.13  
1a30_ligand_256     -38.32  
1a30_ligand_257     -25.26  
1a30_ligand_26      -999.9  
1a30_ligand_27      4.65    
1a30_ligand_28      -999.9  
1a30_ligand_281     -36.88  
1a30_ligand_283     -38.77  
1a30_ligand_29      -999.9  
1a30_ligand_293     -48.59  
1a30_ligand_3       1.16    
1a30_ligand_300     -28.62  
1a30_ligand_302     -30.04  
1a30_ligand_308     -42.06  
1a30_ligand_31      -999.9  
1a30_ligand_313     -30.07  
1a30_ligand_319     -48.74  
1a30_ligand_333     -28.83  
1a30_ligand_336     -36.7   
1a30_ligand_347     -28.98  
1a30_ligand_348     -71.43  
1a30_ligand_37      -999.9  
1a30_ligand_383     -4.25   
1a30_ligand_385     -0.58   
1a30_ligand_386     1.31    
1a30_ligand_39      -999.9  
1a30_ligand_398     -4.41   
1a30_ligand_4       -999.9  
1a30_ligand_400     -1.17   
1a30_ligand_41      -999.9  
1a30_ligand_44      -999.9  
1a30_ligand_45      -999.9  
1a30_ligand_454     1.72    
1a30_ligand_46      4.47    
1a30_ligand_47      1.36    
1a30_ligand_48      -999.9  
1a30_ligand_51      -999.9  
1a30_ligand_52      -999.9  
1a30_ligand_53      -999.9  
1a30_ligand_55      -999.9  
1a30_ligand_56      -999.9  
1a30_ligand_58      -999.9  
1a30_ligand_61      5.17    
1a30_ligand_65      -999.9  
1a30_ligand_66      -1.49   
1a30_ligand_67      2.94    
1a30_ligand_68      -999.9  
1a30_ligand_70      -999.9  
1a30_ligand_72      -999.9  
1a30_ligand_75      -999.9  
1a30_ligand_76      -999.9  
1a30_ligand_78      -999.9  
1a30_ligand_79      3.29    
1a30_ligand_82      -999.9  
1a30_ligand_84      -999.9  
1a30_ligand_88      -11.67  
1a30_ligand_89      -999.9  
1a30_ligand_96      -999.9  
1a30_ligand_97      -999.9  
1a30_ligand_99      -1.3    
1bcu_ligand_154     -10.21  
1bcu_ligand_170     -3.61   
1bcu_ligand_177     -2.09   
1bcu_ligand_178     -12.11  
1bcu_ligand_184     -4.6    
1bcu_ligand_186     -4.59   
1bcu_ligand_189     -3.36   
1bcu_ligand_191     -2.3    
1bcu_ligand_192     -1.21   
1bcu_ligand_193     -1.39   
1bcu_ligand_194     -8.53   
1bcu_ligand_196     -23.59  
1bcu_ligand_197     -16.87  
1bcu_ligand_198     -6.81   
1bcu_ligand_200     -13.88  
1bcu_ligand_203     3.44    
1bcu_ligand_204     2.51    
1bcu_ligand_209     0.21    
1bcu_ligand_210     3.07    
1bcu_ligand_212     2.8     
1bcu_ligand_215     1.95    
1bcu_ligand_216     1.77    
1bcu_ligand_220     1.89    
1bcu_ligand_221     1.57    
1bcu_ligand_224     0.44    
1bcu_ligand_227     -1.08   
1bcu_ligand_228     1.92    
1bcu_ligand_229     0.37    
1bcu_ligand_231     0.27    
1bcu_ligand_232     -0.72   
1bcu_ligand_235     -5.14   
1bcu_ligand_236     -0.49   
1bcu_ligand_238     0.58    
1bcu_ligand_242     0.55    
1bcu_ligand_243     1.44    
1bcu_ligand_246     -0.66   
1bcu_ligand_249     -0.03   
1bcu_ligand_251     0.51    
1bcu_ligand_257     -7.74   
1bcu_ligand_258     -7.97   
1bcu_ligand_266     -8.79   
1bcu_ligand_275     -14.96  
1bcu_ligand_276     -3.98   
1bcu_ligand_277     -3.69   
1bcu_ligand_279     -20.61  
1bcu_ligand_280     0.45    
1bcu_ligand_284     -12.38  
1bcu_ligand_290     -2.56   
1bcu_ligand_296     -6.9    
1bcu_ligand_297     -1.8    
1bcu_ligand_305     -1.35   
1bcu_ligand_323     -4.32   
1bcu_ligand_328     -1.66   
1bcu_ligand_330     -0.25   
1bcu_ligand_333     -2.54   
1bcu_ligand_334     -1.55   
1bcu_ligand_336     -8      
