#code_ligand_num    score   
1a30_ligand_100     4.99    
1a30_ligand_118     3.5     
1a30_ligand_119     4.32    
1a30_ligand_12      3.27    
1a30_ligand_120     3.21    
1a30_ligand_121     5.39    
1a30_ligand_123     1.1     
1a30_ligand_126     3.36    
1a30_ligand_13      4.95    
1a30_ligand_130     4.51    
1a30_ligand_131     5.36    
1a30_ligand_14      5.07    
1a30_ligand_140     3.79    
1a30_ligand_143     2.89    
1a30_ligand_148     4.18    
1a30_ligand_15      5.49    
1a30_ligand_152     -51.52  
1a30_ligand_155     -58.43  
1a30_ligand_159     -42.31  
1a30_ligand_16      5.06    
1a30_ligand_160     -26.27  
1a30_ligand_164     -39.14  
1a30_ligand_17      4.25    
1a30_ligand_171     -55.11  
1a30_ligand_175     -47.92  
1a30_ligand_176     -37.58  
1a30_ligand_177     -69.94  
1a30_ligand_178     -36.36  
1a30_ligand_182     -67.27  
1a30_ligand_183     -42.02  
1a30_ligand_194     -63.41  
1a30_ligand_200     -36.68  
1a30_ligand_201     2.45    
1a30_ligand_203     3.66    
1a30_ligand_209     3.22    
1a30_ligand_210     0.96    
1a30_ligand_213     0.04    
1a30_ligand_216     -2.93   
1a30_ligand_220     2.03    
1a30_ligand_221     0.93    
1a30_ligand_222     -9.1    
1a30_ligand_223     1.25    
1a30_ligand_232     1.21    
1a30_ligand_235     0.94    
1a30_ligand_236     3.54    
1a30_ligand_237     -0.18   
1a30_ligand_238     2.42    
1a30_ligand_239     -17.41  
1a30_ligand_240     -0.79   
1a30_ligand_241     -5.11   
1a30_ligand_243     2.92    
1a30_ligand_244     0.76    
1a30_ligand_245     -6.52   
1a30_ligand_246     3.4     
1a30_ligand_247     -0.52   
1a30_ligand_250     2.73    
1a30_ligand_251     -7.73   
1a30_ligand_259     -0.74   
1a30_ligand_261     -26.3   
1a30_ligand_267     -29.69  
1a30_ligand_27      4.63    
1a30_ligand_274     -12.09  
1a30_ligand_283     -22.36  
1a30_ligand_289     -35.01  
1a30_ligand_292     -45.99  
1a30_ligand_296     -53.09  
1a30_ligand_301     -62.79  
1a30_ligand_303     -46.66  
1a30_ligand_306     -59.04  
1a30_ligand_311     -32.13  
1a30_ligand_314     -13.36  
1a30_ligand_32      3.29    
1a30_ligand_326     -42.62  
1a30_ligand_330     -16.16  
1a30_ligand_331     -22.86  
1a30_ligand_335     -2.94   
1a30_ligand_338     -47.18  
1a30_ligand_34      3.92    
1a30_ligand_340     -26.42  
1a30_ligand_350     -15.68  
1a30_ligand_369     5.24    
1a30_ligand_38      3.86    
1a30_ligand_383     5.36    
1a30_ligand_40      3.86    
1a30_ligand_443     5.33    
1a30_ligand_48      3.79    
1a30_ligand_52      4.46    
1a30_ligand_54      4       
1a30_ligand_58      4.66    
1a30_ligand_69      4.76    
1a30_ligand_7       3.51    
1a30_ligand_71      3.49    
1a30_ligand_77      2.99    
1a30_ligand_8       4.17    
1a30_ligand_83      4.44    
1a30_ligand_84      4.24    
1a30_ligand_86      4.31    
1a30_ligand_97      2.7     
1a30_ligand_98      2.9     
1a30_ligand_99      4.86    
1bcu_ligand_106     3.96    
1bcu_ligand_110     -10.84  
1bcu_ligand_131     4.73    
1bcu_ligand_136     4.38    
1bcu_ligand_166     3.63    
1bcu_ligand_176     1.41    
1bcu_ligand_190     -0.73   
1bcu_ligand_192     3.6     
1bcu_ligand_197     2.64    
1bcu_ligand_199     1.33    
1bcu_ligand_2       3       
1bcu_ligand_205     2.32    
1bcu_ligand_208     3.55    
1bcu_ligand_211     3.19    
1bcu_ligand_215     4.8     
1bcu_ligand_221     4.25    
1bcu_ligand_236     1.77    
1bcu_ligand_240     2.46    
1bcu_ligand_241     3.03    
1bcu_ligand_244     3.82    
1bcu_ligand_247     4.45    
1bcu_ligand_249     1.07    
1bcu_ligand_252     3.29    
1bcu_ligand_254     2.83    
1bcu_ligand_256     1.38    
1bcu_ligand_257     -0.52   
1bcu_ligand_259     1.07    
1bcu_ligand_260     3.54    
1bcu_ligand_265     0.46    
1bcu_ligand_266     -0.66   
1bcu_ligand_273     0.71    
1bcu_ligand_275     2.44    
1bcu_ligand_276     0.16    
1bcu_ligand_277     3.25    
1bcu_ligand_279     -1.22   
1bcu_ligand_290     -7.14   
1bcu_ligand_291     0.79    
1bcu_ligand_293     0.72    
1bcu_ligand_294     4.24    
1bcu_ligand_313     0       
1bcu_ligand_318     0.58    
1bcu_ligand_327     1.14    
1bcu_ligand_337     -2.31   
1bcu_ligand_341     -2.12   
1bcu_ligand_344     -4.45   
1bcu_ligand_35      4.59    
1bcu_ligand_351     4.36    
1bcu_ligand_354     4.16    
1bcu_ligand_356     3.85    
1bcu_ligand_358     3.48    
1bcu_ligand_359     4.03    
1bcu_ligand_36      3.57    
1bcu_ligand_362     3.81    
1bcu_ligand_363     3.88    
1bcu_ligand_366     3.68    
1bcu_ligand_368     3.04    
1bcu_ligand_369     3.04    
1bcu_ligand_370     3.2     
1bcu_ligand_371     3.06    
1bcu_ligand_372     3.64    
1bcu_ligand_375     3.01    
1bcu_ligand_376     3.28    
