#code_ligand_num    score   
1a30_ligand_1       6.41    
1a30_ligand_11      4.26    
1a30_ligand_112     4.64    
1a30_ligand_114     5.02    
1a30_ligand_115     4.15    
1a30_ligand_117     -6.41   
1a30_ligand_128     5.62    
1a30_ligand_129     4.68    
1a30_ligand_131     4.97    
1a30_ligand_14      4.52    
1a30_ligand_141     4.01    
1a30_ligand_146     4.87    
1a30_ligand_148     4.97    
1a30_ligand_149     -999.9  
1a30_ligand_155     -24.38  
1a30_ligand_16      3.12    
1a30_ligand_161     -40.57  
1a30_ligand_164     -13.48  
1a30_ligand_166     -46.46  
1a30_ligand_168     -25.7   
1a30_ligand_169     -29.28  
1a30_ligand_173     -39.12  
1a30_ligand_175     -10.48  
1a30_ligand_177     -17.03  
1a30_ligand_178     -31.97  
1a30_ligand_180     -36.29  
1a30_ligand_184     -41.53  
1a30_ligand_19      3.62    
1a30_ligand_190     -30.51  
1a30_ligand_195     -12.58  
1a30_ligand_198     -18.83  
1a30_ligand_200     -35.83  
1a30_ligand_204     -7.01   
1a30_ligand_206     -3.41   
1a30_ligand_212     -11.81  
1a30_ligand_217     -0.33   
1a30_ligand_221     -8      
1a30_ligand_225     1.38    
1a30_ligand_227     -13.87  
1a30_ligand_232     -9.55   
1a30_ligand_234     -999.9  
1a30_ligand_235     -10.5   
1a30_ligand_241     -9.47   
1a30_ligand_246     -7.9    
1a30_ligand_255     -9.9    
1a30_ligand_265     -31.1   
1a30_ligand_267     -14.84  
1a30_ligand_277     -10.51  
1a30_ligand_279     -39.45  
1a30_ligand_28      4.32    
1a30_ligand_280     -21.47  
1a30_ligand_286     -5.38   
1a30_ligand_291     -14.75  
1a30_ligand_305     -10.07  
1a30_ligand_31      6.13    
1a30_ligand_316     -9.7    
1a30_ligand_320     -26.09  
1a30_ligand_327     -8.69   
1a30_ligand_333     -32.06  
1a30_ligand_335     -12.65  
1a30_ligand_34      -999.9  
1a30_ligand_345     -30.87  
1a30_ligand_349     -13.38  
1a30_ligand_359     3.01    
1a30_ligand_36      3.85    
1a30_ligand_360     5.58    
1a30_ligand_362     -999.9  
1a30_ligand_371     -999.9  
1a30_ligand_374     3.73    
1a30_ligand_376     -999.9  
1a30_ligand_381     2.68    
1a30_ligand_388     4.44    
1a30_ligand_397     4.23    
1a30_ligand_399     3.53    
1a30_ligand_400     3.95    
1a30_ligand_422     5.59    
1a30_ligand_434     4.6     
1a30_ligand_45      -999.9  
1a30_ligand_488     2.96    
1a30_ligand_493     4.9     
1a30_ligand_495     4.87    
1a30_ligand_5       -999.9  
1a30_ligand_50      -999.9  
1a30_ligand_53      4.04    
1a30_ligand_56      5.14    
1a30_ligand_59      5.28    
1a30_ligand_6       3.55    
1a30_ligand_60      -999.9  
1a30_ligand_62      -999.9  
1a30_ligand_68      3.72    
1a30_ligand_69      -999.9  
1a30_ligand_73      5.82    
1a30_ligand_75      -3.86   
1a30_ligand_76      -999.9  
